timestamp,time,author,message
1570607519060905,-20:38,bongile sango,@Nkosinathi Ngidi it's Aggrizzi who is in the hot seat
1570607624910627,-18:53,Slavic Peter,Welcome back Agrizzzi
1570607635151352,-18:42,Slavic Peter,Spill more beans Aggrizzzi >>>>>>>>>>>>>
1570607714194838,-17:23,Takie Moses,wecome back our resourceful agrizzi this time finish them off
1570607716104337,-17:21,Johnny Williams,VUVUZELA is going to be blown
1570607796287865,-16:01,bongile sango,Takie Moses he is back to finish them off
1570607843051652,-15:14,Eliot Chauke,i will take Agrizzi serious when he expose Ramaphosa...
1570607931753889,-13:46,Takie Moses,sango lol leave them
1570607940825157,-13:37,bongile sango,Elliott what if he's got nothing to say about Ramaphosa?
1570607969126995,-13:08,Takie Moses,30 sec guys let the game begun
1570608065323809,-11:32,Takie Moses,what the delay still tryng to bribe our agrizzi that one cant be bought
1570608115246865,-10:42,Jabulile Mazwane,Grizza lamagrizza
1570608121480424,-10:36,Kenneth Jones,Takie Chief I'm trying to call Zondo but he's not picking what is the delay mara?
1570608156056926,-10:01,bongile sango,we ready for the show Aggrizzi must come and show us flames
1570608156813633,-10:01,Jabulile Mazwane,will start at 10:15am
1570608159471271,-9:58,Lorraine Naidoo,mornin6
1570608169929737,-9:48,SM,"Agrizzi is eating his breakfast, give him time."
1570608193953006,-9:24,SNENHLANHLA VILAKAZI,morning alles
1570608195738700,-9:22,Takie Moses,jones send him a msg we cant be waiting forever lol
1570608212310982,-9:05,SAM STORIES,Agrizzi is back
1570608238072343,-8:39,Sticknbkid,so far Agrizzi is the one who has given evidence with visuals and cannot be denied
1570608270897894,-8:07,bongile sango,what's the hold up now?
1570608273763153,-8:04,Takie Moses,after today we want to see who's death will be staged
1570608282302445,-7:55,Slindile Ngcobo,ANN7 has it live now....
1570608306877894,-7:31,skeetpetegibbs,Agrizzi and Zondo eating a pig and 400 eggs for breakfast.
1570608321699980,-7:16,Sticknbkid,"mic check 1 2 1 2, is this thing on?"
1570608322570465,-7:15,Jedidiah Rantho,Newzroom Afrika not ANN7
1570608339545190,-6:58,Paul Buchel,@Slindile Ngcobo​😎😂😂
1570608357929163,-6:40,bongile sango,Slindile I'm going to check ANN7 now
1570608379615347,-6:18,SAM STORIES,"Agrizzi reminds of the song Papa by Sankomota ""You're waiting for your name to be called. Your body's shaking with disbelief"""
1570608423662382,-5:34,Nkosinathi ngidi,thanks Jonny
1570608424629087,-5:33,Sticknbkid,"@SM Stories, ""Tell us more"""
1570608434035222,-5:24,Johnny Williams,Uncle Gaving is in Dubai
1570608467693925,-4:50,Derek Main,Morning all
1570608473820522,-4:44,SM,He is in Seychelles with Hansie
1570608504569745,-4:13,Celuthando Celuthando,morning guys what happening it not started yet? welcome back agrizzi🙋
1570608516431698,-4:01,Derek Main,@Eliot Chauke You sound worried.
1570608560458398,-3:17,Lorna Kavanagh,Myeni says she has no money to appear in court. No money for hotel or travel
1570608562282615,-3:15,Paul Buchel,"@Derek Main​, oh no , we all in for it again from you😎😁"
1570608578309232,-2:59,Smart Guys,why the delay
1570608599700565,-2:38,Lorna Kavanagh,What happened to all the money looted from SAA
1570608631686350,-2:06,Mandla58,Morning
1570608645214659,-1:52,Mandla58,Have they started ?
1570608647056698,-1:50,Mike Moja,Have'nt they started?
1570608661892660,-1:36,Pheladi Lamola,Myeni is arrogant. Always has been. Remember how she treated parliamentary committee when they called her to account?
1570608673100653,-1:24,wendy hardy,late as per usual
1570608681613278,-1:16,Vic SetheMasewawatla,"Can we raise transport money for Dudu Myeni pls, she's unemployed"
1570608715653059,-0:42,Vic SetheMasewawatla,She's unemplyed and she's not working
1570608755283569,-0:02,Lorna Kavanagh,Shem poor Dudu
1570608756868563,-0:01,Jabulile Mazwane,never
1570608788916588,0:21,SM,here we gooooo
1570608822720661,0:54,Vic SetheMasewawatla,#Habashwe!
1570608835685644,1:08,Derek Main,@Paul Buchel Well hopefully we don't cross swords. 😁
1570608894620979,2:06,Samuel Mann,WTH!?? it just started
1570608904263661,2:17,Vic SetheMasewawatla,aagh
1570608913933654,2:26,Pheladi Lamola,Who's your source Tikvah
