timestamp,time,author,message
1607409247513338,-1:26:31,Diane Louw,"Morning morning all cant wait to hear the ""stories"" for today."
1607412916789859,-25:22,Heather Durr,@Diane Louw hey Hi There-should be interesting until lunch time when we are drowned in numbers again
1607412999673832,-23:59,Heather Durr,"@Diane Louw Did you see Lotteries offices raided on suspicion of, you guessed it corruption. Nothing is sacred it seems"
1607413435576443,-16:43,Diane Louw,sorry had to refresh
1607413502301948,-15:36,Diane Louw,@Heather Durr yes watched it. Everything is corrupt i tell you.
1607413631408997,-13:27,Diane Louw,Sad to hear about Dawn Lindberg passing away last nite due to covid 19 related illness.
1607413707782804,-12:11,Heather Durr,@Diane Louw She was a real stalwart of our entertainment industry
1607413798187102,-10:40,Diane Louw,yeah
1607414475492431,0:24,Sibongile Maputi,"Morning all, that scientist will deny deny deny and say nothing at all"
1607414532500396,1:21,Diane Louw,morning Sibongile
1607414574520008,2:02,Mr A,Who is in the witness stand today?
1607414603492840,2:33,Pardon Tshepo,Morning gud ppl
1607414606886135,2:36,Diane Louw,Dr Ben Ngubane
1607414613998426,2:43,Diane Louw,morning Mr A and Pardon
1607414637314305,3:06,Bruce Andrew,"It will be a morning of I don't recall, I wasn't there and I didn't do it. In our house it was the dog that took the blame!!!"
1607414673970512,3:43,Diane Louw,"morning Bruce, i hope not"
1607414685503220,3:55,Diane Louw,morning rob
1607414687172425,3:57,Pardon Tshepo,Gud Diane how are u
1607414689172528,3:59,Sibongile Maputi,@Diane is there anything he must answer?
1607414724971125,4:33,vincent kolobe,"I cant wait for the arrogant Dr,its going to be very interesting."
1607414726203260,4:35,Rob Nel,No streaming or is there a delay?
1607414731107088,4:40,Diane Louw,well Pardon and you?
1607414814299659,6:02,SanFran Arnold,"@Mr A Eskom related evidence from the former Eskom board chairperson, Dr Ben Ngubane."
1607414814920750,6:03,Lerato Moleke,Greetings All - can't wait for drama & arrogance.
1607414818953584,6:08,Diane Louw,Sibongile lets see what he says and connect the dots as we go along.
1607414831819084,6:20,Diane Louw,morning SanFran Arnaold and Letato
1607414835274398,6:23,Gray Lawrence,morning. I see we have a real corrupt
1607414842482619,6:33,Gray Lawrence,witness
1607414847234027,6:37,Pardon Tshepo,Very well my sister
1607414848870589,6:38,Diane Louw,morning Gray lawrence
1607414881974811,7:12,Gray Lawrence,Goodmorning Diane 😃
1607414914821509,7:46,Carl,Morning All 🙂
1607414916424047,7:48,Brian Hayes,where is tanya
1607414928795738,7:58,Diane Louw,morning Carl and Brian
1607414935696097,8:06,Gray Lawrence,This guys version should be ripped apart.
1607414937439764,8:08,Jacques Joubert,Morning
1607414938028745,8:08,SanFran Arnold,@Carl GM
1607414958505008,8:28,Diane Louw,morning Jacques Joubert
1607414963876417,8:35,Yonds Athini,Morning Carl
1607414976755791,8:46,Diane Louw,morning Yonds Athini
1607414994852094,9:03,Brian Hayes,yebo all
1607415008210068,9:16,SanFran Arnold,@Brian Hayes hello there
1607415020047777,9:30,Benjamin Mokotjo,Morning y’all
1607415028383521,9:37,SanFran Arnold,@Benjamin Mokotjo GM
1607415038648792,9:46,Diane Louw,morning Benjamin Mokotjo
1607415042545177,9:52,Smart Guys,on what channel can I watch on TV
1607415079495525,10:31,Lerato Moleke,On Enca @smart guys
1607415094895483,10:44,Diane Louw,im not sue Smart Guy is think its 405
1607415109254894,10:59,Quinton van Eeden,salaam infidels 🙂
1607415110717069,11:00,ALTA,@Sanfran Arnold GM😘😘
1607415124413357,11:13,Diane Louw,oh we acting today i c
1607415126812426,11:17,SanFran Arnold,@Quinton van Eeden GM
1607415132180538,11:21,ALTA,@Quinton van Eeden GM
1607415138615178,11:28,Benjamin Mokotjo,I hope this older fellow speaks the truth today 😀 it is such a disgrace when old people are deceitful
1607415139213610,11:28,Diane Louw,morning Quinton van Eeden
1607415157853629,11:47,Grant Langton,This guy is gonna act dumb all day
1607415160420076,11:52,Smart Guys,Thanks it's on ENCA
1607415170408175,12:00,Heather Durr,@ALTA @Quinton van Eeden Hi
1607415172709591,12:03,Diane Louw,agree Grant Langton and morning
1607415179000031,12:08,Diane Louw,more more Alta
1607415180699827,12:09,Gray Lawrence,I agree Grant.
1607415185109076,12:15,xx xx,"Grant, he might just BE dumb?"
1607415188202472,12:18,SanFran Arnold,"@Grant Langton GM, I am not sure its an act...🤣🤣"
1607415189023592,12:19,Grant Langton,Morning Di
1607415203586927,12:32,Grant Langton,Agreed Ant
1607415214010487,12:43,Angelo Doubel,GM @Alta
1607415230330026,13:00,Quinton van Eeden,@SanFran Arnold @ALTA @Diane Louw @Heather Durr 🌹🌹
1607415231016919,13:00,Petro Forsyth,"You bet, Grant!"
1607415235407257,13:06,Richard Evans,I have no sound. anybody else ???
1607415240965030,13:10,Grant Langton,@Sanfran sadly you could be right
1607415257707407,13:27,Thabiso Mthembu,waste of time
1607415273832621,13:44,SanFran Arnold,@Richard Evans try refreshing and just make sure you don't have the page on mute. Otherwise I have sound
1607415283251535,13:52,Lesley F. maphanga,We do have
1607415293328380,14:03,Heather Durr,@Angelo Doubel Hi
1607415293813737,14:04,xx xx,GM Alta
1607415310527911,14:21,SanFran Arnold,@Angelo Doubel GM
1607415317780915,14:29,Andre Gerber,new affidavits are not going to help the ci=orrupt
1607415324833022,14:34,Diane Louw,Morning Antoinette
1607415326305303,14:36,Richard Evans,"@SanFran Arnold tnks, will sort it out"
1607415327416035,14:37,ALTA,@Sanfran Arnold do you see me
1607415328739946,14:38,Gray Lawrence,Goodmorning Alta
1607415334582582,14:44,hirsitus,Adv Slow poison in action today 😁😁😁
1607415341310317,14:50,Terrie Kagande,the meat on the bones today.
1607415343196587,14:52,ALTA,@Andre Gerber more sê
1607415356983401,15:06,Lesley F. maphanga,just push the red line below the word live to the far right hand end
1607415360351315,15:10,SanFran Arnold,@Andre Gerber GM
1607415362660812,15:13,Andre Gerber,Hi @ALTA
1607415369036087,15:18,Diane Louw,morning Andre
1607415397470929,15:47,Andre Gerber,Hi @Diane Louw
1607415412285594,16:03,SanFran Arnold,@Andre Gerber alles loop reg altyd reg.....
1607415430350258,16:20,Angelo Doubel,GM @ Sanfran arnold
1607415453028063,16:43,ALTA,@hirsitus GM
1607415453400498,16:43,Walter Moloto,@Hirsitus with lot of vernon questions:washhands::washhands:
1607415480016700,17:10,Terrie Kagande,they should introduce lie detector tests after testimony. just one question should be asked. was your whole testimony truthful
1607415489341161,17:18,Andre Gerber,@SanFran Arnold 😆😆😆😆
1607415510314499,17:40,Heather Durr,@hirsitus hi there
1607415540820338,18:11,TheQueen V,helooooo🙋‍♀️🙋‍♀️
1607415541397017,18:12,hirsitus,@Walter Moloto he's brilliant
1607415543256588,18:14,bella moholo,it's frozen
1607415567879274,18:37,Heather Durr,Why was Lynne Brown never implicated-clearly she facilitated all of this
1607415571660830,18:42,SanFran Arnold,@Valencia J hello there sweetie 👋👋:virtualhug:
1607415578294874,18:47,TheQueen V,arms deal case of Zuma postponed until February 2021 so I suppose he has some free time for the commission 😂😂
1607415583816319,18:53,hirsitus,@Heather Durr ​ Hi Heather
1607415591475400,19:01,Angelo Doubel,GM @Valencia J
1607415591836298,19:01,Diane Louw,theres that smile Mr Seleka start firing.... Is the Minister Brown been called to this commission?
1607415602316729,19:12,Heather Durr,@Valencia J hi there
1607415615554849,19:25,Lerato Moleke,Heya @Valencia J
1607415618443285,19:28,Diane Louw,ditto @ Heather Durr
1607415622477423,19:31,SanFran Arnold,"@Heather Durr hi there, she has been implicated and will be coming before the commission"
1607415625788192,19:35,Diane Louw,Morning Valencia J
1607415630632782,19:40,Thulani Faku,Molweni Nonke.
1607415646008938,19:55,Heather Durr,@SanFran Arnold Great thanks
1607415648582113,19:57,TheQueen V,"@SanFran, Heather, Angelo, Lerato hope you guys are well today😁😁"
1607415649090637,19:58,Diane Louw,Naledi is late.....
1607415663854844,20:13,Lerato Moleke,Ewe @Thulani Faku
1607415665079022,20:15,TheQueen V,"@Diane Louw hi, hope you are well"
1607415665108800,20:15,Zinhle Big Daddy Dee,The regulars are here
1607415671127669,20:21,Angelo Doubel,GM @Lerato Moleke
1607415695281968,20:46,Diane Louw,yes thank you Valencia J is cloudy and rained this morning so im happy
1607415706154846,20:55,Andre Gerber,As always @Zinhle Big Daddy Dee
1607415711943139,21:02,TheQueen V,yes big Daddy this is our house
1607415744870414,21:35,Lerato Moleke,Greetings @Angelo D .. Morning to you to Zinhle BDD
1607415766683048,21:56,Joseph Mtshali,morning all in the house
1607415813121998,22:43,Zinhle Big Daddy Dee,@Sanfran where is your friend Suade??
1607415820960391,22:50,Quinton Ndzinisa,who is testifying today?
1607415841709769,23:11,Diane Louw,Dr Ben Ngubane
1607415843766734,23:13,hirsitus,Dr Ben Ngubane
1607415846723284,23:17,Andre Gerber,Our Covid-19 figures here always rise from 1-3 to 10 or more on a Monday when outside visitors came here for a weekend
1607415847190842,23:18,Kelly Mpande,morning lerato Moleke
1607415847588859,23:18,TheQueen V,@Joseph morning
1607415865718338,23:35,Quinton Ndzinisa,thanks
1607415878828300,23:47,Angelo Doubel,@Zinhle Big Daddy DEE GM
1607415879970941,23:49,Quinton Ndzinisa,board chairman
1607415886275415,23:56,Lebo Makatikela,morning every one and Big Daddy
1607415891100696,24:01,Joseph Mtshali,@ Valencia morning thnx
1607415893541855,24:03,Lerato Moleke,Howdy Joseph M and Kelly M
1607415898304014,24:07,hirsitus,ur welcome
1607415904494829,24:14,TheQueen V,@Lebo hi
1607415910100260,24:19,André du Plessis,"Ben the man who started cannabis capture in South Africa, and milked 'research' in the begining"
1607415922918159,24:34,SanFran Arnold,@Lebo Makatikela GM
1607415929060680,24:37,Zweli Mkosana,"Brian Molefe, Romeo Khumalo, Jimmy ( Asbestos ) Tau, Zizi Khodwa, dr Zweli Mkize, Paul Mashatile, Gwede Mantashe. the above mentioned must also appear to the commission."
1607415946285166,24:56,Andre Gerber,Ben is a arrogant B....rd
1607415955164634,25:05,Heather Durr,@moleke @Lebo Makatikela @Quinton Ndzinisa Morning fellow contributors
1607415981136859,25:30,ROYAL MEDICAL,jgn
1607415998686363,25:49,TheQueen V,@Zweli we will probably need a year or two more in order for everyone who needs to come account here. I wonder how they will be followed up if they don't appear here. will the just go on with life
1607416020229223,26:11,TheQueen V,@Andre 😁😁😁 chill
1607416021938866,26:12,Kelly Mpande,l u gud Lerato M
1607416042473984,26:33,TheQueen V,@Kelly it's only Lerato here?
1607416043864794,26:34,makhosi nobhatyi,Why this old so calmly today?
1607416060958676,26:50,Andre Gerber,@Valencia J 😂😂😂😂😂😂
1607416074264420,27:03,ALTA,Valencia GM
1607416080254118,27:10,Kelly Mpande,No like Lerato lol
1607416089408077,27:19,TheQueen V,@Alta hi hunny gaan dit goed?
1607416091277484,27:21,Angelo Doubel,The national lottery officers has been raided by the SIU
1607416103244405,27:34,André du Plessis,"@Valencia J - No I wont chill, Billions got lost in the cannabis research he oversaw, then he started trashing the SABC, and now Eskom"
1607416109068130,27:38,Lerato Moleke,"Am great @Kelly M😘, thanks"
1607416116560041,27:46,TheQueen V,@Angelo now only 🙄🙄
1607416127307349,27:58,Heather Durr,I thought Koko single handedly saved Eskom for 2 non sequential years
1607416167711763,28:37,Diane Louw,maybe he is calm cause he is not going to lie today and come clean - one never knows
1607416169292069,28:39,ALTA,Valencia ek nodig salusa 99😁😁
1607416185893630,28:56,TheQueen V,@Andre du Plessis I was actually talking to @Andre Gerber 🤷‍♀️🤷‍♀️
1607416191813017,29:02,André du Plessis,Ben Ngubande has a 20 year history of dodgy dealings and self enrighment
1607416222066937,29:31,Zweli Mkosana,"@ Valencia J, if not they must be arrested soon and explain themselves to the court of law. have ever arrived to a point where you just hope Covid-19 can do the job on these guys you know."
1607416232211591,29:41,ALTA,@Angelo Doubel yes i saw about the lottery
1607416255176099,30:04,Angelo Doubel,@Valencia J Eish 🤔 the former Hawks spoke person his organization received 3 million
1607416270559539,30:21,TheQueen V,"@zweli the public should arrest them and force to account, after all its our money"
1607416295419617,30:46,TheQueen V,@Angelo from the lottery?
1607416314720557,31:05,Angelo Doubel,@Alta the national lottery was also captured for many years
1607416317119449,31:07,Muntu Edmon,another liar
1607416336514523,31:26,Andre Gerber,@Heather Durr which years are you talking about
1607416354886680,31:45,Rob Nel,"79 year old MB ChB, why did he not stick to medical career? More money in politics?"
1607416370952042,32:01,Diane Louw,lottery commission is been investigate since 2014 dealings the siu said this morning
1607416371466241,32:02,Machoene B,Hi viewers..remind me of this man today ..its Tsotsi?
1607416376664323,32:05,Angelo Doubel,@Valencia J Yup he resigned from the hawks. I think 6 weeks ago
1607416382538882,32:11,Zweli Mkosana,"100% correct @ Valencia J, the masses of our country must deal with the accordingly."
1607416384969575,32:15,ALTA,@Angelo Doubel very true i do agree like fridays nrs 6 7 8 9 10🤐🤐
1607416391709442,32:21,Phuti Magwai,ka nnete corruption has been institutionalised. I am wondering what was so special and unique with Mr. Brian Molefe that ex-Minister Brown had the audacity to second Molefe to the position.
1607416405406162,32:34,ALTA,@Rob Nel GM
1607416410709657,32:41,Andre Gerber,Ngubane @Machoene B
1607416427666269,32:59,Precious Zara,@ALTA It was 5.6.7.8.9.10
1607416446970506,33:17,Angelo Doubel,@Alta 🤣🤣🤣. the love of money
1607416456655420,33:27,TheQueen V,@zweli and very soon people will be beyond gatvol and take matters on themselves. Our justice system is doing us no justice
1607416466477388,33:35,Machoene B,Oh thanx Andre
1607416471461125,33:40,SanFran Arnold,"@Machoene B Eskom related evidence from the former Eskom board chairperson, Dr Ben Ngubane."
1607416481984809,33:51,ALTA,@Precious Zara yip
1607416482348720,33:52,Zweli Mkosana,brown benefited financially from the leadership of Brian molefe and Ben ngubane
1607416497419891,34:06,TheQueen V,@Angelo omw this country need a complete cleanse from top to bottom. What is clean here? Everything seems tainted
1607416509790665,34:19,Lerato Moleke,"@Phuti M, he was a ""team player"""
1607416510905754,34:20,Heather Durr,@Andre Gerber The 2 years shown by Koko on the B/S when he gave his soliloquy on 3 December at the Commission-cant recall which years
1607416523697736,34:33,ALTA,@Angelo Doubel if only i knew🤣🤣🤣🤣🤣
1607416563898345,35:13,Angelo Doubel,"@Valencia J 🤣🤣. it all boil down to ""Greed"""
1607416580036326,35:30,Person of interest,Governments around the world need a reset. Oh wait... 🙄
1607416593658001,35:43,Simon James,Why is Lynne Brown not answering to teh Commission? It seems it was her idea all along.
1607416596548280,35:46,Emmet Emmy Makhuvele,😄 😄
1607416607295473,35:57,SanFran Arnold,"@Person of interest GM, Nov 2019"
1607416617744385,36:08,TheQueen V,Lynne brown is also a big liar
1607416621826090,36:11,ALTA,@Person of interest GM
1607416622761902,36:11,Person of interest,Lynne Brown coming
1607416623525418,36:12,Phuti Magwai,"Lerato M, a 'team player' neh? These people...."
1607416644350337,36:33,Andre Gerber,@Heather Durr if it was from 2015 there was 26 days of loadshedding in the 1st 3 months
1607416645288377,36:34,SanFran Arnold,@ALTA can you see me now?
1607416673359881,37:03,hirsitus,💰💰💰❤❤❤
1607416676388639,37:06,ralitza Gawises,🤣🤣🤣
1607416682277703,37:11,ALTA,@Sanfran Arnold yessss skattebol
1607416686853826,37:18,SanFran Arnold,Well done DCJ!!!
1607416699517953,37:29,Prns Chrmng,Joke! Hilarious
1607416709052230,37:39,Heather Durr,"@Andre Gerber I think it was 2017 and 2019, or 2016 and 2018"
1607416709642208,37:39,SanFran Arnold,Ambassador this is not a joke you old fool
1607416713805901,37:43,Prns Chrmng,Jokes*
1607416737202955,38:07,Lalitha C,"Lynne Brown, Anoj Singh and Brian Molefe need to come to the commission and answer the questions 🤔🤔🤔🤔"
1607416737898264,38:08,zip reeper,cryin' molefe
1607416742717303,38:11,Brian Hayes,every basket of apples has a written one inside
1607416749394095,38:19,Terrie Kagande,big daddy you are not from Joburg.
1607416760381341,38:29,ALTA,@zip reeper goeie more
1607416777009674,38:46,zip reeper,howzit alta
1607416795282561,39:06,Nandi Mntambo,Mr Seleka 's smile its going somewhere
1607416796345294,39:07,ALTA,@zip reeper ok jy
1607416805107541,39:14,Dan Brown,"I wish DCJ would take these okes a bit more seriously instead of the Jovial atmosphere, no wonder they think they can get away with lying and stealing with this Jocular atmosphere."
1607416812535254,39:21,zip reeper,molefe from the rosebank shebeen
1607416813274131,39:22,Diane Louw,for sure Nadi Mntambo.....
1607416823954079,39:34,MOLLY PHUNGULA,i am attending JUDGE HLOPHES CASE
1607416844473945,39:54,Russia Magezi,I like Seleka's line of questioning today
1607416851437546,40:01,Rita,@ dan brown..i agree
1607416852223361,40:02,SanFran Arnold,"@MOLLY PHUNGULA great, hows it going?"
1607416852417924,40:02,Angelo Doubel,@Zip reeper GM
1607416873484709,40:23,zip reeper,"dan, ben can continue his jokes from behind bars"
1607416897123557,40:47,Zinhle Big Daddy Dee,Its jamming
1607416925629211,41:15,TheQueen V,hlope case also on tv
1607416943451506,41:32,SanFran Arnold,Salim is always at the centre of all these big looting schemes.
1607416963718163,41:52,Precious Zara,@Zinhle Big Daddy Dee I am looking for a Model with your profile. Are you interested?
1607416979035608,42:08,Stand for Truth with Khustaz,@SanFran Salim is the mastermind
1607416979134146,42:08,hirsitus,Curry lovers
