timestamp,time,author,message
1613731168275826,-1:24:20,WareWolf,And then?
1613734461428982,-29:26,Diane Louw,should be either from WC or even Judge Mogoeng Mogoeng as new President of South Africa!!!
1613734956713003,-21:11,Heather Durr,"@Diane Louw Hi there, If he keeps his creepy ancestral 666 vaccine poison and medicinal herbs to himself then I suppose so"
1613735341877165,-14:46,WC,What did I miss ? 
1613736056740627,-2:51,Ndumie Ndlovu,Andile Lungisa future President
1613736092886995,-2:15,Barbara Sattler,you must be joking
1613736094143566,-2:14,Diane Louw,3
1613736108926902,-1:59,Martha Sello,Minister Ronald Lamola for President
1613736158671571,-1:09,Ndumie Ndlovu,🤪
1613736185609482,-0:42,Diane Louw,lol Barbara who do you nominate then
1613736188087002,-0:40,Diane Louw,hi heather
1613736194726814,-0:33,Pastor J.J,Ali Baba 4 President
1613736197755401,-0:30,Diane Louw,hi martha
1613736213395891,-0:14,Diane Louw,got everyone awake i see lol
1613736217247302,-0:11,Martha Sello,hi Diane
1613736217961374,-0:10,Diane Louw,hi pastor JJ
1613736221265158,-0:07,Akhonamandla Gala,"afternoon everybody, who is drinking tea with the Chair today?"
1613736255711058,0:16,Ndumie Ndlovu,Aaaaaceeee!!! Aaaaaaceee!!! Aaaacee!!
1613736257538339,0:18,Diane Louw,lol Akhonamandla Ms Daniels
1613736292256968,0:54,Julie Petersen,yes. Adv Seleka
1613736302244604,1:04,Diane Louw,wandering how the 3rd tea party went this morning
1613736310378029,1:11,Diane Louw,hi Julie
1613736358576392,2:01,Celeste Breytenbach,@Martha Sello Yes Lamola for President!!!
1613736363629330,2:06,Diane Louw,sound plse
1613736367473301,2:09,Diane Louw,hi celeste
1613736381361902,2:23,Celeste Breytenbach,Was there a session this morning?
1613736391912827,2:32,Lerato Moleke,"Afternoon everyone incl. @Ndumie, I see you still have your fiery steam from this morning "
1613736398953667,2:41,Celeste Breytenbach,Hi Diane 🙌
1613736405657869,2:46,Diane Louw,no celeste there was not
1613736414620222,2:55,Ndumie Ndlovu,"honestly speaking I'm disappointed in Zondo, I trusted him that he will leave no stone unturned but the Molefe ""corona"" stance puzzles me"
1613736416010892,2:57,Stix Mtolo,Greetings peeps 👋
1613736419293263,3:00,Diane Louw,hi lerato
1613736432640640,3:15,Diane Louw,/where is ms daniels zooming from
1613736436000265,3:18,Diane Louw,hi stix
1613736442953479,3:24,Pastor J.J,@Stix Mtolo Heita Bra
1613736466774896,3:49,Stix Mtolo,@ Diana Louw 🌹
1613736483402423,4:04,Akhonamandla Gala,@Diane Louw thanks
1613736483690549,4:04,Stix Mtolo,"@Pastor JJ, Holla bro"
1613736486716886,4:08,Ndumie Ndlovu,Awuuu Zondo refused the Guptas to testify via link from overseas but Daniels is allowed🤔🤐
1613736506045834,4:29,Sérgio de Matos,"In Soweto, Overseas Shebeen!!!!!!"
1613736515638492,4:37,Martha Sello,what is she doing overseas? ran away 😂
1613736536668378,4:59,Heather Durr,@Stix Mtolo @Pastor J.J @Lerato Moleke 
1613736540195988,5:01,Diane Louw,hi sergio f
1613736540742239,5:02,Kevin1,@Diane Louw it may be USA as they said it is in the morning where she is at moment
1613736560006496,5:21,Stix Mtolo,@Heather Durr 👋
1613736590987943,5:52,Pastor J.J,@Heather Durr Greetings Dearest Heather
1613736595111351,5:55,Stix Mtolo,"@Akhonamandla Gala, Mhlekazi"
1613736683782493,7:25,Diane Louw,oooo another avadavat earlier this morning.
1613736726293068,8:06,Lynn Barnard,Hello everyone
1613736728798149,8:10,Akhonamandla Gala,"@Stix Mtolo mhlekazi wam, mandidlulise omkhulu umbuliso ongazenzisiyo👊, ndiyakholwa kuyacengeka kwelocala"
1613736738942167,8:20,Diane Louw,hi lynn
1613736750075498,8:30,Kevin1,@Diane Louw oh ok - then ??
1613736751452827,8:32,Pastor J.J,@Lynn Barnard Greetings Dearest Lynn
1613736793991726,9:15,Martha Sello,@Celeste I think he's the only one who is still honorable so far!
1613736804192172,9:26,Diane Louw,i might be wrong Kevin but i thought due to covid we were one of the countries not allowed entry to USA ....
1613736811294955,9:33,Aubrey De Bliquy,95 waiting or is my chat window 10 minutes late?
1613736840245167,10:02,Diane Louw,845 watching now hi aubrey
1613736843505248,10:05,Stix Mtolo,"@ Ndumie Ndlovu, calm down"
1613736902733871,11:04,Aubrey De Bliquy,"@Stix Mtolo Thanks, I think my video must be stuck on 85 waiting thanks let me reset"
1613736908739217,11:10,Stix Mtolo,DCJ please treat EL with respect today
1613736933925372,11:35,Lerato Moleke,"So madam is unemployed but can afford to chill overseas, jah neh "
1613736956468611,11:59,Dee Bee,"shame Stix, I agree"
1613736959209082,12:01,Cruda Bex,"@Pastor JJ ,please pray for South Africa"
1613736961606420,12:04,Diane Louw,hmmm
1613737002418699,12:43,Aubrey De Bliquy,"Oh, I thought they were 10 minutes late but it was me. When did it start? 2pm sharp?"
1613737005711114,12:47,Martha Sello,@Lerato that exactly my point what is she doing overseas?
1613737033510207,13:15,Pastor J.J,@Cruda Bex I have already broken the Guinness World Record doing just that Bra. Thanks to the ANC I am now a Record Holder. Greetings Cruda
1613737037980947,13:19,Stix Mtolo,"@ Lerato Moleke, I guess she's looking for a place to to hide when the heat hits the fan"
1613737055237504,13:38,Ndumie Ndlovu,@Akhonamandla Gala no tell me if he didn't deny Guptas the opportunity to testify?
1613737069982239,13:53,Akhonamandla Gala,@Stix Mtolo le uZondo ayimva tu uAdv Seleka ingathi ngumntu lo owake wamtyela before. Jonga ngoku ufuna umsokolisa nge page numbering
1613737087538843,14:09,Stix Mtolo,"@Styx Ndlovu, 🤔"
1613737105589231,14:27,Heather Durr,I think I heard she is in the UK due to COVID regs but before you jump on me I dont know
1613737118585167,14:40,Ndumie Ndlovu,Guptas are at the centre of this commission but Mis Daniels is allowed to testify all the way from overseas 👿
1613737120112442,14:42,Shirley Tilley,Greetings all
1613737130675136,14:52,Julie Petersen,in Los Angeles
1613737135277715,14:57,Diane Louw,hi shirley
1613737144986749,15:06,Aubrey De Bliquy,"@Martha Sello I would be overseas if I were her. THis is not going to end well for someone. Either us, or those who are complicit even in error."
1613737164789402,15:25,styx ndlovo,@Lerato Moleke You never know
1613737195616470,15:58,Lerato Moleke,Wena @Akhonamandla & @Stix - ORDER 
1613737201974489,16:03,Shirley Tilley,"Has she died her hair, looks nice"
1613737208668179,16:10,Julie Petersen,dcj just said certificate of authentication signed in LA
1613737224951496,16:27,Tommygun,@Ndumie Ndlovu Are you telling us the Guptas would love to testify and give their side of the story but they are being denied?
1613737229972621,16:33,mathys botha,i think the guptas need to be here for more than testifying
1613737236758596,16:37,Cruda Bex,Free state university is developing corruption vaccination
1613737241311214,16:43,Heather Durr,DCJ it takes you more time doing this than the IT guys-will you adjourn after 30 minutes
1613737242251310,16:44,Diane Louw,lol shirley said to myself earlier she is showing grey ...
1613737245160709,16:47,Stix Mtolo,"@Lerato Moleke, what have we done my queen"
1613737293818959,17:36,Akhonamandla Gala,@Ndumie Ndluvu so you are here to support the Guptas? lol #shocking
1613737294079996,17:36,Diane Louw,yes he just said it too in LA
1613737298195214,17:41,Ndumie Ndlovu,@Tommygun yes they did ask to testify and Zondo refused because they were not in SA but look what is happening today
1613737306884787,17:47,styx ndlovo,Hello Carl. Saw you were busy this morning@Ndumie Ndlovu 
1613737316090363,17:57,Lerato Moleke,@Stix - that dcj & seleka comment has been noted and I’ve taken a pic of it - going to post it on SC Twitter account 
1613737320537420,18:03,Shirley Tilley,Diane Louw two tone 😀
1613737327287422,18:08,Akhonamandla Gala,@Lerato Moleke Greetings 🤗
1613737344264073,18:25,Stix Mtolo,"Anyone seen a pic of Salim Essa,"
1613737367378693,18:49,Pastor J.J,@Catherine Dillon Why not
1613737375643712,18:57,thembisa odendaal,they are trying to throw them off with the english then by sheer technicality her evidence will be null and void
1613737377365846,18:59,Lerato Moleke,Haai don’t greetings me wena naughty @akhonamandla
1613737394261543,19:17,Diane Louw,not me stix
1613737394703817,19:17,Pastor J.J,@Stix Mtolo Same Pic of a Pig at the trough. No difference
1613737417765717,19:38,Lalitha C,@Stix Mtolo I'm also curious to see Salim Essa 🤔
1613737427410582,19:48,Ndumie Ndlovu,@styx Ndlovo angazi ukhuluma ngani bhuti
1613737440696095,20:02,Stix Mtolo,"@Pastor JJ, out of order 😂"
1613737448808183,20:10,Akhonamandla Gala,"@Lerato Moleke 😂haibo Sisi khawusimele ngochuku, yhini ngoku ndikubulisa kamnandi kangaka"
1613737449495082,20:10,Chef Cee Gee,Hello Lerato Moleke 
1613737536887378,21:40,Ndumie Ndlovu,@Akhonamandla Gala no I'm not supporting the Guptas but I'm waking those who say Zondo is not bias
1613737538238034,21:41,Chef Cee Gee,Nooooo Lerato . Im me .. 
1613737586695171,22:28,Teunis van Ree,"Seleka, please add 'Correct?' if you want the witness to reply..."
1613737587007779,22:28,Lerato Moleke,Ok I believe you @Cyril 😊
1613737597177722,22:38,Arthur Mashigo,@Ndumie Ndlovu. The time the Guptas applied was in the beginning of the commission . Maybe they should try now and see if their request will be rejected.
1613737601445504,22:42,Diane Louw,hi teunis
1613737609374753,22:51,Stix Mtolo,"@ Ndumie Ndlovu, please come this side of the river the water is clean"
1613737618815385,23:00,Pastor J.J,@Teunis van Ree Greetings Prof
1613737619855671,23:01,Chef Cee Gee,Enkodier Lerato 
1613737632944447,23:15,Teunis van Ree,hello @Diane Louw 🌹
1613737633156111,23:15,Justin Damons,looks like you gonna fly a plane Ms Daniels. hopefully you land tmon the truth this time ✈
1613737633457146,23:16,Heather Durr,@Teunis van Ree Hi there
1613737650009777,23:30,Teunis van Ree,hi there @Pastor J.J
1613737668594765,23:51,Teunis van Ree,hello @Heather Durr 🌹
1613737675644758,23:57,styx ndlovo,Lol @Stix Mtolo 
1613737681024251,24:03,Ndumie Ndlovu,@Arthur Mashingo no thank you.. your Ship is slowly sinking
1613737685307154,24:06,Stix Mtolo,"@Justin Damons, 😂"
1613737693364969,24:15,Akhonamandla Gala,@Stix Mtolo lol please sort Ndumie out for us
1613737705109650,24:25,Blake Yogi,@Justin the Lord knows its true
1613737709849479,24:32,FieliesSA,Hey all. Who is this lady?
1613737745226133,25:07,Lalitha C,@Mdumie what makes you say Zondo is biased??
1613737745995876,25:07,Diane Louw,is her back of the hair blonde???
1613737753709880,25:16,Pastor J.J,@FieliesSA Suzanne Danielsa.k.a Cuz Suzie
1613737762450913,25:23,Ndumie Ndlovu,@Arthur Mashingo what's the difference then and now?
1613737763598372,25:25,Andre Gerber,"Hi all, any fire yet"
1613737767235270,25:29,thembisa odendaal,her name is Suzanne Daniel's Kokos snitch
1613737770664311,25:32,Lerato Moleke,Heya @FieliesSA it’s thee Suzanne D
1613737781582616,25:42,Herbert Tucker,You’ll people supporting the thieves you’ll going to eat grass like Zimbabwe 
