timestamp,time,author,message
1610453905308456,2:38,Ricardo Abrahams,M..
1610454147454381,6:42,zip reeper,"2015 was a very lean year financially, romantically"
1610454188029277,7:22,ALTA,@zip reeper jou lunch enjoy😁
1610454194630594,7:28,Sal SA,Chats not showing on my side
1610454211417028,7:44,Sal SA,Ok fine now
1610454214678839,7:47,zip reeper,"alta, soya sauce and rice"
1610454228463643,8:02,Diane Louw,i cant remember eisch
1610454244964609,8:19,ALTA,@Sal SA i greeted you but you did not greet back
1610454264064036,8:38,zip reeper,"alta, anything beyond that sarmie?"
1610454276123359,8:49,mafuta,"yip, selective amnesia is a wonderful thing to possess"
1610454283351620,8:57,ALTA,@zip reeper lekker lekker dis heerlik
1610454308428330,9:23,Sal SA,"@ALTA. Sincere apologies sis, was not intentional. Hope u well"
1610454328857888,9:42,Diane Louw,thought ms daniels took minutes
1610454353876792,10:07,Heather Durr,Here we go 'I dont recall'
1610454360537713,10:13,ALTA,@zip reeper im making cottage pie now
1610454396850019,10:50,Diane Louw,had homemade chicken soup - im a soupaholic even in this heat
1610454443209282,11:37,Moonchild,There is so much background noise! That's why these people should appear in person.
1610454447243639,11:40,Sal SA,There's definitely a buzz
1610454464005295,11:58,zip reeper,"di, soup is for patients! 😁"
1610454467583372,12:00,Diane Louw,sounds like someone building
1610454468704154,12:02,lunga zazini,We can hear her clearly
1610454479817596,12:13,sammy sammido,Now its very better
1610454490093274,12:23,ALTA,Kerry hi there
1610454498527976,12:31,sillky silk,hello
1610454508474082,12:42,Lerato Moleke,"@Lunga, you are not a transcriber 😂"
1610454508494511,12:42,Minnib Prince,@Alta...I just bought mince for dinner's cottage pie..lol
1610454508953620,12:42,American Nomad News,salon
1610454510533453,12:44,Moonchild,Hi @ALTA 🙂 hope you had a Happy New Year!
1610454512938837,12:46,ALTA,internet very weak
1610454519268968,12:52,American Nomad News,salaam
1610454521446173,12:55,Louis C,Only in Africa
1610454568832186,13:43,ALTA,@Minnib Prince snap😁😁great minds
1610454599455369,14:14,ALTA,Kerry yes hope you as well my dear friend
1610454607539904,14:21,American Nomad News,what is State capture?
1610454619850569,14:34,lunga zazini,:virtualhug:
1610454625362350,14:39,Louis C,@S V I Dr Nteta a real Mother of Invention
1610454641512475,14:55,Heather Durr,Hurry up MAKE UP YOUR MIND Jeez
1610454654497805,15:09,Diane Louw,where is mr koko legal team
1610454668893751,15:23,TheQueen V,so koko won't testify today
1610454676859913,15:30,American Nomad News,what is this?
1610454692786526,15:47,TheQueen V,@Nomad are you from SA?
1610454708742449,16:02,American Nomad News,United States of America
1610454716583627,16:10,Hosia Modiga,Im here for Koko
1610454730670629,16:25,mandisi ntauzana,Koko(ta piano)
1610454732790489,16:27,TheQueen V,@Nomad oh no wonder you are asking this 😂😂😂.
1610454733635468,16:28,zip reeper,Sa soap opera about probe into state capture
1610454763463884,16:56,American Nomad News,so this is political entertainment like we have in the US
1610454789389508,17:23,ALTA,@zip reeper want some cottage pie
1610454794674393,17:28,Sal SA,"@American Nomad News. Its when the government is controlled by external forces, individuals and/or companies to benefit from doing business with the state. Put simply"
1610454795299381,17:29,zip reeper,yes but the top crooks like cyril are scarce
1610454804400844,17:38,Louis C,@ALTA Ek like cottage pie. Met baie kaas
1610454810187944,17:43,Zingelwayo Mangena,"Indeed, bring Koko and Montana"
1610454813326239,17:46,zip reeper,alta yes pse
1610454816125121,17:49,Heather Durr,HURRY THE F****UP
1610454825073963,17:59,TheQueen V,@nomad yes and no.... yes some may find it entertaining and some don't believe in it at all. For others it's important and imperative to get to the bottom of the rot that happened for the past years
1610454831820670,18:06,American Nomad News,yes like when Twitter blocks Trump because Trump makes decisions that don't go in line with Twitter
1610454851880677,18:26,mandisi ntauzana,Chair doesn't want Koko today
1610454862831503,18:37,ALTA,@Louis C presies dit moet smelt in mens se mond
1610454873469676,18:47,Sal SA,Definitely not like Trump n Twitter Nomad
1610454874280740,18:48,Heather Durr,You take up all the time talking jeeeez
1610454876526138,18:51,Diane Louw,i think chair wants more info from dr nteta
1610454885797507,18:58,American Nomad News,who is Coco sorry voice recognition Koko?
1610454886328624,18:59,S V 1,"@Louis C dr. Nteta "" call any vegetable "" FZ"
1610454897021091,19:10,ALTA,@zip reeper special for you😁
1610454914444983,19:28,TheQueen V,seleka has bad time management for real
1610454928668207,19:42,American Nomad News,maybe Trump is not so different from what is happening there only the what you are told by the media that are owned by the people who want to control the world without the will of the people.
1610454931300786,19:45,Koena Boity Sherif,eix this lawyer again
1610454932292797,19:46,Lerato Moleke,Koko's 'Mr Mbanjwa' with his usual drama 
1610454949750222,20:04,Moonchild,This Mr Barry attorney of Koko's is the most unpleasant individual - rude & disrespectful!
1610454962619138,20:17,Minnib Prince,ooooh no not this one again
1610454979123864,20:33,Diane Louw,ditto minnib and kerry
1610454994189743,20:48,Heather Durr,Just hurry up-you are wasting time
1610455003152578,20:57,ALTA,@Minnib Prince 😁😁
1610455018362186,21:12,Pastor J.J,We had bad trolls before lunch and Mr Barry after lunch. How much more can we be punished today
1610455033301455,21:26,Lerato Moleke,"@Kerry & Koena - Koko likes him so much, he even threatened to block someone for calling his legal counsel 'an emotional drunkard'"
1610455040377150,21:33,Heather Durr,This disgusting attorney-like Ace and my ex-mate Hodes
1610455071680595,22:05,Anne M.,@Lerato Moleke Agree. He can be civil and argue his case without all the drama.
1610455073976123,22:08,ALTA,very rude adv
1610455090991656,22:25,Dylan Jacklin,"@Pastor J.J I just joined, has Koko taken the stand at all today?"
1610455103545679,22:37,Sal SA,He's standing Nomad
1610455118559406,22:52,Herb Tuck,The pale one is the lawyer 
1610455139271732,23:12,Anne M.,@Pastor J.J Looks like not enough punishment today 😀
1610455148173781,23:20,Pastor J.J,@Dylan Jacklin Straight after the current witness. could be at least in an hour or so
1610455149726662,23:22,Sal SA,Red tie is the attorney Nomad
1610455161311509,23:35,Heather Durr,You forgot the American troll @Sal SA 
