timestamp,time,author,message
1614320208926486,-1:48:48,Ndumie Ndlovu,why Tsotsi coming when there's Molefe
1614320233450914,-1:48:24,Ndumie Ndlovu,Tsotsi must right an Affidavit
1614323270825243,-57:47,John Everitt,A Somewhat Harsh Observation : After Watching Yesterday's Proceedings; Its Unfair To Ask Elderly; Learned Mr. Soni To Perform For Hours On End .. He Became Heavily Fatigued and Made Several Mistakes !
1614325936843743,-13:21,zip reeper,where are the wags with their bons mots this morning
1614326227102460,-8:30,Moonchild,Morning 🙂 
1614326350258578,-6:27,Kevin1,GM all
1614326384398101,-5:53,khuthadzo moji,who is taking stand today?
1614326516266050,-3:41,Kevin1,"former Board Chairperson at Eskom, Mr Zola Tsotsi"
1614326518887131,-3:39,Heather Durr,@Kevin W @zip reeper Hi there
1614326520386372,-3:37,Moonchild,Eskom-related evidence today
1614326520387844,-3:37,Teunis van Ree,Tsotsi
1614326521293144,-3:36,Shirley Tilley,Greetings
1614326540274283,-3:17,Teunis van Ree,hi there @Heather Durr 🌹
1614326542780942,-3:15,Kevin1,@Heather Durr Hi H
1614326569256353,-2:48,Teunis van Ree,hello @Kevin W
1614326586946902,-2:30,Teunis van Ree,hi @Moonchild
1614326606318011,-2:11,Heather Durr,@Teunis van Ree Hi there @Kevin W How do you know that H is my nickname with colleagues
1614326682903593,-0:54,Moonchild,GM @Teunis van Ree 🙂 
1614326695849632,-0:42,khuthadzo moji,thanks Kevin
1614326844344659,1:40,Ngwetoh Wanka,Watching from Los Angeles California 00:06am 26 February 2021.#ZONDO 
1614326866263128,2:02,khuthadzo moji,so the commission is done with SAA?
1614326899311623,2:35,Moonchild,"@Ngwetoh Wanka - wow, welcome! You obviously need some excitement there 🙂 !"
1614326911079845,2:47,Kevin1,@Heather Durr just use H as i am lazy to type your looonnnggg name (lol)
1614326931413062,3:07,zip reeper,"heather, howzit"
1614326934168304,3:10,Lerato Moleke,Greetings All
1614326950922269,3:27,zip reeper,mowing the lawn this morning
1614326951794827,3:27,Kevin1,@Teunis van Ree Hi Teunis
1614326964125857,3:40,Anne M.,I don't think so @khuthadzo moji . I think there are still a couple of witnesses for SAA.
1614326965072770,3:41,Arthur Kona,DCJ must make recommendations about what punishment for those who are found guilty for deliriction of duty. Problem is that there is no consequence management for inaction or unlawful action
1614326982937583,3:59,Kelly Mpande,Morning gud ppl
1614326986344724,4:02,khuthadzo moji,ohk thanks Anne M
1614327016179390,4:32,Heather Durr,@Kevin W That is one heck of co-incidence. Kept me up at night 🙂
1614327017672217,4:33,Kevin1,Pleased Adv Seleka is back - i like him
1614327024207062,4:40,Previous Nkopodi,Morning everyone
1614327025132849,4:41,Stix Mtolo,Greetings to all
1614327049016058,5:04,Previous Nkopodi,Stix mkanami
1614327055125667,5:11,Victor,He hasnt been sworn in
1614327059980898,5:16,Previous Nkopodi,@Lerato Moleke 'Mommy
1614327091597940,5:47,Heather Durr,Morning all bunnies-is the aircon off I see the hunky EL wiping his brow
1614327111510742,6:07,Stix Mtolo,"@Previous Nkopodi, GM bro."
1614327186522395,7:22,Pardon Tshepo,Gud morning i am happy to see my best Mr Seleka
1614327205532917,7:41,Jabu Malinga,Seleka... the 1 who sent Anoj Singh a summons which was not legal or binding
1614327240585921,8:16,ma baker,GM
1614327248161909,8:24,Pardon Tshepo,Lol plz leave my best Mr seleka
1614327273454731,8:49,Moonchild,I like Mr Seleka too but I do like all the EL's though 🙂 
1614327278084410,8:54,Heather Durr,@Anne M. Hi there-Kate will be back-I watched Gorillas in the Mist and Kate looks just like Sigourney Weaver and has the personality of Weaver in the Sci Fi movie Alien
1614327278649523,8:54,Maboko S,Greetings everyone
1614327306528822,9:22,MUSA HLUNGWANI,Is Salem Essa ever gonna testify? Is he in the country or he also ran away?
1614327307321360,9:23,Lerato Moleke,And now DCJ speaking in low tones - trying to be sexy on a Friday morning 
1614327375005728,10:31,hirsitus,@Lerato Moleke 😂
1614327379599981,10:35,Jabu Malinga,"all d crooks should be in jail, not waiting to com sit n talk ter versions in d commision..the question should be, why r all these fraudsters n crooks not locked up"
1614327417878121,11:13,Maboko S,@Lerato Moleke 🤣🤣he doesn't want to upset people on a Friday 😜
1614327428437986,11:24,Inno inno,Ao Lerato!!😂😂😂😂
1614327437371464,11:33,Maboko S,He's playing it cool
1614327448646502,11:44,Rubin Naidoo,"@Lerato , send him some Barry White music later this evening. "
1614327452796528,11:48,Previous Nkopodi,The fall of ANC will be the greatest
1614327458414664,11:54,Bongani Nkabinde,@lerato Moleke mara keng ka wena 😂😂😂
1614327459734959,11:55,Teunis van Ree,hi @Lerato Moleke 🌹
1614327472579855,12:08,Gavin Kroutz,Where`s Kate Hofmeyer?
1614327524350582,13:00,Lerato Moleke,Greetings @Teunis😊
1614327525911531,13:01,Aidan Sanders,Hello Jacob 
1614327555898286,13:32,MUSA HLUNGWANI,Gavin you’ll only see Kate during SAA matters 
1614327557016179,13:33,Gracia Lebepe,Am glad to finally join the family
1614327571095995,13:47,Lee D. Hendrix,"...All foreigners and non compliances must comply with the Constitution and revocation of citizenship , and all assets forfeited. "
1614327580828527,13:56,Moonchild,"Poor DCJ, he must be absolutely exhausted, having to listen to this huge amount of evidence for 3 years & then know the intimate details of every workstream. "
1614327584164355,14:00,Joyful Technologies,hi
1614327597077504,14:13,kevindbn007,sound?
1614327598514339,14:14,Gavin Kroutz,Thanks Musa.
1614327649517144,15:05,Walter Moloto,@Gavin there is about 9 streams in this commission no every stream has its own Evidence Leader so Kate is on SAA stream which is left with about two witnesses to wrap up
1614327661759697,15:17,Gavin Kroutz,Tsotsi looks extremely nervous.
1614327662037612,15:18,hirsitus,Adv Sloooow Poison 
