timestamp,time,author,message
1610437624392004,-15:41,FieliesSA,Hi all
1610437806207919,-12:39,Anthony Ramasike,Hi
1610437840832445,-12:05,Heather Durr,"Hi, we are going to have sooooo much fun today"
1610437907233554,-10:58,Teunis van Ree,Hi there @Heather Durr 🌹
1610438004088113,-9:21,Pastor J.J,Blessed Greeting Dearest Friends. Have an amazing day.
1610438006125942,-9:19,FieliesSA,@Heather Durr I agree. I hope it stays quiet here at work 🙂
1610438033640067,-8:52,Teunis van Ree,Would like to see Seleka's junior again. She's glowing!
1610438089003236,-7:57,tonia lathwood,What’s happening today friends 
1610438153886235,-6:52,s'celo Mundau,Hi guys
1610438213977692,-5:52,FieliesSA,"@tonia lathwood We (or atleaestI), am here to see Koko sweat"
1610438267298255,-4:58,tonia lathwood,Yes please. I miss Kate hofmeyr. When will she be back on 
1610438319438512,-4:06,FieliesSA,"When SAA is back, then Kate is back...Not for the week atleast"
1610438416546477,-2:29,Lerato Moleke,A fruitful & blessed day to all
1610438425178592,-2:20,Heather Durr,@Teunis van Ree @FieliesSA Hi there
1610438476864038,-1:29,Heather Durr,Selekas' junior was gorgeous
1610438495328358,-1:10,sandy aitken,hope to see some action today:):)
1610438514476422,-0:51,Mntase,"Happy new year to everyone. We're back, well fed after Christmas and ready for some justice pudding. Yum yum"
1610438516760445,-0:49,Peter Lukas,Eskom looters are back this week
1610438533450211,-0:32,Sal SA,"@Tonia. Matshela Koko, Eskom work stream testifying"
1610438543761804,-0:22,Lerato Moleke,"Eish, I was twiddling my fingers on Seleka's behalf yesterday for being late"
1610438581728038,0:03,Heather Durr,"We have the Oscars of looters this week-Anoj Singh, Brian Molefe?, and one other"
1610438630214297,0:53,Sal SA,Yeh Adv Seleka on time.
1610438635090633,0:59,Kelly Mpande,Morning everyone
1610438647670530,1:11,Kelly Mpande,Morning to crush Lerato
1610438684061998,1:47,Lerato Moleke,Happy ChooseDay Kelly 💐
1610438740124006,2:44,Heather Durr,Oiii DCJ is on a mission
1610438746368463,2:50,Sal SA,DCJ is 9n fire today 🔥
1610438752049739,2:57,Sal SA,on
1610438802890882,3:47,Louis C,DCJ grumpy
1610438804791708,3:48,Heather Durr,oh dear poor Koko
1610438847889844,4:31,ALTA,@Louis C more
1610438861593278,4:46,Lerato Moleke,"Yooh, DCJ didn't have five roses tea & choice assorted biscuits this morning - it's rough"
1610438867880967,4:52,ALTA,@Heather Durr hi
1610438870077639,4:54,FieliesSA,he is tired of wasting precious time. 2 days no smooth commision
1610438877321337,5:01,Heather Durr,@ALTA @Lerato Moleke Hi
1610438896384358,5:20,Salmaan Abrahams,Morning ppl
1610438897274914,5:21,Louis C,Hallooo@ALTA 
1610438899752656,5:23,ALTA,@Teunis van Ree hi
1610438915247565,5:39,Martha Sello,DCJ looks and sound very grumpy
1610438923996630,5:47,ALTA,@Louis C happy New year 😁😁😁
1610438926607420,5:50,Sal SA,Support staff must get their act together. It reflects poorly on the commission
1610438928380574,5:52,Salmaan Abrahams,Who is on the stand today ?
1610438951830873,6:17,Lerato Moleke,Heya Heather - I did greet when I joined the chat a few mins ago
1610438952868729,6:18,melds melds,"Hello everyone, hope you are all well!!! Happy New year to all of you and may this year be a smoother ride than the last one!!!!"
1610438988739480,6:53,Louis C,@ALTA Dankie jy ook. Is jy nog in jou Pajamas ?
1610439005430662,7:10,TheQueen V,moooooorning 😍😍😍
1610439012051124,7:16,Sal SA,@Salman. Salaams n hope u well. Dr continuing from yesterday n later Koko
1610439028830490,7:32,Heather Durr,@Sal SA Hi-DCJ expects them to know that he wants to be told what the consequences of his requests are
1610439029774327,7:33,Lerato Moleke,"Thank you @Melds. I suspect 2020 took a shower, put on a weave and came back as 2021"
1610439032060149,7:36,melds melds,Does anyone know if the commission was granted an extension?
1610439032812108,7:36,ALTA,@Louis C hoe het jy geweet😂😂😂😂
1610439045611363,7:48,Salmaan Abrahams,Wslm @Sal SA 
1610439065876686,8:08,Salmaan Abrahams,I’m here for koko 😂
1610439072451790,8:15,melds melds,"@Lerato Moleke hahahaha, nooooo hehehehe"
1610439076342579,8:21,ALTA,Valencia hi hi
1610439090988463,8:35,Heather Durr,"@melds melds Yes to June, an extra 3 months. I was so scared of a level 4 lockdown and no Zondo"
1610439104851693,8:49,Heather Durr,@Valencia J Hi
1610439110869141,8:55,Gerard Victor,Are the thieves being lined up this week?
1610439122047849,9:06,ALTA,@Heather Durr and we can smoke😁😁😁
1610439126332830,9:11,Louis C,@ALTA Siener vanRensburg
1610439127062782,9:12,melds melds,"@Heather Durr yay! Thanks, can you imagine......He has actually covered so much already"
1610439130367090,9:15,Sal SA,@Heather. Hi hope u well. Definitely n the witness must be able to see him. Crazy
1610439133704537,9:18,Salmaan Abrahams,Yes ; their pockets @gerard
1610439145173618,9:30,ALTA,@Louis C 😂😂😂😂
1610439149530761,9:34,Heather Durr,@ALTA I am delighted for you muah
1610439152084769,9:36,Pastor J.J,Let the fun and games begin........
1610439155657170,9:40,Santa Kriel,hi EVERYBODY! Hope you all have a blessed 2021
1610439162000484,9:45,Gerard Victor,Waiting eagerly for the Showerhead
1610439171341770,9:55,Salmaan Abrahams,Dagse pastor
1610439174622467,9:58,Herb Tuck,When are we going to get the vaccine in South Africa end of the year
1610439177788317,10:01,ALTA,@Santa Kriel hi there
1610439180904978,10:04,melds melds,I am just glad I am not the one drafting the final commission report
1610439184246746,10:08,Sal SA,@Salmaan. Yeh me too:goodvibes:
1610439189624219,10:12,Pastor J.J,@Salmaan Abrahams Greetings bro
1610439217191546,10:42,corrie ferreira,môre almal
1610439228666512,10:52,Heather Durr,MOST IMPORTANT-Tomorrow I turn *0 having been born on Friday 13th January. All gifts will be welcome
1610439233312227,10:59,Salmaan Abrahams,Pastor why am I still not part of the WhatsApp group
1610439241431608,11:05,ALTA,corrie ferreira more
1610439247534299,11:11,Sal SA,@Pastor. Morning. Hope u n the family are well.
1610439256768938,11:20,Salmaan Abrahams,Do I need to be a mason first 🧐
1610439261813257,11:25,Heather Durr,@Pastor J.J @mpho mcmillan Hi there
1610439271642598,11:36,Vusi Nkosi,who is being braaid today
1610439280494690,11:44,Pastor J.J,@Salmaan Abrahams You needed to send me the email with your details to be included bro
1610439293228656,11:56,Teunis van Ree,Hi @ALTA 🌹
1610439298745764,12:01,Salmaan Abrahams,Please give me the email I’ll do it now 
1610439305658632,12:10,Pastor J.J,@Sal SA @Heather Durr Blessed greetings to you too
1610439308495627,12:12,Manelisi mnguni,TRUMP 2021 👌 👌 👌
1610439309521876,12:14,Teunis van Ree,Hello @Valencia J
1610439315498370,12:19,Singi Mathebula,morning mzanzi and compliments
1610439321375450,12:25,Heather Durr,@Manelisi mnguni He is coming this week-be calm
1610439324666999,12:28,TheQueen V,so did the concourt say anything about Zuma having to testify yet?
1610439327036832,12:31,Diane Louw,morning morning housework done and supper cooking so im ready for fireworks
1610439336759103,12:40,Teunis van Ree,🌹🌹
1610439337877864,12:41,melds melds,"@Manelisi mnguni he does not have a choice, if he has been summoned by the commission, why they all scared to come tell us their truth???"
1610439351366848,12:55,Heather Durr,@Diane Louw Hi there girlfriend
1610439354795041,12:58,ALTA,@Diane Louw hi there
1610439360051104,13:04,Person of interest,here we go fellow-suffers! Greetings and salaam from KZN 🎶🎵
1610439362470834,13:06,Herb Tuck,Four more years for trump
1610439364543845,13:08,Diane Louw,"hi heather, valencia, alta theunis and the rest of the gang"
1610439368157829,13:13,TheQueen V,@Diane I hope you won't be to disappointed today
1610439382012104,13:27,Person of interest,Sufferers!!!
1610439390255967,13:33,melds melds,hahahaha @Herb Tuck have you been locked up in some cave???
1610439402828460,13:47,TheQueen V,@Teunis my eie 😉
1610439407155246,13:50,Jenny Whitewaves,hi everyone great to be back on chat 
1610439413266241,13:58,Singi Mathebula,The guilty are afraid@melds melds
1610439414015195,13:58,Manelisi mnguni,"Fellow South Africans, the GUPTAS are gone.. and BRIAN MOLEFE / JACOB ZUMA do not care what happens here."
1610439429223392,14:13,ALTA,@person of interest hi
1610439437941825,14:21,melds melds,@Singi Mathebula they sure are it seems
1610439438665032,14:22,Person of interest,@Jenny et AL 👋
1610439443336976,14:27,ALTA,jenny hi
1610439462284836,14:47,melds melds,@Herb Tuck you must be hating the nightmare you are currently dreaming
1610439472682698,14:58,Person of interest,Hey @ALTA Happy NY
