timestamp,time,author,message
1610525899025826,-5:58,Vanespiri Pillay,why the delay?
1610525904729925,-5:52,ALTA,@Anne M. yes it does disappear
1610525915968959,-5:41,Sal SA,@Umar Singh. So why was Anoj struck off as a CA.
1610525929468063,-5:28,FieliesSA,O we know if Anoj was ruled a delinquent director? I know he was stripped of his SAICA membership...
1610525933705978,-5:23,FieliesSA,Do
1610525942151865,-5:15,ALTA,@Sal SA GM
1610525944347822,-5:13,Sam Matladi,tell the truth and safe the country
1610525945398196,-5:12,Thandekile Sigwela,at what time is singh appearing before Zondo gud people?
1610525958108329,-4:59,nhlanhla nkosi,I so wish mrs kate hofmeyr is the one to question this guy
1610525962509698,-4:55,Lerato Moleke,eNCA also not streaming yet
1610525964413998,-4:53,Sam Matladi,we are all waiting
1610525966650232,-4:50,Diane Louw,gosh its 36 degrees here today - cant take much more of this heat. so what is happening here
1610525983560593,-4:33,Teunis van Ree,@Heather Durr Happy birthday 😘💐
1610525985907506,-4:31,Be,"People, take a peek at the enca webpage streaming this feed ... the message is CLASSIC"
1610526007140398,-4:10,Diane Louw,"gm Alta, Lerato, Heather and happy Birthday!!!, Teunis and everyone else..."
1610526013136763,-4:04,Dee Bee,he needs Kate hofmeyer
1610526015916343,-4:01,bongiwe NTULI,@DaneLouw. Where are you at? Name of your place?
1610526019552589,-3:57,Teunis van Ree,Hello @Sal SA
1610526020047185,-3:57,Celeste Breytenbach,Why is it buffering
1610526023817130,-3:53,Diane Louw,Cape Town
1610526046550413,-3:30,Heather Jooste,what's happening???
1610526049593186,-3:27,Ismail Petersen,"Hi everybody, alta should come to the bokaap & taste our masala mixed perlemoen frikkadels fried in olive oil, snoek- breyani & crayfish curry with the shell filled with hake cooked in the curry."
1610526070628594,-3:06,Dembe Doyoyo,what's happening
1610526070977895,-3:06,Heather Durr,I am sure Singh will not appear in person-has he not skipped to Dubai yet
1610526075760720,-3:01,ALTA,@Teunis van Ree @Sal SA don't see us
1610526076273601,-3:01,Sarah Hayz,Can I also come Ismail? Sounds Divine!
1610526087322382,-2:50,Sal SA,@Teunis Hello hope u well
1610526087631306,-2:49,Lerato Moleke,Heya lady Diane
