timestamp,time,author,message
1610625732417086,-32:41,Goran Djocik,hi everybody
1610625755274964,-32:18,Diane Louw,hello 
1610625792983999,-31:40,Goran Djocik,@ diane hello are they at lunch break now
1610625806509685,-31:27,Diane Louw,yes till 2h30 we ended late
1610627305023515,-6:28,Diane Louw,you most welcome
1610627336942470,-5:56,Mike Moja,hello fam
1610627360669731,-5:32,Diane Louw,hello
1610627453126598,-4:00,Teunis van Ree,😴
1610627469917565,-3:43,Diane Louw,lekker geslaap teunis
1610627514224018,-2:59,Teunis van Ree,"Jip, net bietjie warm sonder aircon"
1610627528087201,-2:45,Diane Louw,bietjie baie baie 
1610627555466282,-2:18,Bertie Vogelhubert,Hi all
1610627561244829,-2:12,Heather Durr,@one of our thunderstorms approaching
1610627581313653,-1:52,Diane Louw,hi bertie
1610627589500632,-1:44,Teunis van Ree,hi @Bertie Vogelhubert
1610627597835806,-1:35,Goran Djocik,ah they are late waisting tax payers money
1610627601595740,-1:31,Diane Louw,we in for cooler weather from tomorrow Heather at my end...
1610627627703343,-1:05,Teunis van Ree,wasting battery time
1610627658362899,-0:35,Teunis van Ree,Weather is building up here
1610627674141213,-0:19,Diane Louw,yes teunis dammit im busy recharging here get going
1610627717154912,0:13,Diane Louw,eventually something
1610627746306546,0:43,Mfundo,Is the water boy ready:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
1610627749002816,0:45,Lerato Moleke,"Oh great, live chat is ON - these PM sessions are unpredictable "
1610627752169590,0:48,Heather Durr,Oh this is that delightful thirst lady
1610627761396044,0:58,Stix Mtolo,Here we go again...
1610627795879836,1:32,Lerato Moleke,"Mfundo & Stix, stop it - I like Mosilo "
1610627844379175,2:21,Diane Louw,tall lady
1610627845502082,2:23,Mfundo,Well everyone likes her m sure Stix will agree
1610627849606641,2:25,Heather Durr,oh heavens another Witz
1610627877252651,2:54,Mfundo,DCJ is smiling at her
1610627882868481,2:58,Pastor J.J,@Heather Durr This is the son.
1610627888040370,3:04,Heather Durr,Ms Mathepo is all I know-I am a shocker with names
1610627916541465,3:31,Diane Louw,thought so thanks Pastor J J
1610627924310502,3:40,zip reeper,Ms. Mosilo Mothepu
1610627935668809,3:53,Lerato Moleke,🤣😂 I see that too Mfundo 
1610627937378343,3:54,Heather Durr,@Pastor J.J So we have the son of Hodes and the son of Witz 
1610627971265018,4:27,Mfundo,I think she gained weight due to lockdown akasanayo leya chazment ayi
1610627977418625,4:33,Danile Ngubenyathi,also her have that thing😍
1610627992245275,4:47,Quinton van Eeden,the mannie and max show 🙂
1610627996263273,4:52,Siya Dilimeni,IGRAND LE PROJECT
1610627997800574,4:53,zip reeper,these blacks auditors are the new royalty
1610628020087662,5:16,Heather Durr,She is delightful and seems not so thirsty today
1610628023146832,5:19,Mfundo,"Danile Ngubenyathi, lol "
1610628035183418,5:31,Walter Moloto,@ Heather:goodvibes::goodvibes:
1610628041154407,5:37,Diane Louw,give her some time and she will go for the water lol
1610628053289684,5:47,ALTA,hello you all
1610628053344395,5:48,Lerato Moleke,"Haai suka wena Mfundo, she was allowed to over indulge on Xmas pudding & wine"
1610628067267829,6:03,Diane Louw,wb ALTA lekker geeer?
1610628067988817,6:04,xx xx,lolll Lerato
1610628079389207,6:16,xx xx,Hallo Diane nmen Alta
1610628091215733,6:27,Diane Louw,hi Antoinette
1610628112468660,6:48,Stix Mtolo,"@ Mfundo, please don't set me up 🤐"
1610628114752699,6:51,Teunis van Ree,hi again @ALTA 🌹
1610628115505466,6:52,zip reeper,@ALTA kan baie eet en word nooit vet nie
1610628125791849,7:02,Mfundo,"Lerato Moleke, she is forgiven since you have replaced her with your consistent workout:goodvibes:"
1610628129900249,7:05,xx xx,Hallo Teunis
1610628156650851,7:32,ALTA,@zip reeper is waar😂😂😂jy weet mos
1610628174203763,7:50,ALTA,Antoinette hello
1610628182838498,7:57,Teunis van Ree,hi @Antoinette Meyer
1610628199290645,8:15,Musa Mabunda,"Tomorrow it's popcorn day guyz, BRIAN MOLEFE!!!"
1610628205666827,8:21,ALTA,@Teunis van Ree hi weather is getting heavy here now
1610628218964214,8:36,Lerato Moleke,"It's true @Antoinette - men think it's ok to tell us about our weight. The mirror and jeans already hint when there's a problem, no need to rub it in"
1610628224088609,8:41,zip reeper,Zondo is just trying to surface here
1610628225950485,8:43,wandy Zouloe,my favorite witness is back:goodvibes: 
1610628230139986,8:48,Diane Louw,oh dear she wants to talk talk and there goes the water 
1610628234482610,8:51,Teunis van Ree,@ALTA brooding here
1610628250697669,9:07,Pastor J.J,@Musa Mabunda Dont make the popcorn until he starts talking. He might pull the Singh stunt on us
1610628278794166,9:35,Danile Ngubenyathi,"I would have loved to work at Eskom serious, even if it was a garden job. just to see them would have made my heart melt"
1610628297810191,9:54,xx xx,"Lerato, If they looked like the greek gods, .... but thet look like father cgristmas after his resting period?"
1610628312445701,10:09,Teunis van Ree,@Lerato Moleke I am often impressed by the capacity of stretch denim...
1610628325287468,10:21,Herb Tuck,Tomorrow the chief thieve 
1610628328284553,10:25,Diane Louw,lol Teunis lol
1610628357246782,10:53,zip reeper,"Coffee, meals, bribes -- my type of life"
1610628360243243,10:57,Lerato Moleke,@Teunis I'm dead 😅😆
1610628366499714,11:02,Pastor J.J,@Herb Tuck Is the Nkandla Rapper coming tomorrow?
1610628378928670,11:17,Musa Mabunda,@Pastor J.J 😅😅😅😅😅😅😅
1610628388541486,11:25,Nokuzola Mbambeni,@Stix Mtolo please don't start...lol
1610628391344308,11:28,ALTA,@zip reeper i will join you😁😁
1610628392750773,11:29,Teunis van Ree,enough said...
1610628399780209,11:37,Terry Elkington,"WADA WADA so where is all this going? no arrests of senior politicians and guys like Anoj Singh, koko, gilbane, Lynn brown, gigaba, mokanyane, Zane etc:dothefive:"
1610628421470720,11:58,zip reeper,@ALTA But rather a Lamborghini than an Aston Martin
1610628456114978,12:33,Nokuzola Mbambeni,whats up with Zondo and that mask?
1610628463074560,12:39,Lerato Moleke,She told us this story in November mos🤷🏽♀️
1610628471900959,12:49,Diane Louw,yes Lerato
1610628472604877,12:49,ALTA,@zip reeper i prefer a mustang 😁😂
