timestamp,time,author,message
1614844674505445,-7:57,zip reeper,"kevin, corrie:goodvibes:"
1614844701534481,-7:30,bongile sango,Gm everybody in the room
1614844707996056,-7:23,Agusta Loesch,GM
1614844742617835,-6:49,Maboko S,This Covid is so cruel hey
1614844776810761,-6:14,Moonchild,Morning all 🙂 
1614844814814776,-5:36,Tommygun,@zip reeper Is that where he plays Ghengis Khan? Terrible tewrrible movie 🙂
1614844815334988,-5:36,zip reeper,it behoves me to greet ya all
1614844823789391,-5:27,Diane Louw,gm @Moonchild 
1614844829397139,-5:22,Lerato Moleke,Greetings All .. Yeah Karima's death a real shock
1614844841540466,-5:10,Tommygun,Me too...Morning all happy campers
1614844852390687,-4:59,zip reeper,"tommy, only read about that classic line"
1614844855338343,-4:56,Diane Louw,gm @Tommygun @zip reeper @Lerato Moleke 
1614844864518549,-4:47,Tommygun,"Really, Ms Brown? must check"
1614844881156341,-4:30,zip reeper,hi Diane
1614844893849032,-4:17,Maboko S,"Hi Lerato, that the sad news"
1614844901096975,-4:10,Diane Louw,new broke 10 mins ago @Tommygun 
1614844910915174,-4:00,Ishaad Mohammed,@Tommygun Its ture
1614844922214661,-3:49,Ishaad Mohammed,true
1614844937170158,-3:34,melds melds,Morning @Lerato Moleke @Moonchild @Diane Louw @Tommygun @zip reeper @Maboko S @Agusta Loesch @bongile sango @Kevin W @Albert Noah @corrie ferreira 
1614844956502775,-3:15,zip reeper,melds melds melds melds!
1614844967239892,-3:04,Diane Louw,@Quinton van Eeden unbelievable!!! Tell her hi and we miss her
1614844970288068,-3:01,melds melds,Hi @Ishaad Mohammed and @Quinton van Eeden 
1614844970310890,-3:01,Stix Mtolo,Greetings to all
1614844972021124,-2:59,Maboko S,"Where is Msholozi? he was spotted in Eswatini, will he ever come back to SA?"
1614844977042720,-2:54,Kevin1,@melds melds gm
1614844979345690,-2:52,Lerato Moleke,"@Heather has been blocked, she can view chats but hers get deleted, spoke to her yesterday"
1614844985958562,-2:45,Diane Louw,gm @melds melds 
1614844990738378,-2:40,Tommygun,"@Quinton van Eeden How u find out? Thats pretty bad, cant remember her being too errr...radical?"
1614845012996099,-2:18,Diane Louw,so who went and reported her i wander
1614845028699261,-2:03,zip reeper,"lerato, thats bizarre about heather"
1614845032033581,-1:59,Kevin1,Where is freedom of speech !!!!
1614845036228777,-1:55,ma baker,very very sad news about Karima. excellent journalist.
1614845038057266,-1:53,Lerato Moleke,"Heya @melds, I'm glad you got sorted .. I sent an email @SABC News about @Heather "
1614845045799467,-1:45,Diane Louw,zuma in zambia...... mind boggling
1614845048324877,-1:43,Agusta Loesch,RIP Karima Brown...🙏🏻
1614845052738545,-1:38,Albert Noah,@melds melds. Morning. Let hear Ms. Goodison's side of the story
1614845061334608,-1:30,Stix Mtolo,"@Lerato Moleke, GM. That tells you our chats are monitored 🤭"
1614845061928629,-1:29,Diane Louw,gm @ma baker very sad sad news
1614845067316730,-1:24,melds melds,"All a little crazy in here yesterday, I think someone came in through the side door and decided to boot people, I was unable to post in the afternoon but see Im back today"
1614845101485976,-0:50,Lerato Moleke,"Yeah @Stix, I even felt bad about joking that assassins were watching our chats"
1614845106996346,-0:44,zip reeper,alta alleges she was banned here
1614845110778263,-0:40,Diane Louw,wb melds
1614845115496642,-0:36,melds melds,I am looking forward to hearing it yes @Albert Noah going to be interesting
1614845127357544,-0:24,melds melds,thanks @Diane Louw 
1614845137855318,-0:13,Pardon Tshepo,Morning guys
1614845146497828,-0:05,melds melds,hahahha @Quinton van Eeden 
1614845177752247,0:20,Diane Louw,so instead of doing 123 we must do the other thingy....
1614845190278257,0:32,zip reeper,6 mins late
1614845199289804,0:41,melds melds,usually yes @Lerato Moleke 
1614845200947130,0:43,Diane Louw,i would think so Lerato
1614845230672140,1:12,zip reeper,goodness miss goodson
1614845245522373,1:27,melds melds,Heather never says anything that would be reason to block her
1614845269384836,1:51,Lerato Moleke,Wow she's hooot 👍🏽🔥
1614845271469776,1:53,Pieter de Villiers,Any other people on commission today
1614845272473586,1:54,melds melds,oh WOW 
1614845276870747,1:59,Diane Louw,lovely face
1614845280952671,2:03,Kevin1,Already missing H
1614845851366537,2:28,TheQueen V,morning all
1614845857801364,2:34,SanFran Arnold,@Tommygun exactly. GM to you
1614845876359996,2:53,Tommygun,SABC are back!
1614845884126104,3:01,zip reeper,this is our marvelous state broadcaster where journalists earn R800 000 a year? 
1614845889784546,3:06,melds melds,thank you @SABC News 
1614845949823341,4:06,Quinton van Eeden,@Koketso Tlhabi - don't torture yourself - just don't watch eNca - that will teach them a lesson
1614845968765544,4:25,farouq,dont watch ENCA
1614845969959877,4:26,SABC News,Apologies for the interruption. We experienced a system crash and failure. We once again thank you for you patronage.
1614845978049420,4:34,farouq,racists
1614845990336388,4:47,zip reeper,cheers SABC
