timestamp,time,author,message
1613973901628739,-1:55:38,HALO,End the anc.
1613979269261007,-26:10,Quinton van Eeden,salaam infidels 🤣
1613979793119735,-17:26,Diane Louw,Hi Quinton and HALO
1613979843072347,-16:36,Diane Louw,so i was right on Friday on why DCJ was keeping on about the guarantee etc cause he caught her in a lie and that laid the foundation for the rest of the time..
1613980057696474,-13:02,Quinton van Eeden,"fact remains - as a qualified lawyer and company secretary, she had a legal duty to provide advice regarding the transaction - one has to consider the power-distance relationships at the time though"
1613980276254225,-9:23,Lerato Moleke,Greetings All .. What makes her story more airy fairy is that her Eskom title was Head: Legal & Compliance - why did she agree to that fancy title & salary if her role didn't extend to legal matters?
1613980345959335,-8:13,Martha Sello,hi Lerato
1613980348227781,-8:11,bongile sango,Hallo my people
1613980360898614,-7:58,Diane Louw,Lerato remember when i said she was part of the legal team as she drafted papers etc.....
1613980367698212,-7:52,Diane Louw,hi marttha and bongile
1613980381796454,-7:38,MK Nzuza,who is this minister who is coming today?
1613980409993460,-7:09,Martha Sello,hi Diane
1613980431562299,-6:48,Diane Louw,And did you see her reaction when Seleka told her about the radio into and where she was named as being Businessman???
1613980443599285,-6:36,Martha Sello,I think is Dipuo Peters
1613980445433510,-6:34,Diane Louw,into = interview
1613980481337491,-5:58,Diane Louw,correct Martha
1613980541290910,-4:58,Lerato Moleke,"💯 @Diane - ""angelic"" Suzanne is no whistle blower she was a BIG part of this but got screwed "
1613980573771035,-4:26,charlie zamile,"can anybody tell me please,have they started already?"
1613980581098738,-4:18,NOOB GAMERS,nope
1613980586806810,-4:13,Teunis van Ree,nope
1613980614730199,-3:45,Quinton van Eeden,@Lerato Moleke - the evidence thus far does not suggest participation on her part - methinks she was simply in a job too big for her
1613980617171795,-3:42,Diane Louw,hi Teunis and sneakerhead and charlie
1613980632233673,-3:27,Martha Sello,I see news channels 403 and 405 are reporting that Khusela Diko husband has died except sabc 404. Does sabc know something else?
1613980646143970,-3:13,NOOB GAMERS,lol probably
1613980668990859,-2:50,Diane Louw,Yes saw the headline now..... Died in EC Hospital
1613980677431076,-2:42,Teunis van Ree,hello @Diane Louw 🌹
1613980753929305,-1:25,Lerato Moleke,"@Martha 😳, I'll check Twitter .. @Quinton, remember initially she lied about not having met Salim - some pieces of the ""snakes & ladder"" are missing🤔 "
1613980759521870,-1:20,Teunis van Ree,I agree @Quinton van Eeden
1613980761647216,-1:18,Diane Louw,wander what kokos reaction was to hearing her statement about him knowing about everything...
1613980831043656,-0:08,Martha Sello,@Lerato 👍
1613980893286760,0:43,Previous Nkopodi,Morning All
1613980917004730,1:07,Previous Nkopodi,@Lerato Moleke Lekae Moratiwa 😘
1613980918865419,1:09,Lerato Moleke,"@Martha, confirmed by Twitter - Thandisizwe Diko has died"
1613980924006463,1:14,Heather Durr,@Teunis van Ree @Quinton van Eeden @Lerato Moleke @Diane Louw @Martha Sello @bongile sango Hi All
1613980936644268,1:28,Lerato Moleke,Greetings @Previous 
1613980949617483,1:39,Teunis van Ree,hello @Previous Nkopodi
1613980964434689,1:55,Quinton van Eeden,@Heather Durr 🌹
1613980983002408,2:13,Lerato Moleke,Glorious greetings @Heather and everyone who joined the chat after me
1613980984126481,2:14,Teunis van Ree,hey @Lerato Moleke 🌹
1613980985931434,2:15,Previous Nkopodi,@Teunis van Ree are you doing well this exquisite morning?
1613981009699943,2:39,Akhonamandla Gala,Molweni 👋
1613981013130690,2:42,Heather Durr,Rain glorious Rain
1613981035108694,3:05,Previous Nkopodi,@Akhonamandla Gala my friendoooooooooo 
1613981044854867,3:15,Kevin1,Hi all - pouring with rain in jhb
1613981044959751,3:15,Martha Sello,@Lerato thanks. MHSRIP condolence to Khusela Diko
1613981050001464,3:20,Teunis van Ree,Great night and morning - rain and thunder 😁
1613981083633428,3:53,Martha Sello,hi Heather
1613981088291476,3:59,Heather Durr,Is it Lucky Montana or Monyane
1613981102414927,4:13,Stix Mtolo,"@Lerato Moleke, GM. May his soul rest in PPEs."
1613981119390795,4:30,Akhonamandla Gala,@Previous Nkopodi Big Chiefs how are you doing man? I had a terrible weekend because of Chiefs and Liverpool 😢
1613981120529762,4:31,Shirley Tilley,Greetings
1613981138358501,4:48,Quinton van Eeden,@Stix Mtolo 🤣🤣🤣🤣
1613981151007034,5:01,Lerato Moleke,"Hey @Stix - Twitter shares your sentiment, very little sympathy from SAns about his passing "
1613981152178287,5:02,Stix Mtolo,"@ Heather Durr, Previous Nkopodi hello de"
1613981157309734,5:08,Previous Nkopodi,@Akhonamandla Gala Eish those losers my friendo ae
1613981167101301,5:17,Jacqui Baumgardt,Morning all
1613981175112349,5:25,Martha Sello,@Heather Lucky Montana
1613981182959284,5:33,Previous Nkopodi,@Stix Mtolo My Frindoooooooooo...Are you well brother?
1613981200757302,5:51,Heather Durr,Werksmans DCJ
1613981209329055,5:59,Quinton van Eeden,@Stix Mtolo - his passing leaves the door open for him to now become the fall guy in this sorry saga
1613981225045367,6:15,corrie ferreira,môre julle almal
1613981258806041,6:47,Stix Mtolo,"@ Quinton v Eeden, GM so true"
1613981262684763,6:52,Lerato Moleke,"Yeah @Quinton - given that ""dead men tell no tales"" "
1613981273013238,7:02,Akhonamandla Gala,eita da @Stix Mtolo 👊
1613981285166796,7:14,charlie zamile,"@Martha Sello ,sad news really for the family of Diko such a very young bloke,what a waiste of life,hope the family& friends & the communities @large will be strong & pull 2gether"
1613981320768460,7:51,corrie ferreira,t
1613981350653012,8:20,corrie ferreira,Teunis wat het ons nou hier
1613981382883588,8:53,Sal SA,"Sad news on the passing of Diko, we may not get the full story on the PPE scandal in Gauteng"
1613981412536195,9:22,Akhonamandla Gala,"condolences to the Diko's, it's sad that that the self proclaimed king hadn't had his day in court."
1613981414057896,9:24,Teunis van Ree,Dipuo Peters oor ORASA
