timestamp,time,author,message
1614166277171585,-28:29,melds melds,so the whole economy comes to a stand still in wait for the budget speech? Irony in business today
1614166990635925,-16:36,Andre Gerber,@melds melds it's called Africa Time
1614167565217881,-7:01,Heather Durr,Oh my Russel Crowe in Gladiator. Be still my ovaries 
1614167643127548,-5:43,Andre Gerber,@Heather Durr 🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂😂
1614167648498968,-5:38,Pastor J.J,@Heather Durr I will Pray for those Ovaries to behave
1614167672322316,-5:14,Andre Gerber,Hope they not clapping hands
1614167715467461,-4:31,Pastor J.J,@Andre Gerber Heather will tell you that is a possibility
1614167736371972,-4:10,Heather Durr,Austin Powers....Oh Behave ....LOLOLOL
1614167878823103,-1:47,Pastor J.J,@Heather Durr Not JZee or Julius next...tell them to behave
1614168016494578,0:18,Heather Durr,"I was so lucky-I got to see Rome, Pompei, Ephesus, Istanbul London, Canada Greek Isles on a Cruise ship a long time ago before ISIS and Covid. I so wish I had travelled more but boy was I lucky"
1614168146347148,2:29,Heather Durr,"Ski in Northern Italy where I could speak German, Amsterdam but Istanbul was the greatest of all"
1614168334000419,5:37,Pastor J.J,"@Heather Durr ..Ja, Istanbul ist brillant. Und das Essen ist etwas anderes."
1614168384286654,6:28,Heather Durr,@Pastor J.J Unglaublich
1614168475448014,8:00,Pastor J.J,@Heather Durr Es ist tatsächlich
1614168490610017,8:13,Heather Durr,@Jenny Whitewaves Ancient cities are my absolute obsession-they fascinate me 
1614168526389493,8:49,Sal SA,"Most memorable trip was Egypt, fascinating history"
1614168533115917,8:57,Celeste Breytenbach,@Heather Durr why on earth did u come back!!! such privilege wow
1614168571230697,9:35,Jenny Whitewaves,Wish I had seen those sunken churches in Ethiopia but did get to sail up the Nile 
1614168572456423,9:36,Heather Durr,@Celeste Breytenbach WITH HINDSIGHT ............no...??
1614168603394281,10:07,melds melds,the CA corrects
1614168721660404,12:06,melds melds,No redbull only Energade
1614168804534304,13:28,Heather Durr,"@melds melds I see, missed it completely hahahaha. Who had redbull"
1614168849076612,14:12,Tommygun,THey added value to their shareholders....
1614168850378396,14:14,melds melds,Earlier this someone said Mr soni should be given redbull
1614168903153882,15:07,melds melds,"this morning, I mean"
1614168963691298,16:07,melds melds,"I want to go to Nkandla on tour, it is also part of history, should be interesting"
1614168981738658,16:25,Pastor J.J,@Andre Gerber Costa Rica is enthralling. It is somewhere that I will like to go to as well. My bucket list is growing
1614168983327955,16:27,melds melds,MR soni is no fool
1614169003932349,16:47,Pastor J.J,@melds melds naughteeeeeee
1614169010017646,16:53,Lerato Moleke,Exactly DCJ draw parallels between Blackhead & Sifambu 
1614169062628723,17:47,Andre Gerber,@Pastor J.J looking at property there
1614169064793113,17:49,Louis C,"@melds melds Go now while there;s no admission fee, trick is to get passed Carl's Marines"
1614169068822098,17:51,Stix Mtolo,"@melds melds, and @Cyril said give him a Bells"
1614169115659016,18:39,Pastor J.J,@Andre Gerber If you go a few kms out of the city it will probably cost less than 25% here
1614169119143101,18:43,melds melds,"I have a zoom at 2:30......will catch up, this is very interesting"
1614169138441943,19:01,Pastor J.J,@Andre Gerber compared to here
1614169140433079,19:03,Antoinette Meyer,hallo my friends😁😏
1614169164566807,19:26,TheQueen V,Hey Antoinette
1614169178627651,19:42,Sal SA,@Pastor. Travel to Bethlehem is cheap. via Harrismith
