timestamp,time,author,message
1597847291608682,2:18,Sal SA,Welcome back
1597847302474696,2:29,TheQueen V,:yougotthis:
1597847337909420,3:04,Mfundo,Thanks for having us back Sal SA
1597847364424718,3:32,Mfundo,@Modiehi Mokoena are you back?
1597847379116638,3:46,Sal SA,@Valencia Osmans Spice Company in Gatesville
1597847410685518,4:18,TheQueen V,thanx @Sal will check❤️
1597847588703752,7:15,Sal SA,Low totally agree
1597847654357923,8:22,TheQueen V,get him
1597847696195542,9:05,Sal SA,Spin doctor!
1597847723105674,9:31,Sal SA,But u were a partner!
1597847755754641,10:02,Elton Josea,"give him the ""i put it to you"" treatement U LYING"
1597847815482607,11:02,Dominic Przybylski,"JT, TZ, Why only initials?"
1597847831218203,11:18,Gray Lawrence,"I'll give you two initials,, F,U"
1597848014989100,14:22,Hein de Wit,Stealer from the poor people...sickening liar
1597848040153434,14:47,Sal SA,"He knew the initial and the amount that he had to pay for ""liquor"" apparently supplied by Tabane"
1597848042746056,14:49,Omolemo and Oneetswe,Just tell the truth
1597848045723723,14:52,Elton Josea,UR BREATHE IS FISHY
1597848062000756,15:08,Hein de Wit,Could have...should have...maybe...but...
1597848088888790,15:37,Dominic Przybylski,"""I have no idea"" is clearly a lie."
1597848110759288,15:58,Sal SA,Yes @Low still fishing- this is OUR inquiry which WE paying for
1597848126063129,16:13,Hein de Wit,"Does anyone believe this ""speculator""?"
1597848151684461,16:37,Hein de Wit,So pose the question now...
1597848161844329,16:49,thabiso mngadi,this guy is a liar yong
1597848164360627,16:51,Andile Pinini,"this enough ,about this Commission, waist of our tax"
1597848219736509,17:48,Hein de Wit,Obscene amounts made on work not even done
1597848233063895,18:00,Martin van der Breggen,You are sooooooo over the place now
1597848244066653,18:11,Sal SA,"@Andile to get to the bottom of what, who, how, etc.."
1597848260506731,18:27,Anax B,surely there must be some meat to link to these initials.. the evidence leader is wasting time.
1597848261857295,18:28,Immanuel,"If he dint know about the initials in the spreadsheet, why did the find expression therein having due raga red to what was the sole purpose of having the spreadsheet in the first place🤓🤓"
1597848305342440,19:12,Immanuel,"JT, TM, ZCC😎🤓"
1597848324677125,19:32,luciantj,when is this going to end?
1597848331584329,19:38,Immanuel,AM?
1597848340685735,19:48,Michael Kaudi,"lol you dont play with AM, there you dont play"
1597848356887350,20:03,zip reeper,Sodi is very patient with these fumbling inquisitors
1597848373094532,20:20,Anax B,Indeed 😊
1597848385845322,20:33,Martin van der Breggen,Water - quick
1597848395253719,20:40,Dominic Przybylski,too many coincidences
1597848412380712,20:59,Hein de Wit,This Sod is a liar of the most vile kind
1597848487106554,22:14,Refiloe Nkabinde,who in SA doesn't know that MEC is not initials
1597848536586776,23:03,Sibongile Maputi,Mr Sodi clearly doesn’t
1597848576059952,23:43,Refiloe Nkabinde,LowJack as a signitary?
1597848601645245,24:08,malcolm payne,slippery slimy par excellance
1597848610974347,24:17,Refiloe Nkabinde,context is important Lowjack
1597848673830869,25:19,Sal SA,Well groomed by his counsel
1597848675301717,25:22,Dominic Przybylski,not similar same
1597848715534351,26:02,Gina deW,Mr Phambani's assassination must be investigated - who hired the hitman
1597848723501787,26:10,Ishmael Bhodha,we need something of this nature in Zim. With a board
1597848729351427,26:16,Paul Buchel,"@malcolm payne​ terrible man, I can't believe what i'm hearing/"
1597848737613950,26:24,Refiloe Nkabinde,to what the question is?
1597848768661012,26:55,Gray Lawrence,blame the dead guy.
1597848780428466,27:07,English Rose,@ishmael .. they wouldn’t return the following day
1597848791120516,27:18,Sal SA,Follow the money from the initials.
1597848791184968,27:18,Elton Josea,HE KILLED HIS PARTNER
1597848814562716,27:41,thandeka dlamini,saying a whole lot of nothing
1597848818724863,27:45,Refiloe Nkabinde,his wants to show that he is clever but what he is say will one day change
1597848845708238,28:12,Gina deW,@Elton Josea He definitely knows something
1597848869548936,28:37,Dominic Przybylski,Why use only initials in the first place?
1597848876934111,28:44,mafuta,"Rotten piece of nyama, this man"
1597848937231792,29:44,Sal SA,You know what it means- give him an Oscar for acting!
1597848944758858,29:51,Natalie Noels,Initials so that things can be hidden
1597848956883468,30:03,Natalie Noels,Transparency
1597848957865306,30:04,Mfundo,"@ Refiloe Nkabinde, lol indeed he is playing hide and seek"
1597849020671120,31:07,Sal SA,LIAR
1597849052455253,31:40,Jenny Whitewaves,the sheey was for both of them you would only use abbreviation both understand
1597849073960319,32:00,Jenny Whitewaves,sheet
1597849087724133,32:15,Bheki Khoza,He is protecting himself
1597849088927358,32:16,Zwelibanzi Masilela,"the DCJ has a way of asking ""incriminating"" questions and you happily accept 🤣🤣🤣"
1597849115582707,32:42,Sal SA,@Jenny agreed- it happens in business even in minutes of meetings
1597849116150939,32:43,TheQueen V,putting blame on a dead man is the lowest of low
1597849122326221,32:49,Nondumiso Soko,very impossible!!!!!
1597849142774364,33:10,Natalie Noels,We all need a Mr Pretorious on our team!
1597849155195308,33:21,Albert Noah,@Zwelibanzi Masilela.What does DCJ stand for? Kikikikiki
1597849178446232,33:45,Elton Josea,J LIEG MAN JOU KOND
1597849196698469,34:03,Wesley M,the devil is a liar
1597849203330076,34:10,Mfundo,So this guy is a multi millionaire coz he scored R100 million in profit 😏😏😏
1597849212885502,34:20,Koketso Tlhabi,This guy never looks at any thing
1597849219520148,34:26,Jenny Whitewaves,yet you were r30 mil short not worth checking
1597849230257772,34:37,Sal SA,@Albert Deputy Chief Justice ( Chair)
1597849237903461,34:44,Lucky Benya,"It's our very own government that exposes us to these thugs, the people we elected to safeguard the wellbeing of the state. We're a very dumb nation 🤮"
1597849241664400,34:48,Philip Fourie,What about the shortfall he paid to you.
1597849253479626,35:01,Koketso Tlhabi,Why did you not look at it? Why do you keep blaming the dead guy?
1597849256480329,35:04,Elton Josea,THESE LIES WILL CATCH UP TO HIM TONIGHT
1597849263595198,35:11,TheQueen V,get him pretorous
1597849306480607,35:53,Koketso Tlhabi,I am the AM they are referring to. I am also TZ
1597849310754827,35:59,Craig Johnson,"Lying under oath, Karma my bru"
1597849311965322,36:00,Koketso Tlhabi,and JT
1597849331381380,36:18,nkosingiphile ndlovu,Jimmy Tau😲
1597849362461411,36:48,Craig Johnson,Or just get a hit man on him
1597849387740591,37:15,Honore Tshitenge,Rule 1. Dead men tell no tales...
1597849395885946,37:22,Brian Shabalala,This guy wrote or prepared that spreadsheet in his laptop and sent it to the assassinated Guy.🙆🙆🙆
1597849425115465,37:52,Immanuel,"He purports to have absolute trust in Mpambane in terms of the spreadsheet in question, yah neh"
1597849439325513,38:06,mafuta,@Honore Tshitenge the fact that he is dead tells a story in itself
1597849474351091,38:40,Thabang Lentsoana,How did Mpambane die?
1597849480664312,38:47,Diana Sekatane,how is he running the business without knowing who is being payed?
1597849480836214,38:47,Nomamfingo Nohashe,this man is a real liar yho🤣🤣
1597849492917913,38:59,Sal SA,So he knew the profits will be R25k less after the kickbacks
1597849493831278,39:00,Gina deW,@Brian Shabalala You onto something - before Phambani's assassination their relationship soured
1597849495488647,39:02,Jenny Whitewaves,keep reminding AM that dead men tell no tales may not be the wises thing to do. Check your brakes before you drive
1597849510429624,39:18,Albert Noah,@ Thabang Lentsoana. Gunned down
1597849529691459,39:36,Gray Lawrence,like they would have record of corrupt payments in his books.
1597849535204471,39:41,Dominic Przybylski,Payment was made in bags of cash same as Guptas.
