timestamp,time,author,message
1563882240024195,-23:30,Thato Maleho,on lunch?
1563882273546130,-22:56,Pastor J.J,@Thato Maleho Always
1563882902768093,-12:27,rohan barnard,resuming at 2
1563882955991507,-11:34,rohan barnard,but as per usual i think we gonna run late 😀
1563883147528629,-8:22,fikile mbokodi,so how do you see the jamnandas case going so far
1563883210548086,-7:19,rohan barnard,@fikile mbokodi i don't think she is gonna stand a chance.... same adv representing her that represented zuma at this same inquiry....
1563883307435547,-5:42,fikile mbokodi,yah neh she is a victim now
1563883424737861,-3:45,fikile mbokodi,what is happening with this zondo
1563883430289842,-3:40,Lorraine Naidoo,just heard Zuma not coming back to commission. layers wants them to highlight the 9 witnesses. what he was acussed of He He he
1563883450737322,-3:19,Lorraine Naidoo,lawyers
1563883483461924,-2:46,rohan barnard,"@Abel Matshidiso I wasn't able to follow everything, but he is throwing cards. I hope he gets witness protection. He is a key witness here"
1563883513219267,-2:17,Lorraine Naidoo,Yes for sure .his brave
1563883527773063,-2:02,Dominic Przybylski,Seems like he's a buddy of Zwane...
1563883542933812,-1:47,rohan barnard,@Lorraine Naidoo extremely! I hope he knows he is putting his life on the line here
1563883584560916,-1:05,Lorraine Naidoo,shame if he gets killed the story is true
1563883591248486,-0:59,rohan barnard,I am going to re-watch this tonight at home cause work is interrupting me 😂😂😂😂
1563883596183162,-0:54,Victor,@rohan barnard Thats the way to go... There is noone with monopoly to oppress
1563883633813001,-0:16,Victor,That old looks honest with his facts...
1563883640257138,-0:10,fikile mbokodi,zondo is late now
1563883642871432,-0:07,Lorraine Naidoo,I k ow they do get protection from the commission
1563883696323424,0:35,rohan barnard,"@Lorraine Naidoo definitely! but isn't there a few witnesses that was ""taken out"" when they started with this commission way back when?"
1563883706038330,0:44,Lorraine Naidoo,I'm sure there is more witnesses
1563883724929281,1:03,rohan barnard,"i remember some stories, whether they were true or not, I can't confirm"
1563883728015006,1:06,Jabu Nhlanhla,now we know
1563883772547456,1:51,rohan barnard,"zondo commission, late as always...."
1563883876631886,3:35,Mlondolozi Msimango,sanibonani
1563883919990375,4:18,DJ DJ,who is on the stand
1563883964310602,5:02,DJ DJ,ok got it now
1563883975379502,5:13,rohan barnard,I am correct. News24 article saying that Mr. Philemon Ngwenya was murdered because he was against this Vrede Dairy
1563884007459102,5:44,rohan barnard,@hendrix jeranyama a whistle blower of the community in Vrede Dairy
1563884037789935,6:16,hendrix jeranyama,thanks Rohan
1563884054027666,6:32,rohan barnard,@hendrix jeranyama you're welcome
1563884073499847,6:52,Mbuso Ndlovu,@hendrix knows a lot
1563884441239157,12:59,Zaahier Adonis,"lorraine,I wacth Malema adress people,there was some hush words....yo my man"
1563884457987282,13:16,Jesse Mix,The flying spagetti monster is GRAVITY.
1563884508810361,14:07,Magda Seguin,The Zuma lawyer representing the PP is talking non stop for 25 minutes...waffling is a better word
1563884535360754,14:35,rohan barnard,@Magda Seguin he still waffling about the bush?
1563884569930706,15:08,Magda Seguin,Yes@rohan barnard...its tiring as he makes no sense at all
1563884592274431,15:31,rohan barnard,I am giving up on that case.... I can't deal. This is much more interesting. Malume you better watch your back
1563884625229223,16:03,Magda Seguin,"Yep,I will wait for the outcome."
1563884637411060,16:15,Zaahier Adonis,coruption if it stick his head out dont hit him on the hat cut his neck off
1563884640730800,16:19,rohan barnard,I will read it in the papers 😂😂😂
1563884681247103,17:00,Magda Seguin,The court document will be posted online
1563884689220939,17:08,Khutso Malope,"Ms interpreter, lol"
1563884696795079,17:15,rohan barnard,@Magda Seguin Twitter probably?
1563884753352546,18:12,clive oconnell,You can only afford to be in EFF till your money 💵 I
1563884799430001,18:58,Sebation Nantsika,Yebo baba
1563884809570417,19:08,Magda Seguin,"Yes,I follow Prof Pierre de Vos for many years,he is a constitutional expert and is attached to UCT...he has a website too called Constitutionally Speaking"
1563884821256490,19:20,Lorraine Naidoo,nobody's chating
1563884837795791,19:36,Jake,"@I Am Free, You can farm both, you just a big farm!"
1563884838785142,19:37,funicanz,Wasted some time listening to Mancha on Gordon vs Mkwebane. Nx!!!
1563884843853744,19:41,Khutso Malope,"We are listening,Lorraine"
1563884877769242,20:15,Khutso Malope,@Funicanz ngibuya lapho nam
