timestamp,time,author,message
1563868876046020,-2:00,MADIMETSA TEFFO,ive been waiting for so long now is time
1563868957913130,-0:38,fikile mbokodi,ich one are we watching jamnandas or zondo
1563869104977097,1:35,fikile mbokodi,i see everyone is gone to watch jamnandas
1563869186972985,2:57,Anthony Fourie,who this man?
1563869221737926,3:31,rohan barnard,this malume looks wild.....
1563869246442923,3:56,funicanz,😆😆😆
1563869276018809,4:26,Danie Nilsen,goverment chameleon is back this is an ace man
1563869297503377,4:47,Frank Peter,Corruption at a satanic level
1563869361104562,5:51,Lorraine Naidoo,OH took public Protecter to court
1563869396139937,6:25,Danie Nilsen,pp is also a zuma agent
1563869425702094,6:56,Mbuyiseni Nxasana,state capture is being used for political agenda. people come with claims having no proof to produce. are we suppose to take this seriously.
1563869435577215,7:04,TheC4RB1N3,"lol the Public Protector will be gone soon, EFF supports her, that's crazy"
1563869485335321,7:55,Danie Nilsen,eff supports avery ting that is non esential in thye lives of the masses
1563869488762515,7:58,Lorraine Naidoo,shoo the bad words used by them...really uncuth
1563869513789041,8:21,TheC4RB1N3,@Mbuyiseni Nxasana How must we take you seriously mampara ? Zuma even ran away from Zondo lol
1563869542049913,8:51,fikile mbokodi,guys am not a politician but what i understand is that DA and EFF they dont support her but defending the constiution
1563869544176058,8:53,Thami Mpanza,thatha zondo nekhomishana yakhho
1563869550637864,8:59,Lorna Kavanagh,The PP will be gone and so the eff will be wrong again !!!! They are a party of thugs and trouble.
1563869556646063,9:05,Danie Nilsen,zuma has never stop running since he got fired
1563869560926923,9:10,Lorraine Naidoo,I may read a artical Zuma is going expose all.
1563869579013203,9:29,Lorraine Naidoo,on fb
1563869579574727,9:29,TheC4RB1N3,@Mbuyiseni Nxasana Part of the Zuma fight back campaign you
1563869624148422,10:14,TheC4RB1N3,@fikile mbokodi NO! The eff support the public protector fully
1563869641704483,10:31,Sebation Nantsika,Zuma must kill ANC to go support ATM
1563869661806734,10:52,Lorraine Naidoo,cannot wait.tears rolls dawn when I see the poor walking so far schools in the cold
1563869664244286,10:54,TheC4RB1N3,sad reality that
1563869686041557,11:15,Thami Mpanza,babize bonke bazocaza okumele baboshwe ababoshwe
1563869709093380,11:38,fikile mbokodi,okay
1563869822435861,13:31,Lorraine Naidoo,they suffered for to long.i don't know why all these parties get together nd help build a new S.A
1563869844847382,13:55,wendy hardy,"SABC , Sound not in sync with mouth movement !!"
1563869848780262,13:59,Danielle Pead,when r they start arrest all special for anc n eff we must pray
