timestamp,time,author,message
1547711174526119,-14:18,big one,what time does this kick off
1547711666617658,-6:06,Tamaryn Petersen,10am usually
1547712140414561,1:37,Aubrey Moloi,ANC IS KILLING SOUTH AFRICA
1547712318160979,4:35,Desmond Masilela,@Aubrey Moloi. Yet people are still voting them.
1547712391096988,5:48,Aubrey Moloi,"Terrible brother. our people need to show politicians that they are in power not politicians, they have the power of the vote but are not using it"
1547712409729043,6:06,Cassius Mngomezulu,The word ANC can't kill anyone
1547712461512967,6:58,Eugene,Tell ANC they are fired stop paying taxis
1547712463473435,7:00,Cassius Mngomezulu,People deployed by the organisation made those mistakes and people died as a results
1547712512853545,7:50,Thabo Modiba,"I'm so speechless, the ANC is taking this country no where.."
1547712530624913,8:07,Cassius Mngomezulu,where are u know
1547712531304503,8:08,Desmond Masilela,@Aubrey Moloi. They have power of the vote. 100% agree. look at the ANC now. Some people still believe that Zuma is still the president of the country. they dont regard Cyrial as our president.
1547712543660688,8:20,Siba Mfabe,"@Cassius Mngomezulu , those were not mistakes. They had every intention of doing what they did, we cant make excuses for them."
1547712567461489,8:44,Thabo Modiba,I am nowhere
1547712608169572,9:25,Lawrence Mopeli,I am here to listen 👂
1547712611568843,9:28,Cassius Mngomezulu,You never made any mistake in your life #Siba Mfabe
1547712629626588,9:46,Cassius Mngomezulu,Thats y you talking like that
1547712639325675,9:56,Patrick Kgoale,"when relations sour up, the beans get spilled"
1547712651150155,10:07,Thabo Modiba,Terrible
1547712661007167,10:18,Thabo Nlec,🤔
1547712702990320,11:00,Desmond Masilela,Where is the video?
1547712760649332,11:57,Siba Mfabe,"@Cassius Mngomezulu I have made mistakes, taking a bribe is not a mistake dude."
1547712788171817,12:25,Cassius Mngomezulu,Were you judged by anyone
1547712844061670,13:21,Tembeka Makonco,i'm waiting to see who's face show in the video
1547712878342042,13:55,Siba Mfabe,"@Cassius Mngomezulu , yes but I didnt break the law, never performed out what laws guide my work. Maybe its because I am not a deployee but an employee. I value all work I have ever had"
1547712883033391,14:00,Derek Main,@Cassius Mngomezulu We have to judge our politicians - that's how we know whether we should vote for them or not.
1547712910017090,14:26,Cassius Mngomezulu,Who Judged you
1547712917030246,14:34,SMP :SHELTZ MEDIA PRO,zim has no internet
1547712923938064,14:41,Derek Main,I'm not a politician
1547712972639994,15:29,Maphike Gloria,We loosing our country bits but surely 🤔
1547712984949125,15:42,Cassius Mngomezulu,"Thats where u wrong, You can kill people and expect to be free because you not a politician?"
