timestamp,time,author,message
1548748829611017,-5:18,Jacky,Here we go again
1548748882209075,-4:26,Rapule Koalepe,lord save South Africa
1548748942196108,-3:26,Yiwiti,this is what happens when you don't pay employees
1548748958152113,-3:10,mochaki kenneth,"Angelo Agrizzi, a star witness at commission"
1548748968915657,-2:59,Rapule Koalepe,what the jamming?
1548748992872792,-2:35,Yiwiti,"probably gonna blame this on a ""internet glitch"""
1548749012474330,-2:16,Antoinette Meyer,or sunspots
1548749026759044,-2:01,Yiwiti,lol
1548749028761036,-1:59,Rapule Koalepe,maybe the gone Hlaudi
1548749042553462,-1:45,Antoinette Meyer,whaha
1548749108071730,-0:40,Talloolah Moon,Tick tock
1548749117160563,-0:31,Rapule Koalepe,come on
1548749120134169,-0:28,Antoinette Meyer,waiting for digital news SABC???
1548749164143665,0:06,zeneath van der nest,patiently waiting
1548749194286698,0:37,Rapule Koalepe,thanks
1548749197564661,0:40,Antoinette Meyer,i have an add
1548749208837963,0:51,Antoinette Meyer,and we are luve
1548749222059562,1:05,Talloolah Moon,Luve ❤️
1548749232230130,1:15,Neaven Moloko,waiting to hear this
1548749300097611,2:23,Sendo Sityebi,its reported that that the sabc staff have not been paid yet so please dont be suprised
1548749346221852,3:09,T F,Sound is so low today
1548749352683484,3:15,Yandi Masina,👀
1548749419267908,4:22,T F,Thank you
1548749434544463,4:37,Antoinette Meyer,we have winds in CT
1548749456501786,4:59,Antoinette Meyer,@FF
1548749458429514,5:01,Amanda Bentsile,Where is the chair?
1548749478427723,5:21,michael mbatha,They wanted to start early but even for later start time they start late. And resume late from tea and lunch.
1548749502234913,5:45,Antoinette Meyer,in the eyeconract line of the sender
1548749562551405,6:45,Lee Majiya,"morning, chair"
1548749570849628,6:53,Nodz Heunis,test
1548749592304413,7:15,Jake,"JA guptas were lucky, just like Watson paying for get out of jail free card or stay out of jail!"
1548749595002182,7:18,pretty selogadi,sound pleas
1548749612891640,7:36,Sendo Sityebi,enca is angry cz their jernos are implicated
1548749625715515,7:49,Antoinette Meyer,"mr chair, with permission and respect, kindly produce your voice?"
1548749639517232,8:02,Desmond Masilela,"I have adjusted my volume to 100% but still the sound is low. @SABC Digital News please assist in regards,"
1548749645229894,8:08,Lee Majiya,please do something about the sound
1548749707546372,9:10,Fire Moticoe,"Since following the commission there is a lot questioning us as people to the voting stations, correct me if I'm derailing leadership"
1548749760207433,10:03,makhosi nobhatyi,This guy has nothing new
1548749809224128,10:52,Antoinette Meyer,WHYYYY...?
1548749827590092,11:10,Desmond Masilela,Guys PLEASE assist me. What is going on here???
1548749837639374,11:20,Sofia Sofia,HI ALLLLL
1548749857736877,11:40,Sofia Sofia,is this guy for the Guptas ! ?
1548749858098171,11:41,Antoinette Meyer,a touch of chaoz oerhaps@desmond
1548749863082887,11:46,Linda ERASMUS,Financial Cost...tax payers money!
1548749879058836,12:02,Dean Lambrechts,Is Agrizzi still going to testify?
1548749892176081,12:15,Yandi Masina,@Desmond Masilela Gupta wants to cross examine Trevor
1548749900091466,12:23,Linda ERASMUS,Dean I was thinking the same
1548749905072175,12:27,Talloolah Moon,Is Hellens says guptas unfairly considered? Not sure what’s going on
1548749908461238,12:31,Neaven Moloko,There are a lot of hidden things that our people are not telling us. Just waiting for the cross examination
1548749919703698,12:42,muneri rembuluwani,I wish agrizzi continues 😘
1548749934415248,12:57,Desmond Masilela,@Yandi Masina. Thank you Yandi. Who is this Trevor?
1548749938870305,13:02,Jake,"@Desmond Masilela , THE GUPTAS are trying to cry a bucket of tears becasue they feel like they have been wronged, they also do not want to come back to SA"
1548749942344363,13:05,Mudau Rudzani,we need agrizzi
1548749952669571,13:15,Yandi Masina,Manuel. Trevor Manuel.
1548749958801498,13:21,Amanda Bentsile,Wasnt Agrizzi going to continue namhlanje?
1548749969922424,13:33,Mudau Rudzani,agrizzi
1548749971885112,13:35,Linda ERASMUS,Guptas want to come back....their competition Watson is going to jail....
1548749975126925,13:38,Yandi Masina,House keeping???
1548749983842566,13:46,Desmond Masilela,@Yandi Masina. Thank you Yandi
1548749990571339,13:53,Jake,Trevor is the dodgy guy zuma used and got out of jail for a sickness!1
1548749994470373,13:57,The Vuka Experience,Y’all think Kwesta’s voice is sexy? Listen to Zondo 😀
1548750000717718,14:02,michael mbatha,Agrizzi will continue at 10h30
1548750014254355,14:17,Mudau Rudzani,nah zondos voice is off
1548750016908075,14:20,Neaven Moloko,@king 😂😂😂😂😂
1548750018446066,14:21,Desmond Masilela,@Jake Ellis. Thank you Ellis.
1548750021269062,14:24,rohan barnard,they barely even started and they want a 10 minute break after starting 10 minutes late 😴
1548750028177617,14:31,Yandi Masina,@King Vuka 😂😂😂 my Mom loves Kwesta.
1548750028785260,14:32,Amanda Bentsile,Okay Michael
1548750043720706,14:46,Coco,i am here for King Agrizzi
1548750059854795,15:03,Reply Mahlangu,So the Guptas just decided to waste our time... they feeling forgotten
1548750060182179,15:03,Neaven Moloko,@rohan taxpayers money being chowed
1548750064298154,15:07,The Vuka Experience,Enjoy Zondo’s voice because we’ll be listening to Grizzly bear soon 😂
1548750065028278,15:08,muneri rembuluwani,thanks Michael.. agrizzi has lot of meat to offer in this commission
1548750071496645,15:13,Talent P Sibisi,This is shirt nobody is goner go to jail here mnxn
1548750074978603,15:18,Amanda Bentsile,Abagogo for they might be amused by Zondo's voice
1548750075300716,15:18,PUO Maisela,AGRIZZI FOR PRESIDENT!!
1548750081339970,15:24,Talloolah Moon,Guptas tjanking?
1548750091820253,15:35,The Vuka Experience,@Yandi Masina haha you should get your mum to listen to Zondo lol
1548750117982653,16:01,rohan barnard,am I missing something here.... Are the guptas also linked to bosasa?
1548750130162603,16:13,muneri rembuluwani,ha ha ha agrizzi for premier
1548750130276832,16:13,Yandi Masina,@King Vuka Will do😃😃
1548750130660538,16:14,Nathi Tshabalala,The hatred (Zondo) commission yet again.
1548750140090922,16:23,Jake,"@Desmond Masilela , the guptas want to cross examine a few witness but the chair has not allowed it because they want to do it from Dubia and don't want to come back to SA to testify."
