timestamp,time,author,message
1547798574906340,-5:45,PETER STAFFEN,is it going to be on today
1547798620707948,-4:59,Natacha Nsengiyumva,it should be
1547798673470111,-4:06,Desmond Masilela,Yesterday we wait until 15h00 before we got feedback. Now is 10h05 its still not live.
1547798731594629,-3:08,siyabonga dlamini,is agrizzy still alive though
1547798746154585,-2:53,Always Nice2013,Watching enca they say it will come on
1547798782240661,-2:17,siyabonga dlamini,ohk let me chance to enca
1547798800854220,-1:59,Bhuga ZA,i jst hope security issues wont be a problem again....
1547798809871783,-1:50,Always Nice2013,They also waiting for the feed.
1547798855450440,-1:04,pierre badenhorst,this is better than netflix!
1547798881072691,-0:39,David Mlilwana,evidence is out there now heads must start to roll
1547798917333245,-0:02,Always Nice2013,"The secretary of the state capture commission of inquiry, Dr Khotso de Wee, is implicated in testimony before the selfsame commission by former Bosasa top boss, Angelo Agrizzi."
1547798944807536,0:13,Always Nice2013,We on.
1547798980173032,0:49,siyabonga dlamini,kwashuba madoda
1547798993426981,1:02,Jane .Blamire,Here we go.....
1547798998595814,1:08,Mzwanele Bekayeke,yaaaaaay!!!
1547799000572673,1:10,Sizwe Mogale,I'm so looking forward to today
1547799001070708,1:10,Andre Gerber,this is better than soapies
1547799022796630,1:32,Nozipho Thembeka,🤸🏻‍♂️🤸🏻‍♂️🤸🏻‍♂️🤸🏻‍♂️🤸🏻‍♂️
1547799049998811,1:59,wisani ndhlovu,Is on 🔥🔥🔥🥊
1547799067541225,2:17,siyabonga dlamini,yeah hey
1547799068556123,2:18,Bhuga ZA,💃💃💃💃💃💃💃
1547799086737497,2:36,siyabonga dlamini,we need some names today big names
1547799122618461,3:12,Desmond Masilela,I like this man his so brave.
1547799132524195,3:21,Thabo Ndlovu,We are glad he is still alive
1547799156431919,3:46,Brandon Tommy White,Jesus
1547799158607332,3:48,siyabonga dlamini,he near dead so he have nothing to loose
1547799192129712,4:21,siyabonga dlamini,yes a @brandon
1547799280059202,5:49,Level Ground Boerboels,better to die for the truth that to die with the truth
1547799322248494,6:31,siyabonga dlamini,now the country would change to another direction
1547799334435100,6:44,Level Ground Boerboels,he is never going to be killed.. it will be useless for the ppl implicated to kill him coz the damage on their part has been done n it is documentated.
1547799337919430,6:47,Amanda Watson,This man's jacket is a marquee
1547799345261761,6:54,Lincedile Mxesibe,woooow ziyabuya deeeeem sizova zinto thina zilanjana
1547799360450424,7:09,ramotodi moraba,"ohhh LORD , THIS SERIES CALLED COMMISSION"
1547799427659548,8:17,Bulelwa LETICIA Makhanya,"@siyabonga dlamini true hey, truth will be reveal and the world is watching."
1547799496001501,9:25,siyabonga dlamini,everyone hey I head yesterday mabuyakhulu some stuff of his house we locked down
1547799564590010,10:34,Level Ground Boerboels,mabuyakhulu is being punished by the Zuma faction @siyabonga dlamini
1547799593450345,11:02,Sandile mngomezulu,they should just make a movie of this commission... kfiwa kakhulu
1547799615581937,11:25,Level Ground Boerboels,@ siyabonga Dlamini. mabuyakhulu want to he chairperson.. he is on the CR7 slate
1547799623148867,11:32,siyabonga dlamini,That's means many would be going down
1547799636804566,11:46,ramotodi moraba,"page 600 , aowa"
1547799645432610,11:55,Makwa Choma,African national corruption
1547799650211263,12:00,kingsley spelling bee tv,OFFICIALS will definately change their old ways of corruption. They are exposed daily
1547799711627440,13:01,Bongumenzi Nxumalo,Can the banks also be consistent with Bosasa and close their accounts!!
1547799713634876,13:03,Level Ground Boerboels,the whole of ANC structure was suppose to be changed n we have young clean n educated ppl.. remove the old fools who are lining up for the money
1547799731085753,13:20,Mooks689,Makwa Choma​African national corruption😀😀😀
1547799739765770,13:29,siyabonga dlamini,there must we are all suffer as the country
1547799759383137,13:48,Scyaa Glad's,I'm with you @kargo karas
1547799760468978,13:50,Level Ground Boerboels,@maraba yes 600 hahahha
1547799763406574,13:52,William Pieters,well said @Cargo Karas
1547799794081758,14:23,douglas gwambe,ANC ANC ANC CORRUPT CORRUPT CORRUPT
1547799813474401,14:43,Bulelwa LETICIA Makhanya,"some people never learn, the will come up with some strategies to do what they do best @kingsley sebola"
1547799827954565,14:57,G_man,how many people have volunteered to testify so far?
1547799847715725,15:17,Prescott Smith's Fly Fishing Academy,I am watching from The Bahamas. I hope South Africans vote for the EFF PARTY. the freedom of Blacks all over the world are depended on them winning
1547799887550119,15:56,Mooks689,Bulelwa LETICIA Makhanya I agree with u they will never stop untill the government take corruption serious and punish them.
1547799888640041,15:58,Level Ground Boerboels,"that can never be a solution a@Thando Nkutha.. the corrupt one must be jailed, coz if they are only voted out n no jail. the next group who will be voted in will do the same"
1547799893182326,16:02,Amanda Watson,Mncwabe not Mmwabba
1547799964503745,17:14,siyabonga dlamini,there must go to jail this is breaking of the law
1547799988806701,17:38,Andre Gerber,"seems like most political parties are corrupt, ANC EFF DA"
1547799995956802,17:45,Prescott Smith's Fly Fishing Academy,note Europeans and even most persons of Indian decent are all voting against the EFF. this should show blacks that they are not interested in Africans being in control of their Land & MINERALS
1547800006461592,17:55,Singi Mathebula,who will ever go to jail realy? sickening.
1547800021655320,18:10,Bulelwa LETICIA Makhanya,"@siyabonga Dlamini, they even know what law is mara?"
1547800053664410,18:43,Level Ground Boerboels,"@ Prescatt Smith.. stay in bahama, we cant replace corruption with corruption. u want us to remove the father n replace him with the son.. u want us to kill the mother snake n leave the baby snake"
1547800078660582,19:08,Victor,80???
1547800081501655,19:10,Victor,terrible
1547800082688889,19:12,Houws Houlinou,@Bulelwa LETICIA Makhanya Do you think people who vote for the ANC also votes against the EFF?
1547800101200272,19:30,Andre Gerber,nicely said Cargo
1547800104329759,19:33,Singi Mathebula,80 at the expense of the black majority. 😭😭
1547800120365584,19:50,Friday Ngobeni,Jail is knocking on someone door.
1547800131125268,20:00,Shantaal Meter,stop
1547800139669265,20:09,siyabonga dlamini,there time now is over this testimony is the one that was lacking now with this npa have every to prosecute them
1547800141199980,20:10,Thabo Malete,"the guy is supporting his statements with proof, not some ""lets join the dots"" and people call that damning report"
1547800158766039,20:28,Moses Magoba,They should publish the names like they did with VBS
1547800166035136,20:35,Desmond Masilela,@Friday Ngobeni. 😂😂😂😂 to who?
1547800205407136,21:14,Singi Mathebula,do we have jails for the haves? the answer is no . jails are for the poor
1547800220210625,21:29,Andre Gerber,hahaha they wil have to build 6 more jails to put all these corrupt cronies in
1547800240474153,21:49,Houws Houlinou,@Singi Mathebula The problem is power corrupts
1547800264441617,22:14,Singi Mathebula,absolutely.
1547800272580208,22:22,Prescott Smith's Fly Fishing Academy,kargo I am only telling you what we see from all over the World to vote anything other than EFF it means blacks all over the will remain oppressed for land and mineral sciences.
1547800280799204,22:30,Nelly Gordons,mazivele bethuna iinyani ngoku kubi
1547800287875679,22:37,Level Ground Boerboels,hahahaha @Andre Gerber... I can give away my 174ha for those jail to be build
1547800322850181,23:12,Andre Gerber,"corrupt: ANC - Gupta related. EFF- VBS , DA - also received cash from the Guptas"
1547800324611981,23:14,Singi Mathebula,eff i maseve wa vukungndwana
1547800340222544,23:29,ramotodi moraba,"I hope 30 , are not ANC an thy alliance sacp .num etc"
1547800363625030,23:53,Level Ground Boerboels,Eff is corrupt n we dont need to replace corruption with ppl who are corrupt n hungry
1547800396981696,24:26,douglas gwambe,ANC preconference now please to explain this nonsense to the nation.
1547800419739034,24:49,siyabonga dlamini,there must all go down now 1st there are dividing us as the country
1547800435226244,25:04,ramotodi moraba,15 million minus 2bilion goes to ANC AN Alliance
1547800453804909,25:23,Zack blade,Viva eff viva
1547800463977730,25:33,Sizwe Mogale,but EFF doesn't even have a municipality. how are they corrupt when they are only in parliament
1547800466012659,25:35,Zack blade,Eff our savior…
1547800485214295,25:54,Andre Gerber,we'll have to start a party and South Africans (the people them self must choose the leaders
1547800504469045,26:13,Sizwe Mogale,calling EFF corrupt isnthe dumbest thing I've heard
1547800515204853,26:24,Thabo Malete,"@Andre Gerber but report that we got with regard to VBS never implicated EFF, i don't understand what are you trying to achieve with that unfair deliberate wrong accusation"
1547800524293115,26:33,Prescott Smith's Fly Fishing Academy,"cargo karas who to vote for that will bring equality for Africans? note from the Berlin Conference in 1884 Africa and it's people, including my ancestors were exploited for land & MINERAL resources"
1547800537938557,26:47,ramotodi moraba,"500000 to campaign for ramaphosa and his son doing business with bosasa! wht kind of business, collecting cash every month , life is gud at anc"
1547800549579517,26:58,Houws Houlinou,@Andre Gerber And a law prohibiting public officials to do business in other areas. Also their finances should be published each year
1547800569830842,27:19,Sizwe Mogale,Andre is not a thinker. he knows how to sound like one but he's not
1547800591011621,27:40,ramotodi moraba,vote EFF
1547800614644250,28:04,Zack blade,Eff
1547800620403005,28:09,Zack blade,Eff
1547800625446003,28:15,Zack blade,Eff
1547800654302121,28:43,Level Ground Boerboels,@ Toni.. so that we can turn banana republic
1547800663242879,28:52,ramotodi moraba,Even judges are corupt in SA
1547800685796811,29:15,Miranda Valashiya,the only punishment is to seize all what they possess so that they become poor like people that they took advantage of .
1547800693937769,29:23,ramotodi moraba,vote for change like DRC
1547800702871497,29:32,Zack blade,Eff= our land is coming back this year
1547800707949375,29:36,Houws Houlinou,@ramotodi moraba But the EFF is part of the judicial committee appointing judges
1547800721574585,29:51,Miranda Valashiya,EFFis the way.
1547800731395624,30:01,Makwa Choma,EEF are graduates of corruption from the university of ANC
1547800742905031,30:12,Bulelwa LETICIA Makhanya,R70000 just laying around in a rubbish bin. oh wow!
1547800751928650,30:21,Moses Magoba,Zondo speaks like he doesnt want to
1547800765414875,30:34,Prescott Smith's Fly Fishing Academy,Toni John note I ask Cargo who to vote for that will bring freedom for Africans from those who are only their to exploit Africa & her people for their land and MINERAL RESOURCES.
1547800770437204,30:39,Singi Mathebula,spot on choma
1547800809671806,31:19,Level Ground Boerboels,@Toni.. be aware of what u are wishing for..
1547800823861718,31:33,ramotodi moraba,"Whr is bosasa office , I want cash to study masters"
1547800830849081,31:40,Viktombi,R70k going to the dust bin
1547800839722351,31:49,Bongumenzi Nxumalo,"la Chap kaMr Watson, is he still alive??"
1547800851016819,32:00,Zack blade,"Eff gave us free education( fee must fall), Zuma paid back the money(eff), nationalization of banks only eff can deliver✌💓👍💞💪💪💪💪"
1547800880672506,32:30,Houws Houlinou,@Toni john Nothing is free. You will be paying for it when you start your job and start paying tax
1547800880787116,32:30,Level Ground Boerboels,toni u are misleading ppl here
1547800886998380,32:36,Makwa Choma,"We south africans should love our country more than we love political parties, we don't have another country spare somewhere"
1547800895753816,32:44,Prescott Smith's Fly Fishing Academy,Cargo Karos having black skin does not mean a person is not EUROCENTRIC in their thinking. you still have not answered me when it comes to freedom for Blacks.
1547800907504284,32:57,Level Ground Boerboels,eff did nothing.. no free education was brought by eff
1547800973708611,34:03,Level Ground Boerboels,@Prescott Smith.. if u are saying freedom for blacks u mean the Africans in south africa or the world
1547800982195658,34:10,Buyiswa Mnyani,"UDM is the party to vote for, even Mandela would agree with me. Bantu Holomisa is the best candidate to lead this country to greater heights."
1547800986823080,34:16,Buyiswa Mnyani,vote UDM
1547800992636955,34:22,Makwa Choma,"If u listen this, why would u go n vote for ANC"
1547800995833575,34:25,Buyiswa Mnyani,vote UDM
1547801000671408,34:30,Buyiswa Mnyani,vote UDM
1547801007997040,34:36,Nkosinathi Ngubane,yes
1547801022097291,34:51,Makwa Choma,"Why ANC, why"
1547801027064629,34:56,Thulani Mthembu,EFF will win the election @buyiswa
1547801036466729,35:05,C D,"""Integrity"" what an oxymoron!"
1547801040542087,35:10,Prescott Smith's Fly Fishing Academy,Toni John If EFF win it would mean FREEDOM FOR blacks all over the globe. we have the same mindset of a small GROUP of European BACK who exploit the economy. same throughout the entire region
1547801045882358,35:15,Zack blade,Eff eff
1547801051336220,35:21,Zack blade,Eff
1547801055293378,35:24,Zack blade,Eff
1547801057983130,35:27,siyabonga dlamini,anc
1547801059289223,35:28,Zack blade,Eff
1547801078163077,35:47,nic Chef,Vbs!
1547801078414236,35:47,Kgosietsile Makau,#Asijiki #EFF
1547801105785368,36:15,Thulani Mthembu,#MalemaForPresident
1547801113841449,36:23,Superni Ue,so who are the corrupt politicians and parties in SA?
1547801114265467,36:23,Level Ground Boerboels,@Prescott smith. u are in bahama.. am in south africa. south African politicians are corrupt. more a special our kid. We always have a sense of entitlement and worse we are corruptable..
1547801115003608,36:24,siyabonga dlamini,I don't care who would be on top as long there are not corrupt
1547801116530888,36:25,Houws Houlinou,You are scr#wed if you think any party is going to bring positive things into your life.
1547801120961647,36:30,Eugene,hi eff zombies how you all doing
1547801129088947,36:38,teddy buckshat,EFF All The Way.....
1547801137703062,36:47,Singi Mathebula,its time for the country to consider reviewing the electoral system . this party thing is not taking us any where.
1547801139796440,36:49,nic Chef,Vbs
1547801148901043,36:58,Sizwe Mogale,coming for the land @euegene
1547801150880089,37:00,Nozipho Thembeka,@Thando which guy??
1547801155436839,37:05,Thulani Mthembu,@superni Ue which country are you from?
1547801162597945,37:12,Zack blade,Eff
1547801166007355,37:15,Zack blade,Eff
1547801167034154,37:16,siyabonga dlamini,who @thando
1547801171219568,37:20,Level Ground Boerboels,The only way to clean the system is never vote ppl based on their skin colour.. never vote based o revange coz that alone never benefited anyone but corrupt the system more
1547801171528836,37:21,Zack blade,Eff
1547801172263363,37:21,Superni Ue,NZ
1547801173951256,37:23,nic Chef,Vbs
1547801195803007,37:45,Moses Magoba,when is Mr Watson coming?
1547801207411669,37:56,Makwa Choma,Iam Asking a question here please
1547801210607724,38:00,siyabonga dlamini,nope he won't he is the state witness
1547801237765270,38:27,Thulani Mthembu,You are not welcomed here go back to the UK
1547801244439737,38:33,The Edge Search,"Its sad to see how ANC is so corrupt when we don't have alternative political party with clear manifesto. EFF is Julius Malema liability, DA you can't separate them from racism."
1547801247851985,38:37,Prescott Smith's Fly Fishing Academy,"Cargo Karos EFF winning means it would change the state of Blacks all over the world. The US, And all European countries are all benefiting from the exploitation of your minerals resources."
1547801273679200,39:03,John Wilson,"even thou he is guilty in all this , you have to admire and thank him for his honesty..."
1547801277661539,39:07,Makwa Choma,When listening to this why go reward the ANC with votes
1547801284955270,39:14,Eugene,@Sizwa Mongoga what is your plans with the land?
1547801312258756,39:41,Houws Houlinou,Everyone in the private industry knows you won't get any business from government if you don't pay bribes
1547801359421090,40:28,John Wilson,@ Thando would we know all this now if it were not for him?
1547801366060040,40:35,Desmond Masilela,I want to know the name of politician who received the money
1547801373913877,40:43,siyabonga dlamini,because it's our party @makwa not all of them a corrupt
1547801420130434,41:29,teddy buckshat,They are all Corrupt.....
1547801420835083,41:30,Makwa Choma,"Will they face the might of the law, or atleast great the magistrate"
1547801431333323,41:40,John Wilson,its a step in the right direction ! atleast he has the balls to come to the commision.... i dont see the others lining up to take the seat..
1547801436750925,41:46,Buyiswa Mnyani,Malema is ready to do what the ANC even better than the ANC. it will be a great danger if we put Malema in power. hooooooooo my word i will flee to Europe should Malema ever rule.
