timestamp,time,author,message
1548677453022037,9:23,jeevan singh,wow what
1548677458702350,9:29,FRANS SEBOLA,U can say that again....Woooow
1548677483827932,9:54,Stephan Dolk,Just conne ed.
1548677503476972,10:13,Stephan Dolk,wow what. Just connected
1548677503593001,10:13,Ewald Kruger,Just missed that! What happened guys?
1548677575387084,11:26,adam october,what you do in the dark shall come to light
1548677581757875,11:31,Mfazozo Mthethwa,yaaaa neh dudu myeni u a corrupt really like u father
1548677592180335,11:42,S Mhlabase Msibi-Gordon,the rot runs so deep in South Africa
1548677632597709,12:23,Mfazozo Mthethwa,Zuma dudu myeni Zuma
1548677777132959,14:47,Prescott Smith's Fly Fishing Academy,watching from The Bahamas
1548677888672645,16:39,Themba Zulu,"Anywhere where corruption is discussed, you 120% that zuma's name will be mentioned...yhoo mabasale bemphumuza okhokho bakhe, aphumule. this is too much."
1548677899215479,16:49,S Mhlabase Msibi-Gordon,"i'm in Hanoi, Vietnam. so embarrassing when my friends see this.. but i hear this happens here too"
1548677935311203,17:25,Prescott Smith's Fly Fishing Academy,I hope South Africans vote out the ANC so they can have to true economic INDEPENDENCE . get their land and control of their MINERAL RESOURCES
1548677981332253,18:11,Michael Michael,Prescot no ways
1548678024423066,18:54,Jack Sparrow,@Prescott Smith​ mineral resources aren't in big demand nowadays
1548678077653942,19:48,Peter Sant,Zuma was just a demon came to sell our country
1548678098776885,20:09,S Mhlabase Msibi-Gordon,jack sparrow what do you think the demand for land is?
1548678152992221,21:03,Jack Sparrow,"@S Mhlabase Msibi-Gordon demand for land is high, but nobody is going to get their own little piece, like they imagine"
1548678186085233,21:36,Peter Sant,we can't blame ANC by giving a person an opportunity to serve his people.yet changed to be corrupt
1548678238438634,22:29,Prescott Smith's Fly Fishing Academy,"Michael Michael well the root is the same we face here. the COLONIAL structures means they only gave you political INDEPENDENCE, while they buy the politicians by funding your elections."
1548678256106216,22:46,Kabamba Chipulu,theres a smoking gun....
1548678317101324,23:47,Mollo Booi,"nono @ Peter Sant, the rot didn't start with Zuma. Zuma just ate with different people then they exposed him.."
1548678356513356,24:27,Prescott Smith's Fly Fishing Academy,"Jack sparrow The U.S., Europe and now China all suck the mineral resources from all throughout Africa, while they prop up corrupt politicians and maintain the economic apartheid system"
1548678388777985,24:59,S Mhlabase Msibi-Gordon,but Peter Sant it is members of the anc who either perpetuated or turned blind eye on corruption. they have been entrusted by the majority of south africans yet they betray
1548678426087246,25:36,Jack Sparrow,@Prescott Smith with the price of resources at the momeny there's no point in taking it out of the ground
1548678466401430,26:16,Lusalobe Kabamba,This is scary. it appears that the country was not only captured by the Guptas
1548678590568867,28:21,Ramasodi Sekgothe,The guptas are just a fraction of the corruption that took place during jacob's reign. Bosasa is corrupt.
1548678606303250,28:36,Prescott Smith's Fly Fishing Academy,"Jack sparrow MINERAL RESOURCES comes in many forms. it's not just gold, diamond, copper or platinum. Africa and blacks all over the world will never be truly Free unless apartheid truly ends."
1548678626781427,28:57,Kids Collie,Lol Dudu sent text messages to ENCA about todays testimony
1548678682911373,29:53,Jack Sparrow,@Prescott Smith who in the world is truly free?
1548678735095465,30:45,Prescott Smith's Fly Fishing Academy,"When South Africans vote vote out this level of corruption and take control of the their land, it means blacks all over the world can truly be free. Berlin Conference was all about LAND & MINERALS"
1548678787115380,31:37,Usuthu Deep,I LIKE IT MR AGRIZZI BUT YOU ALSO YOU MUST GO DOWN WITH THEM
1548678826821262,32:17,Kids Collie,"@Thando Nkutha ""For the record I have never had a meeting at Bosasa offices with Gavin. We went as a delegation to the prawn plant. It was an official visut. This man is lying"""
1548678839820306,32:30,Kids Collie,*visit
1548678842829960,32:33,Prescott Smith's Fly Fishing Academy,Jack sparrow I am quite sure you fully understand the history of Africa and Europe. They are all through Africa only because of Land and mineral RESOURCES.
1548678843405760,32:33,Jeff Towell,Blacks are in control Prescott in South Africa. This level of corruption was voted in under a free and fair vote.
1548678945706606,34:16,makhosi nobhatyi,🤦‍♀️😃😃😀
1548678949689963,34:20,jeevan singh,The ANC must fall come next election. only idiots will vote them into poor.
1548678966603624,34:37,Desmond Masilela,Zuma now......!!!!!
1548678974902353,34:45,Prescott Smith's Fly Fishing Academy,"Jeff towell blacks are not in CONTROL in South Africa, where I live in The Bahamas is no different. political INDEPENDENCE ONLY with puppet politicians. Throughout The Caribbean is the same."
1548679003112198,35:13,Risuna Manganyi,yhuuuu
1548679014348611,35:24,Zolani Mnqika,😎
1548679023987959,35:34,Mzwanele shange,Ramaphosa us going to clean this cowntry..... viva ANC 75% of the electorate viva ✊
1548679081053120,36:31,Jeff Towell,"Prescott, I cannot speak for the Bahamas. There is however, no claim in South Afirca or by any independent electoral committee that the ANC is in power without a majority black vote."
1548679108315422,36:58,Jack Sparrow,"@Prescott Smith I'd love to see the end of the ANC, but the political will to get rid of them isn't there"
1548679111644238,37:02,Mzwanele shange,ANC must pull a zanupf on all those who doubt it...... unleash the soldiers and whip them 😊
1548679137465622,37:27,Kids Collie,@nichol shange what soldiers? hahaha
1548679138953468,37:29,Zolani Mnqika,Unendaba lomfo😂😂😂
1548679153467721,37:43,Dan Bourne Yeshurun,Yayy back
1548679154338327,37:44,Mzwanele shange,whip them ANC whip them✊✊✊✊✊✊✊
1548679194422908,38:24,"Ike, Mashaba",ANC must take 5 years break it will come back disciplined
1548679221062706,38:51,Thulani Bukani,It’s getting real now!!!
1548679226504472,38:57,Temezulu Tshabalala,ANC will never loose governance of this country to the opposition but will surrender to the opposition.
1548679256429036,39:26,Prescott Smith's Fly Fishing Academy,"Jeff towell , I have studied this system all over the globe. most of the mineral resources on Earth are in Africa. The COLONIAL status quo only gives you political INDEPENDENCE."
1548679267869589,39:38,Mzwanele shange,minister of defense should unleash soldiers on the people who registered to vote other parties than the ANC.... those need a whipping hard! ✊
1548679290693559,40:01,Dan Bourne Yeshurun,Dudu Myeni already responded..
1548679295409159,40:05,Jack Sparrow,@nichol shange you may notice that nobody's taking your bait...
1548679302829415,40:13,MIKE DURBAN,Hehehe...die poppa gaan nou dance...
1548679309323550,40:18,Dan Bourne Yeshurun,lol send me
1548679321692797,40:32,"Ike, Mashaba",@Thando Nkutha this has been order of the day
1548679325989694,40:36,Dan Bourne Yeshurun,send meat #mamaaction
1548679349216884,40:59,Mzwanele shange,it's no bait but a direct statement to comrades who are here on YouTube in millions....
1548679393139748,41:43,Jack Sparrow,"@nichol shange millions, or 1325. Either way"
1548679402419911,41:53,Prescott Smith's Fly Fishing Academy,Jack sparrow beleive you me I am speaking truly from a neutral point all the way from The Bahamas. we are faced with the same economic apartheid system.
1548679417204607,42:07,MIKE DURBAN,@Nichol...hehee...you brainwashed my Bra..
1548679502338884,43:32,Dan Bourne Yeshurun,thuma ukudla
1548679504933601,43:35,Bongumenzi Nxumalo,Bullet proof lols
1548679515543891,43:46,Chima Ramukhesa,😂
1548679544552019,44:15,Jack Sparrow,"@Prescott Smith you call it economic apartheid, but it's just the power of capital - like marx described 150 years ago. Nothing has changed"
1548679556557460,44:26,Njabulo Khuzwayo,Guys can anyone get us drinks I can't move
1548679567401511,44:37,Chima Ramukhesa,@goolamv you can say that again🙆🏽‍♂️
1548679569787276,44:40,Thabang M,😉Bullet proof
1548679570187559,44:40,Jeff Towell,"Prescott, you're welcome to your conspiracy theories. I do not support the ANC but accept that they have majority support. You get what you vote for - no one else to blame."
1548679774062398,48:04,Viwe NGELE-NGELE,I think his drinking hot staff
1548679809581389,48:39,Vogue Ham,when wilp je talk about ramphoria shady deals? fake commission
1548679817607977,48:48,Sanele Ntshangase,@goolam he's moving his assets for dure.
1548679827611314,48:58,Thabang M,He's definitely watching
1548679829945903,49:00,Viwe NGELE-NGELE,his on medication also
1548679854972376,49:25,MIKE DURBAN,Dubai...??????
1548679898801265,50:08,"Ike, Mashaba",Baba is in the centre of debacle
1548679936346767,50:46,MIKE DURBAN,Also for Jacob and Co...
1548679982564536,51:33,Hilda Monama,dont thnk so he wont cme struu mnx
1548679990129235,51:40,"Ike, Mashaba",Baba must come and answer for himself
1548679999130704,51:49,Mzwanele shange,Agrizzi is a stounch criminal.. a shady character of note..... whose word shouldn't be taken at face value. one has to apply themselves carefully listening to him.
1548680031778267,52:22,Eslon Eslon,The biggest mistake the ANC made which am sure they are regretting now was to make Jacob Zuma president
1548680053415634,52:43,MIKE DURBAN,@Nichol....the law courts will decide.....
1548680100917465,53:31,Dan Bourne Yeshurun,lol refute 10 years of damning evidence
1548680109763029,53:40,jeevan singh,Zuma is the downfall of the ANC.
1548680116981176,53:47,Amanda Bentsile,@Eslon Eslon thats true because it's all because of him sebuchitheka bugayiwe
1548680131176238,54:01,Jack Sparrow,@jeevan singh is captured
1548680162586973,54:33,S Mhlabase Msibi-Gordon,but Agrizzi has at not point disputed being in it. he'shere because he is a whistle-blower. he will have his day in criminal court
1548680186517889,54:56,Mzwanele shange,in the olden days underground this con job would have been dealt with....vrry early
1548680190699513,55:01,Amanda Bentsile,When looks the other side what/who is he looking at?
1548680196102382,55:06,MIKE DURBAN,Guys......the truth will always prevail......doesn't matter how long it take.......the long arm of the law etc etc..
1548680248077288,55:58,Mzwanele shange,what a criminal this Agrizzi is.....
1548680273028990,56:23,Bridgette Kekana,yes Mike Lock
1548680299401294,56:49,Kids Collie,@nichol shange Dudu is that you?
1548680312216288,57:02,Tumiso Makgolane,those implicated should be arrested
1548680327490432,57:17,Eslon Eslon,They remove Thambo Mbeki simply bcos they all wanted to steal but things are now badly backfiring and the image of the party completely damaged
1548680392008826,58:22,Pumla Mtyeku,Spot on...@Elson Elson👏
1548680422396088,58:52,Pumla Mtyeku,Thabo!
1548680437108968,59:07,Bridgette Kekana,spot on
1548680443952018,59:14,Billy Mathibela,completely damaged
1548680470440679,59:40,Eslon Eslon,whoever vote for the ANC after hearing all this damming revelations will be voting to further corruption and they will make fool of themselves
1548680501505622,1:00:12,Bridgette Kekana,we are no longer fools
1548680510078220,1:00:20,Phillip Khomo,k
1548680527542259,1:00:38,Billy Mathibela,i never vote for anc
1548680541651782,1:00:52,Itumeleng Mokoena,VIVA ANC VIVA!!!
1548680546003600,1:00:56,Itumeleng Mokoena,ANC
1548680547724335,1:00:58,Itumeleng Mokoena,ANC
1548680549137694,1:00:59,jack frost,DA all the way!
1548680549665604,1:01:00,Itumeleng Mokoena,ANC
1548680564291576,1:01:14,Phillip Khomo,why
1548680592481220,1:01:42,Itumeleng Mokoena,"In your dream Jack, DA will never govern"
1548680618897074,1:02:09,Mzwanele shange,viva ANC viva.......
1548680642117786,1:02:32,Bongumenzi Nxumalo,Regie Regie!!
1548680642242971,1:02:32,jeevan singh,DA WILL GOVERN
1548680643272480,1:02:33,jack frost,WP a province that actually works 😃
1548680660597560,1:02:50,Phillip Khomo,I think need to know politic
1548680664916280,1:02:55,Itumeleng Mokoena,Amandla!!! Cde Nicholas
1548680667425311,1:02:57,Bongumenzi Nxumalo,Ben 10 kaNomvula Reggie wabantwana
