timestamp,time,author,message
1542021563705903,-38:01,Brandon Mphela,Is it done?
1542022069221985,-29:36,Jabulile Mazwane,I think it's lunchtime
1542023245638334,-9:59,Mali Mthimkhulu,isukile
1542024111778026,4:17,Marvel Ramatshela,"Guys, it's 2pm l"
1542024126454833,4:32,Marvel Ramatshela,they must come back from lunch now
1542024220063009,6:06,Jan Badkamer,kfc is too nice
1542024373415433,8:39,Clive Sibbs,its 206 pm.are they still at Busy Corner?
1542024493605998,10:39,Musa Kgoete,probably McDonald
1542024536250038,11:22,Desmond Masilela,African time
1542024540326065,11:26,Tienie Rabie,in 45 min time its tea brake
1542024568196866,11:54,Chioma Jonathan,Have u
1542024638283408,13:04,Mali Mthimkhulu,The ppl will liberate themselves no one else will
1542024664732155,13:30,Thabo Mabaso,They are back from Busy Corner
1542024718671455,14:24,skhumbuzo mahlalela,it happening in mzanzi
1542024757185448,15:02,Thabo Mabaso,Chairperson Zondo is tooth picking he's coming
1542024758453675,15:03,Chioma Jonathan,They
1542025015370898,19:21,solethu matrose,eaWEDAsoiH
1542025035426840,19:40,solethu matrose,USEZINTLUNGWINI LOMAMA YHUU
1542025038942456,19:44,Chioma Jonathan,"@malibongwe as simple as ur statement is, it is the most powerful thing that could ever happen to any human race,which is why the govt do everything possible to keep the people in sleep mode."
1542025057860740,20:03,Marvel Ramatshela,"17 mins later, we are still waiting for the chairperson.🙄"
1542025100294000,20:45,solethu matrose,@Marvel Ramatshela WHO SAID JACKING OFF WAS AN EASY TASK.
1542025108234392,20:54,Aziz Makae,what
1542025138969548,21:24,K,@solethu 😂😂😂
1542025152787705,21:38,Aziz Makae,what now?
1542025156902250,21:42,Eugene Fray,its after lunch chats
1542025170567066,21:56,Mali Mthimkhulu,"@Chioma Jonathan yep, indeed. no any other way"
1542025179012354,22:04,Desmond Masilela,Chairperson had 1hr now his intending to take 1:30hr.
1542025186329018,22:12,solethu matrose,i missed part 1 did he bring any evidence?
1542025209110742,22:34,solethu matrose,i mean she
1542025224452178,22:50,Charlene Botha,Mr Delivery was late.....give him a break...
1542025256874822,23:22,Sthakathi Khumalo,Who is playing idibala in the background
1542025279262776,23:44,Robert Russell,This is why they need two years to finish the Commission..... too much KFC at lunch times
1542025296267804,24:02,Trucker Trucker,"State Capture flames are now burning even those who fanned them. Nene, Pravin, more shall follow. Zuma warned them."
1542025311561856,24:16,Desmond Masilela,"When chair person come back he will say ""I'm sorry i'm late"" watch the space."
1542025322727392,24:28,Andre Heydenrych,"""Burp...."""
1542025344131149,24:49,Marvel Ramatshela,"let's not forget that this commission was Estimated to cost us R230M if run for six months, you can do the maths for 24 months. - For the facts we spread know..😏"
1542025357435790,25:02,Xolile Mqungquthu,smallernyana skeletons we want them out
