timestamp,time,author,message
1542110607523863,0:31,solethu matrose,we back
1542110648901686,1:13,Desmond Masilela,Whose this now?
1542110696623762,2:01,Lucky123 Thwala,lawyer for Mcebisi Jonas
1542110709911247,2:14,Desmond Masilela,Thank you Lucky
1542110765246822,3:09,noko yamebetlwa,welcome Desmond
1542110853344915,4:37,Desmond Masilela,Thank you Noko.
1542110878775546,5:03,Desmond Masilela,lest hear what is this man saying on behalf of Jona.
1542110881174636,5:05,Desmond Masilela,Jonas
1542110946444597,6:10,Thato Lekoma,we back on
1542111092619174,8:37,Antoine Johnson,"Thé State Capture Is A Hustles Within A National Capture Is A South Africa Advancement Fore Future Taxes,Less Obstruction,An A Point Break Of History Legers"
1542111141761866,9:26,Sipho,This nonsense of postponing is started by PG
1542111228710822,10:53,Desmond Masilela,This postponement annoy me. This people where told before to avail them selves. I don't understand why people keep on postponing.
1542111328138543,12:32,Desmond Masilela,Hope Zondo will not grant this thing of postponement.
1542111356021111,13:00,Ray Legodi,he has granted
1542111428649287,14:13,Amos Thabo,"why they are postponing, this is mind games"
1542111433414837,14:17,peter pott,this lady shares wardrobe with pastor amorous.lol
1542111506054792,15:30,Klaas Maluleka,hauwu
1542111509392427,15:33,Desmond Masilela,Please assist why his lawyer ask for postponement? i couldnt hear.
1542111521753333,15:45,Kevin Davis,Peter any relation to the paedo timothy
1542111537750291,16:02,Lucky123 Thwala,lol that thing omotoso
1542111562261835,16:26,peter pott,davis. We must find out☺☺😀
1542111563598310,16:28,Sakhile Mbokane,He's not in South Africa
1542111567896956,16:32,big feet,"because he is travelling ..currently overseas,Desmond"
1542111603300907,17:07,Desmond Masilela,Thank you Sakhile and Big feet.
1542111606954796,17:11,peter pott,there is power cut here😕😕😕
1542111607323319,17:11,solethu matrose,he is not done with training he needs to survive
1542111647999080,17:52,Lucky123 Thwala,even enca is out
1542111651860955,17:56,solethu matrose,both enca and sabc down.
1542111687767524,18:32,Desmond Masilela,SABC please
1542111696125851,18:40,mxolisi nene,what is happening
1542111714172499,18:58,Mseni Mlindeni Ndlovu,Zikhiphani
1542111715413971,18:59,Desmond Masilela,No visual SABC please assist us
1542111718306268,19:02,solethu matrose,lol msholozi muthi at work
1542111817582704,20:42,Desmond Masilela,Why so long?
1542111887837757,21:52,Desmond Masilela,So will have to wait until?
1542111998202863,23:42,K,Hayibo
1542112006635049,23:51,Desmond Masilela,Mara SABC!!!!
1542112031665061,24:16,Klaas Maluleka,sabotage
1542112045716055,24:30,Lesedi,lol i just left enca for the same reason😐
1542112049406382,24:34,Unathi Notshata,this is sabotage
1542112051659922,24:36,Lucky123 Thwala,toyi toyi retrenchment section 189 implemented
1542112053162182,24:37,Ntlantla Khumalo,corruption continues
1542112090268306,25:14,Unathi Notshata,SABC is sabotaging us now
1542112098991751,25:23,KEITH SINDILE DINABANTU,No signal this side too...
1542112111025105,25:35,Desmond Masilela,Lets go to ENCA guys
1542112182011447,26:46,Unathi Notshata,same-thing even there
1542112183993547,26:48,joeelby,Both ENCA and SABC blackout
1542112184764605,26:49,Andre' Van Zyl,power failure nothing on enca either
1542112194739685,26:59,joeelby,BFL
1542112203250114,27:07,Mr Q,this has nothing to do with sabc.. everywhere kucimile
