timestamp,time,author,message
1542094903056513,-20:09,karabo ramusi,😋🍕🍕
1542095546493749,-9:25,Walles Moyo,akuqalise phela lol
1542095604104826,-8:28,Ashley Morgan,now Ist that the former president Zuma administration has place many official and Minister's into unbearable situation. Barbra Hogan testimony placed the former president in the helm of stste capture
1542095884048335,-3:48,Wesley M,Jacob Zuma is not the architect of state capture. the ANC is the architect. Zuma was just part of it. Julius Malema did not fight corruption. Malema himself is corrupt.
1542095939580198,-2:52,Wesley M,Malema was fighting against Zuma because Zuma snubbed them and went with the Gupta's.
1542095972645616,-2:19,Wesley M,not because of corruption.
1542096094371517,-0:17,Wesley M,"the ANC, ASCP, COSATU, Julius Malema was fighting for Zuma to be President. when he already had the arms deal saga on his neck. people wake up."
1542096165681563,0:45,Walles Moyo,lol personally i think the Guptas came with positive attributes to South Africa
1542096193584623,1:13,Norman Zwane,Hi all - trust people today are interested in the testimony rather their own opinions
1542096367231936,4:07,Nelson Musoliwa,"The ANC is not on trial here but the ""ruling party is"""
1542096388872867,4:28,Vusi Mbambiso,"With all due respect, Ashley, nothing in the evidence so far has anything to do with state capture. The whole day was wasted on cabinet workings!"
1542096399260010,4:39,Andre' Van Zyl,all correct wesley
1542096516978157,6:37,Wesley M,for Ramaphosa the ANC is more important then South Africa. He will not tell you that. but look at his moves.
1542096576159817,7:36,tshepo aaron,"vusi beg to differ, the name that is often mentioned here is Jacob Zuma and we all know the role played in the state capture."
1542096780345187,11:00,Vusi Mbambiso,But we have not heard anything that even resembles state capture! All the characters so far were government officials and politicians!
1542096822727490,11:42,Zoleka Mdluli,lol @Thato
1542096847604106,12:07,Mpho Kgomo,"Thato their uniform means serious biznis, cleaning and getting rid of rubbish. They will SPRING THIS COUNTRY."
1542096938504531,13:38,Mpho Kgomo,Morning Thando
1542096983743330,14:23,Vusi Mbambiso,We need hard evidence. The judge is trained for this. And he is not naive!
1542097030980939,15:11,Wesley M,Julius Malema is the biggest skelm.
1542097091228536,16:11,Wesley M,and I am not white. and I am not a DA member. I am South African.
1542097126613461,16:46,Andre' Van Zyl,julius will destroy this country with his hate. Its all consuming.
1542097208427167,18:07,Mpho Kgomo,"@ Thando, so Mrs. Hogan held this post for a year becoz she did not agree with JZ this is hard evidence and more she understands the procedure of Governance that is hard evidence."
1542097218635424,18:18,tumelo bowman,@Wesley we do understand you are white that's why you against malema let me tell you we not scared of your whiteness
1542097403335455,21:23,Wesley M,Tumelo dont let your mind be poisoned.
1542097418615703,21:38,noko yamebetlwa,let focus on the inquiry n stop talking abt Malema
1542097460414735,22:20,noko yamebetlwa,those who talk abt Malema we know they fear him
1542097466034400,22:25,Zoleka Mdluli,"No party is clean, ofcause opposition will expose laundry of the other, they live to discredit each other.. should the EFF lead skeletons will appear.."
1542097487390585,22:47,Speckled Trim,Who is Malema?
1542097489226767,22:49,lubabalo herold,i agree with u Noko yamabetlwa 👊 lets debate aftr this
1542097550792418,23:50,Wesley M,"South Africa, is Gods country."
1542097557588293,23:57,Bonginkosi Joseph Mpumelelo Nontso,"I am amazed by some of the revelations about the somewhat trusted people of the ANC , that are mentioned in the testimony about the state capture."
1542097593967867,24:34,noko yamebetlwa,@Louis Malema is human being like u
1542097598763100,24:38,Mpho Kgomo,@ Andre Malema must just work on his approach because we are stuck in the past and worse
1542097602889075,24:42,Lorna Kavanagh,The rail deal cost SA 84 billion rand !!
1542097632982942,25:12,Bonginkosi Joseph Mpumelelo Nontso,These people are scarvenger of the poor people and the looters are at the freedom of stupidity
1542097686080923,26:05,Speckled Trim,Noko oh. thanks. people make him sound like he is more than human.
1542097697427506,26:17,Vusi Mbambiso,"@ Mopho, Gama is the unluckiest CEO I know. He was dismissed at TFR in 2010. He only became Transnet after Brian Molefe moved to Eskom. How did he let the Guptas loot?"
1542097762406703,27:22,noko yamebetlwa,we have to elect President that have qualifications in fact they must submit CV from next year
1542097771198625,27:31,Sphiwe Mogwere,Morning
1542097810723686,28:10,Mpho Kgomo,@ Sphiwe Morning and welcome.
1542097929225951,30:09,Ilyasa musa al-indonesy,allah
1542097933572886,30:13,noko yamebetlwa,@Louis is just Malema is a straight talker my brother that's y most of people like him
1542097935856384,30:15,Speckled Trim,"Everyone that wasnt captured was deemed ""incompetent""?"
1542097945538094,30:25,Bonginkosi Joseph Mpumelelo Nontso,"The Zuma Cabal and the Guptas,created a circus of ugly politcal appointments and cronies appointed over the most trusted and experienced people. Than to Malema, Vavi, Blade and the likes of the ANCYL"
1542097977520044,30:57,Lorna Kavanagh,yes i am sure you are right Thando but i was just wondering if the deal was worth 84 billion.
1542097989665133,31:09,Nooneisnoone,Indian curry must be delicious...
1542098005886634,31:25,Speckled Trim,"Noko, interesting. That's why dictators are so popular as well I think. th"
1542098029993671,31:50,Speckled Trim,They speak without fear or favor (even if it is hate speech)
1542098040840273,32:00,Sikhumbuzo Bulose,Judgement day for the looters as they are exposed!!!!!!!!!!!
1542098179322078,34:19,Speckled Trim,Is this for entertainment purposes only or will we see some orange overalls for a change?
1542098204427993,34:44,Mark Waner,great entertainment
1542098230971223,35:11,Jeffrey Magongoe,@Louis Eloff entertainment
1542098255696394,35:35,Nelson Musoliwa,Zuma and Hogan opinions or personality is not the matter but government policies are.
1542098257041280,35:36,Desmond Masilela,Here come the name I was looking for.
1542098285878668,36:05,Vusi Mbambiso,"For now, this is entertainment. No relevant evidence yet ttat talks to State Capture!"
1542098307300983,36:27,Speckled Trim,Expensive entertainment funded by the tax payer. Niel Blomkamp should take a hint and put parliament on the Hollywood map. We can make back all the money Zupta (allegedly) stole.
1542098317753737,36:37,noko yamebetlwa,we also need inquiry to question them why they were killing black people
1542098324216282,36:44,Lorna Kavanagh,Malusi Gigaba .... this will be interesting.
1542098333120183,36:52,Speckled Trim,True guys & ladies 👍
1542098353309295,37:13,Zoleka Mdluli,Eff-ers .. court now ordered VBS to be liquidated
1542098451572569,38:51,noko yamebetlwa,Zoleka I saw the people who busy with that court case they r not part of community
1542098455739388,38:55,NKANYISO BRANDON DUBE,What’s the whole point of this inquiry? How many inquiries have we had before? And what happened after?
1542098552677829,40:32,noko yamebetlwa,Dune this inquiry is for taking ex President prison in Limpopo to wear orange
1542098572468594,40:52,Jeffrey Magongoe,@NKANYISO BRANDON DUBE showing us how foolish we are as SA citizens that politicians loot while we idolise
1542098594439562,41:14,Vusi Mbambiso,"""State Capture"" is self-explanatory. It is the Capture of a legitimate government by external forces! So far none of that was said here!"
1542098603598741,41:23,Mpho Kgomo,"@ Nkanyiso let's hang in there and be positive, there are a lot of life lessons to be learnt here."
1542098674894294,42:34,Zoleka Mdluli,Noko.. what do you mean ?
1542098677720653,42:37,Lorna Kavanagh,we hope that this inquiry will lead to charges been laid against 'corrupt' people and the law will take its course. SA is in a recession due to largely state capture and tax payers money stolen. I
1542098726894527,43:26,Speckled Trim,If you make a pact with 3 out of top 6 you will control the state from there 👍 the rest are pawns.
1542098752182804,43:52,Mark Waner,i believe this one is different. Judge Zondo appears to be a man of utmost integrity.
1542098765686819,44:05,Mzimkhulu Gqadu,There are things that are happening behind closed doors and this commision its tying to revealed all those secrets.
1542098780961834,44:20,Fabian Moodley,"I'm sure not all evidence given about zuma is lies, he needs to be here"
1542098794365913,44:34,Speckled Trim,"""walk the party line"" = blind loyalty even if it's wrong 👍"
1542098832370397,45:12,Lorna Kavanagh,Zuma must come and tell what he is and isn't responsible for.
1542098851202452,45:31,Wesley M,Tumelo are you still there? i want to tell you one last thing.
1542098856094810,45:35,Mark Waner,Zuma will never appear.
1542098866146486,45:46,Fabian Moodley,"zuma will get off all this stuff, it's always the case"
1542098867364754,45:47,Mpho Kgomo,@ Thando I stand with you.
1542098891135622,46:09,L. M,and if you add more one person then it becomes a total coup. i agree with you @Louis Eloff
1542098901056843,46:20,Bonginkosi Joseph Mpumelelo Nontso,LETS CREATE # ZUMATESTIFY
1542099007734632,48:07,noko yamebetlwa,#land inquiry
1542099018017450,48:17,Dries Koatsman,Zuma and son will come to testify no matter what. We want to hear their side of the story
1542099019591556,48:19,Mpho Kgomo,Zuma will testify gathering the evidence before he rocks up is imperative the more he delays the bigger the risk he is skating on very thin ice.
1542099032816555,48:32,NKANYISO BRANDON DUBE,Correct me if I’m wrong. Seems like when we took over governance. We were not read to govern. Seems to be like a movie scrip that is constantly written by different people.
1542099111937997,49:51,Ayanda Kleyi,"By the time they get to Court or Investigated, Zuma and his son plus the Guptas would have long finished shredding this info we are hearing here and the shredder would be cold by then."
1542099145415905,50:24,Speckled Trim,"Exactly Lawrence, this is excluding No1 himself. The strength in that positionv alone can make or break the country."
1542099150608527,50:30,noko yamebetlwa,Nkanyiso u r out of order bra we were ready but the mistake was done by electing criminal in power
1542099162155401,50:42,Mpho Kgomo,@ Ayanda hahaha 🤣🤣🤣
1542099214921907,51:34,Wesley M,Jacob Zuma is not the architect of state capture. the ANC is Zuma was only part of the. he just took things to the extreme.
1542099234528067,51:54,lawrence tele,where are these white people from Pretoria here.
1542099266401432,52:26,Cassius Mngomezulu,"ZUma is the problem here, If you do not agree with him, you are fired"
1542099268158120,52:27,noko yamebetlwa,Tele hahahahaha
1542099268416382,52:28,Fabian Moodley,"I like the way zuma operates, he does as he wants and not accountable for he's actions"
1542099272420720,52:32,lawrence tele,want to ask them why are they so racism and poor
1542099281268258,52:41,Mpho Kgomo,The problem with this party is that they have hidden personal agenda's
1542099314190228,53:13,Cassius Mngomezulu,"All parties are the same, no better ones"
1542099314209026,53:13,Wesley M,The ANC implemented state capture long before Zuma was president. that's Why the ANC made Zuma president.
1542099322012320,53:21,noko yamebetlwa,Fabian I agree with u
1542099415443030,54:55,Fabian Moodley,"then again I don't blame Zuma, he's drive for money lead to this"
1542099426719788,55:06,Fabian Moodley,"zuma is enjoying life in Dubai, and probably watching this and laughing"
1542099428652281,55:08,noko yamebetlwa,Mngomezulu true first black people captured by National Party before that's we have President like Zuma
1542099493497874,56:13,Ayanda Kleyi,"I don't get why would this take 2 years, cause now we know who are the culprits why not stop and prosecute, I hope Glynnis Breytenbach becomes DNPP soon."
1542099575955426,57:35,Mpho Kgomo,State Capture has always been around it's just that Zuma exposed the reality or its existence
1542099584221444,57:44,Phillo Beukes,"Best you start seeing what the effect of Zuma and the ANC's theft and corruption has on you when there is no money left for water, sanitation and housing, no jobs, and a failing health system."
1542099629023194,58:29,Sthakathi Khumalo,"I praise Zuma for revolting against whiteness, but I hate him for adding Indian curry in our pots.. Couldn't he just state capture with us bo Mtnungwa, Zwide khabazela and the rest!"
1542099746952596,1:00:26,Wilhelm5381,what you say is rather racist...if I white person said what you have just said then the cry of racism would be expressed
1542099767238731,1:00:47,Lebogang Moseki,"Zuma, Supra, Ace and Giga are busy shifting the goal post. A lot of damage in our provinces already occurred, for they belong to jail."
1542099770873821,1:00:50,Lorna Kavanagh,You could be right Forty
1542099790060221,1:01:10,Wilhelm5381,Zuma's period in office amounts to a parody of any idea of improvement or a better future for akk
1542099792286699,1:01:12,Wilhelm5381,all
1542099972721001,1:04:12,Mpho Kgomo,"I look forward to see JZ testifying, but at the same time I'M SCARED because his closet is full of skeletons that could shock us as a country, I'm sure that is why he is so chilled."
1542100043257981,1:05:23,Mark Waner,and what is this trump card?
1542100065979587,1:05:45,Thapelo Motabogi,this woman is trying to act like she didn't do anything wrong and i'm sure that she is still lying
1542100067979725,1:05:47,Mpho Kgomo,@ Forty do share the Trump card
1542100091117244,1:06:11,Mark Waner,You are sure how?
1542100120622307,1:06:40,Xolisa Faiza,anc the racist part
1542100174720633,1:07:34,Mpho Kgomo,"@ Thapelo she spent the day explaining policies and she held the post for a year because she did not agree to Zuma's bright idea's, that is evidence enough."
1542100192683164,1:07:52,Molly Percocet,This lady is very forgetful
1542100215584045,1:08:15,Thapelo Motabogi,she knows about braen molefe and how he got there
1542100223878937,1:08:23,Mpho Kgomo,I feel like this country was almost auctioned to the highest bidder
1542100226468694,1:08:26,Wesley M,do you really want Zuma to come. he is just going to laugh at everybody.
1542100277916305,1:09:18,Thapelo Motabogi,"she's not forgetful,she's lying"
1542100290516065,1:09:30,Mpho Kgomo,@ Molly how so?
1542100356236921,1:10:36,Molly Percocet,@Mpho because she has to be reminded of some of the stuff shes talking about....but thats just my view
1542100362176243,1:10:41,Lucky123 Thwala,Think of Ventjie Mento
