timestamp,time,author,message
1549008137375345,-1:21,Bridgette Kekana,vuvuzela blowers
1549008334747052,1:44,The Vuka Experience,Volume we can’t see
1549008362628787,2:12,Sipho,Bad sound
1549008375414343,2:24,Mawonga Gayiya,Volume please
1549008391244153,2:39,Thapelo Motabogi,"since yesterday,volume please"
1549008439314671,3:29,Lehlohonolo Mokoatle,Audio not audible
1549008454292162,3:43,Felix Muyoba,"Creatures of the world, greeeeeeeeetings from Namibia!"
1549008454462199,3:43,K,"IT Technicians please fix the cables there,The sound is bad"
1549008468415851,3:58,The Vuka Experience,SABC y’all are starting with us.
1549008483621395,4:12,Thokozile Zwane,volume please
1549008509321554,4:38,G Mann,Sound going to drive crazy
1549008527585636,4:56,The Vuka Experience,Volume we can’t see
1549008527656817,4:56,The Vuka Experience,Volume we can’t see
1549008527914466,4:56,Lehlohonolo Mokoatle,"If this is meant for the people of South Africa, we may ask them to repeat coz we can't hear"
1549008535030254,5:04,Bridgette Kekana,sound system is poor
1549008543307316,5:12,K,The sound is killing my eardrums yowehhhh
1549008548140507,5:17,The Vuka Experience,Maybe they are still not paid
1549008548938461,5:18,Kobus Smit,crackle and pop .sound wise
1549008596486810,6:06,Lehlohonolo Mokoatle,Is someone checking the youtube live chat or we just complaining to ourselves?
1549008632551155,6:42,Kobus Smit,like most things probable just us
1549008633443795,6:43,The Vuka Experience,@TK I’d like to think someone is constantly monitoring YouTube live.
1549008643507738,6:52,DJ Sbu,Very bad sound
1549008644522060,6:53,Yandi Masina,👀
1549008677077747,7:26,Mxolisi Sigodi,Sound lapho
1549008685427824,7:34,Shelley Ashurst,If any of you have Twitter (I don't) maybe you could tweet @SABC and ask them to fix this sound?
1549008701647285,7:51,DJ Sbu,will do just now
1549008702483765,7:51,OomStu ZA,SABC ADMIN please fix AUDIO thank you.. Apologies for CAPS but you might not hear me over the static
1549008704869162,7:54,Malopo Rathobela,"Bad sound, no picture"
1549008714732867,8:04,The Vuka Experience,They forgot to turn on their mics.
1549008733204086,8:22,The Vuka Experience,The camera inbuilt mic is not enough
1549008733854348,8:23,Malopo Rathobela,Can't see anything here
1549008742138112,8:31,OomStu ZA,i have visuals
1549008746468341,8:35,Selecta,what the heck is up with the sound???
1549008747452730,8:36,OomStu ZA,audio sux
1549008757772039,8:47,Pitso Mosetlhe,ok can some one please tell me whats going on here today???
1549008762232744,8:51,Shelley Ashurst,"No it's something to do with the live sound because when this ends and you go back, the sound is perfect."
1549008771181981,9:00,Pitso Mosetlhe,sorry i m late
1549008771785749,9:01,The Vuka Experience,eNCA didn’t make such mistakes but Zondo kicked them out lol
1549008772565944,9:02,slipperchip,alien invasion
1549008778410460,9:07,G Mann,have visuals but some sort of interference on the microphone
1549008780699910,9:10,Bridgette Kekana,can someone call Richard Le Roux
1549008781192857,9:10,Malopo Rathobela,Visuals please
1549008784576946,9:13,Selecta,we are using earphones and it hurts
1549008787292467,9:16,Lehlohonolo Mokoatle,Justice Mokgoro enquiry sound is doing well. Maybe the I.T company hear is one of the Bossasa associate company. They don't want us to hear the evidence.
1549008795282757,9:24,OomStu ZA,im convinced they do this on purpose so we wont want to watch and find out how broken the system is
1549008800353390,9:29,The Vuka Experience,There we go
1549008801023997,9:30,Yandi Masina,@Selecta My ears😣😣😣
1549008801219092,9:30,Selecta,better
1549008804158751,9:33,The Vuka Experience,Back on
1549008804385939,9:33,OomStu ZA,yaaaaaaas
1549008804687029,9:33,Selecta,much better
1549008809898494,9:39,Busi Ndlela,great
1549008811472573,9:40,Shelley Ashurst,Ahh! Yay.
1549008812599560,9:41,G Mann,fixed! Yebo yes
1549008813255173,9:42,OomStu ZA,THANK YOU!!!
1549008815023490,9:44,Sipho,thanks
1549008817093667,9:46,Kobus Smit,sounds better
1549008823359334,9:52,Sicelo Roger,thnx 4 sound
1549008842059644,10:11,Dominique Bester,dennis the menace
1549008849506025,10:18,K,Thank you for fixing the sound. Much better
1549008850799710,10:20,OomStu ZA,there it goes again
1549008851387029,10:20,SABC News,Thanks for the feedback
1549008853030779,10:22,Modisa Mahlo,haibo!!!
1549008854523497,10:24,Lehlohonolo Mokoatle,And now
1549008855063907,10:24,Selecta,who is the sound engineer today
1549008856824772,10:26,The Vuka Experience,Haw mess again
1549008859509428,10:28,G Mann,He says Grizzly bear was telling the truth 😃
1549008871489125,10:41,Busi Ndlela,this is plain sabotage
1549008873416429,10:42,sam Mokobane,Sound?
1549008878620396,10:47,Malopo Rathobela,"@SABC Digital News , no visuals poor sound"
1549008880234337,10:49,The Vuka Experience,@SABC Digital News the Sound my guy!
1549008884885093,10:54,Yandi Masina,@SABC Digital News We knew you were lurking!!! 😂😂😂😂
1549008885041910,10:54,Bridgette Kekana,Dennis Bloem was Anc member to spill the beans
1549008889228369,10:58,G Mann,sound on but volume low
1549008893940246,11:03,Selecta,Sound engineer has been captured by Gary Watson
1549008902019124,11:11,OomStu ZA,lool
1549008909234988,11:18,The Vuka Experience,@Yandisa Masina 👀
1549008917771302,11:27,Dread Man,zondo not concentrating
1549008926982396,11:36,Yandi Masina,@King Vuka 😂😂😂
1549008939589777,11:48,Selecta,Sound engineer has been been bribed
1549008940471922,11:49,The Vuka Experience,Fix the sound haybo 😩
1549008945316670,11:54,Yandi Masina,Zondo 😆😆😆
1549008946553522,11:56,Bridgette Kekana,he is tired
1549008951382591,12:00,Dominique Bester,hahaha Kynuku
1549008951401778,12:00,K,lol. Sound engineer has Accompanied himself like Van Tonder yday
1549008953109938,12:02,The Vuka Experience,Thanks 👌🏾
1549008957312848,12:06,Themba Mhlongo,nyuku
1549008961958472,12:11,Kobus Smit,sharp
1549008964084294,12:13,Dominique Bester,there the sound goes up...
1549008964129936,12:13,OomStu ZA,no move away from the sound button its fine thank you
1549008965932120,12:15,Viwe Quza,Done
1549008967419013,12:16,Selecta,better for 10 seconds
1549008967968338,12:17,Sicelo Roger,the sound engineering is Watson
1549008971082232,12:20,Yandi Masina,Moola baby!!!
