timestamp,time,author,message
1536217923310396,-43:58,Delphin kapeta,Is this happening today?
1536217964272084,-43:17,Rabs,yup. i think they start at 10h00 today
1536218098805196,-41:03,Thulani Mthembu,Yes @delphin it’s just a matter of minutes now
1536218509155147,-34:12,Delphin kapeta,Okay can someone give me a call please once it starts? 😁
1536220898319426,5:23,The Consigliere,@ Delphin...your number please(jokes)
1536220960254548,6:25,The Consigliere,who is wiyness today? Faith Muthabi/
1536220985211517,6:50,The Consigliere,lol I got them
1536220995590270,7:01,Henry Mmbando,"🐺 Don't stay away if you are free, it seems just to start"
1536221026819827,7:32,Delphin kapeta,😁
1536221027338406,7:32,Similo Radebe,whose today witness?
1536221037486178,7:42,Delphin kapeta,Do you guys still want my num?
1536221052713520,7:58,Rekgonne Ultimate,but it's now 10:03
1536221070114062,8:15,Similo Radebe,@Delphin kapeta LoL.....
1536221105429643,8:50,The Consigliere,@Delphin....it was just joke from me...not to say anything is wrong with u
1536221105810796,8:50,The Consigliere,.
1536221155439178,9:40,The Consigliere,tick tock...
1536221193038345,10:18,Similo Radebe,but they are late already....
1536221262957808,11:27,Nomthetho Nokwakha,let's start the show
1536221293637195,11:58,Zigi The African,hayibo
1536221314329320,12:19,Desmond Masilela,its now 10;10am
1536221330509185,12:35,The Consigliere,ehhh iyaphela i-data bo...
1536221371572661,13:17,Henry Mmbando,Tuned more than an hour now!!!
1536221393534951,13:38,Zigi The African,Look at Karyn
1536221402755224,13:48,Tediso Hadebe,blue Bear calm down chief!
1536221421589541,14:06,William Pieters,trolls are everywhere.
1536221442809152,14:27,Lehlohonolo Phalatse,the judge abuses power now
1536221446806323,14:31,Blue Bear,"Not when I see my country falling apart, I won't calm down, ""chief"""
1536221466433081,14:51,Sakhile Ntenga,Zondo came
1536221495462496,15:20,Desmond Masilela,Mara Zondo wena.. aiii!!
1536221520952549,15:46,Lorna Kavanagh,..
1536221523135373,15:48,Blue Bear,English!!
1536221527052996,15:51,Lulama Ranelo,Clearly the day is by a meeting in chambers.....
1536221533866247,15:58,Serepa Le Mabona,Blue Bear sit down and smell the coffee. Anc has fount its feet.
1536221553438508,16:18,Lulama Ranelo,"meant ""delay"""
1536221562354318,16:27,Blue Bear,"I know Serepa, this is why the Western Cape must secede"
1536221591248205,16:56,Paul de Bruyn,sund issue!!!!
1536221595758984,17:00,Peter Lukas,everything start late in Africa
1536221596342920,17:01,Blue Bear,"The ANC is a racist, black nationalist, anti-Semitic organization that wants to destroy South Africa as we know it"
1536221598954469,17:03,Paul de Bruyn,sound probs
1536221631767581,17:36,Paul de Bruyn,yp sound engineer conect the sound dude!
1536221636930325,17:41,Henry Mmbando,"even us here things not in line, much to learn from this"
1536221653997166,17:59,Nomthetho Nokwakha,when is that beautiful woman come for questions muthambi
1536221656349757,18:01,Matopo Mokalapa,I'm looking for the chai tea
1536221672576157,18:17,Serepa Le Mabona,Blue Bear In whose name and why will it do that. We cannot divide this country.
1536221673873595,18:18,MEMOLAKAY ,koman nouye la
1536221699822122,18:44,Zigi The African,"amaqabane, we must reform our criminal system"
1536221720911839,19:06,Blue Bear,The country is already divided as is
1536221724340700,19:09,Mandilakhe Tyali,finally
1536221731044432,19:16,Blue Bear,WC is the only civilized province
1536221740419043,19:25,Austin Motloung,what's going on?
1536221741340336,19:26,Blue Bear,"In many ways, we're the only province that's actually not 3rd world (yet)"
1536221748441858,19:33,J Ganasan,This chairman is sooooo boringgggg
