timestamp,time,author,message
1536566480652488,-9:20,Paul molane,when they said 10am they meant 11am
1536566534269294,-8:27,nkitsing montle,As we wait
1536566597335615,-7:24,Delphin kapeta,Is this on today?
1536566759930830,-4:41,nkitsing montle,"Yeap,"
1536566957334244,-1:24,Delphin kapeta,10am african time 🤷🏿‍♂️😁
1536566958184947,-1:23,Lucky123 Thwala,Zondo is wasting a precious time and he will call for tea brake just now.
1536567118042406,1:08,Lucky123 Thwala,"Ace Magashule , Dudu Myeni and Zuma must come and appear before this commission."
1536567416399187,6:06,Modimokoane Brendeline,"someone is breathing so heavy, its annoying"
1536567528513217,7:58,Wheels Club,kkkkkkl
1536567567695874,8:38,Thiza William,heavy breathing from the judge
1536567591210011,9:01,Nozipho Thembeka,It’s Mr Zondo
1536567597392483,9:07,Nozipho Thembeka,😁😁
1536567614860088,9:25,Modimokoane Brendeline,hahahaha oh ok
1536567664604519,10:14,Dominique Mudawini,any problem with that?
1536567674225192,10:24,nkitsing montle,"I like how this guy speaks, there's a rhythm to his sentences.."
1536567681649531,10:31,Norman Zwane,@Modimokoane Brendeline Sorry someone's heavy breathing annoys you.
1536567819897811,12:50,ANDRIES TEBOGO MAREBANE,@ University of Limpopo
1536567917757284,14:27,samuel molope,whose gonna go to jail after all
1536567983261785,15:33,Ken Mojela,Am i seeing Zizi Kodwa?
1536568018494545,16:08,Paul molane,yes kodwa is always there
1536568047026035,16:37,Norman Zwane,@samuel molope From a commission? I thought only courts have that authority.
1536568160064014,18:30,Paul molane,the comission can only refer the report to NPA
1536568193247498,19:03,Norman Zwane,@Ken Mojela Yep! It is him. Great spotting.
1536568225959529,19:36,J Ganasan,bless you sweetheart
1536568228383505,19:38,Elton John,is Tommy Lee Jones involved?
1536568262537685,20:12,Mbuyiselo Breakfast,lol @ elton John.
1536568265264808,20:15,Lucky123 Thwala,At least Shaun abrahamse is no longer the head of NPA.
1536568308539470,20:58,Norman Zwane,@Paul molane That is what I've always thought. Which is why a joker like Shaun Abrahams suited Zuma like a glove.
1536568328730410,21:19,J Ganasan,oh he's a bean counter
1536568406613897,22:36,Bandile Mhlauli,"Hi guys, how ago has commission started?"
1536568673297003,27:03,Norman Zwane,"@Cool Jazz By appointing the likes of Shaun, JZ bought himself and the Guptas time...and boy did they use the time."
1536568676896721,27:07,Paul molane,The cases were investigated abd reffered to NPA which has to decide to prosecute or not.
1536568701128972,27:31,maud thabethe,"Yoh when did the enquiry start today, eish eish eish?"
1536568720634195,27:51,Fils de l'homme,"hello my bantou, Caucasian, khoi n sans, coolies n half castes compatriots"
1536568758535793,28:28,Paul molane,lawyers are not accountants as much as accountants are not lawyers
1536568795200569,29:05,Thabo Kganyago,"@Paul molane , wats implication????"
1536568797400989,29:07,Fils de l'homme,a Caucasian being questioned by a bantu
1536568823106650,29:33,J Ganasan,@Paul molane - brilliant observation
1536568837935405,29:48,J Ganasan,@Fils de l'homme - so what?
1536568839993950,29:50,Norman Zwane,@Paul molane I am convinced all lawyers are the devils' advocates
1536568858778700,30:09,Fils de l'homme,does this bantu lawyer lack front tooth?
1536568873839231,30:24,Paul molane,lol fils
1536568886179752,30:36,Louis Germishuizen,@fils de l'homme...what's your pluck?
1536568886837162,30:36,Fils de l'homme,"this caucasian is quiet tanned, isn't he"
1536568890402629,30:40,Masapho Thabo,rosetshishonga@gmeil
1536568894387088,30:44,Mbuyiselo Breakfast,Awe Fils...its a fish gap ..
1536568905727367,30:55,Thabo Kganyago,"@Fils de l'homme , i think its just a poor sound of today system"
1536568935587742,31:25,Norman Zwane,"@Fils de l'homme You quite observant , I must say. Till you said I thought it was lawyer questioning an accountant qha."
1536568939122237,31:29,Fils de l'homme,hahahah @breakfast u killed me
1536568944677722,31:35,Madluphuthu,@Fils de l'homme yes he lack some of the front teeth. You on the other hand lack the whole brain.
1536568966762609,31:57,Louis Germishuizen,@fils. ..is jy n dokter dat jy vra?
1536568969129188,31:59,Mbuyiselo Breakfast,lol..
1536568979839114,32:10,Fils de l'homme,"@maddluphutu, where do u bantus find names like urs, it sounds like u pooping"
1536568985724939,32:16,joe gils,All we want is justice for our nation
1536568991784518,32:22,Nkosinathi Sihle Shange,😀
1536569011767321,32:42,Elton John,report > hate speech
1536569030130282,33:00,Mbuyiselo Breakfast,@ Fils..awe ma se kind..hahahha
1536569050805280,33:20,Desmond Masilela,I think I must just do the same @Mbuyiselo Breakfast
1536569051771747,33:21,Krishnendu Mondal,nice talking
1536569056315047,33:26,Fils de l'homme,is the light shining on the skull on the bantou lawyers head
1536569105545541,34:15,Norman Zwane,@Fils de l'homme I think you are race baiting Fils. Guys please ignore this baiter. Just no we will be vloeking each othrer.
1536569115998620,34:26,Fils de l'homme,the bantu lawyers head reflects light in the room
1536569149696237,34:59,Fils de l'homme,"@norman, please im just saying what i see, why do u bantu hate the truth"
1536569161733501,35:11,Desmond Masilela,Please lets just ignore him once!!!
1536569186914799,35:36,Fils de l'homme,"@desmond, the bantu belongs in zimbabwe"
1536569236074119,36:26,msobho omnandi,"prod of Zim cabinet, l can se the little Ndebeles in the cabinet and a white lady, thumps up for the cabinet"
1536569253797384,36:43,Desmond Masilela,I'm not gonna respond to you. and please phuma kimi @Fils de l'homme
1536569258709014,36:48,Louis Germishuizen,@thando...who's accent?
1536569271688155,37:02,Fils de l'homme,they had to have a Caucasian bcz we r capable of reasoning whereas the Bantu is abit slow
1536569305389031,37:35,Fils de l'homme,"@desmond, go play on the thuma nima band wagon"
1536569374427324,38:44,Nhlanzeko ninela,Thuma mina lol😂😂😂😂😂😂
1536569413507918,39:23,Louis Germishuizen,@thando...you lost me
1536569460809317,40:10,Fils de l'homme,"exactly the lawyer is confused, im sure most Bantu cant grasp simple things"
1536569471332741,40:21,Louis Germishuizen,"@thando, you refering to the lawyer?"
