timestamp,time,author,message
1537170897659855,-5:47,Maureen Henryu,.
1537171313470570,0:57,Evans Maminza,its almost showtime
1537171380095555,2:04,makofane tshepho,we are waiting for the action.
1537171508445357,4:12,noko yamebetlwa,who testifying today
1537171573143907,5:17,OneStop Medical,Standard Bank
1537171587867645,5:32,MrMoyoT,"Not to bust anyone's bubble, this commission is a farce and a waste of tax payer's money. So far there hasnt been any concrete evidence of the so called state capture"
1537171634063785,6:18,Siyabonga Nxumalo,Waste of time
1537171638763973,6:23,makofane tshepho,I trust that banks will give solid evidence...
1537171672996852,6:57,Edward Buta,"@noko No one, today's business major banks of the country to give report as to why they blocked gupta account"
1537171701716377,7:26,makofane tshepho,a thing is that you are not looking at fact but evidence that tie ZUMA.
1537171713374828,7:37,MrMoyoT,How? They will just show some bank statements nje. Im telling you it wont go anywhere. No one will be arrested or charged. Its a just a show to garner votes for 2019 elections
1537171721704561,7:46,sibu zwane,remember it part of white monopoly it have too say more wrong things
1537171788378996,8:52,MrMoyoT,Its a network of transactions that will implicate the banks themselves. There are vested interests to protect the real perpetrators of state capture which is white monopoly capital
1537171823500120,9:27,makofane tshepho,ZWANE@ DOES IT MATTER WHO GIVE THE EVIDENCE OR THE FACTS IN THE EVIDENCE.
1537171833732856,9:38,sibu zwane,@mr moyo I agree no one will face jail
1537171846520974,9:51,MrMoyoT,Guptas are just small fish whom they want to throw under the bus. Which will not happen. This is just Generations or Uzalo with a well written script. They are all actors
1537171860304932,10:04,Jonathan Palivili,Mr Moyo T... kindly explain what is white monopoly capital
1537171872072895,10:15,Robert Russell,5 Minutes into the broadcast and the race card starts.... so sad...
1537171877881954,10:22,MrMoyoT,Jonathan you know very well what that is.
1537171894635450,10:38,Monique Jones,@Jonathan Palivili WMC is whatever Bell Pottinger told them it was.
1537171902924040,10:47,Jonathan Palivili,"I dont know.., that is why i am asking you"
1537171905888094,10:50,sibu zwane,@makofane it does matter .wait til Duduzani come
1537171913849695,10:58,Siyabonga Nxumalo,South Africa has always been about race. Don't come here and act DUMB.
1537171967180792,11:51,Monique Jones,@Siyabonga Nxumalo now the whole world is about race. From Europe to America to SA to S. America
1537172056614291,13:21,sibu zwane,@Jones race will always matter till the world ends if it will
1537172067959612,13:32,MrMoyoT,People dont yet realize that Guptas are being all used to cover up the real mess behind the rot in govt.
1537172069369270,13:34,MrMoyoT,All the big white owned firms have done much worse than what this fake commission is trying to fool us into believing
1537172079215657,13:43,Jonathan Palivili,Its all about race NOW ??/... so im bit confused as to how white monopoly capital affected the closing up the Gupta related accounts
1537172101771912,14:06,MrMoyoT,jonathan look at the bigger picture
1537172124263541,14:28,MrMoyoT,Closing of accounts is just a front or a ruse
1537172152181718,14:56,Jonathan Palivili,Yes thats what you need to explain .. you are answering in riddles ?
1537172171975193,15:16,sibu zwane,@Jonathan white monopoly owns banks
1537172239615433,16:24,Jonathan Palivili,"even if that is so , were not the accounts closed because of suspicion of illegal activities and money laundering by the Guptas"
1537172257952625,16:42,Robert Russell,The Banks are public listed companies... go and invest your black money in them and then you can own them
1537172295777141,17:19,William Pieters,Did you guys know that the majority of the global wealth is owned buy 5 families.
1537172317426578,17:42,Jonathan Palivili,"Please note Mr Moyo that the banks have not closed any other companies accounts , but only the Guptas accounts because of red flags raised"
1537172328560049,17:52,Nelson Musoliwa,Systematized racism is half indoctrination and it is difficult to undo indoctrination. Economic endeavors knows no race.
1537172344454715,18:08,MrMoyoT,jonathan why just focus on guptas and not other white companies as well
1537172346921190,18:11,sibu zwane,if this inquiry can quantify the money got by India family and white monopoly through state capture you real see paradigm shift from hating this India to white monopoly
1537172453278252,19:57,Jonathan Palivili,MR Moyo its because of NO OTHER companies robbing our SOEs and our hard earned tax moneys and did not know how to account for the stolen money
1537172460382615,20:05,MrMoyoT,look how they play victim and point fingers to zuma and his indian cronies. the commision is just a farce until it addresses the real state capture
1537172471707811,20:15,Robert Russell,@MrMoyoT ....and I'm afraid to say you are very doff
1537172478863738,20:23,MrMoyoT,Jonathan you act naive
1537172480540009,20:25,Sanele B.,@MrMoyoT That's true Sir.
1537172486882320,20:31,MrMoyoT,Robert how so
1537172511288337,20:55,MrMoyoT,You think this kangaroo commission will achieve anything
1537172562781452,21:47,MrMoyoT,More of our money down the drain
1537172569390951,21:53,Jonathan Palivili,Mr Moyo
1537172655229281,23:19,Monique Jones,@MrMoyoT What is state capture? Who is captured? Who is corrupt? What do we do with the corrupt? How do we ensure jobs for everyone and free education for all youth? Who's in charge?
1537172657525850,23:21,Jonathan Palivili,Mr Moyo.. you call me naive... All im asking you can you explain which white monoplly capital is involved with money laundering with our banks...
1537172691137041,23:55,Monique Jones,@MrMoyoT Specifics please and not generalities.
1537172703132668,24:07,William Pieters,all great questions @Monique Jones
1537172746029791,24:50,Monique Jones,@Thando Nkutha just skip over our lonnnnngggggggg esssaaaayyyyyyysssss please
1537172771670458,25:16,William Pieters,@Thando Nkutha go to big screen so we don't see you moaning all the time.
1537172798081369,25:42,Monique Jones,@Thando Nkutha great idea! I've blocked a nut or two time and time again
1537172961377507,28:25,Nomthetho Nokwakha,"let each president give each other space to make impact in society,one will live legacy of looting and while others before and after may give hope to the hopeless"
1537172965967955,28:30,Monique Jones,YouTube wants us to keep is 200 characters or less so I will be going as close to the 2o0 mark as I please. .......I have insomnia so I have a lot to say....dang 177 characters!
1537173089913240,30:34,Monique Jones,@Thando Nkutha delicious! 😁😁😱
1537173131434474,31:15,Monique Jones,Where's @MrMoyoT I'm still waiting for answers
1537173151986287,31:36,Nomthetho Nokwakha,"you can't capture woman,country,tribes and rule to the grave"
1537173197637224,32:21,MrMoyoT,Monique here are some facts for you
1537173212559199,32:36,Robert Russell,"@Monique Jones ...,.back under his rock"
1537173217631257,32:41,MrMoyoT,"the country’s only black-owned bank, VBS Mutual Bank, was recently put into curatorship and the big five banks — Absa, Standard Bank, FNB), Capitec Nedbank — have a combined 90% market share."
1537173247147895,33:11,Monique Jones,@MrMoyoT Why was VBS placed under curatorship?
1537173250954553,33:15,MrMoyoT,these are white owned and controled
1537173276680627,33:41,MrMoyoT,the financial sector contributes 22.2% to gross domestic productand controls assets worth about R4.8-trillion. meaning that R4.4trillion of that money is in white hands
1537173286538035,33:50,Monique Jones,@MrMoyoT why and who placed it under curatorship?
1537173332487304,34:36,Monique Jones,@MrMoyoT you are answering your own questions and not the previous ones I asked above.
1537173436722571,36:21,Kgothatso K,"VBS brought itself down, it didn't follow legislation and their balance sheet was in shambles."
1537173460382479,36:44,MrMoyoT,"Of the R1-trillion in cash hoarded by corporates at white-owned banks, none of that cash is black-owned."
1537173462117786,36:46,MrMoyoT,"Of the R5.8-trillion private property (excludes agrarian and commercial land) value in South Africa, blacks own township or RDP style properties."
1537173464025865,36:48,Monique Jones,@MrMoyoT 1. What is state capture? 2. Who is captured? 3. How were they captured? 4. Who is corrupt? 5. Who is in charge? 6. Who should be punished? 7. 8. 9. and 10 to follow
1537173467364431,36:51,Robert Russell,VBS was looted from the inside
1537173477648876,37:02,peter pott,"😀interesting Nigeria found out that std bank, along with mtn are responsible for illicit outflow of funds in that country😕"
1537173500559661,37:25,MrMoyoT,im answering your question with evidence
1537173505008397,37:29,Nomthetho Nokwakha,"the problem is mind set,its not like painting a person in boardroom to be black,80 %of black people think like white people depending where you stand"
1537173509444813,37:33,Lorna Kavanagh,just as well Standard Fnb Absa and Nedbank are in responsible hands or else they wouldd
1537173528617065,37:51,Lorna Kavanagh,be looted ....
1537173553341683,38:17,Monique Jones,No @MrMoyoT you are not answering my question! Give me 1 or 2 word answers like @Thando Nkutha wants
1537173692157629,40:36,Monique Jones,I'm going to ask these questions in the sincerest way. @MrMoyoT are any black people in govt/private sector corrupt? Have they made millions from the state?
1537173696135035,40:40,peter pott,😀😀😀so the banks are law unto themselves
1537173718285065,41:02,Robert Russell,Billions
1537173782082467,42:06,peter pott,"nkutha, pay attention to what the judge is saying now"
1537173820554051,42:44,Monique Jones,@MrMoyoT if I see any person in government living high off the hog while any black South African lives in squatter settlements and hungry then I have a BIG problem with corruption.
1537173833158385,42:57,abel brown,so all the banks did the same things so they was definetly something dodgy
1537173846661017,43:10,cecil thurston vanreenen,I agree
1537173858973373,43:23,cecil thurston vanreenen,there was collusion
1537173886047028,43:50,cecil thurston vanreenen,how can you close a account without asking the client to explain
1537173889094765,43:53,Nelson Musoliwa,Bank legal team line of operation is of legal nature so evidence before the team directs whether to consult the affected client or not
1537173957809198,45:02,peter pott,well done deputy chief justice
1537173969937900,45:13,Monique Jones,@Thando Nkutha shhh we're listening
1537173975111137,45:19,Siyabonga Sihle,so interesting to hear this
1537174002462182,45:46,Siyabonga Sihle,nice questio from Zondo
1537174005912250,45:50,Mkhuseli Freddie,It is very interesting that banks are being exposed now. The man have the audacity to tell the judge that this is how we conduct business.
1537174040328997,46:24,Monique Jones,@Thando Nkutha lol
1537174042432152,46:26,Thembani Billy Ntuli,hey Mkhuseli......yooo
1537174049703736,46:34,cecil thurston vanreenen,Pravin Gordan has his hands in this desions
1537174061771771,46:46,Mkhuseli Freddie,"Well, Mr Chair. we are subjected to this abuse on a daily business."
1537174089969719,47:14,peter pott,😀😀😀😀he is fumbling now
1537174117655160,47:42,Siyabonga Sihle,you can seen in his face that he is lying
1537174173276861,48:37,Monique Jones,@Siyabonga Sihle he's a lie-awyer
1537174220453263,49:24,Siyabonga Sihle,@Monique Jones 😂😂
1537174227035542,49:31,Monique Jones,@Thando Nkutha have you been penalized for early withdrawal? Get off the sex talk!
1537174246270798,49:50,peter pott,"nkutha, your illustration doesn't fit the matter"
1537174311647418,50:55,Lucky123 Thwala,Explanation please
1537174416151607,52:40,Rebaone Tswiio,m watchin m in Botswana. interestin
1537174425636494,52:50,peter pott,😀😀😀they forgot the chair works at concourt
1537174458336137,53:22,peter pott,again well done Deputy Chief Justice🙏🙏😬
1537174469583510,53:34,Monique Jones,Nice chatting with y'all. @MrMoyoT still hasn't answered my inquiries. Almost 4am here and I'm going back to sleep. Hopefully.
1537174474360457,53:38,sinawo makalima,fascinating exchange between the the Judge and Standard Bank
1537174541921530,54:46,cecil thurston vanreenen,there you go!!!
1537174547443714,54:51,Rebaone Tswiio,i love how SA conducts its business
1537174550322959,54:54,cecil thurston vanreenen,there was collusion
1537174572036351,55:15,cecil thurston vanreenen,they followed absa
1537174606120784,55:50,eugenemac makamu,yoh these people
1537174636118132,56:20,Goodman Hlongwane,may you please relax guys still more coming
1537174694417577,57:18,Victor Mkhaliphi,The mind of the Justice is very impressive!!!
1537174710511294,57:34,peter pott,😬😬😬this guy is he now a journalists or newspaper editor?
1537174829609327,59:33,peter pott,so you close an account based on gossip?
1537174846975895,59:51,Chris Drift,so far no eveidence of laundering or exchanges. hope more comes up.
1537174890204461,1:00:34,Sindiswa Moolman,The gossip supported what they picked internally @peter pott
1537174890328391,1:00:34,Robert Russell,@peter pott ....you starting to sound lie ZUMA 😃
1537174896865497,1:00:41,Rebaone Tswiio,this guy looks uneasy
1537174903475761,1:00:47,Chris Drift,@peter pott I agree. Sounds suspicious from Standard
1537174964549867,1:01:49,Gaone Molefe,"so he is giving merits to the deformation of character case that might be opened incase they are not guilty with all charges, since when did banks making decisions based on hear says?"
1537174979573420,1:02:02,Lorna Kavanagh,money destined for Estina went to ..... DUBAI.
1537174991978596,1:02:16,peter pott,"there we go, no findings on their part"""
1537175015924844,1:02:40,Linda Damons,the guy is nervous coz he has to spill the beans.....
1537175066726119,1:03:31,peter pott,"this decision was made around the bar area, on Friday afternoon after work, if not at joburg golf course😀😀☺"
1537175106254311,1:04:10,Lorna Kavanagh,the banks have to protect their interests seeing it is their client's money is at risk ....
1537175120699729,1:04:25,makofane tshepho,WAT MORE DO U WANT. THIS IS THE EVIDENCE WE NEED RYT.
1537175120929791,1:04:25,Rebaone Tswiio,my interest is wat is standard bank not tellin us
1537175232642481,1:06:16,peter pott,"nkutha, I agree. but we have rules of engagement in this country, hence we can't chase whites off the land at a toss of a coin. We have to listen to them despite knowing the history."
1537175241850759,1:06:26,Chris Drift,"unless stadard has other info coming, they had no valid reason for closing the accounts. unless they can show suspicious transactions"
1537175268548330,1:06:53,William Pieters,well said there @Thando Nkutha
1537175279976761,1:07:04,Robert Russell,ANC thieves...always lurking in the back ground to feed Chancellor House
1537175297632208,1:07:21,Rebaone Tswiio,my point chris. i feel there is sth they r not tellin
