timestamp,time,author,message
1537263188030401,-5:00,Nduduzo Zondi,"ACJ Zondo recently handed down a Con Court judgement approving private growth, consumption, & possession of Marijuana in SA...Ganja smokers be rejoicing, filling atmosphere with sweet aroma..."
1537263384772359,-1:44,bubbles2675,"hahah Nduduzo, absolutely"
1537263391263726,-1:37,bubbles2675,myself included
1537263409975147,-1:18,Kofi Amegashie,Is the livestream active
1537263435324192,-0:53,bubbles2675,not yet kofi
1537263443768915,-0:45,Zivia Desai Keiper,nothing happening my side although I understand that Zondo is in the room
1537263447881014,-0:40,Nduduzo Zondi,at least just been served bubbles....
1537263466210836,-0:22,Kofi Amegashie,Thanks
1537263509134814,0:09,bubbles2675,"the pharmaceutical companies must be so p*ssed off with zondo, he just cost them billions in revenue, as the health benefits of dagga out weigh the pharma companies drugs by far"
1537263521108975,0:20,Nduduzo Zondi,ACJ Zondo probably on his way to the commission...had to do some great task of serving a long over justice...
1537263543148137,0:43,bubbles2675,"concourt rules the land thando, so yes"
1537263548381983,0:47,Nduduzo Zondi,entire South Africa Thando
1537263575731204,1:14,bubbles2675,judgement even calls for parliament to adjust their 'drug' law
1537263596457765,1:36,Nduduzo Zondi,true @ bubbles...no more unjust profit making for the pharmaceuticals
1537263609059884,1:49,bubbles2675,aye nduduzo
1537263640795793,2:20,bubbles2675,"plus, allowing clean weed, kills the druglords who lace the weed and get people addicted to the laced product"
1537263708594708,3:28,Makgoadi Ngoasheng,can the live stream start already??😐😕😥
1537263720256317,3:40,bubbles2675,it has started makgoadi
1537263735879869,3:55,Nduduzo Zondi,no more police brutality...harassment..no more unjust arrests...clear our criminal records...big up ACJ Zondo...hope the same will be done in this commission
1537263773554470,4:33,bubbles2675,"I think this commission is going to hurt the ANC on very horrible levels, so far so many of their 'fatcats' have been imlicated"
1537263818379022,5:18,Nduduzo Zondi,true bubbles..anc must fall..
1537263832501157,5:32,makhosi nobhatyi,They are digging the truth we want to know
1537263834678691,5:34,bubbles2675,to even threaten the banking institution that ANC hold the power to change laws?
1537263848434728,5:48,bubbles2675,height of arrogance!
1537263938785808,7:18,Bongumenzi Nxumalo,"Weed can wait, But this force...is beautiful!!"
1537263951178124,7:31,Millicent Shozi,msholozi asked definition of state capture
1537264013503154,8:33,Nduduzo Zondi,yes Thando
1537264026544915,8:46,Bongumenzi Nxumalo,Thando Nkutha mchana I did previously haha
1537264054367082,9:14,bubbles2675,hahaha Thandp
1537264096960065,9:56,Nduduzo Zondi,big up ACJ Zondo...big up the legal practitioner too...@beauties by nature...
1537264188418877,11:28,Nduduzo Zondi,young & beautiful law practitioners in SA...
1537264268453444,12:47,Lucky123 Thwala,What was the out come of the judgement on Gagga use at home today
1537264277436294,12:57,Nduduzo Zondi,do that girl @Thando...big up yoself….
1537264314322596,13:34,Jackson Mpala,There are lot of lies from this state capture inquiry
1537264337049523,13:57,Nduduzo Zondi,….ban on private marijuana use been lifted...
