timestamp,time,author,message
1537431014528264,7:50,Madeline Else,when will the SASSA strike end
1537431217317260,11:12,Big vinny,the honors lie with Mr Gupta to cross examine Mr Jonas on that issue it's a hear say.
1537431328590651,13:04,makhosi nobhatyi,Why she is interested to cross examine Jonas?
1537431373444044,13:48,Linda Damons,its becoz she wants to twist Mr Jonas words
1537431407336186,14:22,Tulonga Henoch,Yaah give your version first please
1537431427069170,14:41,Big vinny,@Makhosi Nobhatyi I think this advocate just wants to get paid it makes no sense at all
1537431452654697,15:08,Linda Damons,"i love how Mr Zondo sees thu this lawyer, he uts him short"
1537431474489551,15:29,Linda Damons,cuts him off
1537431486364975,15:41,makhosi nobhatyi,Her lawyer interpreted wrong now already Jonas says Ajay Gupta said that he is working with miss Brown what she is going to ask mr Jonas?
1537431536475190,16:31,Nkosinathi Sihle Shange,😂😂😂
1537431557622810,16:53,makhosi nobhatyi,@big vinny yes I agree with you coz his arguments has no foundation
1537431558045610,16:53,Nkosinathi Sihle Shange,missng file😂😂😂
1537431571852812,17:07,Linda Damons,"ai ai ai, even unorganised"
1537431572309817,17:07,Nelson Musoliwa,This guy is wasting time Lyn got no objection to Jonas evidence this lawyer is stuck to the word context and nothing else
1537431573872814,17:09,Nkululeko Malandela,whats happening
1537431581744155,17:17,Sindiswa Moolman,Not organised
1537431612551482,17:47,Noreply Internet,"if he wants, I have a panic button in my pocket."
1537431620987367,17:56,Thaga Sho,whats happening here?
1537431637186429,18:12,Linda Damons,"😂😂😂😂😂😂😂😂😂😂, i love u Zondo"
1537431685799326,19:01,Lorna Kavanagh,.... surely the commission would want to hear from Brown about her time as minister of SOE's ????
1537431737042194,19:52,Desmond Masilela,This guy looks very confuse
1537431738109048,19:53,makhosi nobhatyi,"@wonga masiza he see the guy has no point to ask Jonas at this point she is not implicated I ask myself over and over again why she is interested somethings smell rotten, she wants defend anything"
1537431779786773,20:35,Tulonga Henoch,Where is her version
1537431782472312,20:38,Jackie Ramaphosa,no version lol
1537431793267761,20:48,Tsietsi Thokoane,again and again where is Her version?
1537431811786048,21:06,Linda Damons,"wow, Zondo is strict now.........u see she has no point"
1537431817612579,21:13,Desmond Masilela,As I said. No version...
1537431819380370,21:14,Sindiswa Moolman,Yes... We want to hear her version
1537431823868920,21:19,makhosi nobhatyi,He is confused really now commissioner has to direct him to the point not running around
1537431833560963,21:28,Sonic Ngove,Let us see how it gonna be about this state capture.
1537431836295219,21:31,Nkosinathi Sihle Shange,😂😂😂😂😂😂
1537431839263267,21:34,Ntobeko Tyandela,no version unorganized
1537431849088563,21:44,Lucky123 Thwala,Lynn Brown must fire this guy
1537431856822755,21:52,Jane .Blamire,Come to the commission Lynne Brown. We want to hear your excuses
1537431860926689,21:56,Tulonga Henoch,Chairperson can I read....?
1537431865414418,22:00,Jackie Ramaphosa,context is not version lol
1537431884908962,22:20,Gaone Molefe,simple procedure seems not to have been followed...
1537431913911988,22:48,Sindiswa Moolman,@Jackie Ramaphosa you never answered my Q. Are you related to the president?
1537431924941497,23:00,sendo sityebi,this guy wont win here nver
1537431929189334,23:04,Soso Slangwe,loool this guy is wasting time
1537431944136192,23:19,Soso Slangwe,he useless
1537431947305334,23:22,Gaone Molefe,"versions please, simple standard procedure required..."
1537431964313080,23:39,Nandipha Magandela,where is her version lol
1537431966004981,23:40,Sindiswa Moolman,He is here to show his pretty face.... nothing else.
1537431967161656,23:42,Soso Slangwe,this lawyer is drunk
1537431986394738,24:01,Joseph Thobejane,where is a version boy boy
1537432002742843,24:18,makhosi nobhatyi,😃😃😀😀😀 this guy hayi uya rhayiza
1537432003537507,24:18,Linda Damons,Judge is getting agitated url
1537432010248807,24:25,Soso Slangwe,what context
1537432018223375,24:33,Tulonga Henoch,5min left
1537432025546313,24:40,Desmond Masilela,Judge Zondo is getting cross now.
1537432029911013,24:45,Jeffrey Magongoe,hae Mr Lebala thank you for nothing
1537432032000447,24:47,big one,useless lawyer
1537432034918082,24:50,maphotla library,Mr Lebala is out of order
1537432038732729,24:54,Big vinny,let's all lough
1537432041250470,24:56,Ray Legodi,4 min left
1537432050536431,25:05,Linda Damons,so true @deon
1537432050746354,25:05,Desmond Masilela,We are wasting time listening to this stupid guy.
1537432053747629,25:08,Joseph Thobejane,he just take chances
1537432054883414,25:09,Nkosinathi Sihle Shange,thnkx chair😂😂😂😂
1537432055085129,25:10,abraham rambuda,This guy is a total embarrassment to the law fraternity
1537432059874978,25:15,Tulonga Henoch,3min left
1537432060759843,25:16,Desmond Masilela,We want her version.
1537432061509055,25:16,Trucker Trucker,Banks can close accounts based on Media Reports .The Media can interfere in the Bank-Client Relationship but the Government can't. Evidence Leaders were supposed to query this.
1537432063626794,25:19,Jeffrey Magongoe,help him with the door please
1537432081848743,25:36,Nkululeko Malandela,this guy lol
1537432085529616,25:40,Tulonga Henoch,2min left
1537432089497241,25:44,Soso Slangwe,disgrace to the law fraternity
1537432091766472,25:47,Ray Legodi,Oh no
1537432091867360,25:47,Walter Mercuur,why does Lyn Brown not appear before the commission???
1537432093143505,25:48,Sindiswa Moolman,We dont want the context... but her version first.
1537432101483217,25:56,makhosi nobhatyi,Miss Brown is guilt that’s all
1537432103590308,25:58,Soso Slangwe,20 seconds left
