timestamp,time,author,message
1538553788427545,-4:22,jackisto jj,we are waiting
1538553832380887,-3:38,Lunga Mzimba,am sure they are still looking for the ON button somewhere
1538553852943631,-3:17,jackisto jj,lol
1538554091937635,0:32,Fhumulani Steven,There we go...
1538554132739566,1:13,michael mbatha,Baba Sthenjwa
1538554137746099,1:19,Siyabonga Dladla,@SABC Digital News sound quality yenu comrades
1538554151105812,1:32,Gert Bester,Sound is terrible??
1538554151145675,1:32,Fhumulani Steven,The sound is very bad...
1538554151223638,1:32,Canaverde2,"aS USUAL, THE SOUND IS TERRIBLE!"
1538554179753454,2:00,Nozipho Thembeka,Sound is very bad
1538554198950168,2:19,Lucky Sibanyoni,terrible indeed
1538554219149461,2:40,Xolisile Mbhele,FIX THE SOUND. WE WANNA HEAR THE LIES IN HD
1538554222122280,2:43,Gert Bester,Can someone there pleeese do someting about the sound..it will make me go insane!!!!!!!!!!
1538554247386093,3:08,Fhumulani Steven,On eNCA the sound is better
1538554258067621,3:19,Slindile Ngcobo,switch-over to ENCA
1538554274106116,3:35,Xolisile Mbhele,NEVER WATCHING ENCA AGAIN LOL
1538554363837449,5:05,Given Muzi,Sound is Terrible
1538554377879292,5:18,Lucky Sibanyoni,yep. enca is great
1538554395087213,5:36,Victor Litabe,Please fix the sound.
1538554410371244,5:51,NN2017 UTHANDO,the sound is terrible
1538554423211004,6:04,Kopano Pabe,The sound is terreble
1538554427987873,6:09,Edward Buta,Whats wrong with this flipin sound!!
1538554448059562,6:29,teboho mohlakoana,Yah ENCA is the best unlike cash strapped SABC
1538554507820032,7:28,Sekgololo Johannes,what is wrong with the sound now?
1538554543024294,8:04,thulani miya,Sound Sound Sound Sound
1538554600683399,9:01,nhla xwale,sound
1538554620962833,9:22,Walter Cole,"I’m representing but not sure how long with the poor audio sounds, who knows"
1538554622693321,9:23,nhla xwale,something wrong
1538554642388254,9:43,Lebone RATSHOMO,Pls fix the sound yeses
1538554652832517,9:54,Desmond Masilela,Guys switch to ENCA
1538554657391612,9:58,Siya_Map,eNCA better!!!
1538554669703800,10:10,Loyiso Ndika,the sound is very bad on live streaming.
1538554678420074,10:19,Xolisile Mbhele,NO
1538554681682254,10:22,Tyamie Lundi,watch from ENCA you tube channel guys. it's way better there.
1538554697048548,10:38,Mkhuseli Freddie,no ENCA live streaming
1538554698769534,10:39,MASIPA ITUMELENG,this sound I think I'm gonna switch to eNCA
1538554707658019,10:48,PATRICK MALESELA,I TRHINK IF POSSIBLE YOU MUST TRY SABC TV ITS MUCH BETTER
1538554729398023,11:10,nhla xwale,"please help us , we are interesting"
1538554757979583,11:39,teboho mohlakoana,pls guys lets all switched to ENCA and leave this SABC this are the result of being cash strapped maybe they owe sounds or maybe sound is retrenched....lets go to ENCA is the best
1538554760964730,11:42,nhla xwale,take out sound bad
1538554782931274,12:04,Keaton Solomons,No sound.
1538554791543151,12:12,Marvel Mushavhela,Let me use my DStv app
1538554803962512,12:25,Tyamie Lundi,"search ""State capture inquiry"" on your you tube search engen and you will see the ENCA option quickly."
1538554848722118,13:10,Elliot Mokoena,"the eNCA stream is clear, go to their website and then follow the streaming from there"
1538554868231493,13:29,david jacobs,"Morning All ,the sound is bad wena"
1538554876355029,13:36,Mathonsi Mathonsi,"why is it happening today, is these maybe sabotage since we have been waiting long for this day,why it wasn't. checked test to ensure"
1538554879086896,13:40,Gert Bester,What channel on the DSTVV app?
1538554884481873,13:45,david jacobs,lol
1538554905485634,14:06,Jerry Sigidane,Ngoho zwinwe zwithu zwia bora as specially u chi toda u pfa vhungoho ha kha zwe zwa itea
1538554913447619,14:14,siphelo tshotyana,The sound is okay.....
1538554938255025,14:39,Boitumelo Mahlong,no sound has some noise...
1538554956172818,14:57,lxole,geez now i have to watch it through enca 😑
1538555026175528,16:07,Bitso Paul,Wow! Courageous!
1538555088186725,17:09,Bitso Paul,The sound is poor!
1538555102025265,17:23,Paul Bakane,sound pls
1538555138427075,17:59,Maimane H. L. Lekwane,"The poor sound is killing us, we are all ears to the Min Nene"
1538555172655047,18:33,Relebohile Bosaletsi,Sound is very poor. Please Please adjust ASAP
1538555188721837,18:49,Walter Mercuur,the SOUND is poor
1538555197774659,18:58,Hiltonw111,Is it intentional to have poor sound.
1538555216416087,19:17,Corus Mabulwana,Tune in to SA FM to deal with the sound issue
1538555238754976,19:39,Relebohile Bosaletsi,SABC sucks nxa
1538555256343032,19:57,Hiltonw111,Doesnt sound like a cure. SABC wants to know why no one wants to pay TV licenses. Quality of broadcasting is at all time low
1538555271590557,20:12,Hiltonw111,Incompetence at its best.
1538555285890844,20:27,Corus Mabulwana,"I'm viewing the footage here, but playing the sound from SA FM stream."
1538555287824527,20:29,Kopano Pabe,Ohh thank you SABC!
1538555290807217,20:31,Beja Kalimbo,sound please
1538555308061761,20:49,Thuso Sebete,"sound better now , think you"
1538555308521598,20:49,lufuno Justice Ramashia,now the sound is okay
1538555313406713,20:54,Jared Lee,nice
