timestamp,time,author,message
1570521153021707,-16:51,Buyani Mhlongo,Are expecting Zondo to make him comfortable in a way that might make him tell the truth just like Hlaudi LOL LOL LOL
1570521175481374,-16:28,Buyani Mhlongo,"I meant ""Are we expecting"""
1570521223968939,-15:40,Buyani Mhlongo,He is the first person to have guts to ask questions to the commission LOL
1570521238229664,-15:26,Buyani Mhlongo,@ I Am Free me too
1570521412003508,-12:32,Noluthando Khumalo,"Morning guys, 4 minutes to go...."
1570521476623886,-11:27,Jongithemba Kobza,Mxm family of zuma
1570521603816915,-9:20,Rob Nel,"Madonsela reckon he lied re opportunity to respond to her report. They offered to send investigator to Dubai, or Skype interview. He refused as his lawyers were not available."
1570521626156314,-8:58,Lawrence Mogale,morning all
1570521772276814,-6:32,Rob Nel,No they trying to get Zondo hand out of cookie jar
1570521778881661,-6:25,Isaac Phumudzo,Morning everyone
1570521802899039,-6:01,Buyani Mhlongo,@Yin Yang Monring
1570521804082420,-6:00,Tracey Larsen,I am free... please dont talk about race issues on this platform.. this is about the state capture commission. beside we are supposed to be building a better unified South africa... Love you guys
1570521810375804,-5:53,johnza gp,Morning Family! are we live maybe is my internet playing games with me
1570521838258115,-5:26,Thomas Muremi,morning guys...business as usual
1570521852404310,-5:11,Tracey Larsen,no problem my dear...
1570521864181322,-5:00,Smart Guys,agree Tracey
1570521890013620,-4:34,Damon Radebe,"Morning everyone, lets have a constructive discussion today and down with stupid comments like those from @I Am Free"
1570521891327635,-4:32,Tracey Larsen,anyone on here that is part of #I'M STAYING GROUP
1570521891369977,-4:32,Noluthando Khumalo,@Johnza gp no we still waiting
1570521898089302,-4:26,Eric Singo,@Buyani Mhlongo 👊
1570521903877710,-4:20,Alexandra Wiggett,"@I Am Free, you are NOT free because you are a slave to the government and the banks."
1570521905034617,-4:19,Johnny Williams,Morning. Sorry for the delay Judge Zondo is drinking Tea
1570521910148742,-4:14,Muzi Dube,@I am Free lol lol lol chief we from S.A. Kwa Zulu Durban Newlands West lol. Sigrand about that Rugby player ...
1570521938619770,-3:45,Vutomi Mkhabela,Morning everyone
1570521947273208,-3:37,Reinette Raubenheimer,see on the news Prof Thuli Madonsela says duduzane is lying....... #ImStaying
1570521956324197,-3:27,Bev Daniels,I think the Eben Etzebeth story has been taken too far. Listen to the videos regarding the group that attacked his group about saying that they must stab him
1570521957353771,-3:26,Sam Saiya,where is Duduzane
1570521960766718,-3:23,johnza gp,@Noluthando Khumalo I thank you
1570521962199733,-3:22,Lucas Sibeko,Morning guys
1570521977934091,-3:06,Petro Forsyth,Let us just stop attacking one another and stand together at least against corruption!
1570521989550333,-2:54,Eliot Chauke,Thuli must refute Duduzane under Oath...
1570521990879120,-2:53,Mlondi Jali,I'm just here for Duduzane Zuma's English...
1570521997462535,-2:46,Lorraine Naidoo,morning
1570522000638444,-2:43,Drikus Olifant,jaja
1570522011633303,-2:32,mandisi ntauzana,Raymond is late again
