timestamp,time,author,message
1571211642626277,-20:07,Lucky Benya,As we wait
1571212279109939,-9:30,Derrick saperstein,"With cost of this inquiry, I feel almost guilty for watching it."
1571212387327010,-7:42,clive oconnell,Zuma plot of load shedding stopping you soon
1571212469623253,-6:20,Lucky Benya,"This is just a talk shop, we won't get value for money anc will dribble us to no decimal point as usual. I'm enjoying the gossip thou"
1571212957711975,1:34,Derrick saperstein,ON TIME !!! WOW !!!
1571212995684030,2:13,Phillip Cwazibe,@Derrick saperstein ​ With cost of this inquiry. Same but I am hping that the state will recover more than the cost.
1571213240690037,6:18,Ben Cole,No talk shop. It casts sunlight on darkness where there was none. It prods our consciences to make better choices in future. It will in time lead to prosecutions.
1571213248680717,6:26,Murugasen Ganesh,what new
1571213266014496,6:43,Derek Main,I think this commission should run permanently to name and shame all the corrupt cadres.
1571213594067867,12:11,Zama Kubheka,There are so many people who have not come forward yet. I feel like this is dragging!!! when is state capture gonna finish?
1571213619335320,12:36,Ben Cole,"@I am free, if that London comment is true, it is a pity because we desperately need the investment. But, our President also needs to be reminded that we all, investors too, are seeking action."
1571213713078163,14:10,Derek Main,@Zama Kubheka State capture and corruption will never stop as long as the ANC is on power. They are corrupt to the core.
1571213768224136,15:06,Derek Main,I don't think Ramaphosa's strategy of telling everyone what they want to hear is fooling anyone anymore.
1571213903930638,17:21,Derek Main,@I Am Free Those were pledges and they often don't materialise.
1571213926699918,17:44,Lady Bird,You must ask how much of those investments went into Ramaphosa's pocket...
1571213934139886,17:52,Zilungile Khumalo,but a few NPOs are NGOs
1571213943394772,18:01,Zamankwali Ngema,Totally agree with you.. @ I am free
1571214007896266,19:04,Lady Bird,Derek I hope that those pledges are incumbent on action on corruption
1571214027906750,19:25,Slindile Ngcobo,@I Am Free ....you are still not free...hehehe
1571214030265709,19:27,Derek Main,"@I Am Free You may be right but I still think it's a semantics game he was playing. He said ""secured"" but that could still mean just a pledge."
1571214036179066,19:32,Samoldemus,i decline. the fall of america
1571214043442167,19:40,Samoldemus,private
1571214051869331,19:48,Samoldemus,public property
1571214062765998,20:00,Derek Main,@Lady Bird You and me both.
1571214115831817,20:51,Samoldemus,i decline
1571214155863531,21:32,Mzobanzi Dazela,Remember when Alexander riots were staged only for free ANC campaign program in the cry for help. Ramaphosa hasn't done any of the promises he promised those people. Very unfair.
1571214172770155,21:49,Lady Bird,Is there not a clause in law where NO GOV OFFICIAL OR THEIR FAMILY should NOT benefit from gov. financially ? I mean come on
1571214250964204,23:08,Lady Bird,There should be no way Gov .officials and their families that benefit from gov. grants and contracts
1571214305464017,24:02,Lady Bird,LOL Wow
1571214305639680,24:02,Thami Ngwenya,BA languages on finance position
1571214408339300,25:45,Norman Zwane,@Thami Ngwenya Is that significant if she had 15yrs experience in the general area of governance?
1571214481246191,26:58,Thami Ngwenya,"Depends, whether had a clue on financial understanding hence this problems"
1571214520694589,27:38,Robert Russell,Did you know that all senior mangers of SOE must be cleared by the SSA...case in point Eskom has 121 such mangers..100 of them have revused to be vetted. The SOE have discretion to over look red flags
1571214559943913,28:16,Adelaide Lekubu,what he did needs lifetime sentencing...he deserve it
1571214565678323,28:22,Lady Bird,Robert Russell that is highly concerning
1571214581516225,28:38,Slavic Peter,hauweng!!
1571214597218317,28:53,Norman Zwane,"@Thami Ngwenya I see your point. I would suggest she understood the situation quite well but deliberately cooked the books, and had enough know how to do that."
1571214612569536,29:09,Lady Bird,Sounds like people with no qualifications Rob ...
1571214634474242,29:32,Lady Bird,Yes FREE I am from RSA ...living in Israel
1571214716928100,30:54,Sky,The lady is just beating about the bush and playing safe. What can she do?
1571214857341158,33:14,Lady Bird,"Iam not Jewish ,just a normal Coloured girl..."
1571214858378490,33:15,Snowball,lol
1571214899133570,33:56,Murugasen Ganesh,your name
1571214921610314,34:19,Lady Bird,LOL NP
1571214934402452,34:31,PRO-Found The Native,she is really taking the long route with yes or no questions.
1571214946538744,34:43,Thami Ngwenya,Baningi abafundile but ignored ngoba bangama clever blacks
1571215056521152,36:33,Lady Bird,I Am Free funny Icelanders dont think they are going extinct and there are only a few hundred thousand of them in the world lol
1571215091265219,37:08,Thami Ngwenya,But Jacob is a politician not an official
1571215110858547,37:27,Lucky Benya,"It's either the memory is still buffering or she's playing safe, either way Zondo will soon skin her alive"
1571215233560060,39:31,Lady Bird,Last time SAA was run with a profit a Coloured Cheryl Carolus was in charge ...Last time gov ran a solvent budget with a surplus a Coloured was in charge Trevor Manual ....I see a trend here .
1571215266834211,40:04,Lady Bird,Yes FREEE they are . LOL I can read Icelandic .Scary difficult that
1571215313204563,40:50,Lady Bird,THAMI . Jacob is just a common criminal ...
1571215415633713,42:32,Pitso Mosetlhe,why support New age and left out community newspaper in the province to die....
1571215458630528,43:16,Pitso Mosetlhe,newspapers under Free State Media Cooperative have all died due to this New Age paper
1571215463791417,43:20,Corlé Jansen,who is this lady?
1571215494290123,43:51,Pitso Mosetlhe,Yes @ I Am Free
1571215500329027,43:57,Pheladi Lamola,Nobody ever remembers which Gupta brother was present. Why? But they let them call the shots
1571215520714437,44:18,Pieter,Finance MEC Elzabee Rockman
1571215539333676,44:36,Corlé Jansen,shot
1571215540191536,44:37,Slindile Ngcobo,@Corlé Jansen ....former Free State Finance MEC El-za-bee Rockman.
1571215573654339,45:10,Sindiswa Moolman,They confused people for a reason @Pheladi Lamola. They never introduced themselves to anyone... so I heard.
1571215580469325,45:17,Lady Bird,Have any of the Guptas ever appeared before this commission ?
1571215623962105,46:01,Slindile Ngcobo,@I Am Free ....ppl in glass houses should not throw stones
1571215626949212,46:04,Lady Bird,teeheee FREE .
1571215629886643,46:06,Pheladi Lamola,Is that so Sindiswa? Yhoo. They were very sly foxes those Guptas
1571215631389293,46:07,Sindiswa Moolman,That’s body shaming @I Am Free
1571215655975436,46:32,Lady Bird,"It's not shaming ,she fat"
1571215662517596,46:39,Nkululeko c220,this woman is not guilty..
1571215670265609,46:46,Robert Russell,Stoned people in glass houses.......
1571215680428815,46:57,Norman Zwane,@Pitso Mosetlhe That is so disgusting Pitso. The Free State lost historical prints?
1571215755621314,48:12,Pitso Mosetlhe,More than 20 Community newspapers all suffered a blow due to the New Age monopoly in the Free State
1571215770307430,48:26,Klipkasarm Bar,remember the quote.....as dit pap reen moet jy skep...baie
1571215773448088,48:30,Slindile Ngcobo,@I Am Free ....but you could be totally unfit...
1571215782531299,48:38,Pitso Mosetlhe,Mine included
1571215789912565,48:46,Mkhatshwa Mpendulo,whats the topic today?
1571215800310451,48:56,Lady Bird,"Iam still waiting for arrests from this very expensive commission , I am still waiting for confiscation of property . I fail to see that this commission has stopped corruption"
1571215826678129,49:23,Norman Zwane,"@Lady Bird She is here for evidence I think, hardly to show off her body. I'm glad for your public announcement that you are not fat. I hope you are smart though."
1571215869937339,50:06,Lady Bird,Norman I am very smart .
1571215877789826,50:14,JoziTube,"lady bird there is never gonna be arrest, this is purely for entertainment and to get Zuma and Zuma cannot be gotten"
1571215889899381,50:26,Norman Zwane,"@Pitso Mosetlhe Hardy bra,"
1571215904676023,50:41,Lady Bird,So this is a sham .Thats what I figured
1571215915883613,50:53,FIXAFRIK,watching from Shanghai
1571215920156909,50:56,Norman Zwane,"@Lady Bird In that case, lets act smart then"
1571215939895564,51:16,Kapn Krunch,the commission must conclude before proper prosecutions will start
1571215947607948,51:25,Easy D,Lol
1571215958117147,51:35,FIXAFRIK,hahah WONDERS has ended
1571215976066488,51:53,Kapn Krunch,this is not a court of law its leading up to court cases and prosecutions
1571216026973143,52:43,Reinette Raubenheimer,new age junk mail.... can't call it a newspaper... rubbish.....
1571216031281242,52:48,Kapn Krunch,hopefully
1571216041506787,52:58,Norman Zwane,"@JoziTube Maybe Jub-Jub should anchor it and be sold to Channel 157 ""Moja Love""...just asking?"
1571216128801362,54:25,Norman Zwane,@Pitso Mosetlhe was there no daily in the Free State as she claims?
1571216141682321,54:38,Robert Russell,The SON newspaper is the worst..... fullstop @I Am Free
1571216142320313,54:39,Kapn Krunch,how cool is it that the united states has frozen gupta assets and businesses in america
1571216235857827,56:12,Easy D,"yes @ kapn Krunch,.."
1571216268331363,56:45,JoziTube,it would be interesting to learn about OPPENHEIMERS as well as to how they also conduct business and negotiations
1571216287960550,57:04,GH MG,"frebriry, why do they speak like that?"
1571216303559748,57:20,Norman Zwane,@Robert Russell We stocked this New Age rubbish and for 2 years we never sold 1 copy. I dont even recall our local fish & chips wrapping chips with it it was so bad.
1571216381137594,58:37,Norman Zwane,@GH MG Some of us say Febluwali.. each to his own
1571216406121391,59:02,Kapn Krunch,david icke believes the royal family are flesh eating reptiles i mean do me a favour
1571216408558222,59:05,Pheladi Lamola,But this could've been discussed with everyone at the same time. Why did they need to meet HER 1st before the Exco?
1571216414632756,59:11,JoziTube,"how about they come to the commission, phela Black people dont read as much"
1571216424822616,59:21,Lady Bird,"Seize all assets from corrupt officials and build houses for those who need it or, and modernize and invest in hospitals and education"
1571216429112966,59:26,makhosi nobhatyi,"Don’t open other things @Jozi, Guptas was looking government contracts no where else"
1571216438941994,59:35,GH MG,lol..@Norman Zwane
1571216471730342,1:00:08,Zweli Dike,Where is the big crocodile Ace Magashule?
1571216473365977,1:00:10,Kapn Krunch,utter nonsense
1571216497284403,1:00:33,JoziTube,@Makhosi is that wrong? would you look elsewhere if u r satisfied where u r?
1571216514076940,1:00:50,Kapn Krunch,the nephalim in the bible were giants not reptiles
1571216519531204,1:00:56,Slindile Ngcobo,The New Age was pre negotiated with the FS by Ace
1571216523777888,1:01:00,Moqenehela Tsolo,south africa is wasting time on this...
1571216550445481,1:01:27,Norman Zwane,@GH MG Born a Zulu with a lack of 'r' in my alphabet...quite a few clicks though
1571216571360190,1:01:48,Kapn Krunch,yes and nephalim are the result of cross breeding between angels and women
1571216598799011,1:02:15,Yongama Mzimba,We are in Africa
1571216627847724,1:02:45,Kapn Krunch,read the book bud
1571216651353736,1:03:07,JoziTube,David Icke tells half truths and imaginary stories
1571216683391485,1:03:40,makhosi nobhatyi,"@ Jozi Tube it is wrong coz they have friendships with the premier, President and officials which will make suspicious threats to tender bid, they get all government tenders which is wrong"
1571216736682586,1:04:33,Pheladi Lamola,So you decided to be the capital for Guptas. We all know how Guptas never used their own money to pay for anything
1571216747458981,1:04:44,Norman Zwane,Nonsense but Piet Rampedi did in Limpompo
1571216766212361,1:05:03,JoziTube,Guptas were introduced to zuma by Mbeki who inherited them from Mandela.... why is the focus only on zuma
1571216777604757,1:05:14,Lady Bird,Are these guys paid by the hour >>>?
1571216782508137,1:05:19,Derek Main,@Kapn Krunch The bible stories are about as credible as flesh eating reptiles.
1571216801163373,1:05:38,Lady Bird,LOL Derek
1571216804859877,1:05:41,Kapn Krunch,thats your opinion
1571216824357010,1:06:01,Sukoma Holding,"This will be the fall of ANC,why did they fire Malema,big mistake."
1571216825108346,1:06:02,Pastor J.J,"Nonsense. Why would the FS want an English Newspaper so desperately when the majority of the people in FS was Black and then Afrikaaners, More sense to focus on what people want."
1571216847259353,1:06:23,Paul Buchel,"@Derek Main​, 😂😂😂"
1571216854573911,1:06:31,JoziTube,how did we come to bible stories? oh just clicked David Icke theories.....That dude will.make people nuts
1571216869180347,1:06:46,Sindiswa Moolman,The whatabouting is not helping now @JoziTube. Money left our purse during the Zuma time. And we want our money back
1571216897554027,1:07:14,cupido jaftha,No Zondo commission come ak 47 squad
1571216922823061,1:07:39,Lady Bird,You will NOT get your money back if you keep the ANC in power Sindiswa Moolman
1571216923580831,1:07:40,makhosi nobhatyi,@JoziTube nothing wrong to be introduced problem is their actions afterwards looking short comings working together with President Zuma and use his Son gain access to the government
1571216927287472,1:07:43,Musa N,morning all
1571216929122945,1:07:45,Immanuel,"if they want newspapers why ddint they use their pocket money to buy them, it begs the question😎"
