timestamp,time,author,message
1571227394696579,1:46,Daysman Mestile,welcome
1571229063709957,29:34,phibion chenyika,"This lady, the evidence leader, is very serious and imposing in her line of questioning so much as to instill some fear and confusion!"
1571229094357786,30:05,makhosi nobhatyi,She is being caught
1571229114354112,30:25,Derek Main,"If she approved the finances for Estina, then she has something to answer for."
1571229340005880,34:11,makhosi nobhatyi,😂😂😂😃 @ Derek main she was told by her boss that project will carry on
1571229545319977,37:36,Jabu Malinga,this lady is lik duduzane..guilty for listening to ter bosses and doin wront things to keep ter jobs
1571229571147358,38:01,Derek Main,@makhosi nobhatyi I think all FS officials fear for their lives when dealing with Mr 10%.
1571229677861888,39:49,makhosi nobhatyi,"😂😂😃😃 hey these guys they don’t play tjoo @ Derek main, surely they are scared coming forward speak out about corruption"
1571229693500556,40:04,Diana Sekatane,"kuzoba lit, chickensare coming home to roast."
1571229746073057,40:56,Derek Main,@makhosi nobhatyi I don't blame them - people have already been killed for exposing corruption in FS. It's been run by a true gangster for years now.
1571229871888843,43:03,Diana Sekatane,It was very nice when they were doing corruption but now it's very difficult to substantiate what they have done with the taxpayers millions.
1571229916280911,43:47,Jabu Malinga,this lady is beatin around d bush. answering things with confusion. no oversight
1571229923417283,43:53,makhosi nobhatyi,"I am praying NPA, Police, SIU, Hawks move faster to get more evidence in before arrest I don’t want to see delays where we find out Not enough evidence"
1571229932119725,44:02,Easy D,Exactly @ Diana Sekatane
1571229935614441,44:06,Paul Buchel,"@Diana Sekatane​, you mean billions...."
1571229957748207,44:28,Pumla Boyana-Nkonyeni,im glad this advocate is dealing with this Estina issue..she is So On Point and Chairperson flows well with her
1571229979600257,44:50,Diana Sekatane,@Paul collectively yes...
1571229992953237,45:04,Jabu Malinga,"Makhosi, the USA hav acted already, for things done in another country, y didn't sa do d same. wat evidence did usa use to sanction? surely we can at least do d same"
1571229997234264,45:07,makhosi nobhatyi,We want all thugs to go to jail doesn’t matter how big you are
1571230003049348,45:13,Derek Main,@makhosi nobhatyi I'd rather they take their time and get it right instead of having the cases thrown out of court for lack of evidence or bad investigation.
1571230116983034,47:07,Diana Sekatane,@ Jabu let's have a bit of patience the puzzle will unravel itself.
1571230178396898,48:08,Paul Buchel,"@Derek Main​, correct, the problem now is who the investigators are, how solid is all the evidence they're collecting."
1571230317390713,50:28,Diana Sekatane,Investigators must be under raps because this fightback will be dealing with them.
1571230340278123,50:51,Paul Buchel,"@I Am Free, not if you work for yourself."
1571230370472860,51:21,makhosi nobhatyi,"@ Heather Cotton I don’t worry much about them sitting there at ANC headquarters but we will get them, ANC has failed to act and fear to sucked executives whose found in the wrong side"
1571230372784650,51:23,Anne M.,"@Jabu Malinga I stand to be corrected, didn't the USA take action on the request of South Africa?"
1571230405044385,51:55,Jabu Malinga,"Anne, I could hav been, but y didn't we act"
1571230421719090,52:12,Buyani Mhlongo,"@Anne M True,they took actions in response to RSA"
1571230443421220,52:34,Diana Sekatane,@Anne no..
1571230448532882,52:39,bongile sango,this advocate knows her story very well
1571230449245379,52:40,Anne M.,"The NPA has put in an extradition request, not sure how far that is."
1571230487253054,53:17,Anne M.,@Diana Sekatane What prompted the States to take action?
1571230490238606,53:21,martin bekker,is the grin on miss Rothman's face nerves related or what?
1571230566848962,54:38,Diana Sekatane,@Anne remember USA is acting as the police of the world
1571230581253340,54:52,Ming Well,Where is Agrizzi?
1571230654122777,56:05,makhosi nobhatyi,Remember those who worked for these people senior and investigators are still inside the department so first clean inside then run trials
1571230673670383,56:24,bongile sango,this dairy project is a headache
1571230749514223,57:40,Anne M.,"@Diana Sekatane Yes they are, but I think SA brought it to their attention. SA is small potatoes globally."
1571231316924524,1:07:08,nonhlanhla ntombela,why USA didn't close ranks on steinhoff if their serious about fighting all corruption
1571231956600731,1:17:47,Diana Sekatane,@Anne the capture was everywhere especially the law enforcement.
1571232013079720,1:18:44,TheC4RB1N3,and Eskom
1571232131405729,1:20:42,TheC4RB1N3,scared of implicating herself?
1571232138532044,1:20:49,TheC4RB1N3,lol
1571232147507540,1:20:58,Mahendra Dabideen,Definitelly scared of implicating herself
1571232181310379,1:21:32,TheC4RB1N3,haha yeah
1571232181710624,1:21:33,Mahendra Dabideen,Magashula's queen
1571232306660658,1:23:37,rosalind gerber,bean curry
1571232324543919,1:23:55,Mahendra Dabideen,Even Zondo questioned her about the way she drafted her affidavit.
1571232363033354,1:24:34,Mahendra Dabideen,She didnt talk about crititical things that happened when she was in that dept
1571232641632992,1:29:12,TheC4RB1N3,Zondo! Jump in!
1571232750553216,1:31:01,Cruda Bex,Zondo afrikaans pls
1571232871560525,1:33:02,makhosi nobhatyi,Nowonder Duduzane is doing business with whom coz I believe they were targeting government now his dad is out
1571232916674920,1:33:47,TheC4RB1N3,"yeah, they're talking about our money here"
1571232955379723,1:34:26,KC,"zondo your sound quality is fading when truth is been told, please investigate that quick.."
1571232964199889,1:34:35,Lee D. Hendrix,......She knows nothing about what a cattle-farm consist of and was placed in that position to effect an illicit cash flow. The ride should have been nice at the taxpayers' expense.
1571233037902713,1:35:48,Mahendra Dabideen,Looks like she ate all the cows from Vrede
1571233073621845,1:36:24,TheC4RB1N3,"education and health, ""the big hitters"""
1571233077492862,1:36:28,Emanuel Nduhiye,mambo ni motto
1571233090389752,1:36:41,TheC4RB1N3,lol
1571233136545356,1:37:27,Alhadiah Khan,dudu zuma gave jonas a lift from the hotel to guptas res.jonas security was bypassed.after meeting dudu walked Jonas outside to give him a lift.dudu offered lift to the airport or cowtrain.
1571233211838522,1:38:42,Alhadiah Khan,why did dudu nt give him a lift back to the hotel to his security. surprising.
1571233233777983,1:39:04,TheC4RB1N3,and somewhere in between Jonas got offered R600mil
1571233292347130,1:40:02,TheC4RB1N3,of our money
1571233387792915,1:41:39,TheC4RB1N3,"USA are stricter on the Guptas than our ""ANC"" government is"
1571233511137164,1:43:42,TheC4RB1N3,yeah it's about time someone does something about them
1571233541497027,1:44:12,TheC4RB1N3,lol hopefully UK will follow
1571233580115177,1:44:50,rosalind gerber,and UAE?
1571233612404548,1:45:21,TheC4RB1N3,Let's hope they do more than this lady did
