timestamp,time,author,message
1563278476066792,-5:19,Nhlakanipho Mthombeni,Nooo
1563278478140811,-5:17,kuhle sikota,lets just let JZ tell us all the conspiracies and the read out that list of his. Stop asking him questions because there wont be answers
1563278484216520,-5:11,Khamadi Paballo,they went for extra time
1563278491610550,-5:03,moithei phora,14:00
1563278503812147,-4:51,sbomag,has babas throat been cleared coz yesterday it was irritating
1563278507761295,-4:47,Nhlakanipho Mthombeni,Akubuywe Phela
1563278527280267,-4:28,Akhona Gala,eish andidibani kemna nabantu abangalibambiyo ixesha ngu2 ngoku
1563278527621049,-4:27,Nomusa Ntshusha,siseko😂😂😂
1563278533201939,-4:22,Lwazi Silolo,All I want is the spy list....
1563278543939202,-4:11,Jabula-uJule Thwala,Mr Drink Water
1563278566988197,-3:48,khuthadzo nemutanzhela,So you all thinking all this South African situation was created by Guptas ? they are not digging Gold and Diamonds as we speak
1563278569851431,-3:45,Nhlakanipho Mthombeni,"Enough with the questining now, let zuma drop some names"
1563278577083663,-3:38,48 400 TK,@Lwazi me too
1563278579775697,-3:35,kio 786,"just tell them u don""t know anything and you don""t remember Zuma"
1563278580293470,-3:35,Kgoshi Phala Makgoropane Phala III,Zuma must go and rot in jail...he is a old stupid lier
1563278583859246,-3:31,Thulani Mbatha,ayyy nam.I cant.wait.4.spy.list
1563278592620012,-3:22,kio 786,and drink water
1563278612624856,-3:02,Fernando Kev,luch is not finished kant
1563278613032297,-3:02,danie schoeman,To think this lying clown was President
1563278642721444,-2:32,khuthadzo nemutanzhela,As much as our Law students had a chance to question the Law but to take it as it is lol
1563278648067901,-2:27,Awe ness,a different lying clown is president now 😂
1563278650608018,-2:24,Nhlakanipho Mthombeni,Mshoooooooolozi
1563278651352919,-2:24,Lwazi Silolo,One former Lesotho student has been named... Another one is missing
1563278656443834,-2:18,Musa Bakiti,Land corruption next
1563278663622245,-2:11,moithei phora,he denies everything
1563278665240881,-2:10,Nkosingiphile Nkosing,#STATE CAPTURE INQUIRY
1563278669678994,-2:05,kuhle sikota,"I just want the SPIES, i wouldn't be surprised if Ramaposa, JUJU, and maimane weren't spies"
1563278692764195,-1:42,kuhle sikota,were*
1563278704218546,-1:31,Thulani Mbatha,noma.kanjn MALEMA.uphakathi.kwi.list
1563278708224819,-1:27,Richardt Human,"And according to him, he did nothing wrong. What a joke."
1563278712908116,-1:22,THEMBINKOSI 'TYSON' DONDASHE,chair time
1563278717957977,-1:17,Musa Bakiti,Redi😂😂😂😂 spie
1563278729317789,-1:06,Khamadi Paballo,Jacob Zuma is going to change the way we perceive this commission.
1563278732728188,-1:02,ALLEN MATHEBULA,"@kuhle,What?"
1563278741212506,-0:54,Lwazi Silolo,Does one retire from being a spy?
1563278742018835,-0:53,Nhlakanipho Mthombeni,Any single ladies here
1563278747286910,-0:48,SIYAMUKELA MASINGA,The insults i see here against us Zulu speaking people are shocking but we are called tribalist of note .
1563278749301491,-0:46,kio 786,"that""s what you get when you ask MKVA HEAD OF Intelligence stupid question will get i don""t know"
1563278750487008,-0:44,48 400 TK,what if Zondo is on that list?
