timestamp,time,author,message
1563522612175302,-10:08,LMAN,Is the power of the shower here today 🤥🚿😉
1563522675008682,-9:05,Alasdair Knox,I hope he doesn't run to the shower today and quit testifying
1563522693815905,-8:46,Jngle Pssy,today is the day...
1563522712796091,-8:27,Derek Main,Is the coward going to pitch today?
1563522731522792,-8:08,Alasdair Knox,"so they say, n I pray"
1563522780587419,-7:19,Alasdair Knox,question is more importantly will he stay on today...
1563522799249520,-7:01,Jngle Pssy,but.shouldn't he be made to.come Monday as well? seeing he missed one day
1563522814867189,-6:45,Gen Jackson,PP is releasing Bosasa and another Pravin Report in a few minnutes
1563522845361268,-6:15,Jngle Pssy,lol I.dont know which one to watch !!!
1563522870255316,-5:50,Alasdair Knox,this will be short I'm guessing
1563522871458752,-5:49,Villa,sesilindile
1563522887435581,-5:33,Alasdair Knox,start here finish on PP
1563522982337668,-3:58,LOGINS,tate zuma
1563522994598950,-3:45,LOGINS,kuna kunya
1563522997914786,-3:42,Born free,Legal Experts have stated that there is nothing wrong with Advocates line of questioning. Zuma is undeniably the most Uncredible Witness in my opinion.
1563523029791595,-3:10,rosalind gerber,why has Zuma been invited and not subpoenaed?
1563523044106519,-2:56,André du Plessis,did someone bring the “Neuralyzer”
1563523064742476,-2:35,LOGINS,lets start
1563523097290798,-2:03,André du Plessis,you know that flashy thing from Men In Black? well someone must remember to flash Jacob again...
1563523154115652,-1:06,Moses Maphusa Putuka,hehehehehe it's going down
1563523167118357,-0:53,Gen Jackson,Commission should subpoena Zuma again on condition that he's cross examined
1563523179250392,-0:41,Talent P Sibisi,Zuma will answer the question if u give him a short question not a long question just like this guy did calm on guys
1563523194536203,-0:25,Jngle Pssy,why can't Zuma just follow the work of the state capture like all the other witnesses...
1563523214116590,-0:06,William Phupha,Beyang 25l yametsi a buwe nnete zuma atlohelle holla ale moholo
