timestamp,time,author,message
1574768997922215,-16:33,Dean Van Greunen,"Thanks, SABC"
1574770322630755,5:17,Smart Guys,have they started?
1574770463689773,7:39,bongile sango,still waiting
1574770500775854,8:16,Smart Guys,👍
1574770526386726,8:42,M Mentor,Still waiting.
1574770539340933,8:55,Elvis Malakoane,smart guys 👍
1574770669598924,11:05,bongile sango,time is money guys when are you going to start
1574770690798636,11:25,Billy Mathibela,wt going on?
1574770721802798,11:57,Tello Mosehle,live 404
1574770795727015,13:11,Anne M.,@SABC Digital News Please go live
1574770801124806,13:16,Billy Mathibela,I will try but how?
1574770958335936,15:53,Anne M.,@SABC Digital News Your live stream started 15 minutes ago but it's not broadcasting
1574770983870548,16:19,Anne M.,@SABC Digital News Thank you
1574771245040441,20:41,nhlanhla nkosi,volume please
1574771246558054,20:42,Rob Nel,"Thus, if you see a guy, with a shaved head and black rimmed specs, he is in SA secret service"
1574771247436708,20:43,Mbongeni Mapipa,why do these people mess up their audio settings when going to a break. why not just leave as they were. 😩
1574771303604404,21:39,wim louw,Because Hlaudi is no longer in charge
1574771449607699,24:05,wim louw,Is the sub titling for the benefit of the deaf?
1574771528201592,25:24,babette fagan,SOUND PLEASE
1574771638517636,27:13,46664mj,"@ wim louw turn caption on, i will auto generate subtitles"
1574771758731947,29:14,wim louw,What a distorted version are they getting of what is being said ....I am not deaf
1574771981030454,32:56,wim louw,What is Njenje's current position?
1574772034374336,33:49,Yolo More,Win Louw he was fired by Duba in March.
1574772111203422,35:06,wim louw,"Well, he must be Chairman or CEO of some board, surely"
1574772156338689,35:51,Thamsanqa Nomayela,I think is a director somewhere Mr Njenje
1574772159544415,35:54,wim louw,....or maybe still at Harvard
1574772204738581,36:39,Rob Nel,"Perhaps like Hlaudi, he is a lecturer at Harvard"
1574772209495464,36:44,Yolo More,Wim Louw because he was a Director of Bosasa I don't trust him completely. But I don't know.
1574772240688397,37:16,makhosi nobhatyi,🤪😱😱 something is smelling fishy here Zuma 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️
1574772294463703,38:10,wim louw,"Dudu for Minister of Public Enterprise, Viva!"
1574772322077378,38:37,Mbuso Ndlovu,What have i miss😀😁😂??????
