timestamp,time,author,message
1568203876591572,9:28,Innocent Masangani,hlaudi
1568203898766745,9:50,Hansie Tladi,no jokes today?
1568203904261678,9:56,selaki Mokhola,not guilty at all
1568203972193666,11:04,postmaster,"if Maleka was there, there would be blood on the floor chief!!"
1568204123418211,13:35,Zamankwali Ngema,😂😂😂😂he can't wait himself...
1568204185552665,14:36,lekau phalama,can someone tell me what happened to adv. Maleka
1568204210677862,15:02,MSG Rules,"what you call, they talk to each other che-pesson"
1568204218644246,15:10,Rox,Adv Maleka is out there making money
1568204251620985,15:43,Simon Buthelezi,Never mind his English at least you can understand what he wants to say.
1568204272717569,16:04,Yolo More,Maleka left the commission for greener pastures.
1568204295718235,16:27,Rox,"Hlaudi is making sense in some issues,"
1568204320915900,16:52,Tshamaano Makuya,"yep, no need to 'glamoritize"
1568204346768069,17:18,vhahangwele arthur,😀
1568204347221467,17:18,Khanya Nobumba,Cheee-person🤣🤣
1568204348992603,17:20,lekau phalama,Does it mean Mzwanele won against him?
1568204367383601,17:39,Michael Michael,talking rubbish now
1568204370341320,17:41,Rox,hahahah @Lekau
1568204375985120,17:47,funicanz,Hlaudi is given an opportunity here to state his side of the story. @Khanya Nobumba ndiyamazi no Cheeee-person. 😆
1568204391567667,18:03,Rob Nel,"Desperation, race card being played"
1568204398885731,18:10,Rox,"Hlaudi is right, this looting of shops was seen on TV and became fashionable"
1568204399900773,18:11,Sbo Gumede,very true Hlaudi
1568204410145846,18:22,Michael Michael,wn u pocket 11m must be put under the carpet.nonsence
1568204419251805,18:30,Pakamile Mangesi,This guy is a real clown
1568204433771469,18:45,Yolo More,"Lekau Phalama no, Hofmeyer is waiting for him."
1568204434988547,18:46,musyoki joseph,can't understand the questions
1568204440772342,18:52,France Maphosa,Chairperson!
1568204464215052,19:15,Toibo wa Toibo Antimba,"But u hlaudi played part in not viewing Eff events, you glamorized that"
1568204474304478,19:25,Khanya Nobumba,🤣
1568204481510945,19:33,lekau phalama,Ok
1568204494994013,19:47,Yolo More,Expilit
1568204508480402,20:00,Rob Nel,"So hiding the violence, it will go away??"
1568204516474714,20:08,Michael Michael,he need his lawyer he is lost.
1568204521762289,20:13,Cache Computers .David Pigeon,Matric would have helped !
1568204526308037,20:18,Magaboke Mohlatlole,EXPILIT VISUALS 😂😂😂
1568204527851800,20:19,lekau phalama,EXPILLIT
1568204549927361,20:41,Yolo More,"Amen, yes😂😂😂"
1568204554171212,20:46,Michael Michael,ask him were he is.tarvern or watching rugby
1568204574784131,21:06,Toibo wa Toibo Antimba,Eeeh chairperson
1568204577007075,21:08,Rre Wa Mokone,@Rob Nel even some european countries limited coverage of youth suicide
1568204581202878,21:13,France Maphosa,Expilit. You see the relevance of matric!!
1568204591066461,21:22,teboho ramolotsi,when is HAWKS invistegsting him??
1568204596128990,21:27,Rox,True @Mokone
1568204597620899,21:29,Michael Michael,only him telling the truth about sabc
1568204606189883,21:38,Zamankwali Ngema,Both.... @ Michael Michael 😂😂
1568204624183057,21:56,Rob Nel,Suicide is not same as burning shop #Rre Wa Mokone .
1568204641247588,22:12,MSG Rules,"he acting like a young zoomer. talking in the 3rd person so when they lie it is the ""3rd"" person not themselves"
1568204670295428,22:42,Yolo More,Lihlanya eli.
1568204676220859,22:47,Cerebis,"Adv Maleke, adv Mokoena, adv Leah Gcabashe, adv Wim Trengove, adv Kate Hofmeyr and many others work for the Thumela Chambers. Some top people there."
1568204687117239,22:58,Zamankwali Ngema,Heeey! What's funny
1568204687221965,22:58,MSG Rules,the only reason to hide anything was to keep away from the voters. not to maek the cANCer look bad
1568204688592413,23:00,Rox,"Muthambi needs Hoffmeyer, without taking anything from Ms Norman"
1568204697118892,23:08,Michael Michael,Moody the man cant c the difference between wrong and ryt??
1568204701966986,23:13,Rre Wa Mokone,"@France Maphosa ask The English to just say few Sepedi words --and hear how they will brake them...so, explit is not Sesotho--let hlauli brake it"
1568204712860930,23:24,free way road,how Dow I answer that 🤣🤣🤣🤣🤣🤣🤣🤣
1568204713194682,23:24,Zamankwali Ngema,😂😂😂😂@ Yoko more
1568204715801507,23:27,Abe Molefe,dr hahaha
1568204717214966,23:28,Ntokozo Ngubane,Hlaudi is always high 😂😂😂
