timestamp,time,author,message
1556798924021635,4:58,makhosi nobhatyi,😳😳
1556799130213745,8:25,Minoctar Sithole,where is general ntlemeza
1556799424615084,13:19,Mzalwane Mzala,Mbalula fired General Ntlemeza
1556799683817545,17:37,The Vuka Experience,Have I missed much?
1556799809799113,19:44,Felix Muyoba,@King Vuka not much..the general is reciting a poetry😂
1556800104351210,24:38,The Vuka Experience,@Felix Muyoba 😂 thanks
1556800132574820,25:06,Kay Kay,general Booysen is very smart
1556800139320111,25:13,Henk,These Lunches cost Tax payer money How much?
1556800178262085,25:53,Magda Seguin,@Robert Russell I have been listing to application to the Concourt hearings for the elections to be postponed
1556800209306678,26:23,Henk,lol
1556800260282440,27:13,Nelson Musoliwa,Had Bootsen been appointed as national police commissioner many of the state looting could have been prevented not Ntlemeza of this world.
1556800261810791,27:15,Henk,Do we forget the book The Abuse of Power and the Assault on Democracy ??
1556800275195120,27:30,Magda Seguin,The Khoisan have been marginalised and requested an urgent appeal for an independant represebtative in parluament due to the fail of the ANC to address the issue for 25 years
1556800327407795,28:21,Felix Muyoba,@Kay Kay how?
1556800451412859,30:25,Henk,"So are we all to read ""The Wave"""
1556800510695642,31:25,Henk,"""The Wave, Chapter 9"""
1556800571858665,32:25,makhosi nobhatyi,Batohi is here
1556800575384854,32:29,Felix Muyoba,@Kay Kay true
1556800600283059,32:53,Henk,Who wrote that for him?
1556800685070296,34:19,Henk,Lunch does strange things to people
1556800694988907,34:29,Nelson Musoliwa,Inconceivable that the R2m which was witnessed by several police officials and hard cash as exhibit plus telephone evidence yet case provisionally withdrawn
1556800729834901,35:04,Henk,Boxes of cash Get on with it
1556800801604617,36:15,Henk,What are we saying? All of South Africa is corrupt
1556800833730496,36:48,Henk,"""scores to be settled"""
1556800839132721,36:53,Kapn Krunch,all institutions pretty much are let's face it
1556800864569513,37:18,Henk,including this one that is taking forever?
1556800880282267,37:34,Nelson Musoliwa,Wonder if Zuma is still asking if the state was captured as he refereed to the three tiers of state.
1556800937550127,38:32,Nelson Musoliwa,@Hank correct we are all corrupt in this country
