timestamp,time,author,message
1556885387422758,2:15,Born free,Save the nation from the hyenas and stealing from the public purse. Vote DA
1556885476689704,3:45,Born free,What about Zuma and Magashule they are out there campaigning as if they have done nothing wrong.
1556885588686830,5:37,Abel Manyedi,my big X is nxt t d DA too
1556885625714276,6:13,Mxolisi Dladla,vote ANC ❎
1556885629189290,6:17,Born free,What is frightening is that these hyenas and public purse stealers have no guilt.
1556885644656378,6:32,Mzalwane Mzala,All the polls show a shrinking DA support in these elections.
1556885719355073,7:47,Born free,DA ❎
1556885770861769,8:38,tshepho molepa,i wonder how long is this state capture is going to take
1556885782133010,8:50,Born free,These investigations into State Capture will become dormant again if the ANC win the elections.
1556885866909459,10:15,Born free,ANC have had 25 years to deliver on their policies. Time has run out.
1556885916180709,11:04,Cassius Mngomezulu,U vote DA U VOTE For Steihuizen for President
1556885954067946,11:42,Cassius Mngomezulu,It took you 5000 years to oppress blacks
1556885960736616,11:49,Sam Mabitsela,i looking forward to vote for EFF
1556886008469677,12:36,tshepho molepa,i doubt that DA agree with your view of apartheid flag
1556886015985967,12:44,Born free,"It doesn't matter what Zondo does and he will do his job well, it is up to the President to follow the process of the law and he may just pardon them all."
1556886016742800,12:44,Cassius Mngomezulu,VOTED ALREADY FOR THEE ANC
1556886091925431,14:00,Born free,Save The Nation From The Hyenas that steal from the public purse.. Vote DA
1556886098003599,14:06,carnoth ngomane,@tshepho molepa DA is an offspring of that flag and what it stands for so they wont mind
1556886104131140,14:12,Cassius Mngomezulu,"tjoo so fast-no one is arrested yet, you talk about pardons- jaa you are really white"
1556886147863516,14:56,Cassius Mngomezulu,@psyfrequency Techno- YOU LOVE MY NAME NE
1556886179182474,15:27,tshepho molepa,@carnoth i get you lol.
1556886199249780,15:47,Born free,Save The Nation From The Hyenas That Steal From The Public Purse. Vote DA
1556886226867801,16:15,Mzalwane Mzala,pat de Lille is dealing nicely with the DA in the Western Cape
1556886248196085,16:36,Cassius Mngomezulu,"Maimane will will be removed from DA watch the space, after elections he's GONE"
1556886301840525,17:30,Kay Kay,"@Val Spiers, Zuma and Ace are deliberately campaigning to hurt and sabotage CR chances of winning the election"
1556886304299648,17:32,Sam Mabitsela,i want to see fast changes n by EFF we will b covered.
1556886337196025,18:05,Ndidendavela Nam Bathembu Mgudlwa,This advocate is out of depth
1556886339004914,18:06,carnoth ngomane,"@Cassius Mngomezulu you are correct hence they brought Tony Leon to help with the election campaign, they dont have confidence in him"
1556886349739886,18:18,Granny Mokwena,"you said the same thing about Maimane being removed in 2016 too, what happened?"
1556886355910690,18:24,Kay Kay,Zondo is satisfied with the evidence leader it seems
1556886359284617,18:27,Born free,Kay Kay.. yes you are correct.
1556886386187452,18:54,Cassius Mngomezulu,His only a recruiter after all the few blacks give them votes his gone
1556886390111908,18:58,carnoth ngomane,@psyfrequency Techno a less confident person keeps repeating himself
1556886411481136,19:20,Fils de l'homme,Let us VOTE for the FREEDOM of the TRANSVAAl
1556886417942938,19:25,Mzalwane Mzala,@Kay Kay All ANC members are called upon to campaign for a decisive victory of the people's movement.
1556886423520707,19:31,Fils de l'homme,Let us VOTE for the FREEDOM of the TRANSVAAL
1556886443330425,19:51,Cassius Mngomezulu,ANC FOR LIFE
1556886502103476,20:50,Fils de l'homme,Let us VOTE for the FREEDOM of the TRANSVAAL...
1556886510429744,20:58,Born free,If you vote ANC then you must vote for Ramophosa because you do not want the State deputy President David Mabuza as President.. he has a muddied past.
1556886578609817,22:06,Born free,Infact most of the ANC has a muddied past and present
1556886587171955,22:15,Ariel da don,ANC will rule till jesus krest comes like it or not 👣✊
1556886621751294,22:50,Alexandre Alakoua,still better than EFF
1556886666201123,23:34,Born free,Yes the ANC is better than the EFF but the DA is the best.
1556886717442025,24:25,Ariel da don,Techno u need to learn more abt our history as black child
1556886742428814,24:50,carnoth ngomane,@Val Speirs Yes you are correct DA is the best for the white minority
1556886814267095,26:02,Kay Kay,This Booysen fella is very intelligent
1556886818134561,26:06,Sebation Nantsika,@techno ask who ever give you that flag about blacks
1556886900993231,27:28,Born free,They will have to wait another 25 years
1556886923822060,27:51,Kay Kay,beki Cele!
1556886953257026,28:22,Sebation Nantsika,@Techno your racist attitude wont help DA to win elections
1556886988334339,28:57,Ariel da don,tnx Manzi
