timestamp,time,author,message
1542888537206560,4:32,Sindiswa Moolman,Just speculations@Thando Nkutha
1542888600826368,5:36,Tlhogi Dube,Why debate rumours when you going to find out in 50mins
1542888630920096,6:06,Hester Ferrezuelo,sound??
1542888690613206,7:06,Bazilla Moffman,sound please
1542888719477216,7:35,Hester Ferrezuelo,the sound has been captured
1542888744732312,8:00,Sne Mdletye,Sound please S
1542888766625715,8:22,Sne Mdletye,SABC is failing us
1542888824199808,9:19,Sthakathi Khumalo,GUYS OPEN ENCA and Pop out the chat there you could watch and keep up with the SABC live chat hmm
1542888825545495,9:21,Hester Ferrezuelo,please protect us from yourselves and give us sound!!
1542888845703475,9:41,Hester Ferrezuelo,thanks
1542888863006709,9:58,Russel Manuel,I have sound.
1542888863633443,9:59,johannes maaka,"Yo tube ,we live"
1542889087811984,13:42,Alan Hall,isnt it strange how many other live feeds are happening on you tube at the same time. The politics of distraction.....
1542890186414508,32:01,oscar kubayi,sound bit low
1542890257841943,33:13,Sne Mdletye,@Thando he is 53
1542890286982191,33:42,oscar kubayi,he's a bit young
1542890318724084,34:14,Desmond Masilela,I also thought he was contradicting him self.
1542890354197540,34:49,oscar kubayi,baby face
1542890363038931,34:58,lucky ndlovu,he's got a baby face
1542890458357496,36:33,Sne Mdletye,ya he does look young... but i was wondering how old he was when he started at NT and what he did before that... his age and work experience for the majority blacks he was lucky...
1542890575780666,38:31,indeed,does look young yes
1542890606160497,39:01,ANELE FELIX POTELWA,54 years old
1542890636904764,39:32,AFRICA AZANIA,cabinet reshuffle at 15h00
1542890647776963,39:43,Sne Mdletye,"@Thando he mentioned his few qualifications in the beginning, can't remember but he studied a lot"
1542890664021615,39:58,Simphiwe Dube,he looks younger than 54 years
1542890669778387,40:05,roberto wilco,His head of standard bank i believe
1542890683825344,40:19,Sne Mdletye,yep
1542890714911127,40:50,Sthakathi Khumalo,"Bafethu, what have I missed here since people are speaking about age, what can we summarize from Omatosos testimony here? In essence key evidence??"
1542890718827746,40:54,ANELE FELIX POTELWA,Has a Masters Degree
1542890752533621,41:28,roberto wilco,Yes very straightforward too
1542890787967178,42:03,AFRICA AZANIA,ha this ladies lk this man
1542890806010189,42:21,lucky ndlovu,lol
1542890890835924,43:46,Bruce Andrew,"Fuzile is a Master of Commerce graduate. Began his career as a school teacher, then became a university lecturer before joining Statistics South Africa in January 1997."
1542890951216592,44:46,Olefile Mookodi,"He's got BComm, some teaching qualification and Masters in economics"
1542890988866605,45:24,AFRICA AZANIA,ladies what about maleka?bbyface?
1542891008094133,45:43,Hein de Wit,I have hope when I see people like Mr Fuzile
1542891044743716,46:20,Sne Mdletye,He also mentioned some other studies with certification and others without certification... hard working brother
1542891050112491,46:25,Camille Burger,Mr Fuzile is really an impressive man!
1542891110546544,47:26,AFRICA AZANIA,beyonce and kelly
1542891133087501,47:48,John Cloete,this guy is brilliant can now understand why he is in such high demand
1542891174102726,48:29,AFRICA AZANIA,kelly manyisa
1542891178149326,48:33,Desmond Masilela,What is he doing now? is he still in the ANC?
1542891201348919,48:56,Bibby AGOUTANGNI,The ANC is full of people like Fuzile. Just that the system keep them at the backgroung and put some half baked people at the front
1542891211519921,49:07,Nelson Musoliwa,So far Mr Fuzile is the type of servants SA needs
1542891238652329,49:34,Singi Mathebula,agree with you Bibby
1542891249973525,49:45,Lolos Mccall,@Desmond Masilela CEO Standard bank
1542891251141382,49:46,Sne Mdletye,Currently he is Chief Executive & Executive Director of SBSA...
