timestamp,time,author,message
1574323502410603,1:05,Derrick saperstein,"Looks like the Hawks are waking up re Bongani. BUT how does he get bail immediately & only R5,000 ???"
1574323535299342,1:38,Yolo More,She will sleep on that witness chair. I foresee a series of short adjournments for her to go and wash her hands.
1574323542913777,1:46,Takie Moses,sound plz
1574323546311531,1:49,PETER STAFFEN,sound please
1574323558116385,2:01,Duduzekile Nkwanyana,sound please
1574323611449688,2:20,Thulani Bukani,This is our taxpayer money @sabc
1574323643604460,2:53,Thulani Bukani,I’m moving to enca guys. Clear sound there.
1574323652648826,3:02,Allan 28,"ENCA has sound but it is low, better than nothing"
1574323676127702,3:25,Unathi Khuse,Ai Ai Ai
1574323677682721,3:27,Robert Russell,eNCA has sound but is also crap
1574323678360888,3:27,Damaking Alie,I think the cable is wrongly inserted.... Technicians see to it...
1574323688028751,3:37,Matlhatsi Daniel Molate,sound Pls
1574323695485772,3:45,Tebogo Makgari,sound plz
1574323705565109,3:55,Thato Lebethe,no sound?
1574323722364840,4:12,Martin Broomberg,Can somebody wake up to the fact that there is NO SOUND🤔
1574323736433149,4:25,Matlhatsi Daniel Molate,Sound Pls pls
1574323736640515,4:26,Granny Mokwena,jeeerrrr
1574323746303483,4:35,Petro Forsyth,Stop! We have no sound!
1574323770023316,5:00,makhosi nobhatyi,Enca has sound
1574323795063499,5:24,Rodger Eksteen,NO SOUND!!!!
1574323815842331,5:45,Matlhatsi Daniel Molate,SABC SOUND PLS
1574323834861886,6:03,Emmie Germishuys,Sound???????
1574323836941511,6:06,Nelson Musoliwa,No volume mos
1574323848786107,6:18,Itumeleng Ditlhokwe,Haaa those technicals are disaster...no Sounds plz...!!!
1574323852734410,6:22,Margareth Waterboer,What do you mean @makhosi that enca has sound...they are not on the Zondo commission
1574323863795193,6:32,Sam Maloka,No sound!
1574323874398526,6:44,Rhulani Walter Maluleke,No sound
1574323884258442,6:53,SABC News,Apologies for the sound problems...technicians working on the problem
1574323903709635,7:13,Lubabalo Mbekeni,Kanene What did AG say about SABC?
1574323913385983,7:23,SNENHLANHLA VILAKAZI,sound😒
1574323923553876,7:33,Eliot Chauke,sound
1574323928483217,7:38,Africa Moselakgomo,no sound
1574323943888139,7:54,Calvin Tumelo,sound please!!!!
1574323944290353,7:54,Allan 28,"ENCA is now fine, they have fixed sound"
1574323948646825,7:58,Chiang Mai Springbok,sound
1574323949701178,7:59,Pastor J.J,Where is the Tea Lady. She normally fixes the sound etc. Get her here now
1574323953716576,8:02,Khutso Hazel,sound please
1574323957368710,8:07,Margareth Waterboer,Shouldn’t they do a test run first?
1574323970444101,8:19,V. Xanko,"it seems like we all have no sound, I thought it's my device"
1574323973795441,8:23,Mahlatse Madia,we're missing out. #nosound
1574323991786867,8:41,Nelson Musoliwa,Business as usual in a malfunctioning state like SA
1574323991976621,8:41,Esme Van Heerden,no sound
1574323997034564,8:46,Clarence Mentor,No sound. Please.
1574324003487776,8:53,Margareth Waterboer,Seems they can’t continue bc of sound
1574324015656428,9:05,Allan 28,A whole SABC interrupting the smooth running of the commission. what a difficult
1574324044818857,9:34,Pastor J.J,Tea Lady. You are the best. Pleeeez get the sound going
1574324047442505,9:37,Akhona Gala,how do you expect to generaterevenue when your systems are always not in place SABC? ebomini benu khanike nenze izinto right man
1574324105681312,10:35,Clarence Mentor,This judge has a SOUND track record. Please don't spoil it.
1574324138646188,11:08,Sthembiso Modise,they ate the money for the sound.
1574324146795695,11:16,Clarence Mentor,Pop Up the Volume.
1574324183760583,11:53,makhosi nobhatyi,Sabc sounds please
1574324515914620,17:24,Jabulile Mazwane,sound
1574324526437578,17:36,Allan 28,I bet you sound is still bad
1574324529866252,17:39,Thulani Bukani,Still no sound you clowns @sabc
1574324551141037,18:00,Esme Van Heerden,still no sound
1574324551800608,18:01,Allan 28,Told you so
1574324561377019,18:11,Jabulile Mazwane,I can't miss this
1574324567527994,18:17,Papa Legba,The hole in her head is abosrbing all of the sound
1574324617387449,19:07,Allan 28,"ENCA Has sound guys, leave these incompetent people"
1574324630788363,19:20,Ricus Ellis,SABC still captured. They wont let us hear her testimony!!!
1574324638073879,19:27,Charles Rakgotso Mothoa,nope...just scratches🙄
1574324680378350,20:10,Clarence Mentor,Hebo!!! Hebo!!! Hebo!!!
1574324693741333,20:23,Clarence Mentor,Sound is back.
1574324772951177,21:41,bongile sango,SABC sound plz
1574324808834896,22:18,Eliot Chauke,eNCA ayina That Thing... i was streaming there👎🏿👎🏿👎🏿
1574324810358193,22:19,Zolani Mnqika,blah blah 😂
1574324951151051,24:40,Thulani Bukani,Molweni maAfrika ✊🏿
1574324981431891,25:10,Akhona Gala,"Now that the sound is back, the Zuma cabal will come tell us how useless this commission is in 3, 2, 1......."
1574325061589746,26:31,Pastor J.J,@Akhona Gala I sprayed most of the cockroaches with my Doom. Maybe I missed a few. hehehehehe
1574325099214454,27:08,Eliot Chauke,Cyril cabal behave like they are clean
1574325146720183,27:56,Yolo More,I love you already mama.
1574325172509942,28:22,Elvis Malakoane,morning pastor j
1574325178257241,28:28,David Tuer,Compare this Minister of State with Lord Peter Hain!!!!
