timestamp,time,author,message
1535095482835855,-0:27,Christopher Saylee,hello why this video doesn't work
1535095596912184,1:15,Lindikaya Myeki,Kule ntsindabadala yeGupta nceda usikhulule mfoka Jonas.
1535095615213003,1:33,kaya Nyembezi,Lasuka lahlala
1535095706434975,3:04,Trucker Trucker,Mcebisi is a pathological lair. He doesn't even have evidence.
1535095820120305,4:56,Lebang Lekoape,How do you know that he is a pathological lair
1535095843723058,5:21,Dennis Tsotetsi,Tshepang Tlhapane go and tell those who are about your ill-informed shallow opinion......
1535095876149277,5:54,Aby Gadzai,guy lets wait and know. but this commission are wasting of resources
1535095886158251,6:04,Trucker Trucker,"Dennis Tsotetsi, show us evidence and stop spreading media propaganda."
1535095888017675,6:06,Jeffrey Magongoe,wait Tshepang
1535095925276601,6:43,Sibusiso Nkosi,The thief who looted cash from PE looks scared 😳
1535095975820028,7:34,Zanele K,HE SHOULD HAVE TAKEN THE MONEY BECAUSE EVERYONE IN GOVERNMENT IS CORRUPT
1535095984448295,7:43,Trucker Trucker,He needs to provide proof of evidence on what really happened at the Gupta house. He doesn't have a witness. He claimed he was offered R600mil for position of FM. The money was in a black plastic bag
1535096054375573,8:52,Jeffrey Magongoe,wait for testimony @Tshepang Tlhapane
1535096072027859,9:10,kaya Nyembezi,Take the money and not take the job 😃
1535096093155164,9:30,Thanduxolo Mgca,Butternut must come and account
1535096105148714,9:43,The Edge Search,What I need to know from Mcebisi what legal steps did he took before going to media to report this Gupta crime
1535096105819882,9:44,Lindikaya Myeki,Tshepang is a Gupta
1535096107150753,9:45,Trucker Trucker,He must be quizzed about how he donated vast tracts of Land in the Eastern Cape to REIPPs & facilitated Multi-Million Rand Deals for them through the EC Development Corporation which reported to him.
1535096261237950,12:19,Trucker Trucker,A WHOLE R600mil? 😂😂😂Not even their mines are worth that much.
1535096290158605,12:48,The Edge Search,"I need to know which evidence does Mcebisi have in writing, paper, video, document, receipt, signed check, audio,"
1535096306903093,13:05,Phyllis Kumalo,He is a liar the date he mention he was with Duduzane nd the Guptas was wrong Duduzane was not there nd he has proof of where he was in that day
1535096366576737,14:04,Siyabulela Mtywaku,@Tshepang Tlhapane imagine mfethu...
1535096407764614,14:46,Thanduxolo Mgca,"this guy saved us from Zuma,plan to sell south Africans to India,marriage was a testimony of that in national keypoint by Gupta with out no consequences"
1535096442475231,15:20,Desmond Masilela,Hi Guys. Is this guy going to read all this document that he have?
1535096465162303,15:43,Nosiphiwo Zantsi,@The Edge Search Mcebisi did not report to the media#
1535096481800006,16:00,Trucker Trucker,Why didn't he report them to the police?LOL
1535096482381310,16:00,makhosi nobhatyi,How can you be so sure if Duduzane is not lying? Criminal always defend himself or herself
1535096520446357,16:39,Mdumiseni Khumalo,aiy no this Leager is not srs
1535096645133122,18:43,Amooo Ndlovu,"State resources is being abused here, why always it’s an enquiry"
1535096664398597,19:03,Phyllis Kumalo,He shows us proof of he was not with Mcebisi in dat day Mcebisi claim he was with them in the ANN7
1535096770030532,20:47,Fils de l'homme,i
1535096807774946,21:26,Fils de l'homme,why is the judge speaking english instead he should speak the language of the land which is Afrikaans
1535096834543369,21:53,Ronald Katlego Pilane,troll alert everyone
1535096846768401,22:05,Amooo Ndlovu,Afrikaans?
1535096850498275,22:09,Muziwakhe Skhosana,just block
1535096858215874,22:16,Fils de l'homme,Ronaldo u know its true
1535096862645314,22:20,Nozipho Thembeka,Who's this?? The one who is speaking!!!! I want to hear Mncebisi not this man
1535096868124466,22:26,Fils de l'homme,yes arnoo
1535096872162271,22:30,Hlompi,hoekom jy nie Afrikaans praat nie?
1535096888092095,22:45,kaya Nyembezi,"Jonas kodwa lo tata ngathi usityisa amampunge. R600million, R600million no my people masithethe enye into."
1535096904141472,23:02,Fils de l'homme,hlompi ek praat met die bantu hierso
1535096904725895,23:03,Ronald Katlego Pilane,its so true yojad to say it in English OK papa
1535096934311075,23:32,Jeffrey Magongoe,an opportunity to learn LAW OF EVIDENCE for others
1535096938799984,23:37,Ronald Katlego Pilane,marete a go monna
1535096943070569,23:41,Muziwakhe Skhosana,Kaya uzocacisa namuhla R600 mill ngeke sbale
1535096981349508,24:19,Amooo Ndlovu,Afrikaans marete
1535096989478553,24:27,Siyabulela Mtywaku,Namhlanje uzochopha ayichaze...
1535097010502278,24:48,Keke khura,600 mill
1535097015942897,24:54,kaya Nyembezi,@Celiwe Mbalo R600Mil sisi
1535097018687338,24:57,Amooo Ndlovu,It’s 600 000 not 600 million
1535097022482725,25:01,Muziwakhe Skhosana,600 mill
1535097029304723,25:07,mashudu timoty Rabothata,Really
1535097049576078,25:27,peter pott,how do you pin the fmr president to this allegation. This kite won't fly in court of law
1535097060754834,25:39,kaya Nyembezi,@Muziwakhe Skhosana R600Mil chap and you say No. Didnt know Jesus has risen.
1535097062357257,25:40,Celiwe Mbalo,Oh tjo!
1535097089924473,26:08,Thanduxolo Mgca,"Gupta removed minister 3 times in a year,for their ambitions who doesn't believe that still asking a hero ,nasty questions"
1535097133872235,26:52,makhosi nobhatyi,It’s R600 000 first up in hand then once he agreed to take the position then 6mil be paid later stage
1535097141194922,26:59,Mthobisi Zuma,mcebisi 'Pathological liar
1535097154461847,27:12,Hlalanathi Mbimbi,R1 000 000 000 000 000 000
1535097154484464,27:12,peter pott,This will sound like a hearsay
1535097166203270,27:24,Thanduxolo Mgca,"he told Zuma on national television,he is defending supporting that now on state of inquiry"
1535097192451455,27:50,Amooo Ndlovu,Mthobisi do u think old man like Jonas can lie?😂
1535097206056700,28:04,makhosi nobhatyi,Am not surprised with you mthobisi Zuma
1535097209822416,28:08,Fils de l'homme,he should speak in afrikaans
1535097221998070,28:20,Auti Mjita,uZuma lied everyday nje
1535097227635182,28:26,Nosiphiwo Zantsi,Mcebisi Jonas made a statement under oath in front of the Public Protector.
1535097244866602,28:43,Siyabonga Ndlovu,Now the inquiry start
1535097252703001,28:50,Amooo Ndlovu,"Fils de please stop with Afrikaans,"
1535097260294715,28:58,Fils de l'homme,unoath is only binding if it is taken in afrikaans
1535097284881031,29:22,Fils de l'homme,"ndlovu, u dont sound southacrican"
1535097290021393,29:27,Victor,How can the prosecutor dont know?
1535097306986705,29:45,Celiwe Mbalo,Ewe Fils stop with afrikaans Bra please
1535097307545793,29:45,Fils de l'homme,a true south african must speak Afrikaans
1535097310275729,29:48,Elizabeth Diotlo,"this is circus, who is that guy?"
1535097327897589,30:06,Fils de l'homme,we taught the bantus how to write
1535097334507784,30:12,Dennis Tsotetsi,GUPTA spy
1535097338975981,30:17,Muziwakhe Skhosana,that one is sent by pravin to keep jonas in check
1535097339008357,30:17,peter pott,"diotlo, a circus indeed"
1535097354937015,30:33,Fils de l'homme,cecliwe jy moet Afrikaans praat
1535097372530723,30:50,Thanduxolo Mgca,"live tribalist they will never tell the truth,Zuma will hont you and generations to come,with his friends from India"
1535097383215014,31:01,Jan Badkamer,@Fils de l'homme low effort bro
1535097385882749,31:03,Elizabeth Diotlo,Fils de l'homme what you on about?
1535097388146495,31:06,Jan Badkamer,so low effort ;/
1535097390399472,31:08,Fils de l'homme,why do young bantus like speaking english n not their own Afrikaans
1535097426722523,31:44,Tyron Louw,Elizabeth he is just trolling everyone. Ignore.
1535097435971277,31:54,Fils de l'homme,"Elizabeth, I'm just saying that bantus must know their place n.speak Afrikaans"
1535097455989302,32:14,Keke khura,Elizabeth just ignore this idiot
1535097485017574,32:43,Muziwakhe Skhosana,don't ignore BLOCK
1535097485830671,32:44,Elizabeth Diotlo,"5 minutes is up, we are waiting!"
1535097487878264,32:45,Amooo Ndlovu,I think we should block this idiot
1535097507740390,33:06,Elizabeth Diotlo,how do we block? i will gladly block him
1535097519485237,33:17,Blaze 613,"ek is n rooinek, maar ek sal my best probeer om die taal te tik....lol....auto-correct verk nie so mooi nie"
1535097525896886,33:22,Celiwe Mbalo,Elizabeth u are in a hurry like me.
1535097526329846,33:23,Philani Madlala,while we are here can I make it be known the we will take the land.
1535097529505217,33:27,Thanduxolo Mgca,"me and you fighting to get back the land,white man tweeting each other even white an"
1535097535912081,33:33,Romeo Mavuso,go to his comment and click on the three dots then report him
1535097548709044,33:46,Fils de l'homme,"Uit die blou van onse hemel, Vit die diepte van ons see. Oor ons ewige gebergtes waar Die kranse antwoord gee, Deur ons ver-verlate vlaktes Met die kreun van ossewa Ruis die stem van ons geliefde."
1535097557436715,33:55,Tyron Louw,"Sometimes, you just need to let idiots make fools of themselves, like Adam Catzavelos."
1535097564061349,34:02,Tyron Louw,"Adam, is that you?"
1535097565017602,34:03,peter pott,"how I the world does someone just sear next to the witness, and no one knows? what a joke. and this is costing taxpayers over R200m?"
1535097571709482,34:10,anthony bassie,how long is 5 min again?
1535097577455325,34:15,Fils de l'homme,", Van ons land Suid-Afrika Ons sal antwoord op jou roepstem, Ons sal offer wat jy vra: Ons sal lewe, ons sal sterwe Ons vir jou, Suid-Afrika."
1535097597137865,34:35,Philani Madlala,we will also remove that Afrikaans part from the national anthem
1535097605533013,34:43,james kwemboi,african time
1535097612742055,34:50,Gerald Raath,Gupta 5 minutes
1535097623116384,35:01,makhosi nobhatyi,It is Gupta to interupt
1535097628818093,35:07,Ndumiso Peso,why can't Malema & Juma reunite and take the land back
1535097658851232,35:36,Keke khura,tell him Philani 😂
1535097699634435,36:17,Thanduxolo Mgca,"John block run away after long court battle,I see another minister's with some set of chain later"
1535097728738357,36:47,Elizabeth Diotlo,LoL Phila
1535097749828472,37:07,Elizabeth Diotlo,And it has began..
1535097761785377,37:20,kaya Nyembezi,Who is this fella?
1535097779940977,37:38,Mthobisi Busane,has he revealed people's name guy?
1535097796267554,37:54,Onyango Erick,South Africa right??
1535097805560637,38:04,Zee Zee,this Jonas is sweating and shaking already
1535097816425227,38:14,Philani Madlala,p
