timestamp,time,author,message
1535112705892023,8:35,Simba Zithuta,utii gaga ahwina
1535112715328034,8:44,Mohau Rampeta,They were talking like Radio#Mr Jonas
1535112716472899,8:46,Goël,state capture is a bad
1535112741080798,9:10,komane maphake,someone gonna rot in jail...
1535112815943265,10:25,archiford zhanje,nonsense
1535112827186729,10:36,archiford zhanje,leave old man alone
1535112848019527,10:57,Pastoolio Poggempoel,"yeh, let him live out his stolen billions in peace man"
1535112864096478,11:13,Pastoolio Poggempoel,the poor old man
1535112901428543,11:51,Colanesh Shongwe,Pravin & his cohorts
1535112916495892,12:06,Fumanekile Phamba,let him go to jail. How did your make him a president
1535112933429702,12:22,Thanduxolo Mgca,they must do what he like to do ladies around him in the name of wives and culture
1535112983910835,13:13,Colanesh Shongwe,The Guptas will also testify
1535112994539503,13:24,Pastoolio Poggempoel,no they won't
1535112998939732,13:28,Pastoolio Poggempoel,they won't come back to SA
1535113013194362,13:42,APHIWE SKIBI,State capture began with N R Mandela a sell out
1535113021859090,13:51,komane maphake,they should be fetched wherever they are
1535113023006446,13:52,Colanesh Shongwe,That cud be unfair on their part
1535113038163925,14:07,hilton modike,we south Africans still owes mbeki an apology .mbeki knew how week zuma was and we thought he was wrong .now we sing his name
1535113046380027,14:15,Thanduxolo Mgca,"Zuma must drink his own medicine,and sing umshiniwam"
1535113055250145,14:23,Pastoolio Poggempoel,"@komane maphake : there is no extradition between SA and UAE my friend, they cannot be deported to face the music here"
1535113061886431,14:31,lordsoja mayor,wishful thinking that atul & ajay are coming back to s.a
1535113063117759,14:32,Colanesh Shongwe,I see no truth in Jonas testimony
1535113083618475,14:53,Pastoolio Poggempoel,@Colanesh Shongwe : thank heavens that doesn't matter to anyone
1535113117041298,15:26,Tebogo Metswamere,is not about what u see is about wat the commission hears!!!
1535113118947195,15:28,APHIWE SKIBI,Last ANC CR7 captured
1535113152998987,16:02,hilton modike,@thanduxolo the worst part is that he is taking advantage of the less educated by playing a tribal card because he is caught in his hands within the coockie jah.he was people to fight for him
1535113161231754,16:10,dlutu kamva,@colanesh : we don’t care about what you see or can’t see🌚🙄
1535113174778074,16:23,Colanesh Shongwe,I'm glad they are listening and Zondo is now pressing the right button
1535113195539684,16:45,hilton modike,people like sihle are busy confusing the people of kzn just to shield a guy who is a thief
1535113209382739,16:58,Sammy Tlhapi,Zimbabwe is joke
1535113221953678,17:11,Patrick Esau,leading the witness
1535113239183821,17:28,APHIWE SKIBI,State Capture Inquiry - Mcebisi should also focus on CR7
1535113243217821,17:32,Richard Kabvure,Zanu pf they do what they want
1535113252203348,17:41,simanga sibanda,we are waiting
1535113256875420,17:46,Colanesh Shongwe,Clearing the narratives
1535113297597272,18:26,Guylord Muredzo,On my way to SA relocating from Zim
1535113316873913,18:46,Josphine Mhute,haaaa my Zimbabwe nooo man
1535113329317402,18:58,Thanduxolo Mgca,why can't he be a man as president of the country and say Thuli madonsela didn't want to open everything for money and keep queit
1535113370457152,19:39,APHIWE SKIBI,It all started with Mandela and now with CR7
1535113420673002,20:30,Musa Ngonyama,@APHIWE SKIBI WHO IS CR7???
1535113447657336,20:57,APHIWE SKIBI,aNc President
1535113449024456,20:58,lordsoja mayor,cr7 is mr weak
1535113494568184,21:43,Guylord Muredzo,ZIm concourt ruling postponed to 1530hrs
1535113514074423,22:03,Mpumelelo Hlatshwayo,cr is cristiano Ronaldo CR17 is My Pres
1535113517277165,22:06,Thanduxolo Mgca,"John block run away,yesterday was suppose to start his 15 years sentence for money londering,as premier"
1535113544339895,22:34,Musa Ngonyama,"@Guylord Muredzo , our focus is on our SOUTH AFRICA plsss, NOT zim"
1535113574695933,23:03,Matebello christina,I think so
1535113595164128,23:24,Nduduzo Zondi,Jonas must increase his security means in these critical days...the state severely needs him...
1535113602794753,23:32,APHIWE SKIBI,"All are Sell out they don't represent the the will of the people, Captured state"
1535113631482932,24:01,Musa Ngonyama,"Mr Jonas require proteection from both Zuma & Gupta families,"
1535113631838338,24:01,Pastoolio Poggempoel,Yeh the will of the people is to be governed by corrupt leaders
1535113640674079,24:10,Guylord Muredzo,@Musa Ngonyama My apologies your worship!
1535113648742006,24:18,Tebogo Metswamere,😃
1535113673676684,24:43,Thanduxolo Mgca,all this funny to announce the free education but you have taking all the money
1535113724869791,25:34,Pastoolio Poggempoel,"sorry, the money for free education is currently in dubai"
