timestamp,time,author,message
1535526388551665,-54:42,Sindiswa Moolman,I am certain that this witness will boost my confidence in this inquiry after a disappointing two days testimony from the previous one.
1535528025550705,-27:25,Thiza William,note its still early more than 30 witness are lined up. So one or two should not spell doom.
1535528084545264,-26:26,Thiza William,Possible Former Minister Mbalula will take podium this afternoon so as Pull a Williams
1535528188347818,-24:42,Thiza William,"Others on the are current and former ministers, DG's, CFO's, CEO's, a lot of line ups...so brace yourself for interesting phase and enjoy the ride"
1535528763606405,-15:07,Sindiswa Moolman,Yaaa neh... @Thiza William
1535529720209724,0:40,Sindiswa Moolman,We are now about to start.
1535529915411940,3:56,Queen K,Sello woman again 😩😩
1535529935832142,4:16,Jackson Mpala,Mental case is such a drama queen. State capture is fake
1535530026014243,5:46,noko yamebetlwa,my lady Mentor I was ur body guard last night
1535530048438700,6:09,PETER STAFFEN,Jackson Mpala idiots like you should actually keep your thoughts to yourself as you are brain dead
1535530093465118,6:54,Peet Venter,Thank you for your service Noko.
1535530132022502,7:32,noko yamebetlwa,you r welcome Mr Venter
1535530137087272,7:38,Mlungisi Mbanjwa,Kazi yozala nkomonina
1535530155182391,7:55,david jacobs,Morning All
1535530163720082,8:04,david jacobs,getting interesting hey
1535530194179920,8:35,J Ganasan,when are Gupta and Zuma taking the stand
1535530229436154,9:10,Jackson Mpala,why only the Boers are so excited at Mentors fake testimonies
1535530268699772,9:49,Teddy Ntsente,Lol @Jackson Mpala
1535530270295986,9:51,Jackson Mpala,Already she is contradicting herself
1535530290757239,10:11,david jacobs,I dont think Mentoor is lying
1535530301699065,10:22,Jean-Pierre Le Roux,they all lie
1535530307733040,10:28,Sofia Sofia,Hi ALL
1535530336591701,10:57,Jean-Pierre Le Roux,"this is a smokescreen, nothing will happen here. Same as the Esidimongo trial"
1535530340867768,11:01,Nqobizitha Khumalo,Why did she need to consult for her to maintain her statement if she telling the truth
1535530428231925,12:29,Mteteleli Jobela,Le izophuma nodlolwazana
1535530474913877,13:15,OneStop Medical,"Why would she lie, and put her life in danger??"
1535530497690189,13:38,J Ganasan,"fat lady needs a few years in jail, so she can slim down"
1535530504463102,13:45,Mlungisi Mbanjwa,"Usis’Mentoor lo ubetha abanqandelwayo, ndakuthi ukujonga."
1535530555385925,14:36,Millicent Shozi,@le roux dont be so quick 2make that judge
1535530644469967,16:05,Millicent Shozi,@ Ganasan last time i checked your girlfriend was fat
1535530661380891,16:22,PETER STAFFEN,Jackson Mpala because we see the truth and not lies that your people tell under oath
1535530663806293,16:24,Jean-Pierre Le Roux,I see all these hearings and enquiries but no prosecutions. It's just a massive waste of time and money and to fool the ppl to think we dont like corruption
1535530680636544,16:41,Mteteleli Jobela,"She was fired klk lonto ezityand'igila, I think she talk sense although she's nervous and I fully understand, she is not dealing with small fish here..."
1535530713887581,17:14,Jackson Mpala,She thought it was going to end o facebook. On facebook she is a sensation and big celebrate amongest the boers because the goal is to weaken the ANC and strengthen the DA
1535530726555940,17:27,J Ganasan,Le Roux - the ANC is the African National Corruption party led by Cyril who made millions from government contracts
1535530744703931,17:45,david jacobs,Stealing is stealing
1535530748429335,17:49,Thabo Kganyago,"@jean, who should they presecute because they are still gathering info so they be vivid with their presecution."
1535530766683274,18:07,thando cezula,I can't wait for Zuma to take the stand!
1535530774529839,18:15,Millicent Shozi,@le roux bye man and stop waisting our time
1535530777427043,18:18,Lebogang Tooka,the demeanour says it all.
1535530787590398,18:28,david jacobs,a spade needs to be called a spade
1535530791241083,18:32,thando cezula,Phof Zuma is too much of a coward he'll never risk cross examination!
1535530794221076,18:35,Jackson Mpala,The boers gave her large sums of money to lie about the state
1535530816233860,18:57,TSHIAMO SEIPELO,Our Country is about to be removed on some People 's hand. is interesting.
1535530826808259,19:07,thando cezula,You're talking nonsense Jackson!
1535530827290089,19:07,Mteteleli Jobela,do you think guys is making up all this??/
1535530831533707,19:12,PETER STAFFEN,Jackson Mpala prove it idiot
1535530852919872,19:33,Jean-Pierre Le Roux,JZ and his son will do well in jail
1535530878751894,19:59,thando cezula,She's not like Zuma who sold our country fora plate of curry!
1535530881505210,20:02,Lindarose Mazibuko,they belong in jail
1535530907848398,20:28,J Ganasan,thando - looks like she eats a trucklaod of curry every day
1535530924025566,20:44,Jackson Mpala,DA dometsic workers and gardeners are braiwashed to defend their masters
1535530924246029,20:45,Marvel Ramatshela,"To my perspective, the lady is not really a liar. She just struggles with reconstruction of the actual events in both vocally and in wrirting - Maybe due to her being poor intellectually."
1535530938556193,20:59,Thabo Kganyago,"@jean, true that but with rigid presecution, that has a concrete proof."
1535530942345793,21:03,Millicent Shozi,if these people can just call malema to sort out this whole thing will take him only one day
1535530966819429,21:27,Mteteleli Jobela,Marvel I fully agree with you
1535530984497081,21:45,Thabo Kganyago,"@Millicent Shozi ,,amandla!!!!!!!!!!!!!!"
1535531008834164,22:09,J Ganasan,Mandela's legacy - a party and government that is corrupt thru n thru. He must be turning over in his grave
1535531009692243,22:10,Jean-Pierre Le Roux,@Thabo Kganyago I think at least 52million ppl in SA think that most Zumas and Mandela's son must be in jail
1535531011647557,22:12,Mkhuseli Freddie,to me this state capture will expose the whole ANC. it is clear that zuma was captured and mentor and company are using that to fight their own battles.
1535531014556140,22:15,Jackson Mpala,This makes me questio the intelligece of Madonsela
1535531054932287,22:55,Mlungisi Mbanjwa,"@ganasan, what is it with this body shaming? This this reflect a lot about you than the person you are shaming."
1535531055185455,22:55,Jean-Pierre Le Roux,"eyesight??????why must she read, it looks like shes reading what to say, she is told what to say"
1535531070797579,23:11,Sofia Sofia,Do they not fear their lives ?
1535531071111557,23:11,Millicent Shozi,who wouldnt be nervouse on this spot?
1535531081461422,23:21,Jerry sigidane,Jz nd dudu can't wait to see them at Matatshe prison'
1535531085925045,23:26,PETER STAFFEN,"Jackson Mpala you have no intelligence , we no intelligence of madonsella"
1535531093012082,23:33,Sofia Sofia,So even if she is lying she is BRAVE!
1535531100982214,23:41,J Ganasan,"fat people are a blight on society. Lazy body, lazy mind"
1535531104470911,23:45,Jackson Mpala,Now she claim eye sight but she is ever chatting on facebook
