timestamp,time,author,message
1542269689951874,1:45,Xhakaza Forex,. mlo
1542269830115519,4:05,gwajo hadebe,miss Mento we are waiting
1542269882222610,4:57,Aubrey Malesela Seretlo,Xhakaza are you also a forex scammer nxa
1542269946594717,6:02,gwajo hadebe,lol Sniper! were u scamed?
1542269973472225,6:29,Sonwabile Sigijimi,how did work this forx before you come tell us what you need
1542270087993733,8:23,Lucky123 Thwala,Jimmy Manyi 10 evidance leader 0
1542270131607721,9:06,Aubrey Malesela Seretlo,@gwajo hadebe no bro. I cannot be scammed by these people lol
1542270153712615,9:29,Lucky123 Thwala,"This legal are team are failing Deputy Chief Justice Zondo , they are disorganized."
1542270172658811,9:48,makhosi nobhatyi,Twala Jimmy was not delivering he was being defensive
1542270215960155,10:30,Strini Naidu,I see alot of u interested I listening to anc lies
1542270276286622,11:32,Vuyo Tshekela,Adv Adila Hassim!! A great legal mind!
1542270325125419,12:20,Lucky123 Thwala,section 27 has finished the life esidimeni millions and now are here representing Mr Nene.
1542270329541204,12:25,peter pott,"all those who came to give evidence are hiding now. this is legal inquiry, They must be cross examined."
1542270375720972,13:11,Lucky123 Thwala,getting sick now.
1542270403302374,13:39,Lucky123 Thwala,akachathe ubabu Nene.
1542270421829349,13:57,peter pott,ankle injury. he can be wheelchaired here. We have chairs here
1542270459252451,14:34,Mthobisi Zuma,NENE running away now
1542270540727506,15:56,peter pott,"listen to that. injured his ankle doing what?from Jan 1, 2019 he avail himself."
1542270544855507,16:00,makhosi nobhatyi,"I was not surprised with ANC response being defensive and ignorant same way they did to defend Zuma of which is wrong, all have to say we were blinded by President"
1542270641782863,17:37,Lucky123 Thwala,postpone postpone postpone
1542270709856392,18:45,Nniki Malatji,Mr Nene is genuinely not fit to testify now. Reason furnished and accepted.
1542270781147535,19:56,peter pott,nene is coming with kindergarten reasons here. van breda tried similar reasons.
1542270789873637,20:05,makhosi nobhatyi,Jimmy Is going to fall new evidence about his conduct arrived
