timestamp,time,author,message
1560326720232061,2:47,Javas Maphale,Mxolisi Nxasana on the stand...popcorns!
1560326792135206,4:00,Junior Mancinza,started
1560326954557147,6:43,Lwandile Radebe,sanbonani
1560326980809919,7:09,Junior Mancinza,"Mplicated are Zuma,Jiba,Mqwebu,"
1560327006723185,7:34,Lwandile Radebe,"here we are again, got my popcorns ready, just waiting for fireworks"
1560327010492538,7:38,Joyful Technologies,abashwe .....! !!!!!
1560327150686914,9:58,Desciples Of Thomas Sankara,q w a l a z o n d o ! ! ! !
1560327223221413,11:10,Lwandile Radebe,"duputy chief must speak fast, I my data is running out 😂"
1560327288660115,12:17,Maxwell Sibiya,Morning beautiful people of Mzansi. Who do we have today?
1560327341651679,13:09,Junior Mancinza,Nxasana Maxwell
1560327430577351,14:38,Maxwell Sibiya,@Junior thank you
1560327481094350,15:28,Junior Mancinza,👍
1560327493380035,15:41,Musa Bakiti,xoxo
1560327638882983,18:07,makhosi nobhatyi,Oh Lord please protect this witness and go into his heart to speak truth nothing else but the truth
1560327647592047,18:14,Musa Bakiti,what is this now?
1560327759846077,20:07,clive oconnell,"And nothing but the truth, trust me I’m member of ANC."
1560327845322061,21:34,Maxwell Sibiya,"Until I see someone in Jail... Truth or not, pointless."
1560327898184317,22:26,lihle lihle,when will people be arrested ?
1560327908046260,22:36,Javas Maphale,SABC please fix the visual!
1560327932770350,23:01,Maxwell Sibiya,"@Lihle, I would like to know that as well"
1560327994322140,24:02,Junior Mancinza,"Agree with you Max,but remember commission got no power to do that,only the courts measns we will wait till commission complete it's work"
1560328150542289,26:38,Maxwell Sibiya,"@Junior you are very correct. That's true. History in South Africa thought us that when it comes to corrupt politicians, there is no accountability. So part of me is worried that it will aa"
1560328156681478,26:44,lihle lihle,@Junior Mancinza do you mean if I say I stole in the commission the court will not prosecute me until those I was with are also captured ?
1560328168155164,26:55,Maxwell Sibiya,it will all come to nothing
1560328234103659,28:01,Maxwell Sibiya,"@Lihle, yes. until the commission concludes, there can not be any arrest"
1560328243146652,28:10,Raphat Buthelezi,In the end the conclusion will be like Sirit's commission conclusion but people are busy exposing corruption here... mxm sexpayers money xem
1560328267616645,28:35,Minoctar Sithole,did he pay back the money
1560328359420162,30:07,lihle lihle,I would have been happy if they deliver these speech's in handcuffs not in suits and ties .
1560328389343014,30:37,Linda Leibach,"Is the sound static with you all as well, or is it just me"
1560328448223621,31:35,clive oconnell,Why can’t any of the blatantly guilty be charged now? Pick them off one at a time and there turn on their ANC friends and masters.
1560328468488908,31:56,Johnny Cash,Not one single person has been charged??? 😂😂😂
1560328474885891,32:03,Maxwell Sibiya,@Spinx I have video problems.
1560328480953718,32:08,Junior Mancinza,"@lihle,I it's will depend on the strategy they wanna use to make sure state will win the case,to rush sometimes expose you, remember Estina dairly farm case"
1560328489060079,32:17,Labour Law in practice,the is no such the commission is a parallel structure and the NPA has a responsibility to prosecute all case without fear or favour
1560328537947502,33:06,SABC News,Apologies for the poor visuals and audio pops. Visuals are as incoming from the pool. Our technicians are working to have it resolved.
1560328584371703,33:52,Erastus Nuunyango,Pls! do it fast.
1560328585002806,33:53,clive oconnell,👍🏽👍🏽👍🏽
1560328586208834,33:54,Junior Mancinza,working on progress on visuals
1560328591940070,33:59,Tebogo Sebata,noooo
1560328611609020,34:19,Mamoloko Matsimela,We were just getting started aowa banna!
1560328614163221,34:22,Sophia Maholela,Work on the spam while at it
1560328616105663,34:24,Johnny Cash,"Eskom, SABC, SAPS, NPA, SAA, Denel, Transnet, Prasa, RAF, Education, Health, Economy etc — The ANC has destroyed everything it touches 😂😂😂"
1560328623869093,34:32,Junior Mancinza,woow
1560328652933992,35:00,Johnny Cash,But still gets elected 🤣🤣🤣
1560328661588212,35:09,Junior Mancinza,uMshedis yini?
1560328693317749,35:41,Octavia Zulu,"@Johnny Cash, How is that catastrophe funny?"
1560328719506934,36:07,Elaine Pridgeon-Alberts,Seriously unacceptable SABC :((
1560328773128282,37:01,Johnny Cash,Because the ANC just got re-relected... 🤣🤣🤣🤣🤣 after they destroyed every functioning thing in our country. Theres literally no hope!
1560328774298615,37:02,lihle lihle,I paid for my TV licence njalo !
1560328803096695,37:31,makhosi nobhatyi,😃😃😃 guys please you need to have faith we are trying to fix what was being broken down in a purpose to enrich themselves
1560328829060766,37:57,Minoctar Sithole,mr golden hand shake
1560328840180495,38:07,Octavia Zulu,It will only be fixable if we support the efforts being made now
1560328842712641,38:10,Erastus Nuunyango,I really don't knw why SA poor communities voted for ANC. That party destroyed your lives and it affected the whole SADC region.
