timestamp,time,author,message
1543389057090075,-51:05,Mzwamadoda Mankabane,haai mbeceni
1543389331080446,-46:31,Lucky123 Thwala,kulindwe u Jimmy Mnyi yini
1543389474302054,-44:08,Desmond Masilela,Labantu akaze basigcine iskhathi nakanye
1543390046842691,-34:35,lucky Molepo,what time are they starting
1543390560236589,-26:02,Lucky123 Thwala,kodwa baba Zondo ngathi uthatha kancane akashitshwe kungene ubabu Maseneke
1543390769464819,-22:33,guru ji Jyotish Kendra,"ज्योतिष से संबंधित सुच्चा मोती, रत्नों की अंगूठी एवं रत्न आप हमारी site astrosale.in पर visit करके order कर सकते है |"
1543391551671397,-9:30,michael mbatha,"Will start at 10am, according to the time indicated next to the date, bottom left"
1543392295080285,2:42,Star Shine,It Has Started
1543392883685320,12:31,Star Shine,Ramatlhodi In The Witness Box
1543392894246309,12:42,Tshepo Mahlangu,Counsel looks unsettled mus nje
1543392908836527,12:56,Tobo Lwandile,she's nervous
1543392941893039,13:29,Tebogo Evans,lol what is she saying
1543392945577542,13:33,Tobo Lwandile,who is she
1543392951604594,13:39,Vuyisile Ngesi,Counsel sounds and looks rattled....
1543392959062976,13:46,Tebogo Evans,who is she vele
1543392982093545,14:08,Tebogo Evans,yerrr
1543392986193818,14:13,Tshepo Mahlangu,Ngathi it's going to be a looooooong day klaar
1543392995132199,14:23,Kwanele Mbambo,She is really nervous
1543393000177312,14:27,Star Shine,She Not Prepared
1543393004343095,14:30,Siya_Map,A very loooooong one indeed.
1543393028550521,14:56,Tshepo Mahlangu,Law school revisited
1543393082845772,15:50,michael mbatha,Too much time at salon
1543393092013410,16:00,holylady1000,who is the lady?
1543393094258076,16:02,Tebogo Evans,I'm better that her
1543393115217247,16:22,Tebogo Evans,boring day
1543393127134929,16:34,Thanduxolo Fokwebe,"on page 6, page 5. 😂"
1543393128762912,16:36,Star Shine,Not Enough Time At Salon
1543393131216065,16:39,Kwame Okyere-Boateng,yawn....yawn......yawn
1543393132051975,16:39,Nkosinathi Sihle Shange,😂😂😂
1543393138842179,16:46,Tebogo Evans,my grand mother can do better
1543393152500198,17:00,s'phiwo mlindazwe,"sorry for her, she is very nervous"
1543393182750314,17:30,Kwame Okyere-Boateng,@Thando Nkutha true that!
1543393207942191,17:55,Tshepo Mahlangu,"yoooooh mmawe, Counsel... you should not have gone to the salon izolo but instead prepared for today...lol"
1543393209671213,17:57,jacob phala,The DCJ is giving her some lessons😂
1543393218527209,18:06,Lolos Mccall,@Thando Nkutha . true
1543393237865624,18:25,Tebogo Evans,but this one nooo
1543393253828286,18:41,Kwame Okyere-Boateng,you cannot practice in your room alone
1543393259266912,18:47,holylady1000,who is she?
1543393280586044,19:08,Tebogo Evans,she must be fired
1543393306110749,19:33,The Maverick!,ake simunike ithuba bafethu..hawu don't be so harsh..lol :p
1543393324821481,19:52,Tebogo Evans,thando onya mmago wakwa
1543393349649023,20:17,Spha Mthethwa,Akesizwa ke
1543393456237901,22:04,Lucky123 Thwala,please stop it.
1543393481369334,22:29,Kwame Okyere-Boateng,already fighting after only one question?
1543393490201089,22:37,Kwame Okyere-Boateng,hawu...no chill tuuu
1543393510576147,22:58,Lolos Mccall,chill guys. pls
1543393516711629,23:04,The Maverick!,"all of you that are insulting each other here, can you please respect us and be decent in this platform..mnxm"
1543393592574707,24:20,Tebogo Evans,"thando, motete wa gao. le retiana ontlaela nnyo san"
1543393614222682,24:41,S'boniso Qwabe,the fat chick is disturbing
1543393733938995,26:41,Mfundo Kunene,misogyny
1543393817037987,28:04,Tshepo Mahlangu,...added to body shaming. @Mfundo Kunene
1543393828482088,28:16,Lucky123 Thwala,give it us all baba
