timestamp,time,author,message
1535700717557457,-20:14,Sindiswa Moolman,where is everybody?
1535701991215928,0:51,Smanga Sanga,here
1535702067549267,2:07,Anathi Jayiya,@Sindiswa I’m asking myself the same question
1535702093427404,2:32,Lizanne Barnett,Never loud enough!!!
1535702271605728,5:32,Iipinge absalom,why focusing only on one person?
1535702549936164,10:10,Isaac Phumudzo,morning everybody
1535702551186812,10:11,Keegan Goddard,sound
1535702562249462,10:22,Sindiswa Moolman,Do we have sound here or am I deaf?
1535702564423476,10:24,Thana Ndlovu,sound
1535702590967291,10:50,Isaac Phumudzo,@Sindiswa Moolman it back now check your volume
1535702594380220,10:54,Xola Maqina,sound check
1535702595160665,10:55,Luckey Binali,I think iam deaf
1535702599365865,10:58,Keegan Goddard,turn it up1!
1535702614364634,11:13,Isaac Phumudzo,lol @Luckey Binali
1535702627383286,11:27,Keegan Goddard,i have ear phones in and cant hear
1535702636853113,11:36,Wisdom Vutlhari,sound is ok
1535702636890016,11:36,Mampe Lesetla,Can't wait for the outcome !
1535702640803623,11:40,Isaac Phumudzo,"check one , two, one , twoooooo is it fine now?"
1535702645506534,11:44,dude_called_vouks,sound problem
1535702663872861,12:03,Keegan Goddard,need to be a professional lip reader to follow whats going on here
1535702715489336,12:55,Antonio Joao Maiela Nhambirre,sound is bad
1535702715608446,12:55,Sindiswa Moolman,Thank you..the sound is on now
1535702756278260,13:35,Antonio Joao Maiela Nhambirre,sound is to low
1535702758399287,13:37,Sindiswa Moolman,Had to have my earphones on to hear @Antonio Joao Maiela Nhambirre
1535702772716133,13:52,sibusiso michael bhukula,watching with interest
1535702790508035,14:10,Bafana Brian,SARS i was waiting for you
1535702804292497,14:24,Thana Ndlovu,welcome Miriam
1535702817575553,14:37,Millicent Shozi,reminded of ancient egyptians holding the t
1535702827384280,14:46,The Consigliere,what does she do?
1535702837800197,14:57,Sindiswa Moolman,Manyi who carried out the instruction Maseko refused to is here.
1535702852410836,15:12,Luckey Binali,@issaac I need to buy new ears 👂
1535702913827768,16:13,Isaac Phumudzo,@Luckey Binali u have to LB
1535702946922130,16:46,Bafana Brian,we'll see if indeed she will
1535703000626234,17:40,Sindiswa Moolman,She is holding the post Maseko was fired from 7 years ago @The Consigliere
1535703014063773,17:54,Bafana Brian,tell the truth
1535703054153178,18:34,Luckey Binali,"i swear that what i will be posting on this platform shall be nothing but truth, the whole truth and the a little bit of lies but truth nonetheless"
1535703055080759,18:34,The Consigliere,@sindi.....thanks
1535703109907162,19:29,Luckey Binali,@issaac i guess so
1535703127487955,19:46,Sindiswa Moolman,Long service with GCIS...
1535703204362033,21:04,KEITH SINDILE DINABANTU,"Jimmy Manyi, former owner of the now defunct broadcasting channel called ANN7, is expected to be part of this #StateCaptureInquiry"
1535703207254352,21:07,Luckey Binali,@deon that's right
1535703259289781,21:59,Millicent Shozi,id waste of money why cant we adopt the british way who dont own IDs
1535703267051237,22:06,Sifundo Mhlungu,"all least her English is not broken,"
1535703276011828,22:15,Sindiswa Moolman,He is an interested party today because he was implicated yesterday@KEITH SINDILE DINABANTU. Hope he will give testimony later in this inquiry
1535703337943095,23:17,KEITH SINDILE DINABANTU,@Sindiswa Moolman I can not wait to hear from him my dearest! He can talk LOL
1535703340548065,23:20,Mr.V,@Thando Nkutha exactly xDD
1535703414165193,24:33,Johan Le Grange,She is talking alot sjoe
1535703442885195,25:02,Mr.V,"all this talking, and for what ?"
1535703464194100,25:22,Sindiswa Moolman,She is a Communicator by profession @Johan Le Grange. These people can talk and not communicate.
1535703475557548,25:35,Millicent Shozi,mr v for uou
1535703499400116,25:59,Vukile Racaza,Phumla Williams is clear and precise. To those who think we don't have brains in our government
1535703540000481,26:39,Mr.V,who is the lady asking the questions ?
1535703564813829,27:04,KEITH SINDILE DINABANTU,@Sindiswa Moolman He's accredited and lets hope he'll have a chance
1535703572488172,27:12,Vukile Racaza,"Johan she was asked to explain what is GCIS , so she is explaining the role of GCIS in government"
1535703598980950,27:38,Philisiwe Khumalo,yohhhhh she will talk-o
1535703608923659,27:48,Sindiswa Moolman,She is Adv Kate Hoffmeyer @Mr.V
1535703627100010,28:06,Vukile Racaza,Joel Netshitenzhe is another intelligent fellow.
1535703637799783,28:17,Mr.V,@Sindiswa Moolman thank you ! 😃
1535703690270236,29:10,KEITH SINDILE DINABANTU,@Sindiswa Moolman Who's a communicator by profession?
1535703744078391,30:03,Millicent Shozi,i find this hard to believe been round deepest rural areas never have i came across these people
1535703761749626,30:21,Sindiswa Moolman,I have noticed that female witnesses are led by female evidence leaders and men witnesses by males.
1535703775830590,30:35,Phyllis Kumalo,"Yes she is clear nd xplaining her role in the govmnt nd not reading what they wrote 4 her ,like others telling us about guptas"
1535703797519170,30:56,Edward Nndwamato,she looks strong
1535703808645446,31:07,Phyllis Kumalo,Yes
1535703813550631,31:12,Mr.V,@Sindiswa Moolman i think it is to illuminate the intimidation issue
1535703822074913,31:21,KEITH SINDILE DINABANTU,@Sindiswa Moolman And Mentor as well? Wasn't she examined by a man?
1535703834085462,31:34,Lowkey Apparel,Did the GUPTAs give her the job?
1535703843340822,31:43,Phyllis Kumalo,She understand Y she is her
1535703846314989,31:45,Sindiswa Moolman,A person trained to Communicate a message or information@KEITH SINDILE DINABANTU
1535703849285477,31:48,hilton modike,guys pls school me here how did the guptas get to that stage of having so muvh power on government
1535703900986919,32:40,Mr.V,@hilton modike you can have anything you want in this world when you have enough money !
1535703930753376,33:10,KEITH SINDILE DINABANTU,"@Vukile Racaza Oh gosh, that Joel is indeed a body of intelligentsia himself."
1535703932048704,33:11,Sindiswa Moolman,Mentor was led by a black adv lady...Adv Sello @KEITH SINDILE DINABANTU
1535703935591682,33:15,Phyllis Kumalo,@ Hilton u will never get the truth cos it was lies
1535703938941603,33:18,Merle ORyan,and those greedy to have it
1535703950628885,33:30,Millicent Shozi,agencies rubbish cheap labour no benefits
1535703951629202,33:31,Philisiwe Khumalo,is she here to testify against guptas?
1535703964405182,33:43,Mr.V,bribery and corruption is what caused this county to seen as trash ! you could also consider incompetence.
1535704016996902,34:37,John Tleane,lets here the other side of the story which no one has in the inside of things at government level vs business before we can judge anyone
1535704023661887,34:42,Phyllis Kumalo,No Philisiwe to tell us the truth nothing els
1535704048571113,35:08,Peet Venter,"Zuma was bribed by the Guptas and when they got greedier Zuma could not escape but also benefiting from all the ""proceeds""."
1535704071945081,35:31,hilton modike,@phyllis what about thr billions which were syphoned off to shelve companies in china .i guess those monies could havr benefited the poor ...
1535704094018059,35:53,Philisiwe Khumalo,i agree
1535704135703607,36:35,hilton modike,was a guy by the name of salim issa been ever elected to b in government because a lot of tranfers were done through him
1535704156679720,36:56,Phyllis Kumalo,@Hilton is media who told u that im not a media puppet nd bleave what they r telling us
1535704156867846,36:56,Lorna Kavanagh,money laundering
1535704171376281,37:11,Sindiswa Moolman,I agree @Thando Nkutha. I am liking her.
1535704176982003,37:16,Millicent Shozi,i know where this is leading
1535704186219903,37:25,john john,At the end of the Day the Mob Rules and there ain't anything we can do about it....
1535704227490944,38:06,hilton modike,@phyllis there is a proof from prasa that monies for trains were transferred to shelve companies .would u may b advise why ??
1535704267013917,38:46,Hulisani matshakatshe,"i think thy had a clear mandate but could not excute it, being from the village never seen this people"
