timestamp,time,author,message
1542632125016048,1:28,Caleb Nyathi,🙄🙄🙄🙄
1542632145324543,1:48,Fred'Techx Forex setups,😳🙄
1542632339082097,5:01,Douglas Mjekula,PG
1542632371224751,5:34,Mcebisi Jali,🔥🔥🔥🔥
1542632390831107,5:53,Marvel Ramatshela,Now files are coming out
1542632433235577,6:36,Anand Sade,5
1542632475996419,7:18,Anand Sade,5
1542632490356634,7:33,Anand Sade,009550388310
1542632587042981,9:09,Sabelo Devaldo Nkwinika,yebo
1542632715646753,11:18,Wheels&Sticks Productions,Iyoooooooooooooh
1542632777058845,12:19,Nathan Hendon,안녕하세요
1542632780170000,12:22,Shenko Muzhalo,arrest him full stop
1542632954991990,15:17,Lesiba Phyliex,lets clean this people out. full stop
1542632956211177,15:18,Moses Nkoana,let him resign
1542632961762455,15:24,sunnyboy matlala,Let him go to jail
1542633005693431,16:07,Shenko Muzhalo,point suunyboy
1542633025881543,16:28,Sandile Mabika,"when you lie under oath , you looked scare as prime minister PG"
1542633031205720,16:33,Fannie Ranthete,interesting revelation truth or not
1542633077445744,17:19,Strini Naidu,join the dots
1542633080042909,17:21,nephat Ncube,cant say anything politics is not my cup of tea
1542633120666006,18:03,DUMANI MBEBE,We want to reclaim our country from thieves
1542633143782526,18:26,Sthakathi Khumalo,"bhekisisa madida Nothing bro, just governance lecture continuation and supposed malfeasance (in a nutshell DOTS AND NOTHING BUT DOTS)"
1542633151675700,18:34,Dané Vermeulen,Hahahaha prime minister
1542633198366287,19:21,mufanadzo nefale,🚓🚓🚓 arrest them one by one CR17
1542633250824549,20:13,Kholeka Ndlanga,Let him tie himself in knots. we expect his resignation after this testimony.
1542633307429874,21:10,Sandile Mabika,"JOSHUA DOORED , IS ANSWERING REVISED QUESTIONS"
1542633349664438,21:52,PETER STAFFEN,there are so many clever people around today
1542633352415216,21:55,Sandile Mabika,PRIME MINISTER OF RSA MUST GO. HE IS MORE DANGEROUS THAN ELECTRICITY
1542633465277835,23:47,Sandile Mabika,what a waster of time. this prime minister of republic ( joshua Doore) is talking nonsense
1542633527363802,24:50,Sandile Mabika,he runs around the country like he is the head of state.
1542633576017312,25:38,Strini Naidu,"thats why he is minister bec he know the facts,not lies"
1542633601943182,26:04,ENTHALPY,hAS pg REVIELED ANY INFORMATION ABOUT MEETING THE gUPTAS GUYS?
1542633611204069,26:13,Sandile Khowane,Yeses!
1542633623835170,26:26,Strini Naidu,u dont understand what he say
1542633662825938,27:05,Eslon Eslon,what's the eff and blf protest mean to achieve? Isn't their move a political opportunism?
1542633677400970,27:19,ENTHALPY,Has minister Gordan said anything about his meeting with the Guptas?
1542633690797304,27:33,Sandile Mabika,why ishe laughing?. prime minister will go whether wmc likes or not. we are ready to take to the street to demade prime minister to step down.
1542633718195808,28:00,Strini Naidu,eff must go and charge pg
1542633741207907,28:23,ENTHALPY,Eslon Eson.....they want him out. They say he lied just like Nhlanhla Nene lied. Denied meeting the Guptas.
1542633756257419,28:38,Strini Naidu,"if they have facts,not assumption s"
1542633795054391,29:17,Sandile Mabika,"pg must go. he is problem in this country,. this cabal will go. come next week we are ready to defect him and his handlers"
1542633808064693,29:30,Sthakathi Khumalo,"This is not your stream we will make our own opinions!! if you don't like them, go fly a kite!!"
1542633856998597,30:18,Logic Senior,unvoted Prime Minister of SA
1542633864316671,30:27,Alaric 4x4,Jokes now PG !!!
1542633922818041,31:25,ENTHALPY,The EFF and ANC might end up forming a coalition government next year.
1542633924622080,31:27,Strini Naidu,if he lied go and charge him
1542633959162410,32:01,Sandile Khowane,"The Prime Minister doesn't have sense of occasion, he thinks this is a joke."
1542633993335020,32:36,Lesiba Phyliex,hw dd indians from india gt to control SA while we had south african indians who lived for more than 158 years in SA.
1542634009787901,32:52,Sandile Mabika,give us the evidence of state capture his excellency prime minister of republic paraffin GORDHAN.
1542634020252662,33:02,Khalid Mather,"exactly, now we having the great Indian vs Indian battle on TV"
1542634034291608,33:16,Bonisa Bonani,Enough with the 'due digilence'. We get it!
1542634041203096,33:23,Khalid Mather,Gupta vs Gordhan lol
1542634047845409,33:30,Sandile Mabika,WE KNOW THIS CABAL WORKS FOR RUPERT. HE NOT TO BE TRUSTWORTHY
1542634062997628,33:45,Thabang Manganyi,this guy is reading his answers
1542634075125841,33:57,Strini Naidu,the names are cuming up
