timestamp,time,author,message
1542612410792810,-40:37,Marvel Ramatshela,Morning Guys
1542612433446656,-40:14,Marvel Ramatshela,Is Gordhan still drinking tea
1542612831887371,-33:36,Live Digitals,kwaaaaaaaaaaaks
1542612839346246,-33:28,Glorify Gumede,Sanibonani endlini
1542612852855887,-33:15,Glorify Gumede,Dumelang
1542613093588612,-29:14,Amanda Watson,Heita
1542613100711017,-29:07,Mali Mthimkhulu,We in
1542613107830581,-29:00,Glorify Gumede,kulungile sizolinda nje ukuzwa ukuthi ngabe umphathiswa usilandisa uthini ngololudaba lalezinsizwa zakwaGupta
1542613143506968,-28:24,Amanda Watson,I see on Twitter Min Gordhan is unpacking his tea
1542613149137292,-28:19,Mali Mthimkhulu,silindile Today must be interesting.
1542613188960158,-27:39,Glorify Gumede,i'm simply confirming that we are eagerly awaiting the appearance of the minister on the issue touching the Guptas
1542613217861691,-27:10,Glorify Gumede,but we cant wait for too long
1542613244677295,-26:43,Glorify Gumede,"they must start now, its almost 10"
1542613477724586,-22:50,Amanda Watson,Why is BLF protesting tho?
1542613636556072,-20:11,Sne Mdletye,"there has been a lot of lying amongst the top leaders in ANC, I'm worried about who is really governing us..."
1542613688475397,-19:19,Amanda Watson,"It's not the people, that's for sure"
1542614249628374,-9:58,Glorify Gumede,"Please stop telling us about DA, we know you"
1542614271383401,-9:36,Desmond Masilela,Morning guys.
1542614281698156,-9:26,Glorify Gumede,this is not the platform
1542614312700255,-8:55,Glorify Gumede,never interpret anger towards ANC OR EFF as a way of endorsing DA
1542614313546379,-8:54,Andre' Van Zyl,morning everyone.
1542614343442387,-8:24,Tamara Mbopeni,🤣🤣🤣 who do you think we are Michael Holmes... we wont dare vote DA...
1542614429993585,-6:58,koena mabotja,WHAT IS THE DIFFERENCE BETWEEN ANC AND EFF
1542614466187817,-6:22,Amanda Watson,I wouldn't vote for the DA if you paid me too.
1542614481076462,-6:07,Joseph Thobejane,did privin Godan appointed by Gupta family to become a minister of finance
1542614507510927,-5:40,koena mabotja,COME 2019 WE VOTING FOR ANC
1542614520687919,-5:27,Sindiswa Moolman,A very important moment. Gordhan is the very important witness to both his enemies and friends alike. More so to South African.
1542614549675795,-4:58,Desmond Masilela,African time 10:30
1542614557339639,-4:50,Sandile Steer,Lets address the Land issue first. WE WANT IT BACK.
1542614590748810,-4:17,Tamara Mbopeni,corruption is the same as Racism
1542614612935681,-3:55,Amanda Watson,@koena mabotja But why though? This whole CoI is because of the ANC? Even Ramaphosa has admitted now
1542614660160826,-3:08,Martin phiri,In DA are too much whites...... in EFF are too much... black..... ANC mix
1542614681905713,-2:46,Wesley M,Martin lol!!!
1542614687198466,-2:41,Norman Zwane,@Desmond Masilela There is a difference between African Time and The Time in Africa; which of these is 10:30?
1542614760944784,-1:27,Martin phiri,Vote ANC in 2019
1542614761976917,-1:26,Sindiswa Moolman,"We have Moyane's lawyer, Mpofu, BLF, EFF, Zizi Kodwa, Ivan Pillay, Barbara Hogan etc to listen to Godharn"
1542614789771436,-0:58,Nobubele Monica Mapetshana,DA doesn't want transformation...they are a white party qha qwaba...
1542614792207042,-0:56,Joseph Thobejane,90% of the ANC minister are appointed by Gupta family
1542614838460894,-0:09,Wesley M,Michael DA wants black vote withwhite rul. not gonna happen.
1542614841921683,-0:06,Martin phiri,EFF they ignore everything
1542614845208995,-0:03,Sandile Steer,I wonder whr do u get your STATS from Joseph
1542614862711013,0:04,Desmond Masilela,@Norman Zwane. State capture time.
1542614873249005,0:15,Norman Zwane,"@Michael Holmes: Transform the DA?Waste of energy, they are a basket case of racism and are beyond redemption."
1542614875950859,0:18,Bheki Mdletshe,I am from SABC and we are starting now
1542614890521725,0:32,Wesley M,there we go!
1542614900914634,0:43,Martin phiri,it has started already
1542614909869804,0:52,Sindiswa Moolman,Thank you @Bheki Mdletshe
1542614911834408,0:54,Bonani Maphini,Lest hope Mr Gordan is not carrying lies to this Commission
1542614925756552,1:08,Joseph Thobejane,@sandile i get it from EFF
