timestamp,time,author,message
1535545785308794,11:47,Sylvester Tyhali,Guptas again
1535546033404588,15:55,Marvel Ramatshela,Guptas always
1535546076788770,16:39,Teddy Ntsente,...and we are back...
1535546246628457,19:29,Marvel Ramatshela,Mr Themba Maseko seems to be a reliable witness.
1535546285553106,20:07,Sello Lekgoathi,Guptas all the time 🤔
1535546318493159,20:40,stanza monyai,Mr. Maseko knows what he's talking about and am so impressed
1535546381795129,21:44,Lindikaya Myeki,Advocate Mokoena is still the best in term of leading the witness.
1535546467342911,23:09,DALUXOLO DINISO,he knows every think i am also very impressed
1535546471770609,23:14,Nkululeko Malandela,....
1535546481920502,23:24,Smally Lengesi,guptas take the SA
1535546496471481,23:38,Thabo Modibedi,.......😏😏😏
1535546497370364,23:39,Sylvester Tyhali,"Whats the name of that dark beautiful girl/lady sitting at the back, to the right of the council...she has braided hair"
1535546522086217,24:03,bernard ntaote,Mr. Maseko appears a very credible and impressive witness. let's see how he fares under cross examination.
1535546544562248,24:26,Ziyanda Filita,so many people are going to be implicated here
1535546553424015,24:35,DALUXOLO DINISO,he knows everything
1535546560425475,24:42,Sylvester Tyhali,Maseko is about to snitch 😁
1535546625480809,25:47,Sabelo Thobani Masuku,their trying to make us forget about LAND
1535546672743837,26:34,Keneilwe Mmutlana,We havent forgotten about LAND
1535546686613045,26:48,thando cezula,Maseko is level headed
1535546703051454,27:05,Marvel Ramatshela,@Sabelo.. Not even lottery win will make us forget about the Land. We need it by yesterday.
1535546726441261,27:28,thando cezula,The land is coming...thieves must also go to jail
1535546841157928,29:23,Kgutsang Setloboko,Ajay was the main character😁
1535546971198599,31:33,Kgutsang Setloboko,@Van Heerden you always watching
1535547006673960,32:08,bernard ntaote,"My assessment of evidence adduced this far, crystal clear"
1535547015710031,32:17,Marvel Ramatshela,Hawks are corrupt. That entity MUST be disbanded and closed. They are implicated everywhere. We can't have an justice agency that is sinister.
1535547108927859,33:51,bernard ntaote,there is a clear case of corruption. why not go straight to court and lets the culprits face music
1535547164510712,34:46,sendo sityebi,ey guys are like women u talk'n'eat u gud at multitasking yho
1535547217381702,35:40,Sibongiseni Maseko,Bring back the scorpions because these hawks are useless
1535547230129530,35:52,Kristi Borton,Zaza
