timestamp,time,author,message
1535538375303604,10:34,Fils de l'homme,","
1535538496842526,12:36,Mtuseni Inno Zwane,Ilike this guy talking
1535538559992120,13:39,Zamo Mthethwa,😂😂😂😂😂 this guy is talking in a very funny way
1535538708804894,16:08,Thabiso Skosana,why is Themba turning the mic on and off
1535538760078933,16:59,Mtuseni Inno Zwane,siyabona nathi
1535538776792149,17:16,Mpho Kgomotso,"@Thabiso Skosana, he doesn't want to murmur words that can compromise him LOL"
1535538931929208,19:51,Rodney Msomi,thank you Chair
1535538979118616,20:38,Knight Wolves United FC,"yOU know you are not the Zulus, you been colonised with that name by British: you are Bantu from Zimb"
1535538996692685,20:55,DALUXOLO DINISO,thank you chair he is used to be in parliament
1535539070938925,22:10,Tiny Nontulo,Why is this guy talking like this?
1535539119010982,22:58,Knight Wolves United FC,Bantu colonised the Khoi WHICH Xhosa came and San WHICH tSWANA came
1535539127803790,23:06,Queen K,Hopefully will get some juicy stuff
1535539182605299,24:01,Knight Wolves United FC,Check Your dna WE all FROM one Family
1535539212660631,24:31,Knight Wolves United FC,WE BROTHERS SUPPOSE to LOVE each other
1535539257235675,25:16,Mtuseni Inno Zwane,ei awume wena
1535539259428129,25:18,Knight Wolves United FC,Bantu= Pharaohs & hEbrews
1535539282383850,25:41,Knight Wolves United FC,Time to WAKEUP FROM the Dead
1535539295055574,25:54,Knight Wolves United FC,"​yOU know you are not the Zulus, you been colonised with that name by British: you are Bantu from Zim"
1535539311950937,26:10,Mtuseni Inno Zwane,unescefe
1535539329246253,26:28,Knight Wolves United FC,We are Family suppose to be one
1535539335047494,26:34,Tiny Nontulo,Yazi 🤔🤔
1535539335834545,26:35,Mandla Biyela,lool Mangethe awumtshele
1535539339087793,26:37,Rodney Msomi,saze sanenkinga webantu!!
1535539359256127,26:58,Nkosikhona Ginya,😂 knight we busy with serious matters please..
1535539367196872,27:06,Knight Wolves United FC,lETS LOVE each OTHER
1535539383883003,27:23,Knight Wolves United FC,wAKEUP FIRST
1535539402820547,27:42,Tiny Nontulo,We got ur point. Sit down
1535539470077306,28:49,Mtuseni Inno Zwane,we really heard you. go now
1535539484619308,29:04,Knight Wolves United FC,"lETS create our township by implementing community activities like Marathon, soccer tournament, Bantu community banks to every society"
1535539509021335,29:28,Mandla Biyela,unesidina
1535539509445748,29:28,Nduduzo Zondi,Knight blocked....yacika
1535539526882676,29:46,Fils de l'homme,bantu community bank?
1535539529903515,29:49,Knight Wolves United FC,Lets remove PIMPS politician from our community
1535539547663116,30:07,Azola Mgquba,in anticipation....
1535539552174179,30:11,Fils de l'homme,that's tribalism
1535539558403489,30:17,mfundo tyebisa,eh...
1535539564400192,30:23,Nduduzo Zondi,nalo Fils akablokwe
1535539589945276,30:48,Mtuseni Inno Zwane,blocked aswell
1535539591237371,30:50,Fils de l'homme,why zondi?
1535539607640261,31:06,mfundo tyebisa,nalo Fils makablokwe
1535539614915940,31:13,Fils de l'homme,zenzenina?
1535539636391875,31:34,Knight Wolves United FC,Bantu community Banks: ALL COMMUNITY MEMBERS WHO ARE WORKING CONTRIBUTE R10 EACH MONTH TO APPOINTED MEMBERS OF COMMUNITY
1535539641437994,31:40,Mtuseni Inno Zwane,niwobani nina?
1535539664442352,32:03,Nduduzo Zondi,Vusi Pikoli name coming into play once more
1535539666751135,32:06,Knight Wolves United FC,hE SHOULD HAVE SKILL IN BANKING
1535539685629236,32:25,Fils de l'homme,"@knight, what would happen to ppl in the towns?"
1535539698431433,32:37,Ntokozo Cele,Motlante in 2016??
1535539712097907,32:51,Nduduzo Zondi,unite against knight and fils
1535539716420151,32:55,Knight Wolves United FC,These fUNDS will help boost these activities
1535539724648490,33:04,LUCKY MAJOVA,banna...he doesnt knw who was deputy??
1535539747278965,33:26,Fils de l'homme,why not.focus on building capacity
1535539770834527,33:49,nokuthula nzuza,documents are not matching dates futhi?
1535539781782442,34:01,Mthimunye Maziyane,motlante or
1535539795957168,34:15,Nduduzo Zondi,no more with errored documentation...
1535539799694678,34:19,Knight Wolves United FC,"aSHLEY, CREATING tOURMENT SPORT will bring us together because we are brothers check you DNA"
1535539819177345,34:37,Mthimunye Maziyane,he nearly said was duduzane
1535539824541480,34:43,Fils de l'homme,focusing on sport n entertainment doesn't build the community. the ppl need skills
1535539903042261,36:02,Knight Wolves United FC,"Build IN THE SENSE OF Pro, other community come to support that community"
1535539923596998,36:23,mfundo tyebisa,Wolves and Fils... go and advise Gabuza and leave this room please....
1535539929899321,36:29,Fils de l'homme,"knight, wat sy jy?"
1535539947697961,36:47,Fils de l'homme,who is gabuza?
1535539962927559,37:02,Njabulo Tsela,this inquiry is just waste of time just like the ones f marikana and life esidimeni cz no one was held responsible
1535539967442280,37:06,Knight Wolves United FC,While other community came to support their boyz Tourism
1535539998782319,37:38,Knight Wolves United FC,Bantu community Banks bECOME fat
1535540009260369,37:48,mfundo tyebisa,google
1535540016309926,37:56,Mthimunye Maziyane,commission its a wake up call
1535540031224406,38:10,Fils de l'homme,gabuza is google in ur languages?
1535540044196945,38:23,Knight Wolves United FC,Community Bank will help reconstruct our society Think
1535540052286934,38:31,Knight Wolves United FC,Wakeup
1535540064671917,38:44,Mtuseni Inno Zwane,yes you ddnt knw
1535540071593093,38:51,Knight Wolves United FC,We are Brothers
