timestamp,time,author,message
1535458459869757,11:45,Odin Ponzi,What happened at the Vrede Farm?
1535458498417227,12:23,Legae Nyalungu,Gwede mantashed😂😂
1535458550614421,13:15,Fils de l'homme,im back
1535458606667106,14:10,Thobeka Mbatha,truth or dare
1535458634320926,14:39,Fils de l'homme,there was a bantu on my gate
1535458691125059,15:36,Greg Stewart,"typical case of ""dont take responsibility"" report a problem and dont follow up - I did my part"
1535458766851424,16:52,Fils de l'homme,@greg its the Bantu way
1535458803350977,17:26,Thobeka Mbatha,plz now don't confuse her nw
1535458827857363,17:52,Greg Stewart,okay🤔
1535458913227525,19:19,Fils de l'homme,@greg steward bantus are like children
1535458950653950,19:56,Thobeka Mbatha,wislima wena thula
1535458989205038,20:34,ashlee ka ndlovu,so this guy Fils de l'homme is calling people Bantu as a replacement mechanism- we see through your BS
1535459020966014,21:05,Fils de l'homme,ashlee what u talking about
1535459038026483,21:23,S Oliphant,mentor doesn't want to commit to her answers
1535459092036182,22:17,Fils de l'homme,what would you like m to call ppl?
1535459104347754,22:29,Tobo Lwandile,"block fils he's crazy, we all blocked him that's why we don't see his comments"
1535459110805733,22:36,Fils de l'homme,just google the meaning of bantu
1535459129391048,22:54,Sofonia Lethuba,cross examination will liberate us.
1535459134760495,23:00,S Oliphant,I observe that white people in general suffer from a superiority complex
1535459155727237,23:21,TP Muofhe,eish why are we still calling him the president!!!
1535459163485362,23:28,ashlee ka ndlovu,the meaning on google and the way you use it are not the same
1535459206806104,24:12,Fils de l'homme,"ashlee, i just refuse to categorise ppl in terms of the skin colour,im not a racist"
1535459231712469,24:35,Thobeka Mbatha,u are
1535459248409291,24:54,S Oliphant,fils what is bantu?
1535459248441357,24:54,Auti Mjita,Fils has no idea how racism manifests itself in south africa
1535459248990530,24:54,Fils de l'homme,i speak of ppl in terms of the cultural belongings
1535459256662369,25:02,ashlee ka ndlovu,"no one said you are racist, i just said your use of the word Bantu has connotations"
1535459329198013,26:14,Fils de l'homme,"nope.The Bantu peoples are the speakers of Bantu languages, comprising several hundred ethnic groups in sub-Saharan Africa, spread over a vast area from Central Africa across to Southern Africa"
1535459371394784,26:55,abongile abosh,if this commission is honest former president should be arested
1535459375803488,27:01,Fils de l'homme,it could have a négative connotation but it shouldn't be négative
1535459405572725,27:31,Fils de l'homme,"abongile, this commission is not a court of law so it cant arrest"
1535459468454674,28:34,ntokozo mncube,@abongile if evidence was beyond any reasonable doubt then we wouldnt have needed a commission to start with.
1535459541278516,29:47,Niematullah Rakeep,So on my FB oage I predicted Vytjies evidencecare all based on her FB page postings?
1535459554334672,30:00,Philani Madlala,Just block that Fils
1535459561731398,30:06,Chris Chauke,let the commission make a recommendation for arrest !
1535459567860036,30:13,Fils de l'homme,rakeep so u think u r smart now
1535459570687394,30:16,Philani Madlala,Fils is racial
1535459621275206,31:07,Eddy Mokwena,be deceive on your dates
1535459627961485,31:11,ntokozo mncube,"with what has been presented so far, nobody can be arrested here."
1535459831319602,34:35,Philani Madlala,understooded? 🙄🙄🙄
1535459866358444,35:11,Orefile Macheoane,Social Media is binding in so many ways. Even your VISA is linked to your facebook account
1535459921919229,36:07,Chris Chauke,"@Ntokozo , who gave the Guptas an access to our country? then is the one to be arrested!"
1535460050683006,38:15,Ayanda Manyeku,it is clear now if why president Zuma wanted a period of 6 months when the ANC tolled him to resign volluntary.........He wanted to cover his scadals with the Guptas
1535460122697077,39:28,abongile abosh,Fils de the information found in this commission is going to use in court of law for those who committed crim
1535460123301100,39:29,NN2017 UTHANDO,She is getting drunk of this Mp 4. 6.1 issue
1535460206738878,40:52,Sadaam Cabdi,alshabaab
1535460217824230,41:02,Vinolia Keitumetse,so they can't b arrested then y are we having a stateCapture?
1535460237128787,41:22,Sadaam Cabdi,qarax
1535460240126231,41:25,Fils de l'homme,"The Bantu peoples are the speakers of Bantu languages, comprising several hundred ethnic groups in sub-Saharan Africa, spread over a vast area from Central Africa across tto Southern Africa"
1535460257890348,41:43,Mashaku Tumishang,@vinolia they will be arrested
1535460278093265,42:03,Greg Stewart,akakhoni kufunda Mentor - lamafarikigi afile
