timestamp,time,author,message
1565768181864644,-31:05,Vukosi Doug,g
1565768203623109,-30:43,Athu Mani,Nmmmmh
1565768734601793,-21:52,Sekake Moshesh,are we on today guys?
1565769293934640,-12:33,babette fagan,yes we are
1565769611424114,-7:15,Sekake Moshesh,thanks
1565769655958772,-6:31,Slindile Ngcobo,they sitting in chamber this am and will make an announcement shortly
1565769675120282,-6:12,Slindile Ngcobo,hang in der...ppl
1565769691114732,-5:56,SA Fitness,heeeeyyyy sabc tshubang fooo re lebeleng tuu
1565769960257622,-1:26,Thulani Bukani,what's going on now?
1565769978786093,-1:08,Isaac Phumudzo,"HI everyone , and zumas lawyer."
1565769982172621,-1:05,Lorna Kavanagh,Still in chambers
1565770179999776,2:00,Granny Mokwena,not again
1565770237976136,2:58,Dakalo DK,Adjourned
1565770367949660,5:08,mongezi xaba,morning friends
1565770398896660,5:39,Kabelo Katjedi,"Zuma wnt be coming back,he is currently selling his suits and other items to cover his legal fees"
