timestamp,time,author,message
1551427494532235,5:23,Suzanne,Why are they late?
1551427500850948,5:28,Musa Bakiti,let the game start.
1551427512458743,5:40,Richard Billionaire,here we go again. Who is giving a testimony today?
1551427514602827,5:42,PETER STAFFEN,late again
1551427533386307,6:01,Felix Muyoba,who is this fellow?
1551427543852392,6:11,PETER STAFFEN,poor man must wait
1551427565284276,6:33,Musa Bakiti,This is African time
1551427570720981,6:37,Yonam Daudi,got no sound
1551427571582505,6:38,Suzanne,He is clearly NOT impressed with waiting
1551427592636015,7:00,Klaas Maluleka,"eish, moloi"
1551427617348354,7:25,Suzanne,Eskom treasurer Andre Frank Pillay is taking the stand in today's proceedings of the Zonda Commission of Inquiry.
1551427641791722,7:50,The Xilaman,is he the incumbent?
1551427673813050,8:21,Dmitry Nikashin,@Suzanne Saunders thank you 👍
1551427710495540,8:58,Musa Bakiti,U 1
1551427732751629,9:20,Suzanne,and the paperwork is ALWAYS a confused issue! Still glad its not my job to collate all these papers!
1551427777177362,10:05,Jean-Pierre Le Roux,With gov employees the docket always gets lost. Case dismissed.................
1551427824015642,10:51,Felix Muyoba,@Jean-Pierre Le Roux hahaha
1551427944758938,12:52,Coco,morning everyone
1551428180489153,16:49,Amanda TV,loadshedding is a sign of economic growth
1551428191604596,17:00,Felix Muyoba,"morning, KK"
1551428342889766,19:30,Suzanne,@Jean-Pierre Le Roux most of these folks seem to be ex gov employees... they all seem to have their docets together...
1551428351783009,19:40,Suzanne,docket sigh
1551428407368941,20:35,Lesedi,i love this woman. she's very calm
1551428413169309,20:41,Jean-Pierre Le Roux,"@Suzanne Saunders , everything is order here, but will they be prosecuted and how many of those that are obviously guilty go scot free?"
1551428426785367,20:54,Suzanne,I know!
1551428442281809,21:10,Sofia Sofia,who is this ?
1551428469296278,21:36,Suzanne,BUT what i hope is that the few of us watching this go out and tell everyone what we hear and see here. in that way we are vital to become part of the big picture and we wont be fooled again!
1551428501038133,22:09,Suzanne,@Sofia Sofia i commented at the top somewhere - you can find it there.
1551428520078998,22:27,Sofia Sofia,@Suzanne Saunders thanks hun
1551428538740688,22:46,Mahen Pillay,hi peter staffen did you see who been charge and mrwebi not there to withdraw charges😂😂😂
1551428598667078,23:46,Musa Bakiti,Pillay Frank😎😎
1551428616365149,24:04,Sofia Sofia,is it tribis or tribals ?
1551428833983152,27:42,PETER STAFFEN,Mahen Pillay no who has been charged
1551428882177363,28:30,Mahen Pillay,mdluli and few of his friends
1551428909665153,28:57,Sofia Sofia,Is it just me or is there something very attractive about this man ...
1551428947751072,29:35,PETER STAFFEN,Mahen Pillay when was this done
1551428965305650,29:53,Mahen Pillay,check news24 peter staffen
1551428980806409,30:09,PETER STAFFEN,Will do
1551429043131235,31:11,Makho Theo,Head2Head
1551429106038524,32:13,M T,#Sofia - Yeah ... he appears honest - That’s attractive 😬
1551429111538774,32:20,makhosi nobhatyi,"2014 and 15 things was getting out of control Guptas was fully control executive and president, it was clearly even back b4 2014"
1551429137068981,32:45,M T,"Hi all - Joined later - Who is this, please? 🤗"
1551429140799418,32:49,Sofia Sofia,Hi @Moira T ... lol true ❤
1551429169015163,33:17,Sofia Sofia,Eskom treasurer Andre Frank Pillay @Moira T
1551429198985157,33:46,makhosi nobhatyi,Prosecutor is very cool and calmed
1551429199976168,33:47,Makho Theo,Becafull
1551429199980007,33:47,Sofia Sofia,@Suzanne Saunders WORD!
1551429222968250,34:10,Makho Theo,Praise can be blinding to reality
1551429247956392,34:35,Mzalwane Mzala,There are no prosecutors in a commission of inquiry.
1551429265102906,34:53,Makho Theo,That’s right JSE Boss
1551429303679782,35:32,Mzalwane Mzala,Advocate Norman is leading the evidence of this witness.
1551429356239928,36:24,Makho Theo,Why don’t they devise Eskom to 3 part series of...
1551429383055151,36:50,Makho Theo,Industrial. Commercial. Residential
1551429448229965,37:57,Moosa Ndwandwe,thando nkuna we are confused about the lost years
1551429452196765,38:00,Sofia Sofia,@Makho Theo Thats sounds interesting ... Currently how is it ?
1551429501376580,38:49,Makho Theo,Production Distribution and Finances
1551429509822850,38:57,Felix Muyoba,@Thando Nkutha check @Sofia Sofia posting
1551429514186690,39:02,Hester Ferrezuelo,@Thando he Andre Pillay the treasurer of eskom
1551429521238972,39:08,Makho Theo,They just wan to make tree CEOs
1551429534479722,39:22,welton paulse,So Deputy President David Mabuza claims that the shortage of electricity is a sign of growth.
1551429560375543,39:48,M T,STD manipulated the Souf Efrican “Ront” 👹
1551429566848262,39:55,Hester Ferrezuelo,@Welton.anyone who believes that needs serious help
1551429589820740,40:17,Makho Theo,Inadequate Response lack of Rapport must be the Land Claims #DD lols all the way
1551429627378075,40:55,PETER STAFFEN,Mahen Pillay it is Phahlane that was arrested
1551429659360162,41:27,Takalani Tshivhase,@mongezi xaba Eskom treasurer Andre Pillay
1551429678644191,41:46,Takalani Tshivhase,multitasking
1551429701393943,42:09,Felix Muyoba,@Cebo Khumalo some of us are loafers
1551429773869728,43:21,Lizette van Greunen,We are freelancers
1551429781648409,43:29,Joel Mzayidume,Sanibona bafethu ubani i witness namhlanje?
1551429857328766,44:45,Felix Muyoba,@Joel Mzayidume check @Hester Ferrezuelo posting please
1551429868526890,44:56,Joel Mzayidume,ok
1551429872766495,45:01,Makho Theo,Mr Nyanda was clueless yesterday
1551429896190268,45:25,Cebo Khumalo,"Freelancers and loafers! I hear you people.. I was just asking, you could swear some of you are like admins to state capture.."
1551429897865900,45:26,Makho Theo,Chair!!!!!
1551429913942264,45:41,Makho Theo,No Analysis
1551429933088129,46:00,Felix Muyoba,"@Makho Theo hau, makho the gentleman tried his best"
1551429935261492,46:02,Njabulo Khuzwayo,Nyanda was baaaad😭
1551429939810480,46:08,Makho Theo,ANC is too evil to turn a blind Eye 👁
1551429966053823,46:34,Joel Mzayidume,Thank you @Felix Muyoba it's much better than listening to Trevor Manuel and Siphiwe Nyanda. Yesterday was a waste
1551429989411724,46:57,Makho Theo,@Felix not helpful.
1551430006637268,47:15,Dilip Badal,1.5 Billion US$ is + 24m US$... is this guy smoking weed
1551430044626631,47:52,M T,He meant ZAR
1551430060840645,48:09,Felix Muyoba,@Makho Theo at least he turned down the guptas unlike mbalula who accepted going to saxonwold
1551430086161644,48:33,Mahen Pillay,sorry peter staffen my appologies
1551430091553407,48:40,Magda Seguin,"He said .8% of ,1.5 billion is R24m"
1551430106769536,48:54,Dilip Badal,"@Moira T agreed... but you have to be cautious, this is national TV"
1551430126801673,49:15,Magda Seguin,People don't listen and only hears what the want to...selective hearing
1551430154358881,49:42,makhosi nobhatyi,"Mr Nyanda was clear know what went wrong but he didn’t say much, they tried to call leadership to over and Zuma to talk about issues which affect party and nation but with deaf ears"
1551430193098175,50:21,Makho Theo,True this is it Reactive
1551430194537410,50:23,Magda Seguin,Point 8% of $1.5 billion IS R24m....check on currency converter
