timestamp,time,author,message
1604317170871529,-39:45,Gugulethu Xhosans,"Kate Hoffmeyer: ""Chair may I say something, Ms Kwinana, here I dont answer questions . I ask them"". You go gal"
1604319029655689,-8:46,Ismail Petersen,She has to go to prison including dudu miyeni
1604319244727051,-5:11,Xolani J Masemula,"taking a while this,"
1604319438379666,-1:57,MOLLY PHUNGULA,KANTI WHERE IS THE COMMISSION
1604319446248822,-1:50,LB,SA on time as always
1604319472665755,-1:23,Rahab Takalo,Board member who interfered with operational matters in a company really 🤔🤔
1604319485434068,-1:10,MOLLY PHUNGULA,UZONDO HAS GAIN WEIGHT SINCE THIS COMMISSION HAS STARTED
1604319502058853,-0:54,Uno Kapitako,AWOL....
1604319519171607,-0:37,Sir Mko,Where is SABC now?
1604319523715411,-0:32,Person of interest,@Molly Me too!
1604319554450175,-0:01,Person of interest,did the witness run away?
1604319577236014,0:06,elton van neel,a board member that asked for documents when it's given she still try to lie
1604319580890757,0:11,LB,@mvubu1234 😂
1604319614566552,0:42,MOLLY PHUNGULA,AIY YAZI THESE WITNESSES ARE CAPABLE OF RUNNING AWAY
1604319619149262,0:49,Thami Mhlomi,the witness has no clue of what is going including her representetive
1604319637901395,1:09,LB,the witness and her lawyer has no clue.
1604319639474180,1:11,thando cezula,Ulixoki lomama!
1604319661464864,1:26,Thami Mhlomi,basically !!!
1604319688923153,1:53,Rahab Takalo,is this woman a registeted CA?
1604319718095074,2:23,Thabo Daniel,the witness and her lawyer are so stupid. both they should go to jail strait
1604319718433432,2:23,melds melds,@Rahab Takalo yes!!
1604319721525048,2:25,Person of interest,@Rahab Yes
1604319769350949,3:14,roza,yoh
1604319772826618,3:15,Person of interest,ungaaz
1604319776342369,3:20,Mfundo,lol this is a joke
1604319776396667,3:20,Thami Mhlomi,"EFF leader is being blamed, but just imagine if you will be represented by this lady"
1604319786200934,3:30,MOLLY PHUNGULA,🤣🤣🤣 i don't understand
1604319788212353,3:32,Xolani J Masemula,"haaaibo anyone can just attend a board meeting,"
1604319802604775,3:48,Thabi Thabie,🤣🤣🤣🤣she doesn't understand anything...yeyi
1604319804927256,3:49,Fello Mkhize,I'm reminded of Manto SHABALALA and her drinking habits.Mama looks dr#nk a bit
1604319811923620,3:55,RC Swart,should we laugh or cry
1604319813740998,3:57,Mfundo,ayi jah jah
1604319813972252,3:57,Sherwin Peters,this witness thought she could steamroll the Hof & the DCJ. She can't handle that her planned failed...hence the dumb lies
1604319828022987,4:11,thando cezula,MOM: Thando! Where are you going?
1604319833359385,4:18,LB,and these are the people that taxpayers are forking out another 10.5Billion for
1604319834661673,4:19,Paul B,wow just wow
1604319843082472,4:26,FieliesSA,"@RC Swart We are laughing, but we should be crying"
