timestamp,time,author,message
1575375525515444,1:37,Sthakathi Khumalo,"Consent, concur x 3 & approve - Baloyi mfanakithi"
1575375583736076,2:35,Vuyisile Ngesi,what happned to the sound?
1575375614811960,3:06,Pastor J.J,Where is the SABC Tea Lady. She is the only one capable to sort this technical issues. Woza Mama
1575375779249590,5:51,Tshepo Chiloane,Volume pls
1575375798725720,6:10,anya van loggerenberg,sound so soft!!
1575375847177631,6:58,Pastor J.J,Just checked. Perfect sound on the other channels like eNCA etc.
1575375883493501,7:35,Pastor J.J,@SABC Digital News .....Pleeeeeez ask the tea lady to fix the sound.
1575376013726719,9:45,Zoli Mati,sound please
1575376102027864,11:13,wendy Rosy,Please SABC TURN UP THE SOUND. Very low at present
1575376114008640,11:25,funicanz,SOUND PLEASE
1575376121343884,11:32,Pastor J.J,@SABC Digital News ...I am sure that I read somewhere that Treasury paid you salaries last month. What now?????????
1575376186753746,12:38,Person of interest,HLLLLLAAUDIIIIII! WENA! Phone your friends there🙏
1575376193017446,12:45,Elvis Malakoane,he is starting to speak slower
1575376210425755,13:02,Abe London,enca is busy with 16 days
1575376210758929,13:02,Papzen Feya,sound please!!!!!!!
1575376291908437,14:24,funicanz,"Sound is better in ENCA, LATER GUYS."
1575376293975861,14:25,Pastor J.J,Bye all... going to eNCA
1575376329353157,15:01,Person of interest,"me too, bye"
1575376354616030,15:26,Papzen Feya,bye. enca 🚶🚶🚶🚶🚶🚶
1575376365936639,15:38,Sthakathi Khumalo,Sonibona later ke.. thina siziblomele noBaloyi haha
1575376391849578,16:03,Granit Xhaka,bbb
1575376435018824,16:47,Reinette Raubenheimer,sound?
1575376530334439,18:22,Sthakathi Khumalo,Singing names haha
1575376541850039,18:33,Sthakathi Khumalo,"I just love Baloyi shame, he is no snitch"
1575376584633843,19:16,Reinette Raubenheimer,@SABC SOUND PLEASE
1575377060405509,27:12,Trevor Faragher,Idiots never learn to check the sound!!!!!
1575377255441716,30:27,parkinology,"all these state capture felonies all have the old criminal tendency to .."" I can't remember"""
1575377293209530,31:05,parkinology,fat from all the state capture monies !
1575377302288367,31:14,Rob Weightman,Or they’re just dumb
