timestamp,time,author,message
1562156680761024,1:24,Wildthing,Yebo
1562156854068555,4:17,makhosi nobhatyi,Evidence was layed b4 you major general
1562156924201894,5:27,Tulani Tulz,molo
1562156988247769,6:32,makhosi nobhatyi,Interpretation yabhuda
1562157081914887,8:05,Thulani Bukani,sounds lovely in Zulu
1562157117204133,8:40,carnoth ngomane,Lost in translation
1562157157708713,9:20,makhosi nobhatyi,Request not report
1562157247132313,10:50,Legae Nyalungu,This interpreter is slowly becoming a Mabena
1562157268024512,11:11,Ewald Kruger,Special Needs Major. Earning R400k a year hehehehe.
1562157282563600,11:27,Khaya Nomoyi,"They must change this interpreter.Can you imagine this in a criminal case when the lawyer, proseutor and magistrte speak English and this happens."
1562157288692617,11:32,makhosi nobhatyi,Real mabena @legae nyalungu
1562157300603335,11:44,Thulani Bukani,You can hear the interpreter likes brandy
1562157333561107,12:16,PETER STAFFEN,they can always get somebody else to listen in at later stages
1562157508157985,15:11,Wildthing,look at the majors nice Gold watch
1562157523923585,15:27,Tulani Tulz,iStulo masithethe isiZulu qha
1562157564465713,16:07,clive oconnell,Nearly Gold watch
1562157592450590,16:35,Thulani Bukani,Is it not frustrating for Zondo to speak English when he can perfectly communicate with the gentleman in vernacular.
1562157627272671,17:10,Thulani Bukani,@Tulani Tulz exactly gama lam
1562157637878458,17:21,Yanela Nokhele,I find myself assisting the interpreter 😂
1562157665085378,17:48,Lee D. Hendrix,...Breach of the National Security by Presidential Authority 101
1562157673805182,17:57,Siyabonga Dladla,hahahaaha hay kodwa le interpreter yethu vandag
1562157733688409,18:57,marorazsa,I can see its one of the corrupted fat cat...
1562157793987840,19:57,Thulani Bukani,bendizbuza iSiberia ingena phi
1562157794126542,19:57,Vish Govender,SABC Focus please.Picture blurred
1562157822706048,20:26,Derek Main,@Thando Nkutha Auto-correct needs an interpreter.
1562157837695975,20:42,clive oconnell,Gives orders on Amazon translations
1562157934664848,22:17,Tulani Tulz,"Uyabonakala ukuba lixoki ne menene lomfo , uyabala qhiti."
1562157935645593,22:18,Legae Nyalungu,the interpreter needs an interpreter himself
1562157967385057,22:50,Thapelo Motabogi,😂😂😂😂
1562158006562618,23:30,Siyabonga Dladla,exactly @Legae Nyalungu I'm struggling with his broken english and Ndebele like siZulu
1562158051927602,24:15,marorazsa,Is he Xhosa or Zulu?
1562158088520842,24:52,Siyabonga Dladla,He sounds Ndebele @marorazsa
1562158099412141,25:03,Siyabonga Dladla,The interpreter I mean
1562158099451027,25:03,Sibonelo,They must just change the interrupter
1562158143138918,25:46,Dan Bourne Yeshurun,ola
1562158145671980,25:49,marorazsa,Major???
1562158166223638,26:09,Siyabonga Dladla,The Major is umZulu
1562158189069773,26:32,Ewald Kruger,😀 @Sibonelo Khumalo. Interruptor indeed.
1562158200056117,26:43,Khaya Nomoyi,They must play the audio recordings if they are not destroyed.
1562158220513664,27:04,Dan Bourne Yeshurun,reported
1562158233508282,27:17,dominic mabe,this interpreter he is too slow
1562158273763544,27:57,dominic mabe,he also forgot some of the words
1562158321830663,28:45,Dan Bourne Yeshurun,lol always dividing yourselves
1562158350997773,29:15,marorazsa,From Major I hear Xhosa mixed with isiZulu..
1562158420743270,30:24,Tulani Tulz,"uMajor makamxele u number 1, utyi'xesha ngalenjikelezo 👮"
1562158430918734,30:34,makhosi nobhatyi,Mojar General came with his father as interpreter 😂😂😂
1562158437888470,30:41,Derek Main,@Bronx Wavy Spot on
1562158559659484,32:43,FredBKevin,Senior ppl insisting on doing the discussion in a language other the English always has something to hide or cover up
1562158570170938,32:53,FredBKevin,Zuma will do his in Zulu also
1562158571656683,32:54,makhosi nobhatyi,DCJ kubo that has nothing to do with agreement
1562158610128957,33:33,Sibonelo,@FredBKevin 😂😂😂
1562158628427293,33:52,Thulani Bukani,why can't senior people speak in their native tongue Fred?
1562158662617519,34:26,FredBKevin,They can but they senior enuf to also do it in a language that all of mzansi understand
1562158668634203,34:31,Thulani Bukani,Bathabile Dlamini did it in her inquiry
1562158687708964,34:52,Sbusiso Mabura,Labantu bazdidekele nje😂
1562158694253565,34:57,FredBKevin,Yes but she is a special kind of incompetence
1562158694572001,34:57,Kevin Simon,"Zuma did not need an interpreter in parliament, or with the interview with Thuli, However, aside from another dose of flu, anything is possible."
1562158729213001,35:33,Thulani Bukani,You may be on to something because Bathabile clearly had something to hide
1562158741044651,35:44,Dan Bourne Yeshurun,she ehm.. did it for ehm... sympathy. but ehm ehm.. it failed
1562158767125829,36:10,Sofia Sofia,This one has criminal written all over him - I am judging this BOOK alrite !!!
1562158781816857,36:26,FredBKevin,He is a major general he understands English and can speak it
1562158799613437,36:43,FredBKevin,His phone is English
1562158802257266,36:45,Dan Bourne Yeshurun,people forgave BD corruptness because she has epilepsy😣
1562158838568592,37:21,Thulani Bukani,@Bronx Wavy 😂🤣😂 im dead
1562158843711995,37:26,FredBKevin,But I agree I guess it is his democratic right so be it .
1562158853935499,37:36,Nelson Musoliwa,This witness is stressed because of lies he has to sustain.
1562158898407046,38:21,marorazsa,"@nelson,... True"
1562158906429919,38:30,Sofia Sofia,AND WHY IS HE LISTENING TO HIS TRANSLATOR SO INTENSELY ?
1562158951267054,39:14,Zama Kubheka,non verbal non verbal in Zulu
1562158976592394,39:40,Nelson Musoliwa,Ask him whether he experience such a situation before of allowing private landing without note berbal
1562158978940612,39:43,Kevin Simon,Non verbal as used here is not even English
1562158981400320,39:45,Dan Bourne Yeshurun,nawn verbaly
1562159004276624,40:08,Kevin Simon,Must have Latin origins.
1562159009453513,40:13,makhosi nobhatyi,"Alright this guy can write English, Zuma was authorizes this 😳😳 I don’t know 🤷🏾‍♀️ #zuma"
1562159016942617,40:20,Sofia Sofia,This one knows exactly what he is doing !
1562159018769507,40:22,Zolani Hoza,who the f*** is this interpreter???
1562159030209478,40:33,Sofia Sofia,SNEAKY ....you know what !
1562159034121923,40:37,Dan Bourne Yeshurun,report this guy spamming please
1562159044236600,40:47,Dan Bourne Yeshurun,I did it 3 times
1562159074642643,41:18,Ibo Thabo,I did it over 2 00 times
1562159075393926,41:18,Legae Nyalungu,"The way the DCJ is dealing with the junior evidence leaders is ruthless😂😂miss September, miss Buthelezi & now this one."
1562159093541633,41:37,Nelson Musoliwa,This landing of Gupta landing is all about NO 1 as Tonny even told B Martin that they are Zuma guests
1562159117960732,42:01,makhosi nobhatyi,Hayi interpreter phandle we have people in the commission
1562159135218303,42:19,Dan Bourne Yeshurun,was he eating
1562159138945896,42:22,Thulani Bukani,I've been blocking and reporting this guy
1562159187724522,43:11,makhosi nobhatyi,🤦‍♀️😃😃😂😂@thando Nkutha
1562159194198021,43:18,Kevin Simon,"King Zuma, King Trump. Same. Must show they are in charge. Make up the rules in order to display grandiosity. cf tanks on 04 July"
1562159200459100,43:24,Zama Kubheka,lol ai inkinga le
1562159276854239,44:39,Zolani Hoza,but look at how he pronounce words ..
1562159287728434,44:51,Dan Bourne Yeshurun,SABC doesn't use moderators... shameful
1562159303102047,45:06,Nelson Musoliwa,This debacle will embarrass this country for many yrs to come; a chief military airbase like this one; mere because he is a Zulu i think
1562159306033916,45:09,Sofia Sofia,@SABC Digital News please block Cllick Here Fulll Here Fulll Heree Clickk Heree
1562159332774471,45:35,makhosi nobhatyi,Quiet interpreter the guy can hear
1562159416741644,47:00,Dan Bourne Yeshurun,interpreter must fully chew his food
1562159441697574,47:25,KEITH SINDILE DINABANTU,This guy seem to exudes some kind of Zulu/Xhosa language mix.
1562159450348764,47:33,Zama Kubheka,non verbal
1562159465642840,47:48,Dan Bourne Yeshurun,@Thando oh wow
1562159474901850,47:58,KEITH SINDILE DINABANTU,@Zama Kubheka Yeah Non-verbal LOL
1562159478175111,48:01,Zama Kubheka,izinqinamba
1562159489917770,48:13,Zama Kubheka,these ppl
1562159507207877,48:31,Mogorosi Moremedi,😂 where is the Volume?
1562159508869198,48:32,Zolani Hoza,.. loooool .. this is a joke ..
1562159531300711,48:55,Sofia Sofia,So you telling me he spoke to Van Zyl in Zulu too ?
1562159533459916,48:57,makhosi nobhatyi,I don’t trust this document should be legitimate
1562159539768227,49:03,Sofia Sofia,and everyone else
1562159556609277,49:19,Thandeka Phakathi,jeeez Zama ulimi lwezigodi alufani
1562159560497742,49:24,Sofia Sofia,Went to a Zulu School ?
1562159562446989,49:26,KEITH SINDILE DINABANTU,"@Zama Kubheka Meaning, language that uses signs, gestures to communicate meaning"
1562159563377829,49:26,Dan Bourne Yeshurun,captured translator will be called to testify next week😂
1562159607176289,50:11,Zama Kubheka,@thandeka precious ai ai ai when u are from JHB ull say izinto eziWrong
1562159617115728,50:20,KEITH SINDILE DINABANTU,@Spider Smell a rat as he was sitting on that hot seat.
1562159620510452,50:23,MJ Mogopa Keke,This interpreter 😨😨😨haaikona
1562159650870384,50:54,Mahlomola Blou,u r right spider y mare
1562159663838764,51:08,Sofia Sofia,My goodness we are just a JOKE !
1562159667317686,51:10,KEITH SINDILE DINABANTU,@MJ Mogopa Keke These guys are just here to distract
1562159693202788,51:36,Dan Bourne Yeshurun,"@spider English language is deliberate trickery. especially in courts. you must be spot on and must be aware of ""blacks law"" and etymology"
1562159719009376,52:03,Legae Nyalungu,non verbal or note verbal
1562159736669868,52:20,MJ Mogopa Keke,"This a Major in the army ,he thought by saying he needs interpreter will save him"
1562159738857318,52:22,Derek Main,note verbal
1562159770557600,52:53,Sbusiso Mabura,😂
1562159774509718,52:58,Dan Bourne Yeshurun,block
1562159806013169,53:30,KEITH SINDILE DINABANTU,@Spider I was suspicious of this guy from onset.... his echo-posture communicated some meanings to me
1562159810547847,53:34,Mahlomola Blou,mare this thing it's embarrassing to his children indeed
1562159812900924,53:37,KEITH SINDILE DINABANTU,Suspicious character
1562159883874110,54:47,KEITH SINDILE DINABANTU,"@MJ Mogopa Keke I said it from onset, this guy is here to distract, and confuse"
1562159891609132,54:55,Sbusiso Mabura,yes Thando
1562159895852702,54:59,Sofia Sofia,people ?crew?
1562159900937179,55:04,Sofia Sofia,217
1562159932971164,55:36,marorazsa,Crew!!!
1562159938135810,55:42,Sofia Sofia,@Spider - ABSOLOUTLEY !
1562159961816612,56:05,Diana Sekatane,how did he qualify as major?
1562159991761888,56:35,makhosi nobhatyi,@spider I agreed with you
1562159993801725,56:37,Nelson Musoliwa,Knowledge is power the witness leader is not enjoying her time here as is the witness
1562160003434084,56:47,Zolani Hoza,"there no such language as Zulu guys, please don't embarrass yourselves too, it's isiZulu .. yerrreee .. ingath nizezi interpreter nani yomkhonyovu ..."
1562160003953788,56:48,Khaya Nomoyi,This interpreter is killing the flow of evidence and the adv is not systematic how is she leading this evidence.Can see she is holding the documents now.
1562160017727511,57:00,Dan Bourne Yeshurun,spider that was my point
1562160020973795,57:03,Clive White,"This witness is the scapegoat as ne was a Sgt Maj and would take and execute any order from a higher rank. Even if he disagreed and in exchange he was swiftly promoted to the rank of Major,"
1562160021247164,57:03,Diana Sekatane,was he deployed to the job?
1562160050156382,57:33,Sofia Sofia,@Zolani Hoza apologies - IsiZulu
1562160071744103,57:55,Zolani Hoza,accepted ..
1562160088514042,58:12,Clive White,It is not about the language Zondo has just asked the crucial question
1562160110083491,58:33,Clive White,This is critical response
1562160153596815,59:17,Mulunghisi Mulunghisi,whose this guy
1562160168848214,59:31,Phillip Cwazibe,The interpreter is irritating die moer in.
1562160177088339,59:40,Clive White,He could not make the decision as he was new in post and would have been guided by the witness
1562160184719374,59:47,Sofia Sofia,@Rina Erasmus HE IS just being a CU*T
1562160194975668,59:58,TG Swartlane,Interpreter 🤔 he’s sometimes doing a direct translation
1562160198547657,1:00:01,Nelson Musoliwa,No doubt this guy is in Zuma train
1562160201518587,1:00:05,Zolani Hoza,".. but that Col just got there, didn't know much about the processes, they were there to assist him - he said this earlier, then why is it not applying in this matter .."
1562160219295213,1:00:21,Tsepang R,I won't be surprised if Zuma sits there and testifies in Zulu come the the 15th 😂😂
1562160222486487,1:00:26,Mahlomola Blou,how he became a senior while he can't read English or speak
1562160238600036,1:00:41,Zolani Hoza,looool .. interpreter guys ..
1562160241649872,1:00:44,Sbusiso Mabura,hey Just live the guy alone😏
1562160248531214,1:00:51,Dan Bourne Yeshurun,maybe its a dialect from Namibia😅
1562160286481516,1:01:29,Clive White,"Exactly,,he followed orders"
1562160307684897,1:01:50,Zolani Hoza,.. hiding behing the military protocol ..
1562160307757204,1:01:50,Clive White,He can give him his opinion
1562160338346704,1:02:21,Prudence Mokoena,mhhhhh!
1562160347208572,1:02:30,Clive White,NCO’s are never listened to by higher ranks.
1562160349634578,1:02:32,Dan Bourne Yeshurun,when is Zuma making his guest appearance in the gallery?
1562160394253217,1:03:17,Felix Muyoba,@Clive White what is NCOs?
1562160405213449,1:03:28,Nyasimi Geoffrey,all this south african lawyers have classes on..they must be very learned from that university called wits
1562160406211524,1:03:29,Clive White,And military officers are never listened to by politicians
1562160432576085,1:03:55,Dan Bourne Yeshurun,thank you
1562160438636991,1:04:02,Sofia Sofia,Transcript.... English ? IsiZulu ?
1562160440296123,1:04:04,Khaya Nomoyi,In the army you comply and complain later unless the order is illegal.The Col said to him the President knows about this thats why he complied as well as the email from Mr koloane.
1562160441290410,1:04:05,Clive White,Because they have their own agenda
1562160447619740,1:04:11,Sofia Sofia,He assisted the Translator LOOOL
1562160460375969,1:04:23,Nyasimi Geoffrey,transcipt is both in zulu and english
1562160464243621,1:04:27,Ibo Thabo,@Khulubuse Z why should I shut-up BUT NOT YOU?
1562160470621381,1:04:34,Zolani Hoza,.. he's been the whole evidence ..
1562160493147711,1:04:56,Dan Bourne Yeshurun,lol don't waste our time
1562160510762440,1:05:15,Derek Main,"@Felix Muyoba Non-commissioned officer eg. corporal, sergeant,sergeant-major ie. not an officer"
1562160548324569,1:05:50,Felix Muyoba,@Derek Main were you a conscript?
1562160583314204,1:06:27,Derek Main,Yes - a medic
1562160608715351,1:06:51,Clive White,"and. a WO although he is called Sir, but not saluted"
1562160633204606,1:07:16,Ibo Thabo,@Khulubuse Z why don’t you shut-up?
1562160637424614,1:07:20,Zolani Hoza,.. high security risk??????? lol lol ol o
1562160663046203,1:07:46,Clive White,This is nothing about language listen to what he is saying..
1562160675119143,1:07:57,Derek Main,@Khulubuse Z Are you THE Khulubuse Zuma?
1562160682091880,1:08:05,marorazsa,Tjjioooioo...
1562160687014710,1:08:10,Clive White,He is worried now.
1562160695022602,1:08:17,Mulunghisi Mulunghisi,"what position for this guy, and name guys"
1562160716213941,1:08:39,Kevin Simon,Hmmm. is this a gotcha moment?
1562160719837970,1:08:42,clive Mukwangwanura,@Clive White true
1562160728776316,1:08:51,Clive White,It could be.
1562160757190821,1:09:20,Rina Erasmus,"Why appoint someone in a senior position if he can't speak English? Did he always used an interpreter when communicating with people from foreign countries by phone, by email and in person? AMAZING!!"
1562160769519530,1:09:33,Derek Main,"@@Khulubuse Z In that case, have you paid the Aurora workers yet?"
1562160771886301,1:09:35,Tulani Tulz,lol
1562160797120815,1:10:01,Kevin Simon,Now he doesn't need the interpreter.
1562160813802294,1:10:17,Clive White,It does not matter
1562160832883690,1:10:36,Sandile Mkhonto,Interpreter is doing the worse
1562160837597890,1:10:40,Zolani Hoza,.. he is so eager to deny ..
1562160848835489,1:10:52,Derek Main,@@Khulubuse Z OK - when's the big day?
1562160852205025,1:10:55,Tulani Tulz,zondo: ndikufumene😂
1562160854324665,1:10:57,Legae Nyalungu,deny deny deny
1562160868740374,1:11:12,Zolani Hoza,forgot even the fact that he doesn't understand english ..
1562160895293110,1:11:38,Derek Main,"@@Khulubuse Z The problem is, when you tell Zondo, you tell everybody."
1562160897291100,1:11:40,Zolani Hoza,.. guys there's a problem ..
1562160916949113,1:12:00,Nyasimi Geoffrey,deny Deeeeeeennnnnnyyyyyyyyyy
1562160919122181,1:12:02,Prudence Mokoena,😂
1562160922889531,1:12:06,TG Swartlane,😂🤣🤣😂😂
1562160930705702,1:12:14,TG Swartlane,This guy
1562160931743806,1:12:15,Clive White,The transcript has been falsified
1562160941749656,1:12:25,Kevin Simon,Statement was a lie or transcription wrong.
1562160948734085,1:12:32,Zolani Hoza,... lolololololool ... noooooo
1562161010530092,1:13:33,Clive White,Could be
1562161015484726,1:13:38,marorazsa,He is not answerin
1562161041223933,1:14:04,MJ Mogopa Keke,Is he saying the inquiry transcript is wrong?
1562161053436276,1:14:17,Zolani Hoza,.. yaz i thought this guy was smart .. i give up .. you are on your own bhuti ..
1562161100123243,1:15:03,Tulani Tulz,lixoki lomfo 😂😂😂
1562161119472179,1:15:22,Prudence Mokoena,😂 Jehofa!🙊
1562161130809671,1:15:34,Zolani Hoza,.. hands off translator ..
1562161148707396,1:15:51,KEITH SINDILE DINABANTU,LOL. This is a joke!
1562161156118290,1:15:58,Legae Nyalungu,third force😰isandla sesithathu
1562161160751530,1:16:04,Nyasimi Geoffrey,Hosia Modiga Please some respect
1562161162625833,1:16:05,Nyasimi Geoffrey,please
1562161163721836,1:16:06,KEITH SINDILE DINABANTU,@Hosia Modiga LOL
1562161164782556,1:16:07,jose billa,"this guy is,playing time, I wonder what will happen if he lies, denys and lies..."
1562161172470468,1:16:16,Kevin Simon,"It's easy, get the tapes.."
1562161193229943,1:16:36,Khaya Nomoyi,"Right judge,he is denying now although he said Col Andriecks said the President knows about this thats when he complied with the order."
1562161198905602,1:16:42,KEITH SINDILE DINABANTU,@jose billa hE PLANNED THIS! They will laugh after this!
1562161218444081,1:17:02,Nyasimi Geoffrey,Telephonically
1562161243854082,1:17:27,marorazsa,What did you Major.
1562161253550207,1:17:37,jose billa,"Yes , there should be tapes, he can just get away with this"
1562161254944562,1:17:38,Tulani Tulz,Hayi noba ngunyana ka ka number 1 lo andimqhondi 😂😂😂
1562161259370401,1:17:42,Phillip Cwazibe,@Hosia Modiga I agree with you. You can hear from his pronunciation. This interpreter is just not speaking isiZulu as he should do.
