timestamp,time,author,message
1567584198584620,3:29,Brian Ndlovu,...
1567584312647986,5:23,Sir Dini Yalezo,SABC why you late when we about to hear abt your corruption 🤔
1567584531620637,9:02,Jacqui Baumgardt,have we started yet?
1567584753614652,12:44,Donnex Vuma,send them all corruption people to jail
1567584802971754,13:33,Born free,This is taking forever.. I am going to watch The Ndlovu Youth Choir on America's got Talent.. they are amazing and in the Finals.
1567584832899065,14:03,Baby Smither,foreigners refuse to leave our land so what do you say?
1567584835808144,14:06,Keith Hodgson,After more than 12 months you would expect them to have achieved some consistency in document numbering and presentation such as font size etc.
1567584909345617,15:20,Born free,I say if foreigners can start small businesses.. why can't black South Africans do the same or is it because they are too lazy?
1567584968033087,16:18,William Pieters,@Yin Yang thank you for been so aware.
1567584985824552,16:36,Derrick saperstein,"BORN FREE, I agree with you completely."
1567585190104373,20:00,adrian albertyn,all foreigners dont start businesses
1567585202160919,20:12,Born free,Have you ever noticed the difference in service between foreign Africans and African South Africans. There is an enormous difference in their attitude.
1567585274735514,21:25,Born free,It's an excuse to loot driven on by that mad hatter.. Malema and BLF
1567585320138597,22:11,Instablogspain,💔💔
1567585487551843,24:58,adrian albertyn,they dont pay tax and sell expired goods that is crooked acumen
1567585492139266,25:02,Born free,The LOCALS want everything for nothing that's why they loot and steal and are a problem that must be dealt with quickly.
1567585530896601,25:41,Born free,Not all of them
1567585585830241,26:36,Born free,No-one is forced to buy drugs or expired goods.
1567585626832423,27:17,Antonie Engelbrecht,zondo backing off
1567585671532146,28:02,Henry Mayambu,But the sad thing is that the looting of shops affects not only foreigners but also the local South African who will lose their jobs as a result. The standard of living for all is affected sadly.
1567585695762630,28:26,Lehlohonolo Mohapi,If you are a foreigner in South Africa and you are not happy with anything. How about you go back to where you are from! nobody is forcing you all to stay
1567585699911531,28:30,Raymond Montshusi,The looters must take out their frustration on the government and leave the foreigners alone
1567585731020322,29:00,Sithembile Dodo,Zondo 🤔
1567585741508198,29:12,John New-world,"@Henry Muyambu, I agree with you."
1567585763058358,29:33,Jack Sparrow,xenophobia is the brother of racism
1567585764315747,29:34,adrian albertyn,loot the government
1567585801971140,30:13,Born free,It's the Locals that have the problem.
1567585812244512,30:23,Kudzanayi Muhlanga,Shame on you all South Africans.
1567585845704352,30:55,Cerebis,@adrian albertyn Too late....the ANC has already done that!🤔🤔🤔😎😎
1567585887216331,31:38,Henry Mayambu,@Jack Sparrow I agree with you. Objectively we should all condemn xenophobia the way we condemn racism.
1567585888664094,31:39,Born free,Target the ANC government for they should be held accountable for everything that has gone wrong.
1567585915787123,32:06,Raymond Montshusi,The Anc Gov never bothered to get foreigners documented since the dawn of our democracy and it is coming back to bite them
1567585962283781,32:52,Born free,Then target Government buildings.
1567585984983836,33:16,king Fazan Ajo,"Pieter willem Botha, was a former president of south Africa."
1567585989386918,33:20,Efrme Buruks,Thanks
1567585997828454,33:29,Ben Bardis,Xenophobia is criminal and barbaric. This act of looting can turn to be a serious curse on South African land
1567586002290866,33:31,Cerebis,@Born free That you as a taxpayer pay for?
1567586119500548,35:30,Antonie Engelbrecht,zondo showing true colours
1567586126326580,35:37,Sipho,Go debate in closed room
1567586140338209,35:51,Yolo More,what is this now?
1567586142906242,35:53,Cassius Mngomezulu,Zondo captured
1567586158815268,36:09,SGee373,"ms Norman, please satisfy the judge, asb tog!"
1567586168162664,36:19,Thami Ngwenya,"Nigerians are mad, not only them were affected. ALSO Shoprite is paying tax incl MTN"
1567586174407328,36:25,Raymond Montshusi,Let us go and loot Luthuli House. Anc made all kinds of problems for our lovely country
1567586189286275,36:40,Cerebis,What is the DCJ doing now? This whole argument is stupid and destroying the commission's reputation???
1567586191239443,36:42,Born free,Malema is behind the attacks on foreigners.
1567586201646351,36:52,Henry Mayambu,If Nigerian are doing that they are equally wrong to target innocent business organisations in their country.
1567586213904095,37:05,Sithembile Dodo,but I understand Zondo's point
1567586242053181,37:33,mpho Nkwinika,"with regards to the foreign nationals, black south africans are not given the same opportunity as the foreign nationals. I stand against xenophobia."
1567586262692076,37:53,Cerebis,That is why the DCJ has a chamber...go there for that type of discussion?
1567586275951348,38:06,Kevin Simon,Wonder what got under DCJ's skin. I'm sure someone has been agitating and he needed to clear up his authority.
1567586316490722,38:47,Born free,He has to be sworn in and take the oath.
1567586421476861,40:32,Raymond Montshusi,Xenophobia is a serious sickness entrenched by apartheid regime. I can't believe that black on black violence is still rife in 2019 ANC failed the people
1567586464019601,41:15,Ben Bardis,"The situation in South Africa ,in short calls for repentance ,forgiveness and lovely reconciliation from both South Africans and other Nationals"
1567586503878106,41:54,jasper dougal,"They should have addressed all of this in Zondo’s chambers , very unprofessional"
1567586575209873,43:06,Henry Mayambu,"We are all Africans. People try to make it in life by coming to RSA. If they follow the law of the land, I feel we should coexist as human beings."
1567586608556030,43:39,Pastor J.J,Sadly the mentality of violence and stealing will continue even in the absence of foreigners. Foreigners are currently an excuse for these violent tendencies.Lets not be fooled. Very sad situation
1567586637721893,44:08,Cerebis,"@Henry Mayambu I agree, but most do not follow the laws."
1567586648917904,44:19,Born free,They left because they had fake resumes
1567586649383680,44:19,Lorna Kavanagh,Xenophobia is a CRIME AGAINST HUMANITY fellow South Africans!
1567586681439878,44:52,Cerebis,@Pastor J 🙏🙏🙏👏👏👏 Agree...Sad
1567586725464120,45:35,Born free,Xenophobia has always existed and especially Tribal and Religion.
1567586761892161,46:12,Born free,You could be right 👉
1567586769460612,46:20,samuel nkone,f
1567586793906185,46:45,adrian albertyn,what is the difference between xenophobia and apartheid
1567586812110779,47:03,Pastor J.J,@king Fazan Ajo Your chat is going somewhere that is unpleasant and uneccassary and sometimes painful
1567586825155883,47:15,Modise Modukanele,"INNOCENT foreigners are suffering because of their fellow brothers who are busy filling our streets with DRUGS, FAKE SALONS ."
1567586851689804,47:42,Henry Mayambu,"In line with @Pastor J 's view, looting is done for a wrong. It will be better to address the really problem now before the situation gets out of hand."
1567586915434359,48:46,Danny Kamalondo,why are you killing our people in Zambia.. we also will chase your companies and your people by force.
