timestamp,time,author,message
1554450883897198,-11:09,Ricus Ellis,"Corruption is the most heinous and spineless crime imaginable. Only the weak of mind participates in it. Greed, brainless, wrongfully empowered and selfishness are the main drivers of this act."
1554451028880913,-8:44,Magda Seguin,The ANC is self destructing yet the brainwashed will still vote for them.
1554451136365957,-6:56,Ricus Ellis,"Isn't it time to brand, judge and sentence individuals guilty of Corruption in the same way as we judge murderers, rapists of woman and children, human traffickers, drug traffickers, etc, crime."
1554451178390028,-6:14,Ricus Ellis,Because they steal money from institutions that is meant to curb these crimes.
1554451247527110,-5:05,Dams daily motivations Madamalala,vote ANC COMES may 8
1554451295863300,-4:17,Nkululeko Mdluli,"Today it's probably going to be one of the most embarrassing days for the ANC,watch this space."
1554451298321985,-4:15,Abel Manyedi,mrng guys... my watch says 10
1554451320413229,-3:52,Desmond Masilela,Mine says 10 as well.
1554451328198110,-3:45,Desmond Masilela,Zondo is late again
1554451350242028,-3:23,Dams daily motivations Madamalala,People who do not have plan for themselves have the guts to blame other State capture was introduced to help blacks to
1554451355695941,-3:17,Desmond Masilela,SABC take us live please.
1554451388832274,-2:44,steven chisa,I think zondo even in school he was always late
1554451407984430,-2:25,Desmond Masilela,SABC take us live so we can sort out the sound and the stream before Zondo get in.
1554451412382679,-2:20,Abel Manyedi,@Nkululeko Mdluli yes definitely with Mr 10 in d middle or is it 10%
1554451412464064,-2:20,dineo dikobo,is zondo late or am i late
1554451463237143,-1:30,Abel Manyedi,nw I knw y his nickname is Ace😀😉😀
1554451470470225,-1:22,kenneth mampa,Rea lotsha ma Africa
1554451476568224,-1:16,Thulani Bukani,Manje? Zishaphi? ⏰
1554451484726721,-1:08,John Fagan,stay safe on the roads
1554451548881980,-0:04,kenneth mampa,we need to start deducting mny of being late everyday from Zondo 's salary/wage
1554451571509218,0:07,Dams daily motivations Madamalala,To Run the Country now we have a Donald J Trump as A Real estate guy running the state & SA Cyril Remember politians are Greedy Not Trump & Cyril if You do not have Rich dad mindset you'll steal
1554451639324223,1:15,PETER STAFFEN,SABC turn up the volume
1554451679894474,1:56,lucky Molepo,who is on stand today
1554451710736865,2:27,Vijay Sharma,me i hallp you
1554451712790756,2:29,Thulani Bukani,"If South Africans voted for individuals to go to parliament instead of voting for parties, and then parties deploy to parliament. How many top ANC guys would make it into cabinet?"
1554451717191774,2:33,dineo dikobo,man in grey hair
1554451718261183,2:34,Desmond Masilela,Ace Magashule will be exposed today
1554451734599446,2:50,Ozzy Ozzy,THE MEC LOOKS READY TO FIRE HAHA
1554451749173050,3:05,carnoth ngomane,@Ntombethemba Manase FORMER FREE STATE MEC MR DUKWANA
1554451752922414,3:09,kenneth mampa,yebo
1554451777095558,3:33,lucky Molepo,@Desmond Masilela is Ace today?
1554451801546326,3:57,Ntombethemba Manase,Hebanna!
1554451809258295,4:05,Ozzy Ozzy,Ace took him to the Gupta's house haha lol
1554451820621128,4:16,lucky Molepo,@SABC Digital News lena le drama maan
1554451845403700,4:41,Desmond Masilela,@lucky Molepo. No former MEC of Free state.
1554451865286185,5:01,carnoth ngomane,The big fish will be taken out of fresh waters today
1554451882685996,5:18,Ishaad Mohammed,you mean to tell me that the apology could not wait until later - Eish drama queens I tell you 😃
1554451912899264,5:49,carnoth ngomane,@Ishaad Mohammed thats SABC AT ITS BEST
1554451921978619,5:58,lucky Molepo,thanks@Desmond Masilela
1554451938443114,6:14,Desmond Masilela,@lucky Molepo. Remember Ace Magashele fire this MEC because he refuse to take offer from Gupta.
