timestamp,time,author,message
1602069878655680,-49:49,Michael Michael,is lunch time??
1602070119021493,-45:48,rohan barnard,"@Michael Michael yes, we will resume at 2"
1602070336303436,-42:11,Naledi Barron,And NO @rohan barnard. Not stalking you ffs! Gone for the rest of the day. Got to exercise some horses down in the Rescue Farm...
1602070919308909,-32:28,wim louw,"@Paul Buchel If you're watching, and a music lover as I believe you are, honour the SA musos that have passed on.... Hugh Masekele, Ray Phiri, Johnny Glegg, Mahlatini(and the Queens), Piet Botha.."
1602071054310236,-30:13,wim louw,"..Brian Finch, Kenny Henson.... MUSIC, the only unifier"
1602071408952826,-24:18,wim louw,"A personal favorite... Lucky Dube. my Homeboy. Madadeni, the TOWNSHIP outside Newcastle, only to be gunned down in Jozi. Why ?????"
1602071971427203,-14:56,rohan barnard,"one minute to go, if the buffet isn't fabulously delicious again 😛"
1602072085596219,-13:02,MOLLY PHUNGULA,patiently waiting for uDOKOTELA
1602072239196445,-10:28,Sibusiso Kubeka,concerned about the ability of comprehension in the Doctors side. maybe it's English? but meetings are conducted in English in these boards. the quality of such candidates! No wonder we have such SOE-
1602072330712839,-8:56,SanFran Arnold,@wim louw don't forget Ma Brrrr. She was cool. Remember dancing like no tomorrow to her.
1602072331002387,-8:56,rohan barnard,"And it is confirmed, the buffet is beyond amazing 😀"
1602072378001196,-8:09,SanFran Arnold,@rohan barnard it was both KFC and Mc Donalds 😁
1602072460200944,-6:47,Danie Nilsen,curry braun cheese spinich with raeybread and english mustard
1602072513591369,-5:54,Thobani Mkananda,❤👋🏼
1602072564786778,-5:02,wim louw,@SanFran Arnold So you do have roots!!😄 Never doubted😘 you
1602072583190944,-4:44,rohan barnard,@SanFran Arnold and a cup of coffee at Melrose Arch 😅
1602072596216771,-4:31,Danie Nilsen,yip
1602072622921733,-4:04,rohan barnard,Or Dr. Baloyi was poisoned 🤷‍♂️
1602072635690803,-3:51,Yolo More,@Thobani Mkananda I haven't seen Handsome Boy and I am not happy.
1602072666254967,-3:21,Sal SA,Dr Baloyi fell asleep:goodvibes:
1602072688773249,-2:58,Danie Nilsen,hope he did not go to KFC with a carolla
1602072693749232,-2:53,ALTA,hello daar
1602072709220438,-2:38,Danie Nilsen,hiho alta
1602072726405205,-2:21,Smart Guys,Have they started?
1602072734336047,-2:13,Mike Moja,what's happening now?
1602072738741138,-2:08,Danie Nilsen,nope
1602072742718934,-2:04,Andre Gerber,Eet hule nog
1602072754498120,-1:53,rohan barnard,Hi @ALTA
1602072770049590,-1:37,Smart Guys,Thanks Danie
1602072787079713,-1:20,rohan barnard,@Smart Guys not yet. we are all waiting in anticipation. maybe SABC ran out of data
1602072798535151,-1:09,mafuta,the big guy is finishing off with ice cream and chocolate sauce.
1602072801550207,-1:06,Simmy Ndlovu,hope all is okay it's 2:PM
1602072803148142,-1:04,Thobani Mkananda,@Yolo More 😂🤣🤣 Please don't start with your handsome boy again. He is barred from this forum. Find him in other forums @Naledi Barron I wasn't lying about keeping this community a safe space
1602072817656297,-0:49,ALTA,hallo danie... lekker geeet
1602072835373717,-0:32,rohan barnard,@Yolo More I miss 🦌😅
1602072849687972,-0:17,wim louw,"@SanFran Arnold Bianca, as jy ma' die toppie geken het in sy'se youth! Djy sou geskok gewies et!❤"
1602072858633702,-0:09,ALTA,rohan..... making malvapudding noe
1602072861458183,-0:06,Sal SA,@Smart Guys. Yes they started but it's on silent mode:goodvibes:Actually was due to start at 2. ate
1602072881706010,0:02,rohan barnard,@ALTA yesssss!!!
1602072887436995,0:07,SanFran Arnold,@wim louw I have no doubt😘
1602072889555184,0:10,Thobani Mkananda,"The former VBS CFO, a chartered accountant by profession is effectively sentenced to at least 7 years behind bars 👏🏽👏🏽👏🏽"
1602072902183322,0:23,Yolo More,@Thobani Mkananda 🤣😝. 👐👐
1602072912257263,0:33,rohan barnard,All aboard! The ship is about to go down!
1602072924471542,0:45,Smart Guys,let get going
1602072926052984,0:46,rohan barnard,"voice, not nose"
1602072929610413,0:48,ALTA,hi sal sa
1602072931397371,0:50,David Zondo,back at last
1602072934368991,0:51,Simmy Ndlovu,"@Thobani,I saw that..2020 lol"
1602072935115470,0:52,Yolo More,@rohan barnard 🤣you and goat
1602072959756127,1:19,Blake Yogi,Now Seleka is the one telling others to raise their voices:elbowcough:
1602072968245209,1:28,Mangalani Mangalani,@Thobani Mkananda Phillip is not a CA(SA). He only has Bcom Accounting
1602072973130543,1:34,ALTA,rohan... only have a tin of cream but it will do😁😁
1602072976495351,1:35,rohan barnard,@Yolo More goat is blocked now 🤣🤣🤣
1602072989523280,1:49,DaMtho Vele,What is Baloi's full name?
1602072991787898,1:51,wim louw,@SanFran Arnold Nie te se ek's orie murie!!
1602073009166051,2:09,rohan barnard,@ALTA I only have one block of chocolate left 🙄 I am without snacks now 🤣
1602073042998730,2:44,Andre Gerber,Norman Baloyi
1602073049387470,2:51,DaMtho Vele,Thanks
1602073107930603,3:47,ALTA,naledi g+t 😉😉
1602073144862759,4:25,SanFran Arnold,@wim louw glad nie
1602073159550109,4:40,Cerebis,Free State ANCYL (EFF?) defends Ace Magashule as NPA closes in. Hope this is real and not fake news!?
1602073236507591,5:56,Andre Gerber,Ace said he knows they coming or him. It's going to be Hollywood style
1602073308784602,7:09,Chris Jela,maghshule mst go to jail plz
1602073355846272,7:55,ALTA,rohan.... niknacks😁😁😁
1602073356423027,7:56,Thobani Mkananda,"""The used the word 'unfitted"" Mr. Baloyi"
1602073363387530,8:04,Tshepo Shakes Mere,hi
1602073372888367,8:13,Tshepo Shakes Mere,what is this about
