timestamp,time,author,message
1602242260979371,-53:44,rohan barnard,"In closing argument, the counsel for the plaintiffs, Advocate Carol Steinberg, said during her time at SAA, Ms Myeni blocked, delayed and obstructed important initiatives to turn the airline around."
1602242262287460,-53:42,rohan barnard,She broke the law and flouted basic governance principles
1602242324990551,-52:40,rohan barnard,Myeni is a major POI
1602242454153868,-50:31,rohan barnard,"When I look at the face of DCJ, I see honesty, integrity, fairness, stubbornness, love for the country, love for his fellow citizens and a force to be reckoned with. Silent, but violent."
1602242673467658,-46:51,Nemabubuni Geoffrey,SIU is working hard at least... Masuku has been found controversial with the PFMA and the premier discharged him from the office
1602242682711587,-46:42,FieliesSA,and now?
1602242858907316,-43:46,Xolani J Masemula,I can't get enough of the DCJ just flat out laughing that time🤣🤣
1602242889548309,-43:15,Rasheed Ally,As a Judge he should have known he is illegally appointed by Mogoeng.Constitution Law clearly states only a President appoints a Commissioner ? He is a hired gun .
1602243109745387,-39:35,Rasheed Ally,Why Mantashe Zizi Kodwa & Agrizzi &not Andile Ramaphosa who admitted accepting corruption millions . After caught lying Mentor &Jonas withdrew their evidence .why?
1602243188783261,-38:16,Salmaan Abrahams,Perhaps they made deals with the state
1602243220416432,-37:44,Salmaan Abrahams,npa can make deals with a criminal to rat out bigger fish
1602243307283926,-36:17,Salmaan Abrahams,These agendas we are being fed ...one has to apply mind to determine for ourselves
1602245340733314,-2:24,bongile sango,DCJ didn't he said they coming back @14:00pm?
1602245449486290,-0:35,ALTA,bongile.... lunch maybe lekker 😁
1602245498537692,0:03,Xolani J Masemula,"Staring to wonder if it's not SABC,"
1602245505032222,0:09,Andre Gerber,wonder wat hulle eet @ALTA
1602245540488418,0:44,rohan barnard,"When I look at the face of DCJ, I see honesty, integrity, fairness, stubbornness, love for the country, love for his fellow citizens and a force to be reckoned with. Silent, but violent."
1602245543715841,0:47,ALTA,andre nie n toebroodjie nie
1602245563971850,1:07,rohan barnard,@Andre Gerber eisbein en chips
1602245593108220,1:37,Andre Gerber,"solank dit nie ""curry"" is nie"
1602245615977111,1:59,rohan barnard,@Andre Gerber gekook in die Gupta pot 😅
1602245646406009,2:30,Andre Gerber,@rohan barnard 😂😂😂😂😂😂😂
1602245694524724,3:18,Andre Gerber,"so gepraat van ""curry"". wie weet wat Bunny Chow is"
1602245698809965,3:22,ALTA,rohan agree i have respect for DCJ
1602245702258919,3:26,Blake Yogi,"Confess baba. With each lie, you are shinning more and more:elbowcough:"
1602245729549676,3:52,ALTA,ek weet andre is flippen lekker
1602245731085957,3:54,rohan barnard,@Andre Gerber halwe brood gevul met bess/lam/hoender curry. Baie lekker. Ek maak dit gereeld vy die huis
1602245758485708,4:22,Elvis Malakoane,public protector has just kissed the grass again in Western cape high court interdict application
1602245763625954,4:27,rohan barnard,my typing skills is nou net so sleg soos dudu se waarheid
1602245766298724,4:29,ALTA,brood gevul met kerrievleis yummy
1602245791237473,4:54,Andre Gerber,wel hier in kleine Gansbaai het ons 1 take away wat dit nog die Durban manier maak
1602245793150671,4:56,ALTA,rohan 🤣🤣
1602245798488810,5:01,rohan barnard,@ALTA and it needs to be SAUCY!
1602245837112556,5:40,Andre Gerber,ek koop elke 2 saterdag aand vir ete
1602245839623304,5:43,ALTA,oeeeee en Durban se bunnychows was die lekkerste
1602245855845620,6:00,Rox,hahaha @Alta
1602245873560478,6:17,ALTA,en n Gatsby lekkkkerrr
1602245879589216,6:23,Naledi Barron,Ek's terug.
1602245880912415,6:24,Rox,lol @Elvis
1602245904780969,6:48,ALTA,halloooo naledi
1602245922252673,7:05,Rox,"come Monday, "" the country will ungovernable "" we are told by clowns supporting Zuma"
1602245922357562,7:05,Andre Gerber,dieselfde take away maak Gatsby's ook
1602245939053126,7:22,Elvis Malakoane,Rox that lady must be having nightmares about judges by now
1602245962773513,7:46,Naledi Barron,"Haloooo @ALTA Sorry, had to buy groceries for the cat and guinea fowl."
1602245968523258,7:52,ALTA,andre.... regtig?
1602245999124099,8:22,ALTA,naledi 😘
1602246008359737,8:32,Blake Yogi,Well said chair. This man is top notch🤸‍♂️🤸‍♂️🤸‍♂️
1602246009781541,8:33,rohan barnard,@Rox those zuma rats are paid to support him 🙄
1602246012153980,8:36,Andre Gerber,ja hulle Indian van Durban
1602246022775986,8:46,Rox,@Elvis unfortunately those ANC clowns at Parliament will reject her impeachment...
1602246029706528,8:52,Naledi Barron,Any news on Ace's arrest? Latest news here says that he's happy to cooperate.
1602246041059919,9:04,Solly Makola,Rox watch the space zuma is playing
1602246041489439,9:05,Rox,🤣🤣@Rohan
1602246063250545,9:27,Andre Gerber,@Rox want to see how many end up arrested
1602246078614694,9:41,ALTA,andre net Durban kan wragtig lekker curry maak
1602246079207135,9:42,roza,yes chair even sars was 1 of the best
1602246091247980,9:55,Christopher Peters,because of apartheid they would say.
1602246092887923,9:56,Elvis Malakoane,"Rox I hope not because she is in a corner now, she messed up that office"
1602246098843356,10:02,Solly Makola,yes rohan they can even listen to each other
1602246103989917,10:07,Rox,Actualy it would be nice to have Mogoeng Mogoeng Mogoeng on that seat questioning him
1602246106574095,10:09,rohan barnard,@Naledi Barron nothing new that I heard of on Ace Mieliepap
1602246108012210,10:11,fuzile dazana,goodmorning fellow south africans
1602246109916520,10:12,Naledi Barron,@Roza essack Yes! Pravin Gordhan was the best thing to happen for SARS.
1602246139358426,10:42,Naledi Barron,Heya @fuzile dazana Grab your coffee.
1602246154447431,10:58,Rahab Takalo,"once powerful premier league is now crambling, each must face the music😎😎😎"
1602246154905109,10:58,Andre Gerber,@ALTA my tiener jare daar groot geword. was in Pinetown op skool
1602246163940312,11:08,Naledi Barron,Thanks @rohan barnard x
1602246164356117,11:08,fuzile dazana,how are we
1602246178742389,11:22,Christopher Peters,Saleka the Chair has promised his wife. maak klaar.
1602246184786199,11:27,fuzile dazana,just come in watch happening
1602246188260571,11:32,roza,we hope nd pray that everything will be what it was
1602246189150808,11:33,Solly Makola,yebo naledi
1602246210693336,11:53,ALTA,andre ek in Bloemfontein in einice nonneskool
1602246211157120,11:54,Hlagala Masetlale,@Rox the clowns supporting Zuma are just crowd for hire and remnants of the Guptas
1602246224030350,12:07,Naledi Barron,"Heya @Solly Makola Hot chocolate and rum, or coffee and Amarula! Name your poisen! 😀"
1602246234985528,12:18,Rox,Hahahah @Hlagala
1602246248301312,12:31,Christopher Peters,@Roza essack Mr Tsotsi finds out today that Eskom was capture while he was at the helm.
1602246264571981,12:48,Rox,Tsotsi was a regular guest at the presidential house it seems
1602246269275859,12:52,Pastor J.J,@Roza essack That will be a very long and deep prayer unfortunately. But pray we must
1602246278077718,13:02,Solly Makola,cant wait for the Hawks to catch the big fish mr big head zupta
1602246284613333,13:08,Elvis Malakoane,"Anne M That is so, Ace is like a tombstone wherever he is something is dead or about to die"
1602246285045191,13:08,roza,i still remem when foreign entities wanted to follow sars example
1602246300013712,13:23,Andre Gerber,Zuma must be paying the hooligans from hidden Libian money
1602246302128702,13:26,Naledi Barron,@Pastor J.J GTSY my dear!! You have your weekend reading ready??
1602246310520153,13:34,roza,Pastor we can only hope nd pray
1602246323242511,13:48,mafuta,Yebo Solly. Baba butternut
1602246330117086,13:53,hirsitus,uBaba likes tsotsis mos
1602246345442296,14:08,Rox,"Hahahah DCJ had a memory card on his head, ngeke"
1602246352222013,14:16,Solly Makola,mafuta😂😂😂😂
1602246363907488,14:27,Pastor J.J,@Naledi Barron I certainly do My Dearest one. Let the weather Gods be kind enough to allow me to do it in the garden
1602246372431282,14:35,Naledi Barron,@Rox I absolutely adore the DCJ. He is sharper than any knife!!
1602246375417514,14:38,Rahab Takalo,@mafuta respect the elders😆😆😆😆😆
1602246377559924,14:41,Kopz Koape,old tymer
1602246378921151,14:42,Maboko S,100GB for that matter🤣🤣🤣
1602246387438097,14:51,Rox,indeed @Naledi
1602246400781844,15:04,Rox,hahahah @Maboko
1602246409458636,15:13,roza,i dont understand how people can fight nd strike when these crooks are stealing
1602246432387341,15:36,Christopher Peters,Can nogal see Zondo and Tsotsi having a port and cigar infront of fireplace.
1602246434844842,15:39,Elvis Malakoane,"Rox true, I am sure I can be mad, I can't remember my ID numbers"
1602246442926277,15:46,Naledi Barron,"@Pastor J.J It's nat en koud hierdie kant, so I think that all my lovely Saffers will see sunshine this weekend!"
1602246443894000,15:47,Siyanda Senti,"selective amnesia ,ndzeku vibes 😅"
