timestamp,time,author,message
1599652043253424,-44:49,Noah Kids,mhhhhhhhh
1599653088023520,-27:24,Abanob Boba,will they talk about international flights ?
1599653926799539,-13:25,Leonie Du preez,i am confused😂😂
1599654138227566,-9:54,Jongi Cayalli,can anyone plz call Ta Z lunch time is over now
1599654696934281,-0:35,Tlome Pebane,zondo wee
1599654885912146,2:18,Thabang Ntuli,zondo
1599654890482039,2:23,Leonie Du preez,ai man when this thing gonan start?
1599654898000019,2:30,Waterbearer,We need an Inquiry launched on the Zondo Commission’s time keeping
1599654913666293,2:46,Mathapelo Mokadi,"Hey guys they taking long lunch now, and 2021 is hear they must get done with this inquiry"
1599654962689052,3:36,Mathapelo Mokadi,Only 6 months left
1599654984110521,3:57,GB,but things are heating up....
1599655031013623,4:44,꧁༒ Wolfy Cs SniperEye ༒꧂,​@Abanob Boba I read intermenstrual flights 🤣
1599655106699171,5:59,martin bekker,onthou hulle eet n vyfgang maaltyd. dis hoekom middagete so lank neem.haha
1599655128740391,6:22,Mr L,what time is the commission resuming?
1599655140155234,6:33,Mathapelo Mokadi,"And they must not request another extension is too much now , they must concentrate on the rest now tjooo we tired , they've been eating MUTTON is time for them to go to JAIL wear new uniform"
1599655274366989,8:46,martin bekker,"dalk n lekker ""knap"" before starting the afternoon ""show"""
1599655295975822,9:08,Mathapelo Mokadi,Indeed Betty things are heating up now
1599655341654405,9:53,martin bekker,uiteindelik..enjoy.
1599655403738932,10:56,gororo14,This is just an inquiry nothing will be done
1599655457989112,11:50,GB,Indeed @ Mathapelo Mokadi. Eskom this week. wonder who's in for a grilling tomorrow..
1599655546586498,13:20,Mathapelo Mokadi,"Gororo that's what we know , but they paving way for NPA to do the arrest and go to court , not the inquiry"
1599655612629284,14:26,GB,Mr Tsotsi sure is connected! All the big names...
1599655673187130,15:26,Mathapelo Mokadi,"@ Betty , Mr Tsotsi was supposed to end today at 11 , @ at 2 they were supposed to come another so it means will see tomorrow"
1599655738174109,16:31,Thibos Mahoana,2020 the year of all trueths
1599655752634413,16:47,GB,ok @Mathapelo. looking forward to the grilling of these crooks who have harmed us
1599655760248108,16:53,Lina Joel,/
1599655901720870,19:15,Siyabonga Ncube,"This is worrying, wonder who is innocent here, surely if there are innocent too, this should not have got to be heard on this platform. an alarm could have been raised then"
1599656106693273,22:39,Jongi Cayalli,12:37am eskom meeting🤔🤔🤔
1599656169942133,23:43,S V 1,Tsotsi never once asked the minister why executives who have done nothing wrong had to be suspended ..fishy ?
1599656194351352,24:07,Frank Jordaan,Jongi looks like all the shenanigans at Escom took place late at night.
1599656253933070,25:06,Jongi Cayalli,something r
1599656258010212,25:11,Ruvi P001,it is strange 🤔
1599656260118843,25:13,Thembhani Hlayisani,I wish he can tell the DCJ why did they meet at midnight.
1599656280178698,25:34,Jongi Cayalli,something really was fishy in that meeting
1599656315418969,26:10,Wesley M,"is it Romeo khumalo from back in the day, Metro fm?"
1599656348746293,26:41,Frank Jordaan,The decision on the prepayment of R600m to the Guptas also took place late at night
1599656363015886,26:56,Thembhani Hlayisani,I have a strong feeling that he is also not dishing out everything that transpired at the meetings.
1599656384351011,27:17,Wesley M,high life chat board members is it Romeo khumalo from Metro FM??
1599656417646245,27:50,Jongi Cayalli,who was taking minutes at this time 12:37?
1599656423686265,27:57,Wesley M,do you know?
1599656480029269,28:52,Frank Jordaan,Thembhani he is not spilling all the beans.
1599656485297179,28:58,Brian k,this old guy was used by big Guys in the gvt
1599656488127702,29:00,Wesley M,Erick Mgiba are you saying yes to my question?
1599656588837159,30:42,Eric Mgiba,Yes Wesley Myburgh
1599656616606430,31:09,Wesley M,thank you Eric
1599656639242229,31:32,Eric Mgiba,No problem
1599656655375168,31:48,Blake Yogi,Has this guy turned state witness?
1599656670776091,32:04,EMANUEL KGAPHOLA,Eric mgiba is answering question of Romeo khumalo wesley myburgh
1599656705607091,32:39,Mzolisi Kolweni,But guys he should have known
1599656770864992,33:44,Mzolisi Kolweni,He has been clever to turn to state witness
1599656771938857,33:45,Blake Yogi,I was busy teaching a class now Im totally lost in these proceedings since lunch
1599656779799607,33:53,Wesley M,"thank you life chat board members, im not on my own here."
1599656819297505,34:33,Eric Mgiba,@Blake Yogi remember Matona testified that there was in-fighting among board members
1599656820680231,34:35,EMANUEL KGAPHOLA,mzolisi kolwani but how because it was underground
1599656830479597,34:43,Mandlakapheli Norman Krakra,"Blake its evident that he did, even if he made that decision during these proceedings"
1599656837128993,34:50,GB,@Thembhani Hlayisani - I also get that vibe..
1599656871137520,35:22,Blake Yogi,Yes I do
1599656876155105,35:25,Maryann Diamond,he didnt get a slice of cake ..ppl he wasn't stable to trust:yt:..
1599656896865551,35:49,Anthony Fourie,"Just in live now, so Who is he?"
1599656897915338,35:50,Mandlakapheli Norman Krakra,This dude is confessing
1599656905499739,35:57,Frank Jordaan,Mzolisi the big issue with him is that he was at the beck and call of Tony Gupta. Why did he said how high everytime the Guptas said 'Jump'???
1599656940315745,36:33,Mandlakapheli Norman Krakra,Its Mr Tsotsi
1599656947909026,36:40,Blake Yogi,I was expecting other witnesses. He said he only needed 45 min but now I hear Chair saying we have too much to canvass now. 😱
1599656984782686,37:16,Blake Yogi,@Frank dont disrespect ubaba 🤣
1599656991007296,37:23,Anthony Fourie,"Okay never hear of Mr Tsotsi, He work for Anc or what?"
1599657010256994,37:43,Blake Yogi,eskom
1599657050682438,38:24,Mandlakapheli Norman Krakra,"Yes sir, and he was chair of Eskom"
1599657112822605,39:25,Jongi Cayalli,"Anthony meet Zola Tsotsi, Tsotsi this is Anthony he just came in now👏"
1599657128987186,39:41,Blake Yogi,🤣
1599657135971114,39:48,Mandlakapheli Norman Krakra,Jongi (lol)
1599657148111335,40:01,Frank Jordaan,Blake I will never do that😜😜😜😜
1599657180799889,40:34,Frank Jordaan,Jongi😂😂🤣🤣
1599657181848431,40:35,Anthony Fourie,"HI Zola Tostsi, So messed up with our electricity huh? naughty boy!!"
1599657207438155,41:01,Zuraya Parker,iarre this bloody guys an zuma is gonna be free they above the law no doubt only small guys will face the music guys just watch it
1599657648807469,48:22,Wesley M,Mr Tsotsi you were in it for MONEY!!
1599657652612342,48:26,Delmore Mathe,Tsotsi is a tsotsi...
1599657682579902,48:55,Wesley M,TSOTSI!!!!
1599657709527280,49:22,Robert Maseka,👌
1599657772488412,50:25,Wesley M,Chair the once removed was also in it for the money 💰
1599657878569662,52:11,Wesley M,"Bible "" the love of money is the root of all evil"""
1599657947011758,53:19,Wesley M,when are we going to get the Gupta's from Dubai?
1599657952401966,53:25,Stanley Sithole,Mr Tsotsi can't be trusted
1599657961881160,53:34,Jongi Cayalli,Zuma claims he's very busy till next year 2021. So so for got seeing him
1599657990324816,54:03,Wesley M,they have finished our money by now
1599658055158299,55:07,Stanley Sithole,"This commission is useless, no one is going to be arrested, they are just fooling us"
1599658057303678,55:09,Phillip Cwazibe,@ Jongi Cayalli it meant 2031
1599658070203071,55:23,Wesley M,"when are we going to get the Gupta's, they have finished our money already."
1599658085855149,55:37,Maryann Diamond,true @Stanley
1599658099660290,55:52,Bongiwe Moeli,"@sims nyandeni, seconded, Zuma has to answer and we know this won’t be the last. He must be given a permanent seat at the commission so we don’t keep inviting him back."
1599658135057657,56:28,Mandlakapheli Norman Krakra,"Bongiwe, you meant in jail rather"
1599658138462417,56:32,Maryann Diamond,if they going to start arresting ppl they will have to arrest the whole state 🤣
1599658144265776,56:38,Wesley M,if we do away with the ANC they will be arrested
1599658176498258,57:09,Sandile Mkhonto,Why was he having a office at Eskom? I thought he was supposed to be independent Chairman.
1599658197335292,57:31,Mandlakapheli Norman Krakra,"Wesley....not just the ANC, some members in opposition parties toio"
1599658198232930,57:32,Wesley M,they will also have to arrest Ramaphosa he is at least an accomplice.
1599658213760710,57:46,Mandlakapheli Norman Krakra,too
1599658243812509,58:17,Kwo,this bs still going on
1599658262566198,58:35,Ozzy Ozzy,What goes around comes back around my babe haha
1599658292798667,59:05,Bongiwe Moeli,"@mandlakapheli, to be fair, after he’s had he’s day in all the courts and found guilty. Uzodilikelwa ijele."
1599658302308142,59:15,Jongi Cayalli,is he singing Justin Timberlake song what goes around comes around..?
1599658311287225,59:24,Mongezi Mafia,what goes arond comes around:yt:
1599658318431747,59:33,mike molefe,Eric Mgiba how are you!
1599658332911139,59:45,Alex De Abreu,"too much waffle, die poppe gaan dans💃"
1599658364898459,1:00:17,Thanduyise Sibiya,nansi lemi sunu edla imali zethu zentela
1599658465953767,1:02:00,Ozzy Ozzy,The old man is happy @Betty Wiie
1599658501065193,1:02:34,Zipho Zwane,zonke lezi zinja are cashing millions just for listening to stories with no real plan to do anything
1599658563009488,1:03:36,Maryann Diamond,"indeed Shabba , this is sooooo sad . more money down the drain"
1599658602909388,1:04:15,kevindbn007,now the anc must fit the outstanding eskom bill. dont ask us
1599658606247254,1:04:18,Arian Bester,what did I miss
1599658644737572,1:04:56,MIKE DURBAN,@kevindbn007 .......you said it bud.......spot on...
1599658653184669,1:05:05,GB,Thuli Madonsela said that there will be prosecutions resulting from the state capture commission - she said so quite recently.
1599658693049223,1:05:45,ndieni rasikhuthuma,How do people qualify for these boards it looks like only or mostly stooges are brought in it’s shameful
1599658749845851,1:06:43,MIKE DURBAN,Weve
1599658774577695,1:07:07,kevindbn007,this govt must stop raising our electricity costs and pay up
1599658807774006,1:07:40,kevindbn007,"hiking our portion of energy costs to fit their stealing, thats just nasty"
