timestamp,time,author,message
1565611047733494,6:55,Slindile Ngcobo,hi
1565611211029382,9:39,Viewing,"@Ryan Smith He will be gone soon, his own people will kill him for stealing their pension funds."
1565611333917932,11:42,Floyd Ramoshaba,@Ryan Smith MALEMA IS HERE TO STAY
1565611342611867,11:50,Viewing,@Floyd Ramoshaba Nope.
1565611396674482,12:44,Floyd Ramoshaba,Either way the land will be taken
1565611529548762,14:57,Floyd Ramoshaba,@Ryan Smith I have my own land
1565611555915674,15:23,Slindile Ngcobo,"@Floyd Ramoshaba .....YES HE IS HERE TO STAY,,,,STAY BEHIND BARS IN JAIL"
1565611583903597,15:52,Cerebis,"I have no land, nor do I want any."
1565611625205338,16:33,Lerato Tjikana,"Oh Lord, the female Lawyer can Cross Examine me any day of the week and twice on sunday 😃"
1565611656244229,17:04,Floyd Ramoshaba,@Slindile Ngcobo Zuma first
1565611706158067,17:54,Floyd Ramoshaba,@Ryan Smith I bought it
1565611738529179,18:26,Lerato Tjikana,Part of the System design hey! 😃
1565611840215695,20:08,Jaytee Morifi,kgopela volume
1565611924190396,21:32,Floyd Ramoshaba,@Ryan Smith men are suppose to give women money that's the law of nature
1565611954176807,22:02,Lourens De Jager,my lip reading is not up to standard 😂
1565611983706819,22:32,Daud Musa,Chair nobody will make sense to what he is saying. This was day robbery with no guns
1565612021282540,23:09,mahfuz8599114,there only one sun in solar system and many inventors etc
1565612044926671,23:32,Cerebis,Men just need to respect women. They are generally capable of exceeding the required competency tests.
1565612050669188,23:38,Mphikeleli Gamede,Sound Pls
1565612078248089,24:06,mahfuz8599114,"cpt vs jhb,pta,durb"
1565612095161522,24:23,mahfuz8599114,bow down to ur king
1565612134836798,25:03,Cerebis,I have no King on Earth.
1565612185879353,25:53,Lerato Tjikana,"Hao Ryan, Now She's ur Queen?? 😂"
1565612193923088,26:01,Daud Musa,You get more of this beauties in Soweto and Khayelitsha
1565612205059190,26:13,mahfuz8599114,royals control the whole earth and allmighty controls the entire universes etc
1565612348752626,28:35,Rob Nel,She is a lesbian guys
1565612393533892,29:21,Lerato Tjikana,Is she Lesbian... Oh Wow even more interested now...
1565612430665139,29:58,Rob Nel,I shall volunteer to watch
1565612490313037,30:57,Lerato Tjikana,@Rob Nel lol... watching aint a bad idea at all
1565612585545231,32:33,Rob Nel,"I will probably not Ryan, there should be shots of her body as well. She is a very pretty girl"
1565612600804647,32:49,Blaze 613,"can someone remind me how beef tastes like, can`t afford it anymore...."
1565612654112327,33:42,Blaze 613,i don`t know
1565612666533581,33:54,Brian C. C,@SABC Digital News i want to report some uncouth activities in your live stream 😃
1565612700798019,34:29,Thalente Masindane,🙄🙄🙄🙄what the HECK with a volume
1565612726665716,34:53,Slindile Ngcobo,@Blaze 613 ...Not anything like PORK....hehe
1565612745868660,35:14,Blaze 613,"why sabc stream in 360p, can`t afford higher?"
1565612762243262,35:30,Blaze 613,I am tired of pork and chicken
1565612878476962,37:26,TCM,"finally, an evidence leader comfortable for the eyes😍 LOL"
1565612953720149,38:41,Rob Nel,You talking about Zondo
1565613013515322,39:41,Cerebis,SABC bankrupt guys. Cannot afford soccer broadcasts even on radio...lol
1565613020926477,39:49,Lerato Tjikana,lol....
1565613085333389,40:53,TCM,point of order Robinho Nel
1565613100598121,41:07,Lerato Tjikana,@Tshwane Smoke she can go ahead and capture my state...
1565613179381610,42:27,Rob Nel,"She looks very young, to be an advocate"
1565613196252427,42:43,TCM,"@lerato, indeed she must be allowed"
1565613232497601,43:20,Rob Nel,Lips are inviting....seeing a song forming
1565613250870014,43:38,Nkululeko Zondo,"My older brother DCJ must really give me her number, she is cute and want to capture her 😂😂"
1565613265919579,43:53,TCM,anyone got her names.. asking for a friend's research 😂
1565613266107250,43:53,Lorraine Naidoo,She's gorgeous
1565613389254847,45:57,Rob Nel,@Tshwane Smoke Her name is on the screem
1565613395321418,46:02,Pastor J.J,Thanks for stopping
1565613437188742,46:45,shawn mabilu,poor audio
1565613463967692,47:12,Mbuso Ndlovu,WHO IS THIS WHITE BOLD GUY
1565613472949262,47:20,Jacqui Baumgardt,She is an excellent advocate - in addition to being beautiful
1565613508938930,47:57,danie schoeman,SABC show yoursound operator the volume control pse
1565613518634697,48:06,Pastor J.J,😂😂😂😂😂😂😂😂
1565613531401101,48:19,Rob Nel,"Mbuso, you should recognise him...FW de Klerk"
1565613581039891,49:08,Jacqui Baumgardt,😀
1565613620201921,49:48,Jacqui Baumgardt,or cousin 😁
1565613655963134,50:23,Rob Nel,love his tie
1565613692075650,50:59,Jacqui Baumgardt,as long as King Z doesn't get hold of her as wife no 8
1565613728037407,51:35,BEE-llionaire Okwacha,6 page business plan and spend more than 200 Million?
1565613775832694,52:24,Rob Nel,"Ryan, at least ONE of them will talk to you"
1565613781324754,52:29,Jacqui Baumgardt,"eish, Ryan"
1565613785691779,52:33,Barry Sila,Lol Jacqui...you are simply a genius man
1565613787775380,52:35,BEE-llionaire Okwacha,I guess they just compile a simple profile and budget they needed.
1565613822759716,53:10,Daud Musa,Ramaphosa wins again
1565613891477272,54:18,Kapn Krunch,when will this finally conclude so real criminal proceedings can begin ?
1565613896272922,54:24,Peter Goosen,stop referring to the Adv as if she is simply an object
1565613932545942,55:00,Nonzy,10 litres of milk produce 1kg of hard cheese.
1565613977493235,55:45,Kapn Krunch,wow shes a pretty black women
1565613998820973,56:07,phahlana sammitto,"The leading counsel is Aowa ,any news about her"
1565613999459402,56:08,Pastor J.J,@Peter Goosen Well said Peter. I am sadly amazed at the disrespect shown to our woman folk these days.
1565614022496139,56:30,Bratbaby P,what is this?
1565614053221668,57:01,Barry Sila,She is a true indication of Beauty & Brains.Maybe she should be given lead role in Isindigo
1565614054501674,57:02,Jacqui Baumgardt,she's got brains and beauty!
1565614073600138,57:21,mrp,lol whats her name?
1565614086810040,57:35,phahlana sammitto,The name please
1565614087739321,57:35,Rob Nel,@Pastor J a compliment is not disrespect
1565614103558807,57:51,Jacqui Baumgardt,@Rob - agree
1565614141577455,58:29,Pastor J.J,@Rob Nel U are indeed correct. However some chats cross the line of being complimentary.
1565614167925505,58:55,mrp,lol freek
1565614196263360,59:24,shohedulislam khan,how much getting iqd dinar rv
1565614259747653,1:00:28,Daud Musa,Springbok captured by black prayers
1565614273561928,1:00:41,makhosi nobhatyi,How did get the bank statement when Absa bank distanced themselves from PP office that was subpoenaed for bank statements 😳😳 nowonder who is controlling this woman remotely?
1565614312528752,1:01:19,Jacqui Baumgardt,talk about red herrings!
1565614328572549,1:01:36,Nonzy,$27 =R300
1565614341820974,1:01:50,Daud Musa,Zuma must be a coach of springbok now
1565614387659466,1:02:36,Rob Nel,"@Daud, we want them to play rugga, not toi toi"
1565614401042212,1:02:48,Nonzy,economies of scale is the only strategy for this type of business.
1565614413495155,1:03:01,Jacqui Baumgardt,amabokkebokke
1565614458613056,1:03:47,Rob Nel,"@Ryan, we looking better"
1565614472129066,1:04:00,Slindile Ngcobo,Evidence Leader is Advocate REFILOE MOLEFE
1565614479988609,1:04:07,Jacqui Baumgardt,@Ryan - agree
1565614500762787,1:04:29,Jan Davies,I don’t like the word “captured” as the black players were all excellent!
1565614513300234,1:04:41,Daud Musa,@Rob Nel toyi toyi is stolen by Tokyo
1565614530987424,1:04:58,Rob Nel,Rassie only there till after RWC
1565614586721924,1:05:55,TCM,THANK U SLINDILE.. some lost focus here talking about springboks
1565614600678320,1:06:08,Daud Musa,Ryan This is South Africa we don't like winning teams. Zuma for the coach
1565614605177988,1:06:13,Nonzy,let's look at the costing
1565614613001646,1:06:20,Gareth Posselt,😎
1565614624035027,1:06:31,shawn mabilu,is it only my device that have poor audio?
1565614652385265,1:07:00,Rob Nel,@Ryan he will stay on as DOR for SA
1565614703661581,1:07:51,Daud Musa,@Shawn my sound is in Afrikaans
1565614712349999,1:08:00,Rob Nel,Worse loss was Nick mallett
1565614746196943,1:08:33,PETER STAFFEN,Were is Rassie going
1565614774267250,1:09:02,Rob Nel,DOR for rugby SA
