timestamp,time,author,message
1597313286297355,5:36,Rudolph Cele,why there is no picture
1597313325051696,6:14,Martin van der Breggen,Loadshedding
1597313474190212,8:44,Rudolph Cele,since when
1597313574798653,10:26,Phenduka Sibhidla,Hope everything is in order now..
1597313604513229,10:54,Evan Sofer,howz it
1597314476503812,25:26,Rudolph Cele,are these people about to reveal big things as they hidden somuch and protected what going on
1597314632032323,28:01,Phenduka Sibhidla,Key witnesses???
1597314642402064,28:12,Rachit Aggarwal,Rachit aggarwal VIII-C
1597314736071364,29:47,Phenduka Sibhidla,Things are heating up..
1597314791653783,30:41,Phenduka Sibhidla,💥💥💥
1597314833352184,31:23,energy for life,the sound of the witness is bad
1597315109550994,36:00,Akhona Gala,"the sound is bad, tea break please"
1597315120871375,36:12,Roy Kisten,no man this sound is bad
1597315125368531,36:16,energy for life,Zondo no the sound
1597315165505569,36:56,Mokgothu Josh,lol the information is gonna come out anyway. they are telling us their resume work date
1597315166990202,36:58,Mokgothu Josh,lol the information is gonna come out anyway. they are telling us their resume work date
1597315167022680,36:58,Mokgothu Josh,lol the information is gonna come out anyway. they are telling us their resume work date
1597315192654142,37:23,Phenduka Sibhidla,Can't the witnesses be placed on witness protection??
1597315203782751,37:34,lwazi khuzwayo,where are the witnesses?
1597315267236735,38:37,David Tseko,where are the witnesses
1597315288645654,38:58,Phenduka Sibhidla,Was this not anticipated??
1597315314852782,39:25,Roy Kisten,hibbo
1597315332772349,39:43,David Tseko,we hear nothing
1597315339165509,39:49,energy for life,umdlalo lo
1597315339599565,39:50,Zicelo Sokhela,"This evidence being led today, what is it about?"
1597315354502509,40:04,Roy Kisten,hibbo tea break
1597315375053092,40:25,Pheladi Lamola,But if they lower the distortion then some people may recognize his voice
1597315390102992,40:40,Roy Kisten,no no no
1597315422594467,41:12,Phenduka Sibhidla,They will end up revealing the name and location of the witness unknowingly..
1597315429671406,41:19,Rudolph Cele,terrible sound
1597315436713946,41:27,Roy Kisten,the guy for audio Shud go for training
1597315473769627,42:04,Neil Paterson,Weren't the ANC responsible for scrambling cellphone signal in Parliament previously?
1597315492971269,42:22,Rudolph Cele,this is not parliament
1597315500994444,42:31,Roy Kisten,yeah u got it my man
1597315512350887,42:42,Zicelo Sokhela,"This commission is incompetent, did the stuff of the commission only realise today that evidence will be transmitted from a audio link? yeses!"
1597315522073063,42:52,Akhona Gala,"We are paying these guys enough to give us a perfect sound system from Sony, see now the sound is terrible because it's telefanken"
1597315524824653,42:55,Roy Kisten,ANC pulled a job here
1597315581890698,43:53,Roy Kisten,the collective have pulled a job here am telling you
1597315620842452,44:31,Lekgothoane Lesetja,Is not going to wrkthis one
1597315674441204,45:25,Phenduka Sibhidla,DCJ has said there's limited time for the commission and yet we encounter this..
1597315687985027,45:39,Rudolph Cele,"why they don't use a cell phone airtime, lot ofnl money in this commission"
