timestamp,time,author,message
1558008259170310,1:58,Mohamed Mia,no sound
1558008287994176,2:27,Marika Kotze,No sound
1558008325083488,3:04,Abel Manyedi,sound plz
1558008739786027,9:58,Harduro Racer,this presedent is no better than zuma
1558009035360140,14:54,MrMoyoT,can someone simplify whats he saying
1558009050879476,15:10,MrMoyoT,i know its english but its not making sense
1558009228900282,18:08,Lorna Kavanagh,transet was run by regimens and trillion
1558009715812788,26:15,Granny Mokwena,nothing in the thousands.. these thieves have finished me ohhh
1558009850676122,28:29,Lorna Kavanagh,much more than 93 mil more like a few billion
1558009856370595,28:35,Scelo Xulu,Zuma is my president forever
1558009969009138,30:28,Derek Main,@Scelo Xulu Sorry for you.
1558010003312634,31:02,ofhie Muofhe,xulu weh
1558010243880119,35:03,Felix Muyoba,not even elaborating what work was done..just work done..thieves!!
1558010310335196,36:09,Felix Muyoba,imagine!!
1558010356877103,36:56,Felix Muyoba,"so, 93 million just going in somebodys pocket"
1558010379011287,37:18,Alexia,back pocket
1558010381420810,37:20,welton paulse,93 million ....bathong
1558010417372879,37:56,welton paulse,Monopoly money
1558010431688751,38:10,Felix Muyoba,@welton paulse true
1558010546364426,40:05,Felix Muyoba,they are part of the looting @Thando Nkutha
1558010581048737,40:40,Felix Muyoba,@Lexi 😂 true boiling is even better
1558010592983545,40:52,welton paulse,These people were litterally playing monopoly with real money
1558010680456072,42:19,Alexia,scary numbers but sad how the country gets robbed like that
1558010712119826,42:51,Felix Muyoba,@Lexi true
1558010723854951,43:03,Granny Mokwena,all happened in the 9 wasted years
1558010742939983,43:22,Felix Muyoba,@Thando Nkutha 😂😂 work done!!
1558010817253678,44:36,Felix Muyoba,that is true..who was the GCE then?\
1558010832127869,44:51,Alexia,I'll take just 500K for WORK DONE 😂
1558010869894606,45:29,Felix Muyoba,"@Lexi even that is a lot of money, wena"
1558010895244478,45:54,welton paulse,jirrrrrrr yessssssis
1558010902331871,46:01,Alexia,Felix at least everyone in Chat will get a cut😂
1558010919612808,46:19,Felix Muyoba,@Lexi kikiki
1558010929729673,46:29,Wildthing,AA and BEE lead to this. instead of a process of education and promoting staff that meet the requirements. it broke down working systems and let crooks take over.
1558010954496583,46:54,Felix Muyoba,but those people should be asked about what they did with that money because thats a lot
1558011000521884,47:39,Alexia,What happened with the so called REFUND?
1558011028316145,48:07,Felix Muyoba,@Lexi it went to transnet account
1558011092652387,49:12,Alexia,This guy is not telling the whole truth
1558011104516752,49:24,Granny Mokwena,"I can clearly remember Ben Ngubane trying to justifying these payments to Trillian, he even crossed the line to say they had a contract with them. he was at Eskom then"
1558011121318658,49:40,Sthakathi Khumalo,Sekalexabiso always see that company pass sandton hmm
1558011128556824,49:47,Felix Muyoba,"hau, how do you tell @Lexi ?"
1558011204703041,51:04,Alexia,His story sounds buttered
1558011256940790,51:56,Alexia,😂 Thando
1558011258714244,51:57,Felix Muyoba,I think these are the anonymous whistle blowers who revealed these malpractices to thuli
1558011374402087,53:53,Alexia,25Bbln went to China
1558011430062972,54:49,Granny Mokwena,"companies that ruined their reputations for a quick buck, Nkonki..shem"
1558011476318287,55:35,Msimozy MSIMOZIE,ha...umali engaka
1558011504692878,56:04,Alexia,scary nr's
1558011539510679,56:39,Msimozy MSIMOZIE,we Thando lemali uybale wena
1558011637671590,58:17,Msimozy MSIMOZIE,youre not the only one ...nami
1558011828863693,1:01:28,Wildthing,how to optimise the stealing of Tax money
1558011849048162,1:01:49,Felix Muyoba,@Michael Wild 😂😂 true
1558011995678894,1:04:14,Felix Muyoba,DCJ is struggling with the word unsolicited
1558012012716557,1:04:32,Singi Mathebula,this looting seems to be worse than pw botha's era😱
1558012087015919,1:05:46,Felix Muyoba,@Singi Mathebula true..these things started from there but we were not allowed to question them otherwise you go to 1oth floor!
1558012094613780,1:05:53,Felix Muyoba,10th floor
1558012184925542,1:07:23,Singi Mathebula,"@felix 10th floor or not, that is a fact"
1558012187745863,1:07:26,Musa Bakiti,@Singi Mathebula P W Botha was looting lives of black people and ANC is looting cash with Mandela face
1558012214804136,1:07:54,Alexia,with so much stolen it is surprising S.A still has a National Treasury
1558012219749177,1:07:59,makhosi nobhatyi,"@Singi Mathebula you don’t know what you are talking about, if we can open books you would be surprised, they looted more than what you heard here we are poor because of that"
1558012225001518,1:08:04,Wildthing,I am not a fan of PW but he could show where all his money came from and he was not rich.
1558012300049131,1:09:19,Sofia Sofia,5 controversial ANC members who are heading to Parliament ? IS THIS TRUE ?????
1558012300927638,1:09:20,Felix Muyoba,@Michael Wild but normally you cant get rich on stolen money..you didnt work for it..period
1558012308428546,1:09:27,Sofia Sofia,1. Nomvula Mokonyane
